	TCGA.BH.A204.11A.53R.A157.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.11ZTT.2326.SM.5EQLG	GTEX.ZQG8.0726.SM.5P9H9	TCGA.AK.3447.01A.01R.1766.07	TCGA.49.4490.11A.01R.1858.07	TCGA.77.7335.11A.01R.2045.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.KK.A7B1.01A.11R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.KC.A4BL.01A.31R.A250.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.VN.A88Q.01A.11R.A352.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.YF7O.1926.SM.4W1YQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.11P82.1126.SM.5BC5K	GTEX.11NSD.0826.SM.5986S	GTEX.REY6.2126.SM.48FD9	GTEX.144GM.0826.SM.5O98R	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD
RTKN	161.02	149.12	83.45	94.67	94.01	175.07	105.15	136.19	96.68	260.38	108.14	98.73	193.01	248.0	239.52	780.44	579.04	688.78	620.67	947.83	500.46	647.07	540.19	961.07	713.11	674.59	748.61	624.99	575.03	563.18	723.08	848.22	981.29	387.02	511.0	660.68	612.11	679.29	974.5	624.99	575.03	540.19	507.46	536.45	483.38	525.39	503.95	463.65	521.76	389.72	392.44	444.72	616.37	575.03	460.44	363.56	543.96	420.68	507.46	587.13	583.07	384.34	511.0	389.72	713.11	368.65	536.45	599.49	587.13	547.75	480.04	429.54
SAMD10	36.79	31.0	22.92	28.24	31.9	41.22	33.3	38.67	25.35	57.89	34.26	30.56	71.0	45.21	42.11	379.04	241.19	323.03	334.46	316.37	305.55	194.36	242.88	215.77	214.27	236.21	536.45	220.32	258.57	303.44	301.33	205.5	435.55	132.44	153.34	258.57	293.07	226.54	314.17	269.6	127.89	435.55	187.71	177.53	143.01	185.11	105.15	96.01	176.29	120.94	159.9	148.09	191.67	194.36	130.6	127.89	182.55	116.78	175.07	186.4	194.36	132.44	201.25	173.85	208.38	125.24	206.94	132.44	175.07	258.57	172.65	141.02
SAMD4B	1936.53	1313.23	1135.2	1685.71	1159.07	1322.37	1350.18	1561.89	1369.04	1051.79	693.58	764.36	305.55	902.89	1051.79	2367.9	2434.5	2591.27	2591.27	2976.74	1832.01	2119.22	2061.24	2434.5	2434.5	2468.49	2796.65	2701.35	2720.15	2609.3	1896.65	3280.18	2047.0	1467.37	1909.85	1977.24	2537.92	2119.22	3060.45	2573.36	1896.65	2255.7	1407.55	1572.76	1745.2	1733.13	1508.65	902.89	2816.11	1159.07	2720.15	1769.57	2119.22	2224.63	1950.0	1561.89	1923.14	1745.2	2163.77	2384.37	2835.7	1639.59	1883.54	1832.01	3103.19	1806.78	1733.13	2178.83	2148.82	2537.92	2400.97	1977.24
SEC16A	1066.48	909.17	1015.93	896.64	830.75	1015.93	802.41	830.75	836.53	878.17	825.0	587.13	307.69	656.11	684.02	3847.29	2434.5	2400.97	2956.17	3742.05	2451.44	2351.53	3060.45	3303.0	2777.33	2520.38	3325.99	2451.44	2351.53	4038.61	2451.44	2400.97	3372.43	2240.11	2855.44	2224.63	3564.78	3103.19	3901.01	2240.11	1909.85	2682.69	1331.57	1594.73	1477.58	1757.34	981.29	808.0	2485.67	1030.12	2193.99	1806.78	1561.89	1857.6	1781.89	1407.55	1529.73	1508.65	1757.34	2209.26	1674.06	1733.13	1350.18	1674.06	2417.67	1605.83	1651.0	2351.53	1923.14	2163.77	1628.26	1819.35
SLC12A7	384.34	202.66	201.25	232.94	232.94	373.81	363.56	242.88	403.5	165.57	166.73	224.97	146.03	273.37	336.79	551.56	769.69	480.04	307.69	698.41	836.53	603.67	555.41	708.18	483.38	785.88	624.99	444.72	353.59	521.76	559.28	785.88	884.29	389.72	497.0	629.35	583.07	470.14	698.41	423.61	579.04	381.68	476.71	332.14	555.41	529.06	392.44	206.94	258.57	368.65	395.18	480.04	563.18	511.0	368.65	336.79	444.72	373.81	395.18	334.46	733.19	212.78	500.46	392.44	909.17	409.15	454.09	307.69	361.04	483.38	420.68	376.41
SLC25A22	103.69	122.64	39.79	52.45	98.04	141.02	69.03	94.67	281.09	157.68	336.79	351.14	31.0	118.43	220.32	1059.11	507.46	629.35	507.46	665.29	591.22	397.93	518.15	802.41	441.64	547.75	563.18	351.14	397.93	518.15	693.58	738.29	842.36	348.71	400.71	567.1	660.68	490.14	679.29	521.76	397.93	450.94	329.84	293.07	348.71	356.05	277.2	173.85	397.93	283.05	314.17	343.89	392.44	329.84	264.03	283.05	334.46	312.0	323.03	476.71	647.07	301.33	339.14	366.09	351.14	297.17	423.61	356.05	454.09	397.93	379.04	305.55
SMARCA4	612.11	607.87	591.22	642.59	529.06	633.73	587.13	525.39	480.04	738.29	532.74	460.44	244.57	583.07	669.92	2434.5	1923.14	1806.78	1674.06	1936.53	1950.0	1594.73	1963.57	2133.97	1909.85	1745.2	2163.77	1572.76	1909.85	2303.12	2133.97	1662.49	2434.5	1417.35	1781.89	2018.8	1819.35	2133.97	2271.4	1639.59	1572.76	2240.11	961.07	1268.46	1350.18	1216.75	808.0	466.88	1745.2	603.67	1639.59	1388.16	1467.37	1457.23	1322.37	1208.34	1467.37	1268.46	1331.57	1417.35	1923.14	1427.22	1447.15	1350.18	2004.85	1191.69	1447.15	1427.22	1605.83	1757.34	1477.58	1427.22
SNAPC4	58.71	45.53	26.67	34.02	49.21	58.3	56.68	53.57	42.41	68.55	41.81	30.78	10.63	42.11	31.45	171.45	171.45	206.94	139.07	161.02	206.94	162.14	158.79	206.94	171.45	190.34	180.02	143.01	163.28	172.65	198.47	220.32	339.14	81.71	115.16	175.07	137.14	171.45	255.0	167.9	137.14	117.6	96.01	99.43	138.1	109.66	105.15	44.89	122.64	83.45	84.04	114.36	151.22	147.06	102.25	74.06	152.28	57.89	142.01	90.14	171.45	85.22	114.36	125.24	132.44	94.01	121.79	127.89	105.15	180.02	97.36	87.65
SPATA2	156.59	113.56	102.97	113.56	102.25	118.43	94.67	127.0	98.04	116.78	78.89	74.58	28.24	78.89	111.21	277.2	281.09	255.0	223.41	267.73	251.48	194.36	258.57	379.04	244.57	307.69	201.25	287.01	281.09	303.44	387.02	281.09	309.83	236.21	371.22	178.77	392.44	239.52	307.69	301.33	220.32	269.6	239.52	348.71	226.54	198.47	206.94	127.89	251.48	185.11	269.6	277.2	297.17	314.17	277.2	249.73	258.57	193.01	249.73	318.57	397.93	228.13	264.03	236.21	414.87	234.57	389.72	258.57	208.38	361.04	246.28	239.52
SRRT	854.13	830.75	599.49	616.37	854.13	796.86	780.44	551.56	642.59	860.08	599.49	616.37	115.16	698.41	638.15	2796.65	1936.53	2255.7	1721.16	2485.67	2075.59	2664.15	2133.97	2240.11	2502.97	2591.27	2384.37	2047.0	1977.24	2335.28	2271.4	2915.45	2573.36	1359.57	1806.78	1757.34	2075.59	2555.58	2739.08	2209.26	2240.11	2319.15	1605.83	1685.71	1572.76	1605.83	1540.37	1225.22	1745.2	1304.15	1721.16	1467.37	1883.54	1977.24	2047.0	1313.23	1991.0	1447.15	1757.34	1870.53	2485.67	1697.45	1844.76	1417.35	2209.26	1498.22	1540.37	2434.5	1991.0	1923.14	1551.09	1628.26
STRN4	802.41	775.05	500.46	521.76	785.88	674.59	902.89	669.92	591.22	579.04	511.0	529.06	303.44	656.11	483.38	1427.22	1628.26	1378.57	1529.73	1242.34	1340.84	1378.57	1397.83	1605.83	1233.75	1388.16	1594.73	1268.46	1561.89	1628.26	1135.2	1529.73	1467.37	1008.9	1199.98	1175.27	1277.29	1111.82	1857.6	1437.15	1304.15	1277.29	1051.79	1135.2	1096.5	1233.75	1127.35	633.73	1467.37	961.07	1250.98	1268.46	1487.87	1143.1	1066.48	1030.12	1359.57	1208.34	1233.75	1104.13	1594.73	884.29	1295.13	1001.93	1250.98	1119.56	961.07	1225.22	1119.56	1233.75	1044.52	1088.92
SURF6	187.71	262.2	176.29	157.68	323.03	289.02	329.84	180.02	136.19	281.09	163.28	156.59	41.52	166.73	166.73	909.17	603.67	703.28	514.56	638.15	612.11	497.0	616.37	612.11	708.18	543.96	713.11	733.19	616.37	633.73	688.78	718.08	728.11	351.14	423.61	633.73	854.13	764.36	808.0	660.68	647.07	595.34	387.02	483.38	525.39	447.82	447.82	214.27	529.06	339.14	457.25	493.56	507.46	363.56	457.25	332.14	536.45	497.0	624.99	638.15	866.07	500.46	529.06	417.77	743.43	466.88	435.55	616.37	559.28	603.67	329.84	529.06
TMEM201	103.69	108.14	65.26	78.34	94.67	92.7	89.51	146.03	108.14	162.14	86.43	108.9	66.65	88.26	53.95	155.5	198.47	181.28	161.02	169.07	197.09	111.21	150.17	217.27	191.67	194.36	217.27	158.79	167.9	204.07	161.02	220.32	239.52	127.89	136.19	165.57	165.57	146.03	214.27	145.02	135.24	127.89	102.97	108.9	142.01	149.12	109.66	52.08	180.02	88.88	137.14	128.79	142.01	212.78	100.13	117.6	122.64	100.83	130.6	172.65	155.5	120.1	141.02	104.42	145.02	121.79	132.44	121.79	149.12	154.42	119.26	111.21
TRIM11	138.1	130.6	73.54	94.67	130.6	138.1	141.02	124.37	74.58	144.01	81.71	80.57	169.07	175.07	109.66	629.35	473.41	571.05	457.25	551.56	514.56	409.15	466.88	466.88	595.34	571.05	603.67	473.41	444.72	536.45	341.51	540.19	688.78	287.01	457.25	518.15	376.41	559.28	748.61	454.09	429.54	381.68	325.29	314.17	339.14	327.56	287.01	190.34	384.34	285.03	287.01	368.65	376.41	395.18	320.8	329.84	368.65	305.55	397.93	414.87	450.94	303.44	353.59	297.17	283.05	343.89	368.65	412.0	511.0	403.5	291.04	371.22
TRIM28	4010.71	3742.05	2997.45	3168.41	3146.52	4152.18	3372.43	4769.75	3564.78	4358.66	3103.19	3820.7	2400.97	4095.0	3955.48	7537.18	8421.31	7032.37	5831.91	6887.62	7695.57	7032.37	7032.37	10014.87	8538.88	7966.99	9740.98	7485.11	6983.79	7537.18	10733.74	9673.69	8658.09	5366.37	5995.9	8134.41	7230.1	8247.98	8191.0	7642.41	6983.79	5995.9	5219.6	5954.47	5954.47	7280.4	5147.73	3874.05	6337.83	3955.48	7331.05	6207.38	6250.56	6699.25	5913.33	5441.3	5751.61	6471.02	6792.79	7803.01	11584.24	4903.87	6699.25	4736.79	7280.4	6037.61	6471.02	5831.91	7130.55	6840.04	5183.54	6652.97
TTYH3	255.0	88.26	167.9	253.23	132.44	256.78	269.6	108.14	189.02	194.36	231.32	249.73	17.13	193.01	197.09	825.0	802.41	638.15	647.07	884.29	780.44	579.04	902.89	1111.82	490.14	819.3	728.11	555.41	607.87	759.08	679.29	684.02	1037.29	339.14	796.86	567.1	305.55	435.55	1059.11	420.68	575.03	684.02	341.51	511.0	450.94	435.55	371.22	133.36	381.68	320.8	241.19	373.81	493.56	432.53	251.48	316.37	412.0	289.02	466.88	273.37	633.73	287.01	373.81	457.25	1191.69	329.84	483.38	381.68	373.81	403.5	414.87	376.41
UBA1	2777.33	2875.3	2777.33	3039.3	2875.3	2935.74	3018.3	2502.97	2645.74	2573.36	3124.78	2468.49	1304.15	1923.14	2434.5	3564.78	4358.66	3665.02	3928.15	4181.07	3280.18	3742.05	4066.71	4704.07	3820.7	3639.7	3847.29	3146.52	3540.14	3540.14	3768.09	3847.29	3928.15	3212.66	3742.05	3742.05	2855.44	3515.68	3540.14	4358.66	3103.19	3690.52	2895.31	3614.55	3212.66	3467.27	2537.92	1794.29	3955.48	1950.0	3901.01	3901.01	3901.01	3168.41	3018.3	2855.44	4066.71	3372.43	3515.68	3614.55	4736.79	3820.7	3443.31	3372.43	4152.18	3372.43	3820.7	4038.61	3742.05	3540.14	3491.39	3280.18
UBALD1	264.03	193.01	100.13	169.07	186.4	187.71	218.79	204.07	152.28	157.68	217.27	198.47	181.28	373.81	303.44	941.27	813.63	830.75	791.35	1242.34	642.59	536.45	764.36	785.88	738.29	819.3	1015.93	909.17	1111.82	884.29	684.02	1096.5	1233.75	336.79	647.07	802.41	1167.14	954.43	830.75	825.0	830.75	825.0	536.45	525.39	507.46	603.67	529.06	559.28	1104.13	450.94	718.08	559.28	674.59	688.78	507.46	457.25	802.41	559.28	599.49	830.75	902.89	483.38	638.15	575.03	791.35	718.08	575.03	785.88	764.36	928.3	603.67	854.13
UBE2J2	836.53	854.13	595.34	669.92	896.64	884.29	890.44	813.63	708.18	954.43	1191.69	981.29	674.59	1295.13	1044.52	1709.26	1304.15	1350.18	1397.83	1427.22	1313.23	1119.56	1286.18	1519.15	1159.07	1322.37	1605.83	1096.5	1369.04	1498.22	1242.34	1561.89	1427.22	764.36	988.12	1397.83	1447.15	1662.49	1769.57	1127.35	1350.18	1277.29	1081.39	915.51	1030.12	1127.35	1119.56	1191.69	1259.69	1242.34	743.43	1081.39	1037.29	1059.11	791.35	785.88	1111.82	836.53	1015.93	1242.34	1583.71	967.76	1088.92	947.83	995.0	1015.93	934.76	1066.48	1191.69	1268.46	909.17	1051.79
UBR4	1769.57	1662.49	1832.01	2047.0	1651.0	1709.26	1697.45	1617.0	1709.26	1304.15	1378.57	1437.15	961.07	1167.14	1066.48	1857.6	2682.69	2537.92	2664.15	3349.13	2573.36	2976.74	2335.28	3124.78	2351.53	2758.13	3257.52	2816.11	3443.31	2835.7	2303.12	2875.3	2895.31	2047.0	2193.99	2468.49	3039.3	2777.33	2627.46	2875.3	2935.74	2627.46	1639.59	1572.76	2240.11	2119.22	1143.1	1369.04	2997.45	1104.13	3018.3	2287.2	2400.97	2434.5	3103.19	1936.53	2417.67	1963.57	1896.65	1806.78	2417.67	1769.57	1923.14	2178.83	3395.89	2193.99	1844.76	2209.26	2148.82	2193.99	1909.85	2004.85
UCK2	307.69	197.09	209.84	242.88	265.87	277.2	237.86	246.28	201.25	212.78	172.65	176.29	17.25	291.04	127.89	507.46	363.56	551.56	591.22	620.67	748.61	447.82	525.39	616.37	363.56	503.95	769.69	351.14	441.64	579.04	432.53	473.41	703.28	325.29	400.71	447.82	529.06	417.77	1277.29	275.28	387.02	429.54	323.03	332.14	341.51	444.72	329.84	327.56	336.79	318.57	189.02	320.8	305.55	507.46	291.04	318.57	389.72	291.04	281.09	470.14	503.95	267.73	246.28	343.89	1143.1	299.25	351.14	363.56	285.03	454.09	246.28	414.87
UPF1	536.45	551.56	503.95	532.74	607.87	813.63	733.19	595.34	563.18	603.67	511.0	679.29	170.25	454.09	486.75	1950.0	1457.23	1757.34	1508.65	1498.22	1447.15	1313.23	1477.58	1407.55	1674.06	1477.58	1733.13	1397.83	1407.55	1709.26	1819.35	1572.76	1745.2	796.86	1277.29	1508.65	1757.34	1487.87	1508.65	1594.73	1304.15	1437.15	842.36	1059.11	1167.14	995.0	723.08	463.65	1551.09	595.34	1183.45	1088.92	1175.27	934.76	961.07	890.44	1417.35	1037.29	1073.91	1304.15	1350.18	1044.52	1119.56	1143.1	1350.18	1081.39	961.07	1216.75	1268.46	1697.45	1313.23	1143.1
VARS	444.72	620.67	332.14	358.54	624.99	514.56	555.41	387.02	409.15	444.72	351.14	514.56	237.86	327.56	341.51	854.13	830.75	872.1	915.51	896.64	769.69	872.1	674.59	1143.1	759.08	791.35	1151.06	587.13	698.41	1023.0	909.17	1066.48	947.83	629.35	607.87	813.63	1044.52	780.44	1457.23	775.05	595.34	547.75	457.25	493.56	559.28	616.37	384.34	244.57	723.08	303.44	718.08	521.76	500.46	616.37	409.15	457.25	656.11	656.11	511.0	575.03	941.27	559.28	490.14	441.64	780.44	728.11	624.99	473.41	497.0	470.14	384.34	620.67
VAV2	100.83	72.52	71.0	91.41	64.34	134.3	94.67	82.29	92.7	110.43	60.39	54.72	45.85	171.45	157.68	358.54	318.57	309.83	249.73	307.69	387.02	334.46	371.22	454.09	253.23	334.46	457.25	336.79	291.04	363.56	371.22	351.14	387.02	262.2	258.57	314.17	212.78	248.0	441.64	289.02	334.46	248.0	205.5	242.88	265.87	267.73	218.79	82.29	217.27	178.77	228.13	285.03	301.33	246.28	279.14	253.23	281.09	201.25	224.97	130.6	241.19	236.21	325.29	180.02	256.78	295.11	361.04	309.83	289.02	194.36	249.73	236.21
WDR55	198.47	234.57	167.9	193.01	258.57	229.72	217.27	249.73	220.32	189.02	211.31	232.94	167.9	211.31	241.19	476.71	381.68	525.39	371.22	470.14	454.09	400.71	444.72	351.14	432.53	460.44	571.05	392.44	366.09	438.59	463.65	400.71	379.04	381.68	409.15	507.46	642.59	457.25	444.72	368.65	376.41	376.41	307.69	343.89	307.69	409.15	289.02	275.28	301.33	346.29	253.23	316.37	343.89	379.04	303.44	316.37	351.14	336.79	366.09	287.01	470.14	273.37	260.38	293.07	309.83	336.79	289.02	384.34	356.05	327.56	275.28	273.37
ZMYND19	169.07	231.32	90.14	120.94	194.36	183.82	170.25	187.71	111.99	209.84	186.4	149.12	258.57	220.32	147.06	825.0	438.59	642.59	587.13	503.95	633.73	563.18	579.04	571.05	638.15	518.15	813.63	563.18	551.56	674.59	638.15	629.35	723.08	343.89	363.56	532.74	785.88	708.18	780.44	547.75	503.95	708.18	412.0	432.53	420.68	435.55	389.72	334.46	559.28	381.68	395.18	395.18	412.0	403.5	426.57	269.6	406.31	454.09	460.44	493.56	688.78	318.57	463.65	351.14	441.64	457.25	414.87	334.46	540.19	444.72	376.41	346.29
ZNF121	220.32	180.02	212.78	264.03	169.07	221.86	152.28	244.57	195.72	258.57	104.42	142.01	61.25	195.72	197.09	638.15	309.83	540.19	406.31	688.78	366.09	583.07	412.0	323.03	450.94	400.71	651.58	450.94	356.05	406.31	486.75	500.46	620.67	366.09	435.55	314.17	684.02	460.44	612.11	450.94	329.84	579.04	265.87	314.17	299.25	299.25	269.6	215.77	325.29	312.0	241.19	228.13	236.21	525.39	295.11	309.83	392.44	323.03	356.05	480.04	483.38	417.77	260.38	366.09	447.82	251.48	295.11	579.04	299.25	285.03	281.09	267.73
ZNF213	153.34	158.79	116.78	112.77	116.78	150.17	187.71	162.14	143.01	201.25	143.01	142.01	25.54	83.45	129.69	277.2	379.04	318.57	327.56	232.94	271.48	256.78	295.11	376.41	305.55	332.14	381.68	303.44	368.65	353.59	309.83	329.84	314.17	220.32	209.84	303.44	303.44	271.48	273.37	332.14	248.0	293.07	199.85	301.33	249.73	260.38	221.86	133.36	376.41	153.34	299.25	262.2	299.25	208.38	201.25	236.21	325.29	255.0	327.56	305.55	409.15	291.04	346.29	297.17	151.22	327.56	323.03	277.2	297.17	346.29	228.13	269.6
ZNF598	279.14	277.2	148.09	167.9	285.03	241.19	295.11	181.28	190.34	353.59	187.71	242.88	50.27	239.52	166.73	941.27	718.08	647.07	547.75	1225.22	633.73	607.87	599.49	896.64	718.08	708.18	808.0	624.99	665.29	629.35	665.29	884.29	928.3	293.07	493.56	518.15	836.53	624.99	941.27	629.35	698.41	493.56	423.61	420.68	521.76	454.09	493.56	218.79	518.15	348.71	356.05	514.56	599.49	470.14	423.61	358.54	511.0	470.14	571.05	624.99	753.83	406.31	429.54	381.68	872.1	511.0	473.41	575.03	559.28	500.46	490.14	490.14
ZNF74	50.27	56.28	47.5	48.87	49.56	72.52	44.57	72.01	42.71	75.11	43.94	57.08	18.16	55.1	60.82	202.66	145.02	211.31	155.5	166.73	195.72	157.68	157.68	255.0	145.02	178.77	249.73	148.09	167.9	195.72	161.02	182.55	295.11	110.43	103.69	206.94	127.0	152.28	249.73	138.1	163.28	145.02	128.79	137.14	145.02	157.68	123.5	73.54	137.14	82.29	100.13	127.89	153.34	125.24	111.99	130.6	155.5	96.01	110.43	125.24	152.28	111.21	195.72	119.26	111.21	93.35	127.89	106.63	145.02	167.9	103.69	108.14
ZNF764	69.52	62.12	64.34	73.54	72.01	73.54	64.8	91.41	72.01	71.0	26.28	48.18	26.1	71.0	72.01	147.06	147.06	162.14	145.02	143.01	140.04	141.02	143.01	178.77	149.12	156.59	124.37	139.07	139.07	159.9	153.34	171.45	162.14	98.73	106.63	198.47	142.01	106.63	220.32	146.03	123.5	131.51	103.69	127.0	123.5	97.36	111.99	94.01	117.6	99.43	87.65	119.26	136.19	77.79	92.7	128.79	148.09	123.5	108.14	140.04	255.0	161.02	140.04	117.6	123.5	109.66	119.26	162.14	143.01	102.97	74.58	115.97
