	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.HC.7077.01A.11R.1965.07
MTUS1	921.88	251.48	2502.97	3564.78	1709.26	3146.52	5183.54	3820.7	2193.99	2739.08	2468.49	2573.36	2018.8	4388.98	2520.38	3325.99	3212.66	2119.22	3124.78	3443.31	2796.65	3982.99	3349.13	2090.03	2915.45	2047.0	1709.26	1832.01	1896.65	3982.99	2224.63	1806.78	2627.46	3665.02	3349.13	2816.11	2796.65	2417.67	3039.3	444.72	753.83	403.5	473.41	698.41	454.09	454.09	500.46	703.28	848.22	346.29	460.44	473.41	698.41	583.07	647.07	444.72	688.78	511.0	780.44	988.12	607.87	417.77	555.41	547.75
MYLK4	0.0	0.16	4.7	5.92	11.47	26.28	9.27	17.77	6.89	47.84	14.89	8.85	21.16	12.64	7.0	20.86	8.58	10.79	9.41	9.93	8.78	31.22	9.7	13.03	23.93	7.06	7.88	44.25	19.25	29.06	6.57	10.79	11.91	4.06	9.06	5.19	14.45	13.72	8.45	3.53	3.56	7.46	4.82	2.89	4.06	5.19	2.71	5.45	5.41	1.71	5.82	13.32	8.85	3.32	1.73	2.94	5.45	2.51	3.47	4.54	3.66	4.78	5.45	5.5
NDRG2	0.0	0.66	3443.31	2434.5	5219.6	4328.55	1175.27	6471.02	6037.61	1662.49	4010.71	4869.99	3515.68	2502.97	4543.8	3280.18	2855.44	3280.18	4903.87	2434.5	4836.35	4095.0	4328.55	4575.41	1806.78	3742.05	1044.52	3303.0	1844.76	6840.04	4181.07	3665.02	3146.52	5147.73	4123.49	4575.41	3257.52	2664.15	4328.55	1259.69	583.07	981.29	1781.89	1388.16	1051.79	1498.22	1572.76	769.69	1073.91	1617.0	1457.23	1561.89	2119.22	1023.0	297.17	2148.82	3639.7	961.07	1008.9	1037.29	802.41	1447.15	813.63	1457.23
NR3C1	277.2	232.94	503.95	559.28	629.35	836.53	708.18	743.43	493.56	854.13	463.65	500.46	435.55	603.67	483.38	808.0	708.18	616.37	521.76	616.37	454.09	620.67	708.18	493.56	521.76	529.06	688.78	638.15	567.1	447.82	351.14	463.65	473.41	525.39	854.13	1096.5	444.72	791.35	587.13	66.18	153.34	134.3	208.38	98.04	135.24	271.48	36.01	102.97	164.42	162.14	154.42	212.78	332.14	348.71	88.88	55.49	100.83	103.69	116.78	86.43	136.19	109.66	96.68	111.21
NRG1	0.0	0.33	438.59	102.25	157.68	131.51	15.91	239.52	74.58	209.84	24.11	55.49	64.8	39.22	31.22	172.65	195.72	76.17	48.18	293.07	176.29	256.78	136.19	197.09	34.02	84.04	289.02	215.77	291.04	82.87	111.21	258.57	35.5	256.78	50.63	79.45	33.3	190.34	106.63	0.0	0.0	0.87	1.46	5.15	2.25	3.92	3.06	0.96	6.11	3.76	5.41	8.92	6.21	7.82	0.0	1.91	0.85	0.0	5.45	6.01	2.56	7.11	2.07	3.32
NTN4	0.0	0.27	3168.41	1721.16	2119.22	6840.04	995.0	3146.52	3146.52	4095.0	2664.15	5831.91	4210.15	5594.3	1896.65	5751.61	5791.62	3280.18	3303.0	2664.15	3467.27	3124.78	5076.84	2384.37	703.28	2271.4	2609.3	1769.57	1991.0	4671.57	2400.97	2303.12	2796.65	1896.65	4066.71	4836.35	3124.78	2133.97	3614.55	52.82	43.94	94.67	137.14	339.14	88.26	307.69	59.97	175.07	102.25	120.1	118.43	665.29	206.94	698.41	27.25	190.34	107.38	59.55	264.03	432.53	226.54	127.89	341.51	241.19
NXF2B	0.0	0.0	0.04	0.0	0.25	0.04	0.0	1.93	7.34	0.0	0.0	6.62	1.2	2.58	0.0	6.67	0.26	0.27	0.0	4.82	0.02	44.25	50.27	51.71	1.68	19.53	15.34	1.87	0.24	0.0	14.03	0.73	0.04	0.0	3.56	0.05	0.97	0.28	8.0	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ODAM	0.0	0.0	351.14	127.89	490.14	802.41	33.54	1628.26	1044.52	406.31	339.14	579.04	759.08	629.35	242.88	872.1	507.46	109.66	1936.53	603.67	599.49	90.14	1350.18	356.05	93.35	220.32	47.84	583.07	122.64	198.47	620.67	229.72	842.36	336.79	264.03	102.25	43.63	896.64	167.9	50.27	0.0	8.45	48.18	10.79	0.0	0.16	27.05	148.09	4.24	2.84	7.4	1.07	28.65	40.64	10.39	30.78	10.39	0.53	10.08	9.2	3.5	9.56	12.74	12.36
OR5P2	0.0	0.0	0.92	0.65	1.06	2.81	0.0	1.69	0.85	2.56	1.97	0.87	0.0	1.1	0.88	2.18	0.87	2.23	3.03	0.0	0.0	2.63	0.0	1.99	1.1	1.73	3.5	0.88	0.85	0.0	1.1	0.0	0.0	2.34	1.53	0.0	3.0	1.71	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAK7	0.0	0.0	251.48	0.34	0.33	1.53	57.89	37.59	1.31	16.75	5.19	19.53	1.38	0.0	1.41	1.36	9.13	0.37	2.86	47.5	2.73	0.4	15.45	2.66	1.43	1.48	1.46	20.11	2.56	2.76	4.74	1.35	0.39	0.35	1.5	3.35	6.84	0.39	58.71	1.85	0.0	0.0	0.18	0.47	0.0	0.48	0.21	2.41	0.21	0.91	0.21	1.97	0.24	0.21	0.0	0.0	0.0	0.0	1.66	0.21	0.75	1.57	0.69	0.44
PAPPA2	0.0	0.07	0.49	9.34	0.09	0.49	8.58	1.6	1.48	5.36	7.57	0.41	7.94	7.46	8.0	2.34	1.91	6.41	14.35	4.1	5.15	9.13	4.1	2.29	5.87	3.96	1.22	3.72	1.07	10.79	2.03	4.62	4.98	5.68	16.27	16.27	6.89	10.08	6.89	0.0	0.59	0.28	0.26	0.27	0.61	1.64	0.65	0.33	0.65	0.34	0.0	0.3	0.69	3.79	0.0	0.28	2.63	0.33	0.0	1.33	0.0	0.0	0.25	0.26
PIK3C2G	0.0	0.0	356.05	3.03	32.13	7.46	10.0	19.97	6.57	0.53	47.84	81.14	42.41	2.18	4.31	2.12	0.49	2.18	4.39	20.86	8.25	0.55	84.63	12.83	0.52	107.38	10.31	13.32	2.97	4.24	0.53	2.1	16.15	6.78	14.24	25.54	4.31	0.53	2.01	0.0	0.0	0.0	0.0	0.11	0.12	0.39	0.0	0.15	0.13	0.0	0.0	1.55	0.15	0.66	0.0	0.0	0.11	0.0	0.0	0.0	0.12	0.65	0.0	0.84
PLCH1	0.0	0.0	291.04	135.24	113.56	283.05	37.32	239.52	156.59	397.93	231.32	153.34	262.2	303.44	239.52	293.07	224.97	190.34	190.34	318.57	181.28	651.58	400.71	441.64	71.5	255.0	323.03	146.03	129.69	199.85	267.73	111.99	126.12	232.94	307.69	172.65	158.79	363.56	273.37	9.41	0.29	3.23	4.31	43.02	0.91	12.64	19.11	7.11	6.89	0.36	2.16	5.77	2.63	80.01	0.28	3.53	4.54	2.36	3.96	36.53	2.34	3.76	3.2	6.89
PLEKHG3	0.0	0.85	85.22	84.63	234.57	215.77	102.97	176.29	351.14	563.18	295.11	460.44	297.17	205.5	171.45	88.26	135.24	224.97	293.07	170.25	182.55	312.0	173.85	483.38	208.38	368.65	412.0	202.66	395.18	202.66	293.07	59.97	206.94	246.28	271.48	283.05	198.47	373.81	291.04	127.89	63.45	171.45	226.54	127.0	114.36	155.5	170.25	371.22	211.31	130.6	141.02	211.31	173.85	79.45	169.07	59.13	182.55	90.14	314.17	140.04	194.36	206.94	95.34	279.14
PRDM16	0.0	0.27	162.14	75.64	54.33	470.14	52.82	229.72	96.68	466.88	81.71	119.26	177.53	221.86	105.15	109.66	102.97	79.45	228.13	212.78	256.78	1757.34	237.86	246.28	175.07	100.13	169.07	108.9	66.65	170.25	334.46	110.43	40.36	314.17	368.65	267.73	165.57	307.69	163.28	2.18	2.41	1.11	9.85	3.47	1.81	4.54	5.11	2.41	2.61	6.11	2.23	6.26	1.64	4.54	0.74	1.46	3.11	1.66	2.61	2.53	0.78	5.19	0.4	1.36
PRIMA1	0.0	0.23	20.86	31.22	73.03	19.25	29.91	62.12	82.29	91.41	19.97	21.47	35.0	237.86	95.34	40.07	66.18	94.01	921.88	16.15	389.72	10.96	161.02	118.43	0.99	104.42	22.1	15.68	10.79	211.31	204.07	23.25	30.12	28.04	251.48	181.28	41.81	28.04	71.0	2.48	9.56	3.63	24.99	13.32	14.03	13.93	3.32	15.56	8.13	10.47	23.08	36.53	30.78	8.25	3.06	6.21	7.28	2.05	7.75	10.08	21.78	21.01	9.48	29.27
PRKCQ	0.0	0.18	327.56	269.6	251.48	426.57	127.89	450.94	150.17	295.11	332.14	217.27	363.56	299.25	318.57	279.14	343.89	329.84	444.72	395.18	242.88	511.0	301.33	172.65	149.12	323.03	267.73	164.42	224.97	275.28	287.01	224.97	202.66	346.29	435.55	423.61	249.73	373.81	281.09	0.87	1.83	1.89	1.19	10.79	3.72	4.31	0.38	22.1	7.51	3.63	1.97	7.34	11.3	31.67	0.93	1.91	3.63	2.16	5.41	1.62	5.73	7.46	3.38	3.96
PRRG4	275.28	713.11	356.05	264.03	231.32	660.68	198.47	303.44	466.88	371.22	193.01	363.56	361.04	379.04	248.0	669.92	909.17	329.84	169.07	514.56	232.94	293.07	299.25	209.84	180.02	234.57	153.34	376.41	293.07	198.47	265.87	202.66	218.79	155.5	346.29	669.92	202.66	220.32	267.73	193.01	94.01	103.69	47.84	44.57	22.59	29.27	25.17	164.42	96.68	55.1	79.45	66.18	110.43	29.06	14.24	5.96	111.21	58.3	96.68	11.3	71.5	66.65	10.63	72.52
PRSS12	0.0	0.13	72.52	72.01	85.82	255.0	119.26	511.0	258.57	603.67	139.07	79.45	52.82	38.12	97.36	177.53	53.95	36.53	36.53	285.03	33.06	361.04	679.29	2090.03	147.06	454.09	775.05	88.26	23.42	31.45	651.58	52.45	156.59	47.5	94.01	163.28	199.85	180.02	155.5	1.93	1.51	4.43	6.46	9.41	2.2	15.11	4.31	11.21	3.63	6.36	5.63	11.82	2.48	18.7	1.17	1.89	8.38	1.79	8.38	2.89	4.43	12.74	2.89	4.1
PRSS45	0.0	0.35	1.81	7.22	9.2	9.48	0.43	14.56	6.52	18.16	1.66	33.06	26.47	40.07	13.83	12.55	1.99	5.77	1.68	10.88	11.82	6.84	14.78	28.86	3.14	20.26	17.51	4.1	8.0	9.63	6.46	4.31	0.31	23.93	1.1	7.88	10.16	6.26	18.7	0.0	0.0	3.47	2.12	2.63	0.67	2.68	0.0	0.72	0.0	0.0	0.68	2.81	0.72	1.07	0.0	4.7	0.0	1.64	0.69	0.0	0.0	0.0	1.36	0.0
PRSS46	0.0	0.2	0.16	0.53	1.39	1.1	1.48	1.27	0.0	1.5	0.0	3.76	4.86	0.57	2.92	0.99	0.32	1.97	0.13	0.97	1.68	2.58	14.14	4.98	0.0	2.29	4.24	0.78	0.09	1.45	1.27	0.0	0.0	2.39	1.07	3.32	0.13	1.06	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71	0.0	0.0	0.0	0.0	0.0
PTPRU	0.0	0.6	1008.9	1216.75	708.18	1936.53	934.76	1477.58	1651.0	1135.2	848.22	961.07	1628.26	693.58	2645.74	591.22	521.76	1407.55	1561.89	693.58	1540.37	1819.35	1119.56	4152.18	1023.0	1023.0	1447.15	954.43	483.38	1183.45	825.0	791.35	583.07	1757.34	2240.11	1662.49	2163.77	1498.22	1572.76	195.72	392.44	447.82	209.84	113.56	177.53	260.38	28.24	507.46	141.02	204.07	400.71	154.42	285.03	195.72	454.09	153.34	153.34	100.13	339.14	37.32	145.02	693.58	120.1	400.71
PXDNL	0.0	0.04	1.66	7.69	5.77	6.46	16.75	2.63	6.36	4.94	5.28	5.28	3.66	2.05	3.69	7.82	1.99	20.11	6.78	7.11	5.36	5.11	1.5	5.82	3.72	9.06	12.55	2.03	5.68	12.0	2.1	5.92	11.13	2.01	14.24	2.92	0.0	8.25	6.84	0.37	0.4	0.41	1.45	0.78	0.0	0.41	0.43	1.75	2.03	1.36	2.03	2.48	0.45	0.79	0.39	1.17	0.0	0.46	0.83	0.8	1.55	0.41	1.41	0.0
RASL11B	0.0	0.14	25.72	38.12	206.94	17.64	10.88	9.27	86.43	41.22	55.1	36.79	18.84	15.68	54.33	16.15	62.12	132.44	37.32	38.12	25.35	6.89	41.81	74.58	5.36	35.5	19.11	30.34	53.19	161.02	48.52	31.67	50.63	4.43	22.59	37.59	31.9	19.68	24.99	15.8	5.02	8.32	17.0	41.52	4.13	26.28	27.44	22.92	8.38	7.11	7.17	18.84	40.64	41.52	17.13	9.48	21.01	32.13	22.59	21.01	13.83	5.77	3.76	12.83
RBL2	0.0	0.46	802.41	1073.91	1088.92	836.53	836.53	1628.26	1030.12	1806.78	836.53	748.61	1199.98	1044.52	1119.56	1605.83	1407.55	1023.0	1883.54	1313.23	1721.16	2664.15	854.13	660.68	1199.98	1268.46	785.88	1216.75	878.17	2627.46	1639.59	830.75	738.29	1199.98	1757.34	896.64	1350.18	1605.83	743.43	1037.29	954.43	802.41	351.14	836.53	389.72	684.02	532.74	775.05	947.83	974.5	928.3	748.61	1081.39	703.28	514.56	1051.79	1059.11	669.92	665.29	1183.45	830.75	764.36	967.76	698.41
RGPD8	0.0	0.4	27.05	4.35	10.31	37.85	218.79	19.53	12.18	42.41	33.78	13.42	75.64	58.71	40.93	29.48	51.71	50.63	48.87	65.26	24.63	94.01	43.94	27.05	62.56	63.0	53.57	53.57	35.25	61.25	19.82	34.51	10.0	43.63	49.21	17.25	57.49	63.89	64.8	15.11	28.65	16.03	2.84	27.25	3.44	10.39	3.56	16.03	13.42	9.13	23.93	21.47	22.26	34.75	1.81	19.39	12.64	23.76	13.52	17.9	15.34	14.56	28.86	18.16
RHOBTB2	0.0	0.3	3395.89	2451.44	4328.55	8479.89	4736.79	6426.31	3928.15	4802.93	7081.29	2875.3	9409.14	7280.4	3372.43	3419.52	4575.41	3060.45	6337.83	4869.99	4937.99	7485.11	4769.75	3395.89	4123.49	4836.35	3540.14	4736.79	3280.18	4869.99	6471.02	5479.15	1923.14	11424.74	5995.9	3325.99	6607.01	4268.94	4704.07	52.45	115.16	113.56	121.79	118.43	84.04	96.68	61.25	128.79	163.28	52.45	94.67	101.54	143.01	100.83	85.22	49.56	119.26	60.82	140.04	115.97	73.54	120.1	92.05	90.77
RNASE3	0.0	0.35	26.67	7.51	3.47	8.65	5.92	4.74	3.79	3.92	5.82	21.47	13.22	6.01	7.17	14.45	28.86	2.18	4.03	9.93	3.11	0.13	5.82	9.34	22.1	16.03	23.25	29.06	39.22	4.17	59.97	13.93	12.36	16.51	6.16	16.51	2.56	17.25	3.32	0.0	0.0	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.97	0.0	2.29	0.0	0.0	0.0	0.0	3.92	0.0	0.0	0.0	0.0	0.0
RP11-12J10.3	0.0	0.01	4.03	6.94	7.75	12.74	4.66	12.27	5.28	11.82	5.45	5.73	8.92	3.0	10.71	8.32	2.53	10.39	10.88	11.73	11.91	10.31	14.35	47.17	3.03	13.03	11.91	11.47	5.96	11.04	6.89	9.63	6.11	20.11	19.68	11.04	27.05	10.08	10.47	3.26	1.01	5.68	1.6	2.34	0.39	3.38	0.75	3.44	2.84	1.62	1.1	3.23	1.93	1.39	0.68	2.05	4.28	1.95	2.84	6.84	1.06	4.66	1.89	3.11
SCGB1A1	0.0	0.0	409.15	3303.0	1857.6	133.36	1151.06	428815.23	1813064.98	1212874.47	547.75	82951.62	58250.19	5995.9	79572.48	350728.68	4010.71	1286.18	6.52	360589.03	1175.27	794671.01	1229805.58	3968052.37	16727.26	1212874.47	2082664.91	1909.85	441.64	638.15	1943195.01	76330.98	7911.95	1870.53	30785.28	679.29	307450.64	1936.53	341137.96	0.0	0.0	176.29	10.16	151.22	71.5	400.71	4.74	435.55	11.73	2.29	19.25	1529.73	0.0	599.49	2.92	8.19	57.89	124.37	48.18	6.94	91.41	603.67	46.84	199.85
SCPEP1	2351.53	1407.55	2367.9	7433.4	3443.31	2855.44	1883.54	5329.3	4298.64	6164.49	5041.77	6381.92	3742.05	6745.86	2796.65	3982.99	2758.13	4152.18	4671.57	4704.07	5006.93	6426.31	5517.27	8718.32	2451.44	3955.48	4607.24	3039.3	4328.55	10368.08	4512.4	3847.29	4512.4	4268.94	3589.58	3928.15	7485.11	3794.3	7537.18	642.59	1030.12	860.08	1015.93	785.88	825.0	915.51	954.43	813.63	620.67	1322.37	1135.2	1268.46	2133.97	1896.65	497.0	1457.23	392.44	878.17	848.22	559.28	1697.45	775.05	1159.07	1135.2
SERTAD4	6.06	58.3	105.89	125.24	43.63	172.65	199.85	100.13	92.05	127.89	58.71	43.32	92.05	206.94	33.78	112.77	34.51	22.92	85.22	199.85	59.13	152.28	236.21	353.59	271.48	55.89	177.53	145.02	57.08	121.79	202.66	115.97	80.01	30.78	98.73	84.63	46.5	29.48	68.07	24.28	3.47	9.7	9.27	29.48	8.0	22.43	5.32	18.29	5.59	3.89	26.1	37.32	14.03	14.03	7.28	4.82	11.13	3.76	14.35	38.4	62.12	12.74	19.25	23.08
SFTPC	64186.29	44145.15	2.880867455E7	5.882801313E7	2.18328924E7	7.92550749E7	3.402283342E7	4.811555286E7	3.174442598E7	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	2.880867455E7	2.542950323E7	2.138357795E7	2.260282772E7	2.339991475E7	5.761735011E7	3.801327429E7	2.260282772E7	4.878722096E7	1.848689914E7	1.587221249E7	3.72309724E7	2.49061716E7	2.138357795E7	1.410789979E7	1.913883827E7	2.706640506E7	2.525384881E7	5.228884881E7	2.198475218E7	1.0826562323E8	1.954098596E7	2.560637942E7	3.109113511E7	6.17527469E7	2.578448588E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	2.27	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	1.1	1.08	0.0	0.0	1.83
SGK1	0.0	0.46	8305.36	2915.45	2018.8	9808.75	3794.3	6037.61	11345.82	7280.4	5751.61	10225.32	7280.4	8718.32	10959.3	16157.44	17927.91	7537.18	4152.18	9606.86	2119.22	490.14	13033.07	1529.73	921.88	11112.3	17317.18	7966.99	2178.83	1583.71	8078.22	3768.09	5672.41	2664.15	9673.69	4903.87	6983.79	4704.07	9606.86	234.57	603.67	713.11	251.48	312.0	1572.76	2434.5	674.59	400.71	633.73	2520.38	199.85	603.67	435.55	1572.76	974.5	148.09	2816.11	2367.9	197.09	309.83	163.28	353.59	43.02	389.72
SIK3	156.59	759.08	503.95	248.0	281.09	329.84	647.07	348.71	299.25	279.14	314.17	237.86	366.09	309.83	260.38	343.89	341.51	299.25	323.03	299.25	297.17	373.81	314.17	409.15	353.59	397.93	260.38	366.09	256.78	273.37	329.84	389.72	218.79	269.6	371.22	295.11	271.48	303.44	363.56	64.8	193.01	186.4	172.65	191.67	129.69	193.01	22.43	120.94	198.47	146.03	215.77	260.38	189.02	194.36	161.02	217.27	87.65	118.43	186.4	187.71	151.22	193.01	231.32	232.94
SLC16A5	0.0	0.55	2400.97	656.11	514.56	1519.15	3515.68	941.27	616.37	1183.45	1427.22	896.64	1477.58	1322.37	941.27	748.61	1313.23	2047.0	651.58	909.17	988.12	2701.35	1498.22	1529.73	7911.95	2537.92	1242.34	1295.13	785.88	1008.9	1806.78	3820.7	1216.75	1250.98	1427.22	426.57	2240.11	748.61	2133.97	9.56	4.5	13.83	19.97	61.68	15.91	339.14	16.88	29.48	16.88	13.72	26.86	194.36	35.0	23.42	4.74	8.51	30.78	8.38	26.1	48.18	33.54	55.1	47.84	23.76
SLC2A9	0.0	0.47	163.28	346.29	351.14	223.41	73.54	172.65	136.19	336.79	211.31	387.02	123.5	435.55	299.25	220.32	121.79	134.3	129.69	130.6	139.07	175.07	392.44	117.6	197.09	325.29	232.94	187.71	376.41	228.13	128.79	182.55	256.78	163.28	307.69	236.21	379.04	323.03	406.31	6.31	46.5	22.1	28.86	44.89	49.21	29.06	35.5	21.47	25.72	25.54	26.47	58.71	28.24	40.93	7.69	13.93	34.51	24.81	37.85	31.9	26.1	31.45	34.26	66.65
SLC52A1	0.0	0.0	8.45	5.68	7.75	6.94	1.75	23.59	32.82	68.55	21.47	13.83	18.97	17.51	19.11	10.88	5.73	13.52	11.21	30.78	10.96	50.27	81.14	341.51	4.5	63.89	133.36	10.96	4.9	21.32	71.5	8.65	13.03	5.77	12.36	15.0	55.1	23.76	28.24	0.29	0.0	0.65	5.02	5.96	2.25	4.46	1.36	3.26	0.35	0.0	0.68	12.74	1.08	1.93	0.0	0.66	0.64	0.38	4.35	0.0	2.23	3.82	4.35	0.91
SLC6A6	0.0	0.61	854.13	303.44	387.02	343.89	612.11	791.35	312.0	432.53	571.05	246.28	764.36	583.07	285.03	713.11	536.45	346.29	258.57	587.13	289.02	2485.67	591.22	540.19	1030.12	503.95	555.41	647.07	435.55	518.15	503.95	738.29	189.02	713.11	267.73	218.79	532.74	346.29	583.07	42.41	13.22	36.79	46.84	72.52	26.1	33.3	62.56	98.73	35.0	43.02	43.94	70.51	125.24	133.36	7.57	49.91	56.68	26.28	58.3	63.45	18.03	21.16	12.93	36.27
SPINK13	0.0	0.07	4.66	3.32	7.88	6.73	0.0	0.69	0.0	32.59	2.16	60.82	38.95	25.17	0.0	16.75	1.23	27.05	4.43	20.86	12.93	4.66	81.71	34.02	0.68	0.0	7.51	3.44	27.84	26.28	8.51	1.23	12.45	0.0	66.65	0.0	17.25	8.65	0.0	0.0	1.31	1.01	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.79	0.0	0.35	0.0	2.78	0.0	0.0	0.0	1.16	1.79	0.0	0.0	1.69	0.0	1.25
ST6GALNAC2	0.0	0.53	1119.56	941.27	275.28	1991.0	285.03	3325.99	4419.52	3491.39	1286.18	934.76	723.08	1378.57	2915.45	1769.57	1551.09	2701.35	684.02	2224.63	708.18	3395.89	3372.43	7749.1	144.01	2835.7	1286.18	1551.09	947.83	1388.16	1697.45	2555.58	769.69	947.83	1662.49	1529.73	2758.13	830.75	2664.15	15.8	7.17	26.1	29.48	82.29	29.27	42.11	31.9	39.22	12.83	10.24	33.3	92.05	23.08	21.47	21.32	16.27	18.56	12.36	31.67	14.35	23.93	45.21	25.17	33.54
STARD9	0.0	0.53	82.87	35.76	161.02	218.79	71.0	143.01	129.69	176.29	88.88	88.88	198.47	69.03	112.77	171.45	164.42	132.44	141.02	186.4	197.09	208.38	125.24	135.24	81.71	136.19	162.14	175.07	114.36	143.01	146.03	65.72	49.56	111.21	101.54	108.9	97.36	198.47	187.71	7.0	9.34	10.55	14.35	23.76	7.94	11.04	9.2	28.65	12.83	15.34	17.77	25.35	16.63	17.64	4.94	6.11	9.48	7.88	13.42	11.21	5.59	11.38	9.34	5.23
STOX2	0.0	0.36	115.97	35.25	77.79	88.26	34.75	159.9	36.79	107.38	43.63	38.67	51.35	71.0	91.41	41.81	52.82	51.71	66.65	41.81	76.17	217.27	74.06	144.01	88.88	81.71	46.84	53.95	43.02	104.42	127.0	52.45	36.53	69.52	84.63	144.01	80.01	85.82	92.05	16.39	4.82	1.62	3.11	4.94	2.32	13.93	3.14	13.83	3.47	5.77	5.19	9.06	15.56	4.03	2.2	2.66	4.24	1.83	6.62	16.15	2.66	3.99	3.08	4.94
TFCP2L1	0.0	0.0	532.74	432.53	483.38	500.46	376.41	438.59	244.57	285.03	713.11	423.61	514.56	753.83	656.11	403.5	414.87	493.56	507.46	327.56	583.07	441.64	267.73	412.0	169.07	551.56	199.85	536.45	341.51	669.92	325.29	529.06	361.04	1781.89	579.04	460.44	896.64	392.44	665.29	7.88	3.99	12.55	12.64	51.35	43.94	56.68	206.94	51.71	6.16	7.34	12.74	91.41	20.11	98.73	2.29	13.72	17.13	25.72	36.01	38.95	54.33	59.55	45.21	39.22
TMEM213	0.0	0.0	27.44	88.26	226.54	287.01	61.68	47.5	66.18	70.01	32.82	62.12	127.89	54.33	155.5	215.77	32.13	1135.2	37.85	358.54	180.02	189.02	220.32	327.56	5.36	255.0	450.94	98.04	154.42	688.78	116.78	125.24	180.02	500.46	61.25	9.85	1617.0	896.64	76.71	0.11	0.0	0.0	0.0	0.0	0.42	0.0	0.0	2.43	0.0	0.0	0.0	0.16	0.0	0.0	1.19	1.28	0.0	0.0	1.04	1.01	0.0	1.83	0.12	0.91
