	TCGA.LL.A440.01A.11R.A24H.07	TCGA.W5.AA2X.11A.11R.A41I.07	GTEX.13QJ3.1926.SM.5QGQM	GTEX.Y111.1826.SM.4SOIR	GTEX.Y111.1726.SM.4SOIQ	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.ZYY3.1626.SM.5EGJF	TCGA.BP.4988.01A.01R.1334.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.2Y.A9GV.01A.11R.A38B.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.J4.A83J.11A.11R.A36G.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
ZBED5	718.08	277.2	947.83	1001.93	1008.9	1427.22	1037.29	1208.34	1104.13	1008.9	256.78	253.23	387.02	241.19	197.09	86.43	90.77	214.27	74.06	127.89	70.01	162.14	122.64	73.54	208.38	81.71	108.14	117.6	84.04	185.11	229.72	80.01	120.1	125.24	122.64	166.73	206.94	100.83	248.0	77.79	91.41	220.32	88.88	131.51	29.91	91.41	139.07	109.66	733.19	1088.92	733.19	708.18	759.08	612.11
ZC3H7A	669.92	629.35	1096.5	1001.93	1066.48	1350.18	1119.56	1250.98	1088.92	1467.37	466.88	638.15	476.71	579.04	429.54	220.32	275.28	363.56	285.03	307.69	273.37	450.94	332.14	341.51	366.09	211.31	414.87	281.09	384.34	511.0	376.41	267.73	400.71	339.14	193.01	299.25	426.57	224.97	633.73	441.64	336.79	713.11	211.31	450.94	205.5	346.29	395.18	307.69	713.11	947.83	775.05	791.35	638.15	607.87
ZCCHC11	629.35	651.58	1250.98	1407.55	1519.15	2240.11	1286.18	1127.35	1015.93	1519.15	848.22	591.22	563.18	698.41	373.81	147.06	231.32	239.52	281.09	253.23	157.68	450.94	358.54	265.87	503.95	269.6	295.11	412.0	234.57	287.01	473.41	218.79	379.04	241.19	224.97	368.65	246.28	149.12	379.04	258.57	507.46	660.68	204.07	376.41	237.86	295.11	412.0	267.73	607.87	1015.93	679.29	775.05	514.56	314.17
ZFC3H1	607.87	285.03	1088.92	890.44	1119.56	1250.98	967.76	1286.18	995.0	1369.04	325.29	267.73	348.71	336.79	154.42	38.4	77.25	86.43	46.18	124.37	67.59	180.02	74.06	59.97	155.5	61.25	82.29	108.9	102.25	141.02	155.5	55.49	108.14	100.13	106.63	91.41	127.0	32.59	400.71	128.79	95.34	220.32	48.18	120.94	49.91	91.41	181.28	111.21	441.64	703.28	470.14	500.46	236.21	117.6
ZNF133	373.81	226.54	540.19	603.67	713.11	660.68	525.39	536.45	518.15	525.39	195.72	141.02	205.5	177.53	128.79	30.78	52.82	102.97	59.55	114.36	57.49	146.03	99.43	44.57	111.99	45.85	69.03	84.04	107.38	110.43	108.14	93.35	99.43	64.8	78.89	66.18	131.51	47.5	101.54	82.29	87.65	193.01	52.82	101.54	42.71	85.22	120.94	62.56	397.93	454.09	351.14	441.64	435.55	403.5
ZNF169	80.01	27.84	134.3	140.04	117.6	186.4	150.17	178.77	185.11	234.57	25.17	30.12	26.86	37.85	23.76	0.14	5.45	8.25	6.78	7.75	2.56	16.51	8.65	3.72	20.56	4.58	7.75	8.78	5.87	15.11	19.68	14.24	9.34	8.99	17.0	7.82	13.83	5.73	15.8	4.1	13.22	21.16	5.02	12.93	0.04	6.67	17.77	9.48	105.15	120.1	65.26	71.5	30.78	21.78
ZNF182	126.12	75.11	131.51	173.85	186.4	217.27	140.04	173.85	189.02	242.88	81.71	96.68	84.63	64.8	40.07	12.55	23.42	37.59	32.13	35.5	25.91	40.07	33.3	27.05	47.5	21.01	29.06	29.06	28.04	43.32	37.85	31.67	32.59	26.28	34.75	31.45	46.84	18.7	39.22	31.45	35.76	61.25	23.08	39.79	11.13	47.17	39.5	35.76	93.35	145.02	81.71	96.68	98.73	49.91
ZNF224	376.41	293.07	460.44	674.59	624.99	884.29	490.14	616.37	713.11	1023.0	309.83	299.25	236.21	206.94	130.6	27.44	29.48	52.45	54.33	141.02	42.71	144.01	94.67	70.51	59.55	81.71	69.52	78.34	49.56	53.95	100.83	66.18	124.37	133.36	128.79	82.87	146.03	101.54	80.57	66.18	88.88	150.17	44.89	77.25	41.81	100.83	77.25	98.04	307.69	521.76	256.78	314.17	189.02	176.29
ZNF225	55.1	39.22	77.79	102.25	76.71	96.68	97.36	81.14	96.01	119.26	44.57	48.52	28.65	37.85	33.06	7.4	8.78	15.56	18.7	30.78	15.56	30.34	22.92	17.38	19.25	14.03	11.91	17.77	11.04	19.53	27.84	15.91	21.47	17.38	25.91	18.84	26.67	14.03	25.91	8.51	18.7	27.64	19.82	18.16	8.0	32.13	22.59	27.05	42.41	70.01	54.33	50.63	34.51	53.19
ZNF234	115.97	63.0	131.51	128.79	131.51	165.57	141.02	157.68	189.02	214.27	86.43	61.68	36.53	48.87	51.71	10.31	20.56	36.27	25.54	23.25	13.93	46.5	24.46	11.3	26.67	13.62	17.9	35.76	10.71	46.18	73.54	19.97	22.1	34.75	25.72	12.64	43.02	9.41	38.12	12.64	24.81	36.27	12.27	25.17	6.89	30.56	40.64	38.4	73.03	115.97	94.01	92.7	73.03	35.5
ZNF251	457.25	152.28	633.73	954.43	1073.91	961.07	665.29	633.73	674.59	547.75	164.42	209.84	211.31	165.57	105.15	22.1	26.67	51.71	60.39	70.01	33.54	127.89	78.89	27.84	94.01	40.93	34.02	48.18	33.78	48.87	70.51	56.28	69.52	61.68	59.13	59.55	118.43	54.33	59.55	47.5	78.89	124.37	49.21	88.88	27.84	64.8	87.03	61.25	351.14	460.44	289.02	356.05	301.33	164.42
ZNF266	587.13	248.0	1081.39	1191.69	1259.69	1685.71	1359.57	1508.65	1216.75	4481.23	59.97	532.74	480.04	316.37	320.8	54.72	50.63	138.1	169.07	156.59	121.79	339.14	82.87	43.63	83.45	78.34	39.5	90.14	52.08	92.7	108.14	74.06	96.68	105.15	118.43	36.27	159.9	145.02	78.34	218.79	124.37	334.46	45.21	116.78	78.89	110.43	146.03	96.68	1037.29	1037.29	575.03	480.04	525.39	387.02
ZNF284	39.5	15.22	30.12	55.49	52.82	76.71	36.27	31.0	49.91	80.57	23.59	22.92	24.46	6.73	13.42	3.76	3.06	6.01	4.24	10.31	2.66	13.32	3.26	3.92	9.48	1.14	4.28	8.06	5.92	15.91	11.13	3.82	4.62	7.22	6.11	10.47	7.82	3.44	7.46	7.11	6.57	14.89	1.95	8.19	2.32	9.41	5.77	12.0	35.76	50.63	25.35	24.28	19.39	36.27
ZNF345	103.69	45.85	191.67	231.32	258.57	325.29	244.57	267.73	264.03	217.27	37.32	48.87	31.45	35.25	43.63	9.2	11.55	10.55	25.54	25.17	9.34	43.94	31.0	13.93	44.25	9.63	17.77	39.79	16.51	16.03	35.0	12.55	28.65	17.64	21.94	25.17	28.45	7.88	19.97	14.89	37.05	33.3	16.63	29.27	7.28	22.1	23.59	24.46	124.37	130.6	115.97	88.26	77.25	60.82
ZNF440	118.43	61.68	112.77	120.94	107.38	186.4	140.04	138.1	158.79	181.28	50.98	63.89	59.55	73.54	54.33	5.06	18.43	39.79	62.12	28.65	16.39	36.53	23.93	29.91	27.05	25.35	45.53	19.82	29.48	33.3	43.94	41.52	22.26	40.07	26.67	21.16	43.02	24.81	43.02	11.3	31.45	48.18	33.06	16.88	7.46	28.04	23.76	36.01	177.53	197.09	115.97	289.02	153.34	154.42
ZNF493	164.42	75.11	361.04	563.18	651.58	656.11	397.93	595.34	612.11	303.44	34.26	84.04	33.54	72.52	37.05	5.32	7.75	22.75	20.86	22.75	6.52	39.22	26.28	19.39	25.54	18.84	11.73	18.43	6.78	40.64	50.98	7.11	10.88	16.03	19.25	24.63	24.63	12.74	71.0	14.56	32.36	29.27	15.91	28.45	6.06	17.13	36.53	26.28	187.71	205.5	166.73	169.07	173.85	115.97
ZNF512	591.22	220.32	708.18	743.43	743.43	785.88	743.43	802.41	703.28	791.35	217.27	209.84	194.36	289.02	229.72	55.1	55.89	127.89	73.54	92.7	53.95	175.07	111.99	69.03	186.4	53.19	59.97	133.36	53.19	193.01	205.5	47.84	147.06	96.68	78.34	119.26	92.7	37.05	236.21	56.28	137.14	176.29	132.44	137.14	47.5	124.37	139.07	56.28	629.35	603.67	536.45	579.04	543.96	379.04
ZNF589	202.66	77.79	209.84	320.8	343.89	334.46	271.48	231.32	361.04	490.14	43.32	72.01	119.26	51.35	63.45	16.15	17.25	32.13	16.88	50.98	11.21	40.36	27.44	22.75	39.22	18.56	13.12	22.75	16.03	31.22	42.41	28.04	55.89	25.72	23.08	34.51	35.0	17.64	29.7	31.9	21.78	81.71	12.55	26.86	13.42	25.17	50.27	39.79	679.29	379.04	595.34	665.29	656.11	559.28
ZNF616	87.65	71.5	80.01	88.88	94.67	73.03	94.01	123.5	87.03	131.51	72.52	65.72	57.89	94.01	66.65	12.0	46.84	38.67	35.76	22.26	30.34	63.45	32.82	31.9	67.12	19.53	25.91	71.5	13.52	43.63	52.45	18.03	41.22	28.65	25.17	47.84	32.13	26.86	50.98	38.12	45.85	70.51	32.36	53.57	31.45	40.36	46.84	48.87	108.14	115.16	115.97	104.42	132.44	165.57
ZNF692	1191.69	665.29	1757.34	2351.53	2777.33	2255.7	1540.37	1721.16	1923.14	2451.44	1350.18	713.11	674.59	679.29	239.52	58.71	120.94	148.09	149.12	181.28	111.21	339.14	145.02	93.35	231.32	104.42	76.71	143.01	185.11	363.56	307.69	152.28	198.47	115.16	178.77	169.07	334.46	51.35	457.25	229.72	185.11	603.67	111.21	287.01	110.43	209.84	267.73	164.42	2061.24	1857.6	1628.26	2090.03	1427.22	884.29
ZNF700	244.57	214.27	339.14	417.77	387.02	688.78	373.81	529.06	397.93	612.11	199.85	229.72	180.02	204.07	118.43	35.5	64.34	66.65	81.71	115.16	48.18	153.34	108.14	62.12	130.6	74.58	99.43	58.3	78.89	115.16	88.88	107.38	85.82	77.25	71.0	63.45	171.45	90.77	97.36	94.67	105.89	239.52	95.34	102.97	77.25	84.04	102.25	69.03	236.21	262.2	191.67	248.0	186.4	127.89
ZNF862	373.81	170.25	285.03	559.28	620.67	435.55	262.2	400.71	547.75	384.34	215.77	110.43	115.16	148.09	123.5	7.88	16.39	61.68	38.12	57.89	28.24	92.7	58.71	21.94	64.8	34.75	10.31	75.11	19.97	84.63	85.82	33.54	109.66	48.18	51.71	40.07	53.95	24.99	59.13	23.93	62.56	86.43	41.81	67.59	18.7	48.87	75.64	48.52	334.46	351.14	258.57	329.84	172.65	146.03
ZNF91	293.07	190.34	466.88	780.44	660.68	947.83	693.58	738.29	808.0	493.56	124.37	209.84	309.83	236.21	121.79	34.02	53.57	43.02	68.07	67.59	44.89	186.4	76.71	32.59	111.21	51.71	63.0	75.11	37.32	102.25	135.24	56.68	99.43	66.18	58.3	77.25	81.71	52.08	141.02	93.35	99.43	141.02	43.02	123.5	81.14	80.57	104.42	49.56	389.72	426.57	441.64	392.44	371.22	351.14
ZSCAN30	277.2	135.24	348.71	514.56	651.58	638.15	417.77	511.0	599.49	490.14	149.12	122.64	125.24	161.02	94.67	23.08	29.48	68.55	55.1	52.45	36.27	121.79	67.12	36.01	88.88	35.0	38.12	71.0	19.68	71.5	102.97	28.24	90.14	50.27	57.08	51.35	70.01	28.24	89.51	40.07	77.79	81.14	38.67	69.03	28.04	52.08	73.03	73.03	228.13	241.19	217.27	248.0	182.55	148.09
