	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.FD.A6TB.01A.12R.A33J.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.SUCS.0626.SM.32PM5	GTEX.14A6H.0526.SM.5NQAZ	TCGA.43.5668.01A.01R.1635.07	TCGA.77.8007.11A.01R.2187.07	TCGA.CD.8526.01A.11R.2343.13
ZNF256	49.91	96.68	117.6	53.19	62.12	86.43	34.26	39.79	12.74	15.45	14.45	58.3	20.56	1.91	51.35	59.97	31.45	10.71	29.48	4.03	3.29	50.98	53.19	6.52	11.82	7.57	33.06	18.16	38.95	20.71	47.5	22.92	11.21	3.63	46.5	7.4	7.28	14.03	47.17	34.51	26.67	19.25	7.46	8.06	15.68	13.62	11.64	7.63	5.11	56.68	218.79	202.66	105.89	40.07	44.57	57.49	19.97	45.85	82.87	29.06	43.32	47.84	46.18	7.88	53.57	61.68	74.06	29.06	36.01	163.28	43.32	258.57
ZNF273	108.9	148.09	183.82	70.51	45.85	63.0	27.64	33.3	24.81	17.77	18.7	34.51	35.5	10.08	42.11	51.71	24.99	14.56	17.38	5.45	19.68	58.3	45.85	18.7	4.66	9.93	39.79	12.27	39.22	15.34	34.26	19.39	12.45	26.47	40.93	19.53	7.22	8.25	17.9	17.13	52.45	22.92	8.19	10.16	21.01	16.15	13.42	5.68	10.47	75.11	162.14	142.01	162.14	65.72	64.8	77.79	127.0	61.68	90.14	65.72	67.59	92.05	43.02	46.18	81.14	38.12	135.24	80.57	67.12	147.06	77.79	144.01
ZNF28	432.53	607.87	211.31	237.86	166.73	115.16	186.4	93.35	38.95	13.93	23.76	312.0	182.55	4.24	314.17	169.07	173.85	23.76	198.47	2.73	15.0	395.18	170.25	167.9	70.01	54.72	190.34	45.53	466.88	66.18	191.67	35.0	9.7	48.18	105.89	76.71	2.18	7.22	13.83	6.57	281.09	38.4	17.51	16.27	31.67	113.56	56.28	26.28	143.01	162.14	397.93	147.06	104.42	175.07	239.52	234.57	171.45	142.01	244.57	120.94	148.09	149.12	170.25	116.78	356.05	293.07	248.0	112.77	183.82	866.07	249.73	728.11
ZNF284	25.35	19.39	52.08	19.82	24.63	22.59	12.18	14.78	11.55	14.56	13.83	39.22	6.84	5.11	29.48	29.06	13.83	11.73	16.39	10.63	17.0	20.26	27.44	7.4	9.85	5.77	24.46	15.11	9.48	6.89	17.13	16.75	6.89	19.68	21.16	5.73	3.29	7.06	19.68	13.03	20.26	4.5	6.36	6.16	6.36	8.38	10.16	2.32	6.01	40.07	59.13	71.5	22.92	17.9	33.54	50.27	25.54	49.91	53.57	28.65	31.9	36.27	20.26	29.48	47.5	43.94	31.45	27.84	31.22	71.0	12.93	122.64
ZNF304	100.13	148.09	159.9	50.63	76.17	100.83	45.85	70.51	18.56	26.28	28.24	68.55	48.52	8.19	42.11	63.45	36.53	20.86	47.84	5.77	21.32	49.91	55.1	11.47	12.27	14.89	52.08	38.12	55.49	17.0	53.19	34.26	24.99	22.43	55.49	34.02	20.86	17.77	51.71	60.82	39.5	34.26	19.97	10.0	28.04	48.18	59.13	21.47	24.11	104.42	181.28	96.68	98.73	70.01	133.36	75.11	57.89	125.24	110.43	127.0	71.0	89.51	98.04	27.05	157.68	102.97	119.26	129.69	65.26	287.01	68.55	211.31
ZNF320	563.18	444.72	511.0	392.44	361.04	209.84	82.29	228.13	27.84	25.91	21.01	212.78	97.36	8.99	118.43	100.83	68.07	15.56	115.16	15.11	5.5	133.36	33.78	126.12	7.51	11.73	116.78	18.97	299.25	41.81	170.25	40.36	6.11	58.71	84.04	18.43	9.48	37.85	9.7	39.5	231.32	40.64	37.05	16.39	18.43	19.68	40.07	2.43	2.07	226.54	381.68	329.84	87.03	163.28	181.28	412.0	297.17	249.73	323.03	153.34	271.48	289.02	224.97	109.66	409.15	559.28	283.05	325.29	223.41	409.15	152.28	934.76
ZNF324B	53.57	111.21	126.12	46.84	49.56	75.64	59.97	63.89	58.3	27.05	26.67	47.84	34.51	31.67	30.56	40.36	22.59	25.35	47.84	34.02	80.57	29.27	53.57	28.86	21.01	39.79	47.84	41.52	68.07	19.53	32.82	35.5	41.81	49.21	40.36	30.34	30.12	38.95	45.21	25.54	45.53	36.27	32.13	27.25	43.02	28.65	26.86	28.65	19.25	67.59	77.25	59.55	118.43	42.11	81.14	50.98	31.22	66.65	92.05	72.52	73.54	51.71	93.35	68.07	55.49	72.52	80.01	73.03	90.77	190.34	51.71	303.44
ZNF347	83.45	143.01	108.14	46.5	30.56	39.5	26.67	29.27	16.75	7.69	9.48	84.04	11.73	4.06	31.67	33.3	6.06	3.99	20.11	2.07	1.1	5.23	2.86	28.45	5.5	8.71	25.17	7.75	72.52	3.59	24.28	14.78	2.76	5.87	29.06	7.63	4.1	15.11	30.78	20.71	36.01	9.56	5.54	4.06	17.13	20.41	40.07	7.17	14.67	71.0	121.79	67.12	31.9	52.08	62.12	185.11	162.14	59.13	92.05	27.25	68.07	111.21	48.52	66.18	91.41	103.69	94.01	52.45	63.45	163.28	83.45	180.02
ZNF415	191.67	217.27	164.42	96.68	118.43	112.77	49.91	63.0	12.09	16.63	11.91	14.24	11.91	10.63	77.25	31.22	4.13	20.71	12.18	4.39	3.99	3.56	7.22	46.5	7.88	10.0	24.81	9.06	67.12	28.45	4.06	27.84	5.36	14.03	25.17	10.31	6.41	4.7	15.8	16.39	6.57	38.67	16.03	13.52	11.64	19.97	28.04	3.0	18.03	92.7	129.69	122.64	74.58	57.49	98.04	130.6	104.42	289.02	154.42	24.46	138.1	142.01	52.82	28.65	142.01	248.0	107.38	98.04	199.85	265.87	117.6	150.17
ZNF416	48.52	78.34	85.22	32.36	57.89	88.88	55.49	59.55	27.84	23.93	25.72	38.67	34.75	16.63	35.76	45.21	30.34	31.9	29.91	7.17	27.64	33.78	46.84	18.97	16.39	28.65	48.52	28.24	47.17	18.43	28.24	29.06	12.0	23.59	32.13	22.1	15.34	37.32	26.86	25.91	26.86	25.91	15.8	24.46	16.03	43.94	38.12	9.41	52.45	59.97	130.6	68.07	134.3	44.25	86.43	72.52	29.91	61.68	81.71	77.25	49.21	57.89	55.1	25.54	66.18	63.89	81.71	92.7	86.43	153.34	37.85	190.34
ZNF419	118.43	180.02	175.07	110.43	126.12	199.85	56.28	58.71	34.02	44.57	51.71	175.07	76.17	11.38	86.43	146.03	135.24	74.06	105.89	23.25	54.33	53.57	147.06	27.44	62.12	40.07	90.77	69.03	128.79	84.04	99.43	110.43	47.84	79.45	103.69	40.93	20.56	84.63	97.36	87.65	85.82	84.63	76.17	35.0	31.67	110.43	60.82	26.67	63.45	205.5	264.03	295.11	212.78	108.9	97.36	161.02	95.34	156.59	193.01	145.02	143.01	127.0	145.02	42.71	175.07	183.82	130.6	88.88	208.38	336.79	124.37	466.88
ZNF430	107.38	66.18	100.83	46.5	23.42	54.72	9.48	16.03	21.94	14.56	9.85	18.29	27.44	5.06	22.43	32.59	8.13	4.1	25.72	3.5	10.0	21.01	6.11	24.81	3.14	7.88	33.06	14.67	30.34	5.73	21.63	14.89	6.31	19.39	57.89	6.16	1.2	12.55	6.78	2.89	14.67	3.03	6.06	1.87	29.27	11.91	26.86	2.18	14.78	97.36	143.01	49.21	82.29	84.63	90.77	82.87	59.97	83.45	107.38	40.36	155.5	96.68	57.08	35.0	73.54	68.55	122.64	79.45	77.25	358.54	71.5	84.63
ZNF432	312.0	130.6	209.84	104.42	102.97	65.72	46.18	37.59	65.72	57.08	36.01	102.97	53.19	9.2	67.59	63.0	69.03	39.22	100.13	9.56	44.25	96.01	87.03	25.17	16.15	28.65	65.26	45.85	106.63	27.64	98.04	56.68	16.15	53.57	68.07	26.86	12.27	69.03	45.53	29.48	25.72	34.26	34.51	12.45	53.95	9.63	46.5	18.43	23.42	132.44	171.45	137.14	112.77	71.0	107.38	224.97	77.25	128.79	95.34	105.89	131.51	163.28	86.43	90.14	159.9	191.67	120.1	142.01	162.14	166.73	112.77	426.57
ZNF460	21.47	22.26	31.9	11.21	12.55	17.38	6.57	14.89	10.71	7.69	10.0	14.45	6.36	9.7	7.82	4.28	2.97	5.87	10.16	1.99	6.67	12.0	8.06	12.0	6.26	4.17	7.34	4.54	15.0	2.56	8.85	6.01	4.35	7.46	7.46	32.36	8.58	11.73	15.91	2.48	6.36	7.46	8.06	11.55	21.63	13.62	9.85	12.0	12.64	13.12	32.13	12.27	15.45	26.47	14.35	72.01	74.06	20.26	9.63	5.77	58.3	20.11	15.56	9.7	14.35	40.64	30.34	14.45	21.63	72.01	29.91	99.43
ZNF473	92.7	149.12	182.55	47.84	63.0	71.5	47.84	64.8	84.63	55.1	72.01	94.67	67.12	42.11	73.03	88.88	67.12	58.71	43.02	38.12	56.28	75.11	96.01	55.1	30.78	70.51	105.15	48.87	201.25	55.89	80.57	46.18	53.19	64.34	80.01	37.85	26.47	74.06	57.08	26.47	27.25	31.67	41.81	36.01	53.19	29.06	78.89	13.72	36.53	84.63	226.54	105.89	187.71	57.49	100.83	85.22	183.82	77.79	287.01	75.64	88.88	171.45	98.73	181.28	78.89	89.51	182.55	140.04	129.69	483.38	65.72	543.96
ZNF526	91.41	164.42	209.84	68.55	63.45	86.43	83.45	106.63	85.22	66.65	69.52	74.58	90.77	76.17	96.68	100.13	72.01	80.57	67.59	63.45	97.36	90.14	89.51	77.79	59.13	66.65	100.83	43.02	68.55	59.13	80.01	52.82	61.68	74.58	90.14	69.03	38.12	86.43	31.9	51.35	46.5	31.9	65.26	50.27	46.84	50.63	79.45	19.11	72.52	94.67	149.12	115.97	206.94	65.26	127.89	157.68	115.16	61.68	125.24	91.41	92.05	127.0	105.89	67.59	155.5	122.64	145.02	78.89	105.89	420.68	57.49	283.05
ZNF530	28.86	77.25	87.03	22.75	41.52	43.32	45.85	31.45	11.13	13.03	11.38	73.54	23.93	24.11	60.82	47.5	47.17	6.21	30.78	5.23	28.86	31.22	63.89	11.64	13.22	14.89	40.64	22.26	37.05	42.41	41.81	32.36	8.71	15.56	29.06	31.0	10.31	12.64	11.73	27.25	62.56	42.41	10.96	12.36	9.93	15.91	5.23	10.63	4.13	48.52	105.89	95.34	223.41	37.32	34.02	43.32	17.64	44.89	70.51	47.17	58.3	37.85	64.8	27.84	76.71	57.89	80.57	41.52	55.49	132.44	52.08	239.52
ZNF532	503.95	423.61	836.53	166.73	126.12	334.46	85.22	214.27	98.73	91.41	98.04	108.14	113.56	37.85	131.51	28.86	53.57	47.5	118.43	25.72	78.34	177.53	34.02	63.45	20.11	46.5	170.25	69.03	50.27	58.3	123.5	166.73	15.11	75.64	165.57	74.58	10.55	11.91	38.12	16.51	34.02	15.68	22.26	13.52	117.6	37.59	98.04	9.2	15.68	373.81	764.36	389.72	356.05	173.85	454.09	291.04	1001.93	356.05	480.04	138.1	738.29	275.28	432.53	277.2	507.46	518.15	518.15	305.55	400.71	518.15	297.17	373.81
ZNF543	51.35	66.65	65.26	29.06	26.67	50.98	17.51	35.76	7.69	15.91	15.34	29.06	27.05	11.73	23.59	28.65	10.08	5.68	13.03	1.66	13.03	21.32	29.27	9.93	7.69	9.41	31.67	14.67	29.48	11.21	19.53	16.15	14.35	17.77	25.17	17.13	5.41	22.43	16.75	9.27	15.22	14.89	10.0	7.22	14.35	22.1	17.25	10.55	8.06	36.79	71.5	42.11	47.84	27.64	36.27	40.07	25.91	42.11	44.57	29.7	54.33	58.3	29.91	4.31	54.72	60.39	60.82	37.59	44.89	116.78	25.17	127.0
ZNF565	80.57	69.52	98.04	38.67	53.57	43.63	23.93	27.64	52.82	38.4	37.85	63.0	37.05	25.72	41.52	70.51	45.85	37.32	43.02	35.0	52.08	55.49	72.52	30.56	25.35	43.02	45.53	28.24	44.25	19.11	47.5	40.07	52.08	47.84	48.87	43.02	25.17	32.36	24.28	43.02	37.59	44.57	16.27	43.32	47.84	34.75	30.78	21.78	25.91	61.68	112.77	73.03	144.01	37.59	48.18	187.71	75.11	54.33	72.52	46.18	80.57	82.29	48.18	48.87	87.65	120.94	108.9	34.51	75.64	109.66	61.68	117.6
ZNF574	269.6	490.14	486.75	135.24	167.9	211.31	249.73	218.79	151.22	122.64	129.69	120.1	151.22	167.9	142.01	226.54	88.88	151.22	116.78	91.41	164.42	103.69	163.28	169.07	69.52	129.69	223.41	116.78	116.78	81.71	108.9	90.14	91.41	117.6	158.79	120.1	134.3	126.12	61.25	108.9	134.3	114.36	91.41	181.28	91.41	155.5	167.9	83.45	183.82	159.9	392.44	368.65	371.22	122.64	318.57	128.79	171.45	147.06	253.23	256.78	115.97	191.67	373.81	87.03	291.04	224.97	239.52	236.21	143.01	514.56	101.54	1073.91
ZNF579	166.73	323.03	563.18	253.23	287.01	339.14	403.5	151.22	218.79	67.12	161.02	215.77	156.59	151.22	368.65	133.36	191.67	172.65	201.25	156.59	291.04	172.65	291.04	217.27	106.63	163.28	199.85	183.82	135.24	217.27	187.71	151.22	194.36	190.34	228.13	206.94	115.97	88.88	130.6	117.6	246.28	124.37	94.01	133.36	78.89	97.36	208.38	29.7	43.32	277.2	287.01	373.81	532.74	118.43	260.38	376.41	217.27	162.14	295.11	353.59	157.68	232.94	341.51	134.3	334.46	253.23	277.2	178.77	283.05	470.14	158.79	1066.48
ZNF580	480.04	743.43	808.0	381.68	476.71	780.44	848.22	500.46	473.41	314.17	241.19	351.14	279.14	299.25	363.56	220.32	366.09	202.66	348.71	305.55	466.88	291.04	507.46	260.38	320.8	220.32	384.34	334.46	651.58	591.22	320.8	312.0	307.69	384.34	599.49	249.73	120.94	228.13	145.02	154.42	316.37	194.36	143.01	181.28	154.42	105.15	163.28	67.12	87.03	753.83	808.0	656.11	785.88	435.55	842.36	376.41	264.03	713.11	1001.93	1183.45	660.68	470.14	395.18	660.68	934.76	819.3	507.46	647.07	703.28	896.64	607.87	802.41
ZNF587	140.04	291.04	507.46	105.89	66.65	77.79	38.95	65.72	48.87	61.25	67.59	167.9	67.12	56.28	102.97	127.89	77.79	57.89	113.56	36.01	59.97	101.54	69.52	67.12	36.53	60.82	127.89	64.8	158.79	71.5	85.82	76.71	38.95	67.12	115.16	68.55	35.25	44.57	32.59	36.53	110.43	40.93	48.52	52.45	54.72	36.79	71.0	19.68	48.87	145.02	483.38	193.01	624.99	57.49	80.01	232.94	224.97	113.56	127.0	45.53	158.79	127.0	80.57	101.54	149.12	156.59	183.82	83.45	122.64	381.68	108.14	713.11
ZNF607	38.95	83.45	121.79	33.54	34.75	34.51	14.45	32.13	6.89	25.35	9.63	49.56	20.71	4.58	46.5	48.52	17.25	3.2	24.28	3.35	17.13	31.45	6.89	15.34	5.73	34.26	21.16	7.22	15.68	23.76	40.36	10.31	16.75	22.43	23.08	8.99	2.03	3.82	19.68	5.23	11.04	6.26	5.23	3.79	6.01	14.67	15.11	1.93	7.46	54.33	86.43	106.63	47.5	18.97	54.72	58.3	39.79	59.55	71.0	25.17	43.94	62.12	20.11	28.65	73.54	75.11	47.17	70.01	53.19	275.28	38.95	199.85
ZNF625-ZNF20	46.84	26.1	25.17	30.34	45.21	33.78	10.63	14.67	16.51	9.2	11.21	8.06	10.79	6.41	4.06	18.7	16.39	18.97	19.11	9.56	22.26	4.54	31.9	12.55	8.45	12.93	39.5	18.7	17.77	16.15	11.21	8.0	8.65	14.89	26.86	8.51	0.0	13.32	6.26	13.12	6.62	25.91	17.0	11.91	22.26	7.69	29.7	8.45	15.45	49.56	35.0	21.32	15.0	56.28	54.33	88.88	40.93	47.5	68.07	75.64	35.5	92.7	32.82	46.5	37.85	66.65	80.57	66.18	60.39	73.54	44.89	32.13
ZNF66	50.98	40.93	24.81	10.88	13.52	21.16	6.89	14.89	1.97	5.28	4.7	3.17	2.07	1.45	14.89	34.02	1.41	2.39	24.46	1.35	0.0	8.85	15.11	6.52	0.0	5.96	13.62	0.6	13.72	3.69	12.55	4.1	0.0	4.82	13.42	2.34	0.0	2.46	4.66	0.0	2.76	0.96	10.24	6.21	1.16	0.59	7.69	4.43	1.41	22.92	72.52	43.32	14.03	13.32	31.0	15.0	19.97	24.63	46.84	23.59	13.62	42.11	90.77	30.34	34.26	24.63	43.02	58.3	14.14	139.07	18.56	61.68
ZNF665	79.45	94.67	36.27	56.28	47.84	44.89	40.64	61.25	3.53	14.35	3.63	49.56	7.69	0.65	14.89	56.68	3.69	6.78	6.46	3.92	5.36	4.24	0.6	2.25	0.0	1.91	19.68	6.16	25.17	2.41	31.22	18.97	1.2	8.38	19.25	2.89	3.2	1.91	6.84	8.0	1.38	5.32	30.12	2.03	12.36	0.31	26.1	3.23	12.74	69.52	74.58	59.97	1.64	29.48	90.77	112.77	105.89	40.36	84.63	40.07	38.67	99.43	35.0	36.79	137.14	98.73	96.68	166.73	66.65	129.69	74.58	127.0
ZNF682	40.64	139.07	66.18	72.01	82.87	38.12	20.86	19.68	23.59	63.0	12.83	76.71	29.7	34.51	244.57	156.59	24.81	4.74	104.42	10.55	4.06	80.01	153.34	54.72	9.2	47.17	79.45	35.5	83.45	119.26	99.43	17.38	7.46	58.71	18.03	9.93	26.47	33.3	36.27	55.89	66.18	111.99	38.95	15.68	38.95	30.56	10.16	4.86	10.16	158.79	197.09	151.22	8.92	77.79	90.77	178.77	55.1	90.14	132.44	173.85	138.1	226.54	72.52	189.02	156.59	140.04	199.85	176.29	139.07	214.27	100.83	128.79
ZNF701	41.22	191.67	94.01	58.71	41.81	53.95	8.19	25.35	11.21	9.48	7.94	59.55	8.38	4.54	7.17	6.94	9.93	3.59	23.42	3.32	5.06	44.89	9.34	7.22	10.88	3.82	37.32	10.96	23.59	2.63	31.9	16.27	3.5	8.71	33.78	6.84	3.82	2.23	11.38	13.22	21.63	26.86	0.89	4.43	9.27	10.96	23.25	9.7	2.14	66.65	119.26	56.28	126.12	68.07	91.41	118.43	85.82	58.71	128.79	60.82	80.01	130.6	37.85	41.22	146.03	178.77	181.28	92.7	114.36	217.27	66.65	208.38
ZNF765	102.25	234.57	111.99	54.33	42.11	54.72	11.47	24.28	37.59	44.89	38.4	85.22	44.25	11.64	43.02	55.89	25.91	25.91	54.72	25.54	40.36	51.71	48.52	36.53	18.56	28.45	51.71	19.25	127.0	19.53	61.25	41.81	6.31	39.5	40.93	28.04	5.68	43.32	18.97	26.67	41.52	19.68	23.76	40.36	37.59	37.05	46.5	23.42	31.45	83.45	164.42	107.38	108.14	98.04	111.99	110.43	135.24	98.73	152.28	98.73	98.73	105.15	76.17	47.84	142.01	133.36	146.03	134.3	90.14	239.52	75.64	318.57
ZNF766	234.57	327.56	198.47	143.01	148.09	199.85	61.25	111.99	103.69	101.54	78.89	120.94	128.79	61.68	111.99	132.44	83.45	112.77	80.01	68.07	98.04	132.44	136.19	146.03	48.18	97.36	139.07	80.01	191.67	75.64	132.44	95.34	61.68	100.83	114.36	98.04	48.52	127.0	63.0	84.63	69.52	57.89	82.29	62.56	99.43	75.11	101.54	57.49	58.3	169.07	583.07	303.44	470.14	125.24	301.33	167.9	218.79	140.04	182.55	220.32	147.06	190.34	157.68	52.45	211.31	183.82	204.07	205.5	148.09	486.75	127.89	460.44
ZNF773	68.55	133.36	68.55	48.18	80.01	105.89	54.33	69.03	26.28	18.56	29.48	105.15	57.08	5.54	30.12	85.82	59.13	45.53	39.22	5.63	8.65	15.56	76.71	11.21	24.46	15.34	46.18	33.54	85.82	4.46	82.87	42.71	3.47	15.22	47.84	15.34	11.21	64.34	53.57	92.7	46.84	44.57	59.97	22.75	25.91	42.41	27.84	21.94	5.11	117.6	241.19	156.59	121.79	53.57	93.35	178.77	94.01	69.03	127.0	68.07	106.63	89.51	92.05	20.11	126.12	177.53	98.73	77.25	116.78	271.48	69.03	269.6
ZNF8	71.5	88.26	156.59	15.45	19.53	47.84	30.12	33.3	8.65	17.13	21.01	8.13	35.5	10.47	26.67	17.13	18.84	12.74	21.01	10.96	12.09	23.25	24.81	1.55	12.36	20.71	46.84	15.8	36.79	0.0	30.34	22.1	15.91	27.84	26.28	19.39	7.51	8.99	10.96	7.06	28.65	16.27	0.04	9.06	4.82	12.74	31.22	5.11	8.19	38.95	90.14	59.55	146.03	22.75	27.05	14.35	6.94	25.72	28.45	27.64	33.78	34.75	37.85	5.77	36.27	19.53	40.36	19.11	3.66	165.57	28.65	208.38
ZNF816	195.72	327.56	178.77	90.77	78.34	103.69	27.44	60.39	23.93	23.93	15.34	83.45	41.52	15.91	96.01	70.51	24.81	11.04	59.13	5.36	2.1	115.16	51.35	72.52	13.03	12.64	52.08	13.32	101.54	20.56	63.45	17.51	5.82	24.99	48.87	34.02	3.72	22.1	53.19	30.34	115.97	59.55	19.97	10.79	30.12	9.56	43.02	0.06	31.9	105.89	255.0	114.36	134.3	63.0	157.68	147.06	128.79	234.57	172.65	140.04	85.82	187.71	52.45	61.25	256.78	323.03	204.07	258.57	127.0	275.28	107.38	607.87
ZNF836	127.0	228.13	158.79	129.69	166.73	161.02	90.14	100.13	67.59	82.29	29.91	111.99	80.57	29.91	105.15	74.58	67.59	41.81	44.25	32.59	97.36	36.79	180.02	48.52	30.12	65.26	66.18	50.63	111.99	57.08	88.26	62.56	49.21	84.04	133.36	44.25	31.22	46.18	48.18	49.56	53.95	52.45	57.89	33.54	27.25	53.57	71.0	26.86	25.17	189.02	249.73	87.65	54.33	85.82	133.36	115.97	165.57	123.5	185.11	146.03	157.68	194.36	108.9	110.43	139.07	232.94	178.77	156.59	251.48	271.48	129.69	265.87
ZSWIM1	206.94	149.12	249.73	209.84	176.29	198.47	70.01	143.01	80.01	70.01	105.89	79.45	82.29	52.08	93.35	105.15	104.42	56.28	151.22	61.25	185.11	77.25	132.44	74.58	63.0	61.68	172.65	65.72	135.24	45.85	98.73	61.68	58.71	108.9	85.82	82.29	49.56	96.01	38.95	102.25	73.54	73.03	92.7	74.06	37.05	62.56	87.65	27.44	82.87	128.79	249.73	105.89	271.48	46.18	158.79	198.47	120.1	126.12	154.42	148.09	91.41	148.09	129.69	144.01	156.59	140.04	129.69	143.01	106.63	361.04	126.12	358.54
