	TCGA.G4.6321.01A.11R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.WQUQ.2526.SM.4MVNO	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.13D11.0826.SM.5KLZJ	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.QV31.0826.SM.4R1KR	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.13PL7.0526.SM.5J2MQ	GTEX.11LCK.1526.SM.5HL64	GTEX.WFJO.0426.SM.4LVM7	GTEX.XUW1.1326.SM.4BOO1	GTEX.11LCK.1626.SM.5PNYB	GTEX.XQ8I.1626.SM.4BOOI	GTEX.XBEW.1426.SM.4AT4J
PAPSS2	884.29	99.43	1304.15	1242.34	1111.82	1322.37	4152.18	2796.65	3847.29	3235.01	4575.41	3847.29	2935.74	3257.52	3467.27	2133.97	2682.69	4239.45	3768.09	4419.52	8078.22	3060.45	4671.57	1111.82	1191.69	4239.45	1662.49	4704.07	3794.3	3589.58	1397.83	3124.78	2090.03	3018.3	2664.15	1977.24	3280.18	3742.05	5006.93	2133.97	4152.18	4152.18	4836.35	2163.77	3742.05	2047.0	1936.53	5403.7	1135.2	2591.27	3564.78	5076.84	4481.23	3928.15	2956.17	2796.65	4419.52	4388.98	2104.58	4123.49	4038.61	4152.18	5831.91	2895.31	4328.55	4239.45	2591.27	4181.07	718.08	3235.01	4038.61	3039.3	3349.13	3665.02	4181.07	2090.03	4038.61	3491.39	3124.78	2895.31	1896.65	3395.89	3303.0	3901.01	92.7	197.09	102.25	132.44	195.72	143.01	122.64
PCGF5	1015.93	703.28	921.88	713.11	642.59	802.41	1551.09	733.19	1340.84	1340.84	1073.91	825.0	825.0	1295.13	1135.2	878.17	1119.56	1378.57	1313.23	896.64	1628.26	1313.23	1250.98	665.29	718.08	1350.18	518.15	1322.37	1388.16	1175.27	808.0	1304.15	890.44	1242.34	708.18	1023.0	961.07	1369.04	1175.27	1487.87	1519.15	1191.69	1030.12	1044.52	1175.27	896.64	860.08	1322.37	669.92	1059.11	1175.27	1437.15	1359.57	1529.73	1216.75	866.07	1159.07	1369.04	866.07	1437.15	1073.91	1111.82	1081.39	1088.92	1268.46	1977.24	764.36	1781.89	563.18	1127.35	934.76	753.83	1059.11	1467.37	1225.22	896.64	1487.87	1167.14	890.44	878.17	825.0	1135.2	884.29	1498.22	325.29	366.09	454.09	353.59	356.05	265.87	358.54
PHGR1	783730.52	279017.26	172949.54	90146.51	75280.1	472513.8	269512.87	180294.02	386469.83	313910.86	492579.5	329517.51	260332.24	273275.14	273275.14	253213.41	233003.78	338781.54	348306.01	267651.2	355624.68	307450.64	301123.38	133825.1	107948.72	288856.81	175363.84	509950.32	271387.49	262143.0	126606.21	320506.81	208544.12	299043.36	234624.45	137587.47	229795.93	253213.41	437825.58	414208.18	311742.51	341137.96	267651.2	228208.61	301123.38	131982.68	226632.25	237899.7	98646.85	290865.98	239554.43	271387.49	249727.34	279017.26	313910.86	198667.0	271387.49	338781.54	311742.51	307450.64	273275.14	256748.15	284880.02	303217.87	248002.34	378516.38	244588.0	370726.6	90146.51	322736.12	389157.95	273275.14	269512.87	400098.69	290865.98	226632.25	244588.0	419990.32	249727.34	253213.41	134755.94	263966.36	288856.81	294926.33	9.41	0.0	507.46	10.0	28.65	17.38	624.99
PLEKHB2	1697.45	215.77	1059.11	1277.29	1051.79	1159.07	2075.59	1662.49	2609.3	2047.0	2303.12	1991.0	1651.0	1991.0	1794.29	1733.13	1909.85	2004.85	2224.63	2133.97	3039.3	1991.0	2209.26	1008.9	1167.14	2627.46	1313.23	2434.5	2255.7	1498.22	1594.73	2163.77	1508.65	1844.76	1639.59	1313.23	1950.0	2720.15	2468.49	1819.35	2287.2	2384.37	2720.15	1617.0	2209.26	1467.37	1417.35	2434.5	1295.13	2133.97	2163.77	2895.31	2573.36	2468.49	2240.11	1819.35	2018.8	1963.57	1896.65	2351.53	2367.9	2384.37	2193.99	1923.14	2224.63	2255.7	1359.57	2895.31	954.43	2319.15	1709.26	1806.78	2119.22	2061.24	2384.37	1781.89	2485.67	1991.0	1583.71	1685.71	1437.15	2148.82	2018.8	2209.26	406.31	503.95	412.0	493.56	497.0	514.56	406.31
PLS1	15499.21	220.32	1340.84	1397.83	287.01	713.11	6079.61	3742.05	9606.86	6983.79	5219.6	6607.01	3955.48	6207.38	5954.47	3716.2	5633.22	6471.02	9088.59	5329.3	12764.83	6164.49	10883.59	1662.49	1963.57	10959.3	2935.74	14663.09	8191.0	6079.61	2895.31	7911.95	4388.98	4575.41	4298.64	3491.39	6037.61	8598.28	6607.01	5403.7	11345.82	10084.54	8479.89	4836.35	7966.99	3847.29	2163.77	8718.32	1350.18	4937.99	7857.29	9279.58	8778.97	9409.14	6471.02	5329.3	6607.01	8247.98	4181.07	12160.22	7485.11	7695.57	7966.99	5441.3	9151.82	13399.51	4010.71	11827.67	995.0	6840.04	5995.9	4358.66	9025.81	5479.15	7280.4	3716.2	10440.2	5147.73	4836.35	5555.65	3303.0	7485.11	8598.28	9606.86	13.52	14.45	18.43	9.56	15.8	12.18	13.52
PPP1CC	1963.57	2032.85	2645.74	2075.59	2796.65	2758.13	3168.41	1950.0	3589.58	2855.44	2417.67	3690.52	3325.99	2875.3	2555.58	2287.2	2956.17	2997.45	3212.66	2816.11	4239.45	3515.68	2627.46	2303.12	2468.49	3847.29	2224.63	4181.07	4268.94	2319.15	2335.28	2720.15	2075.59	2502.97	2609.3	2032.85	2400.97	4038.61	3103.19	2976.74	3467.27	3665.02	3168.41	2468.49	3491.39	2485.67	2485.67	2701.35	2627.46	2777.33	4512.4	3614.55	4268.94	3467.27	3443.31	2777.33	3168.41	3303.0	1991.0	4512.4	3467.27	2645.74	3060.45	2468.49	3614.55	3190.46	2255.7	3168.41	2163.77	3235.01	2627.46	2976.74	2627.46	3039.3	3443.31	2796.65	4210.15	2537.92	2645.74	2956.17	2609.3	3081.75	3540.14	3081.75	1167.14	1015.93	1313.23	1331.57	1030.12	1119.56	1359.57
PSEN1	1397.83	1023.0	1030.12	1008.9	819.3	1135.2	1457.23	1119.56	1936.53	1529.73	1447.15	1540.37	1111.82	1378.57	1295.13	1015.93	1369.04	1457.23	1819.35	1427.22	2004.85	1369.04	1662.49	775.05	1001.93	1832.01	848.22	2303.12	1639.59	1295.13	1159.07	1617.0	1051.79	1233.75	1277.29	1096.5	1529.73	1745.2	1397.83	1407.55	1950.0	1685.71	1519.15	1183.45	1685.71	1151.06	1135.2	1529.73	961.07	1286.18	1628.26	1857.6	1697.45	2004.85	1378.57	1427.22	1572.76	1572.76	1331.57	2255.7	1540.37	1605.83	1540.37	1417.35	1651.0	1697.45	1191.69	1583.71	764.36	1540.37	1359.57	1081.39	1561.89	1313.23	1519.15	1119.56	1857.6	1313.23	1225.22	1233.75	1059.11	1417.35	1605.83	1721.16	473.41	435.55	607.87	543.96	470.14	466.88	476.71
PTBP3	426.57	842.36	429.54	423.61	438.59	423.61	780.44	571.05	796.86	629.35	743.43	738.29	607.87	620.67	647.07	514.56	595.34	708.18	753.83	660.68	1199.98	733.19	688.78	400.71	366.09	785.88	389.72	915.51	802.41	591.22	457.25	684.02	392.44	642.59	525.39	381.68	540.19	866.07	830.75	603.67	813.63	988.12	1059.11	547.75	769.69	493.56	540.19	775.05	395.18	647.07	698.41	1088.92	967.76	769.69	808.0	567.1	813.63	733.19	420.68	796.86	743.43	698.41	813.63	723.08	743.43	830.75	497.0	708.18	400.71	738.29	616.37	620.67	769.69	743.43	813.63	599.49	819.3	620.67	595.34	688.78	514.56	723.08	808.0	743.43	138.1	177.53	191.67	158.79	158.79	185.11	149.12
PTPLB	423.61	358.54	406.31	426.57	463.65	279.14	571.05	563.18	808.0	684.02	547.75	842.36	543.96	638.15	819.3	525.39	728.11	830.75	620.67	738.29	1127.35	780.44	981.29	454.09	525.39	1015.93	483.38	909.17	733.19	599.49	583.07	753.83	454.09	642.59	713.11	441.64	629.35	934.76	679.29	563.18	819.3	967.76	718.08	620.67	825.0	571.05	490.14	748.61	325.29	759.08	878.17	1015.93	954.43	836.53	813.63	620.67	878.17	733.19	476.71	854.13	769.69	733.19	775.05	688.78	791.35	915.51	595.34	813.63	412.0	780.44	536.45	656.11	934.76	633.73	902.89	629.35	902.89	638.15	571.05	769.69	543.96	703.28	941.27	693.58	248.0	297.17	314.17	260.38	287.01	275.28	283.05
RAB11FIP4	336.79	113.56	348.71	283.05	75.11	201.25	559.28	406.31	775.05	460.44	483.38	497.0	444.72	507.46	463.65	500.46	450.94	395.18	624.99	500.46	599.49	483.38	647.07	183.82	242.88	651.58	327.56	567.1	543.96	490.14	301.33	532.74	373.81	511.0	403.5	323.03	476.71	775.05	500.46	447.82	660.68	503.95	633.73	387.02	511.0	373.81	395.18	679.29	293.07	511.0	540.19	693.58	567.1	651.58	529.06	435.55	599.49	647.07	497.0	633.73	567.1	543.96	595.34	591.22	579.04	764.36	373.81	583.07	172.65	571.05	555.41	457.25	583.07	497.0	529.06	397.93	728.11	432.53	395.18	438.59	303.44	559.28	532.74	511.0	14.14	17.13	12.64	24.99	22.26	43.94	21.47
RAB14	1119.56	435.55	941.27	947.83	1023.0	921.88	1233.75	1008.9	1467.37	1044.52	1216.75	1143.1	1119.56	1059.11	1066.48	1135.2	1268.46	1175.27	1250.98	1059.11	1781.89	1119.56	1359.57	860.08	934.76	1378.57	1001.93	1572.76	1313.23	1037.29	995.0	1295.13	909.17	884.29	1066.48	902.89	974.5	1437.15	1457.23	1250.98	1628.26	1540.37	1498.22	1135.2	1378.57	848.22	921.88	1340.84	796.86	1225.22	1350.18	1322.37	1583.71	1242.34	1242.34	1175.27	1151.06	1135.2	1167.14	1369.04	1175.27	1304.15	1111.82	1127.35	1216.75	1369.04	1151.06	1225.22	848.22	1233.75	1088.92	1104.13	1233.75	1191.69	1216.75	1073.91	1467.37	1059.11	1135.2	1127.35	961.07	1225.22	1175.27	1313.23	713.11	753.83	688.78	587.13	688.78	684.02	665.29
RP2	183.82	133.36	165.57	166.73	150.17	151.22	195.72	154.42	353.59	186.4	164.42	209.84	170.25	258.57	185.11	152.28	277.2	234.57	267.73	220.32	497.0	217.27	283.05	149.12	137.14	329.84	93.35	460.44	287.01	199.85	197.09	221.86	189.02	167.9	211.31	147.06	169.07	325.29	267.73	164.42	518.15	432.53	327.56	181.28	279.14	149.12	142.01	327.56	106.63	241.19	287.01	406.31	323.03	267.73	269.6	144.01	277.2	267.73	131.51	301.33	291.04	231.32	246.28	217.27	271.48	444.72	127.0	325.29	175.07	271.48	163.28	158.79	271.48	189.02	258.57	145.02	314.17	193.01	267.73	239.52	177.53	318.57	248.0	291.04	62.12	80.01	106.63	73.54	87.65	65.72	76.17
RUNDC3B	27.25	8.85	35.25	102.97	51.71	108.14	123.5	82.87	140.04	118.43	155.5	126.12	67.59	118.43	139.07	33.54	88.26	117.6	129.69	214.27	381.68	100.13	156.59	77.25	42.41	152.28	69.52	361.04	166.73	111.99	61.25	115.97	69.03	76.71	47.5	19.25	115.16	146.03	91.41	108.14	110.43	217.27	221.86	78.34	249.73	44.89	77.25	96.01	16.15	97.36	170.25	150.17	255.0	275.28	102.97	139.07	124.37	114.36	66.18	122.64	151.22	85.22	165.57	62.56	183.82	110.43	102.25	105.89	37.59	88.88	67.12	100.83	150.17	40.64	181.28	74.06	199.85	125.24	64.8	101.54	67.12	80.01	260.38	116.78	44.89	11.04	24.11	19.97	13.22	28.04	38.4
SH3BGRL2	1081.39	269.6	688.78	902.89	759.08	1104.13	1697.45	1044.52	2133.97	1794.29	1594.73	1540.37	1457.23	1508.65	1617.0	1159.07	1437.15	1605.83	2047.0	1417.35	2573.36	1896.65	1628.26	848.22	718.08	1936.53	819.3	2209.26	1870.53	1216.75	1167.14	1709.26	785.88	1540.37	1167.14	796.86	1628.26	2090.03	1896.65	1369.04	1909.85	2224.63	1844.76	1225.22	2163.77	1183.45	1233.75	1561.89	890.44	1697.45	2119.22	2485.67	2255.7	2468.49	2193.99	1519.15	1769.57	1721.16	1073.91	2609.3	1721.16	1697.45	1733.13	1457.23	1883.54	1832.01	981.29	1896.65	733.19	1896.65	1359.57	1437.15	2090.03	1605.83	2104.58	1417.35	2193.99	1529.73	1066.48	1605.83	1183.45	1709.26	2032.85	2133.97	236.21	329.84	273.37	287.01	318.57	373.81	323.03
SH3RF1	387.02	139.07	269.6	353.59	232.94	312.0	486.75	395.18	583.07	447.82	403.5	457.25	348.71	409.15	447.82	392.44	373.81	507.46	532.74	423.61	748.61	476.71	490.14	244.57	255.0	543.96	507.46	543.96	518.15	426.57	358.54	532.74	332.14	414.87	358.54	279.14	412.0	551.56	441.64	299.25	607.87	500.46	503.95	389.72	483.38	368.65	301.33	490.14	444.72	412.0	457.25	642.59	540.19	454.09	540.19	368.65	555.41	525.39	397.93	665.29	480.04	493.56	529.06	417.77	583.07	536.45	392.44	547.75	244.57	493.56	450.94	376.41	500.46	438.59	536.45	417.77	518.15	457.25	384.34	470.14	316.37	400.71	514.56	483.38	112.77	189.02	140.04	148.09	132.44	87.03	124.37
SLC25A24	995.0	229.72	656.11	629.35	521.76	698.41	1359.57	836.53	1295.13	995.0	1066.48	1104.13	928.3	1167.14	1183.45	780.44	1127.35	1208.34	1359.57	915.51	2061.24	1242.34	1159.07	543.96	470.14	1551.09	656.11	1769.57	1350.18	988.12	698.41	1331.57	638.15	890.44	802.41	629.35	909.17	1519.15	1167.14	738.29	1639.59	1572.76	1427.22	878.17	1322.37	665.29	780.44	1359.57	460.44	1407.55	1331.57	1697.45	1832.01	1457.23	1191.69	934.76	1322.37	1277.29	813.63	1628.26	1407.55	1286.18	1467.37	1030.12	1225.22	1651.0	842.36	1175.27	587.13	1313.23	1023.0	842.36	1304.15	988.12	1407.55	902.89	1369.04	1051.79	1037.29	1175.27	753.83	1096.5	1304.15	1340.84	267.73	269.6	295.11	172.65	287.01	239.52	246.28
SLC30A9	583.07	376.41	603.67	607.87	607.87	612.11	743.43	476.71	995.0	791.35	684.02	830.75	693.58	642.59	825.0	743.43	780.44	848.22	921.88	620.67	1199.98	1015.93	909.17	412.0	559.28	915.51	483.38	825.0	1096.5	780.44	854.13	808.0	656.11	642.59	547.75	642.59	748.61	1081.39	848.22	693.58	1023.0	1044.52	1119.56	738.29	921.88	651.58	555.41	981.29	493.56	738.29	947.83	1388.16	1191.69	928.3	995.0	624.99	808.0	947.83	587.13	842.36	764.36	769.69	813.63	860.08	981.29	1037.29	651.58	796.86	412.0	1008.9	616.37	802.41	660.68	896.64	836.53	470.14	961.07	796.86	769.69	743.43	693.58	753.83	791.35	669.92	450.94	447.82	454.09	457.25	466.88	291.04	454.09
SLC31A1	397.93	120.1	366.09	269.6	212.78	279.14	540.19	518.15	525.39	629.35	607.87	669.92	480.04	647.07	486.75	503.95	595.34	629.35	684.02	616.37	848.22	536.45	1015.93	275.28	363.56	796.86	429.54	896.64	693.58	665.29	438.59	642.59	426.57	703.28	559.28	540.19	521.76	688.78	612.11	587.13	878.17	854.13	713.11	543.96	647.07	361.04	366.09	738.29	277.2	607.87	529.06	848.22	759.08	688.78	571.05	438.59	579.04	567.1	511.0	819.3	684.02	633.73	587.13	703.28	698.41	1001.93	540.19	848.22	229.72	607.87	463.65	551.56	612.11	723.08	447.82	348.71	579.04	591.22	679.29	441.64	400.71	872.1	595.34	616.37	148.09	176.29	149.12	191.67	148.09	152.28	161.02
SLC35A3	1104.13	202.66	507.46	866.07	470.14	743.43	1617.0	1096.5	1963.57	1819.35	1183.45	1628.26	1167.14	1551.09	1639.59	1350.18	1806.78	1909.85	1628.26	1594.73	2796.65	1757.34	1844.76	688.78	728.11	2777.33	713.11	2895.31	2004.85	1628.26	1044.52	1697.45	1059.11	1369.04	1359.57	813.63	1572.76	2148.82	1909.85	1304.15	2255.7	2209.26	1794.29	1467.37	1991.0	1216.75	1001.93	2047.0	529.06	1572.76	2451.44	2319.15	2417.67	1991.0	2287.2	1417.35	2209.26	1923.14	1467.37	2502.97	1781.89	1923.14	2119.22	1628.26	2032.85	2090.03	1277.29	2032.85	480.04	1781.89	1605.83	1225.22	2047.0	1870.53	2178.83	1457.23	2303.12	1551.09	1277.29	1617.0	934.76	1540.37	2119.22	1572.76	151.22	159.9	134.3	115.16	135.24	107.38	130.6
SLC35B3	595.34	395.18	638.15	647.07	543.96	647.07	954.43	796.86	1081.39	1023.0	825.0	1001.93	872.1	825.0	1073.91	769.69	884.29	1008.9	1073.91	802.41	1388.16	890.44	915.51	579.04	633.73	1135.2	651.58	1304.15	1175.27	872.1	688.78	947.83	708.18	819.3	808.0	571.05	884.29	1350.18	1051.79	825.0	1096.5	1104.13	1015.93	836.53	988.12	775.05	872.1	1096.5	583.07	1001.93	1119.56	1015.93	1151.06	1088.92	1104.13	743.43	1096.5	1088.92	703.28	1295.13	1037.29	1104.13	1191.69	693.58	1001.93	954.43	842.36	1096.5	603.67	1119.56	890.44	819.3	1008.9	934.76	1151.06	819.3	1081.39	902.89	819.3	796.86	723.08	860.08	1044.52	995.0	325.29	406.31	353.59	295.11	329.84	336.79	412.0
SLC35F5	1407.55	684.02	587.13	723.08	651.58	591.22	988.12	1081.39	1127.35	1015.93	995.0	1051.79	780.44	1135.2	981.29	669.92	921.88	995.0	1350.18	1167.14	1936.53	981.29	1059.11	674.59	679.29	1407.55	708.18	2682.69	1030.12	961.07	808.0	1151.06	748.61	808.0	753.83	769.69	961.07	1242.34	1397.83	878.17	961.07	1923.14	1268.46	1051.79	1199.98	723.08	830.75	1304.15	571.05	1015.93	1487.87	1135.2	1208.34	1397.83	1208.34	796.86	1081.39	1073.91	1088.92	1304.15	1096.5	1151.06	1369.04	890.44	1397.83	1135.2	981.29	1617.0	718.08	890.44	1037.29	909.17	1127.35	878.17	1268.46	961.07	1605.83	1159.07	679.29	947.83	718.08	825.0	1135.2	1250.98	267.73	397.93	358.54	366.09	351.14	368.65	283.05
SLC41A2	587.13	94.67	323.03	316.37	285.03	536.45	679.29	381.68	1023.0	775.05	698.41	872.1	490.14	753.83	796.86	353.59	656.11	819.3	836.53	633.73	1757.34	896.64	1030.12	221.86	283.05	1191.69	392.44	1437.15	934.76	674.59	493.56	708.18	414.87	529.06	518.15	518.15	651.58	1183.45	733.19	591.22	909.17	1191.69	1111.82	579.04	1008.9	599.49	397.93	791.35	248.0	599.49	1135.2	1159.07	1015.93	947.83	842.36	748.61	967.76	830.75	490.14	1277.29	830.75	688.78	825.0	669.92	967.76	1001.93	450.94	941.27	202.66	884.29	688.78	483.38	1127.35	587.13	928.3	563.18	1037.29	607.87	486.75	708.18	429.54	769.69	1183.45	928.3	43.32	31.67	33.3	115.97	35.25	60.82	202.66
SLC44A1	713.11	351.14	728.11	848.22	599.49	896.64	1286.18	813.63	2032.85	1369.04	1096.5	1268.46	1268.46	1159.07	1369.04	860.08	1159.07	1322.37	1313.23	1331.57	1963.57	1208.34	1651.0	521.76	679.29	1651.0	759.08	1991.0	1551.09	995.0	981.29	1277.29	813.63	1331.57	1127.35	684.02	1313.23	1857.6	1467.37	1081.39	1529.73	2104.58	1733.13	1066.48	1508.65	988.12	819.3	1388.16	591.22	1225.22	1551.09	2255.7	1733.13	1519.15	1572.76	988.12	1674.06	1096.5	866.07	1721.16	1259.69	1378.57	1498.22	1304.15	1437.15	1832.01	836.53	1259.69	607.87	1417.35	1159.07	921.88	1397.83	1359.57	1651.0	1051.79	1617.0	1340.84	988.12	1407.55	1104.13	1350.18	1467.37	1350.18	253.23	242.88	217.27	336.79	199.85	264.03	212.78
SLC4A4	150.17	9.56	392.44	567.1	305.55	358.54	3280.18	1561.89	4769.75	2400.97	1832.01	2935.74	1883.54	3081.75	2701.35	1268.46	2032.85	2855.44	2976.74	1896.65	6471.02	2701.35	3639.7	490.14	389.72	3614.55	775.05	5292.48	3018.3	1769.57	1066.48	2682.69	934.76	1923.14	1216.75	679.29	1757.34	3639.7	2915.45	1583.71	3168.41	4298.64	4639.29	1447.15	3212.66	1066.48	1417.35	3146.52	412.0	1674.06	3419.52	3901.01	4298.64	3690.52	3395.89	1561.89	2434.5	2627.46	1151.06	2935.74	2645.74	2609.3	3467.27	2148.82	2271.4	3847.29	1096.5	2915.45	336.79	3491.39	1781.89	1417.35	2335.28	2555.58	2976.74	1208.34	3372.43	2956.17	1378.57	2451.44	1397.83	1977.24	2855.44	2796.65	5.63	45.53	21.78	23.08	24.63	7.94	36.79
SLMO2	1259.69	1487.87	1250.98	1216.75	1250.98	1350.18	2384.37	1991.0	2240.11	2018.8	2915.45	2701.35	1963.57	2287.2	2032.85	1721.16	1977.24	2178.83	3257.52	2004.85	4704.07	2119.22	2664.15	1143.1	1388.16	2627.46	1286.18	3280.18	2720.15	1757.34	1417.35	2075.59	1437.15	2004.85	2417.67	1498.22	1733.13	2816.11	2240.11	1844.76	4268.94	3665.02	3124.78	1733.13	2682.69	1498.22	1498.22	2224.63	1159.07	2351.53	2777.33	3690.52	3257.52	2555.58	2400.97	1819.35	2148.82	2520.38	1757.34	3124.78	2664.15	2163.77	2224.63	1909.85	2895.31	3081.75	1183.45	2720.15	775.05	2664.15	1857.6	2104.58	3018.3	2468.49	2193.99	1572.76	2796.65	2209.26	2119.22	1936.53	1467.37	2591.27	2627.46	3874.05	363.56	473.41	607.87	476.71	486.75	432.53	500.46
SMAP1	718.08	529.06	656.11	620.67	595.34	679.29	890.44	595.34	1151.06	1044.52	836.53	902.89	802.41	896.64	854.13	703.28	902.89	1008.9	1388.16	825.0	1340.84	915.51	1135.2	547.75	514.56	1081.39	379.04	1286.18	1183.45	703.28	599.49	896.64	733.19	703.28	656.11	616.37	738.29	1286.18	921.88	896.64	1447.15	1159.07	1167.14	738.29	1001.93	723.08	629.35	1015.93	490.14	842.36	1242.34	1397.83	1286.18	1135.2	988.12	796.86	928.3	1159.07	669.92	1388.16	934.76	1008.9	947.83	808.0	915.51	1359.57	591.22	1015.93	518.15	1059.11	878.17	723.08	884.29	1015.93	860.08	698.41	1127.35	693.58	921.88	791.35	775.05	954.43	1151.06	1378.57	353.59	323.03	395.18	454.09	389.72	356.05	376.41
SMIM15	915.51	1199.98	872.1	947.83	915.51	1104.13	1233.75	1081.39	1457.23	1340.84	1191.69	1340.84	1191.69	1378.57	1427.22	934.76	1467.37	1397.83	1295.13	1417.35	1936.53	1159.07	1806.78	902.89	878.17	1709.26	836.53	1769.57	1651.0	1617.0	1250.98	1529.73	1096.5	1051.79	1295.13	1008.9	1199.98	1806.78	1268.46	954.43	1909.85	1745.2	1819.35	1127.35	1437.15	808.0	884.29	1508.65	684.02	1304.15	1551.09	1883.54	1697.45	1662.49	1519.15	1066.48	1733.13	1369.04	718.08	1870.53	1295.13	1322.37	1617.0	1359.57	1594.73	1936.53	1030.12	1397.83	536.45	1437.15	967.76	1119.56	1350.18	1447.15	1313.23	1023.0	1617.0	1313.23	1529.73	1359.57	1081.39	1487.87	1378.57	1350.18	277.2	285.03	336.79	277.2	368.65	303.44	361.04
SNX4	503.95	332.14	450.94	521.76	466.88	559.28	688.78	507.46	825.0	693.58	591.22	698.41	616.37	642.59	708.18	473.41	669.92	813.63	836.53	559.28	1051.79	819.3	669.92	417.77	486.75	728.11	368.65	825.0	780.44	665.29	603.67	698.41	466.88	629.35	555.41	414.87	669.92	1015.93	665.29	612.11	802.41	830.75	890.44	575.03	802.41	514.56	529.06	764.36	500.46	708.18	884.29	954.43	1037.29	830.75	796.86	579.04	748.61	748.61	384.34	723.08	854.13	647.07	848.22	591.22	743.43	738.29	514.56	660.68	403.5	785.88	559.28	579.04	647.07	836.53	825.0	587.13	808.0	688.78	571.05	638.15	540.19	607.87	713.11	660.68	251.48	301.33	351.14	285.03	353.59	307.69	343.89
