	TCGA.LP.A5U2.01A.11R.A28H.07	TCGA.G4.6304.01A.11R.1928.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.O5YV.1026.SM.3LK72	GTEX.14DAQ.1426.SM.5RQJD	GTEX.13O1R.1326.SM.5IJF5	GTEX.13NYS.1626.SM.5J2MU	GTEX.131XW.1126.SM.5EGK4	GTEX.N7MT.0126.SM.2D7VT	GTEX.117YW.0526.SM.5H11C	GTEX.Q2AG.1026.SM.33HBW	TCGA.D1.A2G0.01A.11R.A32Y.07
TCOF1	1208.34	1175.27	624.99	3491.39	733.19	1081.39	466.88	902.89	444.72	348.71	346.29	346.29	866.07	226.54	279.14	397.93	190.34	201.25	1167.14
TIMM17A	1467.37	1073.91	759.08	1051.79	1008.9	961.07	713.11	1008.9	1233.75	693.58	532.74	525.39	1073.91	406.31	432.53	447.82	381.68	426.57	1757.34
TIMM23	1832.01	1697.45	1322.37	2591.27	1819.35	1359.57	1199.98	1407.55	1477.58	1044.52	842.36	688.78	1369.04	371.22	395.18	688.78	447.82	334.46	2163.77
TIMM44	3372.43	1794.29	1030.12	1151.06	1119.56	785.88	764.36	1331.57	1369.04	830.75	703.28	808.0	1757.34	733.19	693.58	358.54	454.09	432.53	2777.33
TIMM50	3928.15	2384.37	1295.13	2271.4	1896.65	1794.29	1088.92	1508.65	1498.22	1073.91	651.58	921.88	1832.01	397.93	466.88	642.59	540.19	353.59	4152.18
TIMM8A	217.27	236.21	113.56	265.87	164.42	214.27	117.6	112.77	149.12	149.12	87.03	94.01	190.34	69.03	42.41	44.89	67.12	41.52	703.28
TMEM147	4802.93	3820.7	2935.74	4152.18	3820.7	3419.52	2451.44	2573.36	2816.11	3372.43	2664.15	1794.29	2895.31	1857.6	1159.07	1167.14	1127.35	967.76	5479.15
TOMM22	3124.78	2133.97	1427.22	1819.35	1519.15	1127.35	1111.82	1594.73	1819.35	1104.13	967.76	1001.93	1572.76	1044.52	503.95	1023.0	507.46	341.51	3928.15
TOMM34	1268.46	1295.13	579.04	961.07	743.43	490.14	325.29	629.35	674.59	327.56	191.67	343.89	743.43	366.09	366.09	348.71	441.64	239.52	1397.83
TOMM40	3235.01	2645.74	1583.71	2935.74	2682.69	2075.59	954.43	2271.4	2573.36	1096.5	921.88	769.69	2090.03	466.88	460.44	325.29	363.56	287.01	4769.75
TRAP1	6652.97	5594.3	1857.6	3060.45	2240.11	1936.53	1605.83	2133.97	2520.38	1857.6	1286.18	1709.26	3443.31	343.89	1081.39	802.41	780.44	316.37	6381.92
TRMT1	2287.2	2915.45	988.12	1081.39	1498.22	866.07	718.08	1313.23	1378.57	796.86	848.22	674.59	1199.98	633.73	343.89	269.6	368.65	172.65	1183.45
