	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07
ZFP91	808.0	718.08	688.78	237.86	791.35	902.89	426.57	872.1	376.41	312.0	435.55	397.93	909.17	423.61	743.43	351.14	483.38	633.73	265.87	571.05	368.65	656.11	866.07	466.88	384.34	376.41	629.35	457.25	426.57	432.53	769.69	283.05	420.68	642.59	476.71	373.81	587.13	353.59	651.58	381.68	503.95	529.06	214.27	255.0	723.08	412.0	253.23	825.0	356.05	420.68	429.54	346.29	318.57	466.88	389.72	713.11	660.68	514.56	780.44	567.1	616.37	507.46	551.56	353.59	395.18	713.11	339.14	406.31	473.41	860.08	679.29	289.02	384.34	902.89	466.88	713.11	262.2	476.71	733.19	438.59	813.63	559.28	688.78	271.48	356.05	571.05	423.61	642.59	389.72	334.46	579.04	307.69	293.07	395.18	255.0	368.65	384.34	559.28	567.1	497.0	587.13	483.38
ZMYM1	137.14	124.37	157.68	26.67	164.42	161.02	45.85	151.22	53.19	45.85	57.49	42.41	135.24	75.64	132.44	52.82	80.57	114.36	30.34	97.36	56.28	91.41	150.17	74.06	64.34	55.1	151.22	71.5	56.68	81.71	171.45	27.25	38.4	106.63	91.41	43.32	101.54	71.0	113.56	49.56	90.77	89.51	37.85	28.65	149.12	77.79	53.19	150.17	52.82	90.77	75.64	47.5	60.39	78.89	71.5	121.79	102.97	89.51	129.69	80.57	94.01	93.35	93.35	69.03	70.01	95.34	52.82	65.26	82.29	157.68	121.79	57.89	78.34	152.28	71.0	110.43	33.78	55.49	122.64	75.64	98.04	106.63	131.51	49.21	55.1	147.06	68.55	82.29	58.3	30.56	107.38	72.52	81.71	82.29	51.71	59.97	75.64	154.42	144.01	125.24	126.12	81.14
ZMYM6	258.57	204.07	253.23	98.04	255.0	275.28	147.06	242.88	131.51	108.9	176.29	142.01	255.0	135.24	215.77	147.06	170.25	211.31	87.03	223.41	149.12	191.67	267.73	186.4	150.17	126.12	221.86	153.34	157.68	182.55	265.87	119.26	115.97	241.19	181.28	133.36	236.21	171.45	204.07	116.78	217.27	150.17	92.7	101.54	197.09	176.29	117.6	239.52	127.0	187.71	146.03	158.79	157.68	138.1	162.14	215.77	214.27	146.03	228.13	212.78	190.34	163.28	143.01	111.99	171.45	228.13	136.19	136.19	147.06	239.52	228.13	122.64	208.38	215.77	185.11	172.65	108.9	145.02	237.86	150.17	236.21	167.9	165.57	115.97	169.07	204.07	148.09	131.51	136.19	113.56	181.28	157.68	175.07	178.77	178.77	166.73	166.73	209.84	173.85	166.73	186.4	146.03
ZNF100	173.85	105.89	99.43	21.78	145.02	151.22	37.59	99.43	29.91	39.5	57.08	78.34	133.36	53.19	119.26	43.94	58.71	124.37	19.25	51.71	41.52	66.18	137.14	42.41	71.0	44.57	130.6	58.3	30.12	64.8	156.59	20.11	48.87	116.78	69.52	46.18	69.52	47.17	75.11	47.17	108.9	92.7	28.24	26.47	91.41	43.94	40.93	133.36	39.22	66.65	47.5	30.12	35.76	59.13	34.75	117.6	115.16	53.95	118.43	58.71	112.77	50.98	44.89	30.34	87.03	173.85	30.78	25.54	50.98	132.44	56.28	30.78	53.57	87.65	44.57	68.55	31.45	80.01	96.68	55.1	90.14	80.57	123.5	40.93	45.53	76.71	55.49	31.45	49.21	14.35	53.95	55.1	45.21	55.1	44.25	35.76	53.95	77.79	49.21	78.89	73.54	70.51
ZNF136	186.4	172.65	166.73	70.51	325.29	248.0	127.0	193.01	75.11	70.51	116.78	144.01	228.13	130.6	183.82	121.79	146.03	199.85	71.5	164.42	116.78	170.25	224.97	127.89	131.51	85.82	195.72	123.5	95.34	115.97	189.02	77.25	93.35	232.94	163.28	106.63	177.53	114.36	191.67	137.14	77.79	142.01	54.72	71.5	155.5	137.14	104.42	267.73	118.43	116.78	134.3	109.66	105.89	170.25	163.28	182.55	183.82	137.14	148.09	177.53	163.28	115.97	150.17	100.83	156.59	137.14	88.88	90.77	96.68	232.94	171.45	96.68	147.06	214.27	147.06	189.02	67.12	124.37	187.71	123.5	220.32	147.06	175.07	109.66	119.26	162.14	140.04	161.02	117.6	81.71	145.02	107.38	110.43	152.28	104.42	105.15	106.63	187.71	182.55	162.14	180.02	156.59
ZNF24	1111.82	802.41	1051.79	400.71	1073.91	866.07	660.68	1277.29	406.31	395.18	543.96	595.34	1216.75	591.22	1199.98	665.29	728.11	785.88	387.02	813.63	674.59	825.0	1104.13	356.05	525.39	571.05	854.13	728.11	503.95	353.59	1208.34	473.41	693.58	896.64	647.07	624.99	884.29	571.05	872.1	587.13	486.75	591.22	244.57	420.68	1081.39	547.75	447.82	1225.22	366.09	624.99	660.68	483.38	571.05	718.08	656.11	1135.2	878.17	693.58	1127.35	961.07	825.0	688.78	674.59	476.71	540.19	647.07	575.03	559.28	647.07	1199.98	884.29	395.18	679.29	1143.1	493.56	988.12	406.31	713.11	1001.93	733.19	988.12	753.83	909.17	376.41	507.46	934.76	507.46	713.11	587.13	579.04	802.41	629.35	555.41	476.71	521.76	571.05	607.87	796.86	616.37	612.11	684.02	525.39
ZNF253	271.48	231.32	269.6	111.21	237.86	351.14	146.03	262.2	139.07	100.83	111.21	118.43	285.03	155.5	279.14	127.89	155.5	293.07	96.68	211.31	123.5	209.84	295.11	146.03	139.07	145.02	241.19	182.55	141.02	149.12	307.69	96.01	170.25	283.05	144.01	165.57	228.13	155.5	237.86	134.3	283.05	208.38	79.45	105.89	218.79	127.89	99.43	397.93	135.24	115.16	134.3	127.0	105.89	224.97	138.1	275.28	177.53	164.42	265.87	232.94	193.01	185.11	194.36	140.04	156.59	228.13	120.94	111.21	195.72	303.44	180.02	108.14	165.57	273.37	201.25	273.37	114.36	182.55	265.87	151.22	229.72	204.07	251.48	115.16	127.89	248.0	119.26	139.07	147.06	92.7	172.65	137.14	127.89	209.84	108.9	120.1	170.25	236.21	202.66	172.65	167.9	116.78
ZNF254	341.51	273.37	323.03	83.45	381.68	397.93	134.3	299.25	131.51	98.04	134.3	166.73	329.84	173.85	307.69	137.14	220.32	293.07	69.03	255.0	142.01	241.19	323.03	137.14	145.02	116.78	258.57	157.68	155.5	236.21	420.68	72.01	153.34	264.03	187.71	115.97	329.84	175.07	255.0	172.65	334.46	189.02	55.89	94.01	205.5	176.29	120.94	353.59	135.24	143.01	148.09	111.21	148.09	255.0	178.77	320.8	218.79	197.09	303.44	262.2	167.9	190.34	209.84	125.24	172.65	228.13	106.63	140.04	150.17	351.14	221.86	123.5	186.4	271.48	195.72	275.28	97.36	185.11	329.84	159.9	320.8	173.85	289.02	129.69	198.47	199.85	124.37	144.01	151.22	167.9	185.11	129.69	162.14	223.41	157.68	143.01	175.07	265.87	239.52	212.78	201.25	181.28
ZNF260	202.66	231.32	229.72	87.65	217.27	277.2	125.24	236.21	132.44	87.03	106.63	134.3	239.52	113.56	205.5	125.24	134.3	237.86	81.14	186.4	112.77	186.4	231.32	126.12	111.21	115.16	223.41	124.37	134.3	123.5	309.83	88.88	133.36	181.28	131.51	119.26	148.09	122.64	237.86	125.24	178.77	181.28	69.03	94.01	201.25	107.38	90.77	312.0	108.14	117.6	151.22	79.45	100.13	153.34	133.36	236.21	155.5	162.14	246.28	191.67	170.25	171.45	146.03	106.63	136.19	194.36	101.54	104.42	111.99	281.09	180.02	105.15	166.73	186.4	149.12	234.57	93.35	155.5	202.66	159.9	211.31	151.22	202.66	90.77	122.64	212.78	89.51	152.28	140.04	101.54	152.28	110.43	130.6	98.73	110.43	111.21	127.89	226.54	155.5	155.5	158.79	111.21
ZNF43	312.0	269.6	265.87	85.82	332.14	387.02	133.36	249.73	121.79	95.34	138.1	109.66	329.84	172.65	283.05	115.97	163.28	265.87	120.1	223.41	136.19	234.57	320.8	208.38	134.3	126.12	256.78	150.17	145.02	221.86	368.65	77.79	165.57	323.03	178.77	140.04	202.66	123.5	256.78	164.42	307.69	141.02	120.94	85.22	229.72	197.09	106.63	363.56	197.09	150.17	171.45	149.12	154.42	237.86	155.5	346.29	201.25	173.85	273.37	269.6	221.86	228.13	218.79	162.14	143.01	248.0	125.24	105.15	198.47	353.59	232.94	96.68	217.27	381.68	218.79	295.11	110.43	205.5	293.07	167.9	283.05	193.01	295.11	135.24	169.07	262.2	134.3	173.85	226.54	70.51	221.86	130.6	234.57	209.84	158.79	139.07	199.85	301.33	249.73	186.4	214.27	195.72
ZNF484	66.65	67.59	63.89	13.52	81.14	76.17	35.25	56.28	21.32	16.51	36.01	40.36	77.79	43.32	67.12	40.07	38.4	60.39	17.64	52.08	38.95	37.85	76.71	30.34	32.82	27.64	50.98	40.07	37.85	34.75	80.01	18.56	25.91	55.1	37.59	27.84	67.59	23.76	52.82	35.76	40.64	55.49	15.34	17.9	54.33	21.63	21.94	63.89	25.35	49.56	32.82	32.13	28.45	47.5	34.75	50.98	66.65	43.32	56.68	53.19	43.32	28.65	46.84	23.76	36.27	73.54	24.99	27.25	27.64	61.25	50.63	25.35	50.27	71.5	35.0	46.18	15.8	47.84	56.28	52.08	64.34	50.63	57.89	26.67	28.45	52.82	38.67	30.78	41.52	23.76	52.82	32.59	33.54	55.1	36.01	23.08	24.46	69.52	74.06	52.08	52.82	53.95
ZNF681	78.89	57.89	54.72	15.56	74.58	78.89	12.36	28.45	22.43	20.41	18.29	18.29	63.0	19.39	48.87	19.11	17.77	71.0	11.04	36.27	20.71	40.64	86.43	31.45	21.94	21.01	40.07	30.12	24.99	17.25	74.58	13.52	27.25	44.89	30.56	20.11	53.95	31.45	46.84	35.76	65.72	31.0	17.77	11.91	27.25	29.7	13.72	74.06	27.44	29.27	10.47	16.75	28.86	37.59	11.3	75.64	33.3	35.25	51.71	43.63	34.02	25.91	38.4	23.76	30.56	27.05	20.56	18.16	33.3	52.82	53.95	20.41	32.82	53.95	31.22	57.49	19.68	31.0	58.71	27.25	52.08	28.45	43.32	14.78	30.12	39.79	24.99	17.25	21.47	13.52	31.9	30.56	36.79	24.46	22.26	15.56	19.53	44.89	42.11	43.94	31.0	30.56
ZNF708	251.48	244.57	232.94	63.89	211.31	287.01	115.97	194.36	121.79	63.0	121.79	125.24	175.07	126.12	246.28	94.67	124.37	228.13	43.63	173.85	115.16	147.06	236.21	143.01	135.24	139.07	211.31	143.01	108.9	141.02	332.14	71.0	109.66	205.5	128.79	139.07	204.07	124.37	173.85	122.64	189.02	157.68	59.55	59.97	199.85	149.12	82.87	248.0	94.01	141.02	102.97	81.14	105.89	143.01	149.12	242.88	195.72	109.66	198.47	177.53	137.14	129.69	140.04	130.6	145.02	202.66	104.42	121.79	189.02	221.86	178.77	76.71	173.85	231.32	158.79	265.87	71.0	132.44	239.52	90.77	162.14	161.02	232.94	87.65	99.43	217.27	85.22	101.54	94.01	52.45	177.53	120.94	155.5	150.17	137.14	77.25	117.6	214.27	146.03	158.79	146.03	104.42
ZNHIT6	260.38	275.28	301.33	145.02	312.0	307.69	169.07	293.07	153.34	167.9	175.07	208.38	309.83	204.07	231.32	177.53	229.72	265.87	119.26	242.88	206.94	265.87	303.44	195.72	199.85	156.59	256.78	229.72	198.47	141.02	170.25	136.19	205.5	199.85	220.32	162.14	323.03	221.86	273.37	135.24	177.53	205.5	169.07	141.02	256.78	190.34	142.01	287.01	96.68	249.73	190.34	127.0	182.55	185.11	229.72	226.54	253.23	205.5	249.73	199.85	275.28	237.86	163.28	145.02	189.02	232.94	164.42	187.71	177.53	285.03	271.48	172.65	147.06	277.2	189.02	232.94	142.01	212.78	256.78	208.38	275.28	209.84	239.52	133.36	154.42	277.2	195.72	193.01	157.68	148.09	241.19	182.55	175.07	180.02	100.13	182.55	173.85	204.07	218.79	186.4	215.77	221.86
