	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.KK.A6DY.01A.12R.A311.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6348.01A.11R.1789.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.V1.A9OA.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZTX8.1026.SM.5EGHD
FLJ00418	0.0	1.07	3.69	2.86	2.03	2.61	2.36	24.63	1.45	9.48	3.44	2.63	4.35	15.11	4.66	5.41	3.59	7.06	7.63	20.71	6.73	2.53	7.34	2.43	6.84	9.63	4.58	7.57	6.46	2.12	6.78	7.11	6.94	2.68	11.47	3.96	4.21	14.24	2.61	1.11	1.04	3.0	3.2	13.12	4.03	2.76	2.03	3.0	5.5	4.86	3.0	2.56	3.44	1.08	2.58	3.92	4.66	1.1	9.27	1.58	21.32	16.51	14.67	10.47	9.56	3.2	2.78	2.48	1.58	7.28	18.97	1.97	3.79	6.01	4.62	2.03	10.55	5.82	7.4	3.53	4.39	2.56	3.53	1.58	4.24	1.68	2.03	12.36	2.53	6.26	2.18	0.0	5.87	8.85	8.32	2.05	7.88	3.23	3.17	13.32	5.41	15.8	1.06	0.0	2.53	8.45	3.0	5.82	5.77	11.13	12.93	7.11	2.43	5.5	7.06	1.07	6.52	1.08	4.7	5.32	6.46	3.5	3.63	3.08	2.58	8.0	5.96	3.66	15.68	4.86	20.86	9.56	8.71	3.76	1.45	2.56	6.16	2.94	5.19	1.6	11.91	28.45	1.6	2.14	3.11	1.69	3.06	4.54	2.05	0.93
FNBP4	41.52	124.37	665.29	258.57	607.87	571.05	688.78	1111.82	503.95	1015.93	460.44	785.88	1199.98	1081.39	1030.12	656.11	684.02	1397.83	1104.13	1457.23	525.39	483.38	1023.0	361.04	669.92	1199.98	802.41	947.83	967.76	327.56	1313.23	866.07	769.69	785.88	1208.34	599.49	785.88	1001.93	336.79	444.72	571.05	796.86	796.86	1073.91	1733.13	813.63	323.03	1519.15	1037.29	563.18	954.43	733.19	1250.98	473.41	819.3	743.43	447.82	361.04	1242.34	470.14	1277.29	1175.27	1059.11	1037.29	1044.52	1015.93	713.11	470.14	460.44	921.88	1277.29	607.87	521.76	854.13	830.75	384.34	1081.39	624.99	728.11	743.43	733.19	909.17	1066.48	555.41	543.96	1059.11	967.76	1111.82	507.46	587.13	808.0	571.05	543.96	1073.91	1551.09	802.41	1286.18	620.67	819.3	1397.83	447.82	1096.5	656.11	384.34	624.99	1051.79	878.17	429.54	988.12	1143.1	1259.69	890.44	486.75	947.83	679.29	435.55	1008.9	563.18	599.49	743.43	902.89	323.03	412.0	379.04	295.11	878.17	532.74	860.08	1369.04	525.39	1175.27	642.59	954.43	1143.1	486.75	708.18	934.76	647.07	902.89	567.1	1037.29	1119.56	395.18	414.87	503.95	559.28	551.56	866.07	325.29	493.56
GIGYF1	22.26	114.36	387.02	314.17	265.87	395.18	384.34	753.83	267.73	575.03	303.44	624.99	466.88	733.19	796.86	236.21	441.64	713.11	483.38	981.29	379.04	262.2	536.45	131.51	373.81	603.67	329.84	547.75	728.11	316.37	616.37	476.71	551.56	1008.9	497.0	368.65	460.44	733.19	214.27	346.29	275.28	500.46	583.07	616.37	642.59	395.18	307.69	447.82	555.41	366.09	454.09	507.46	400.71	363.56	438.59	371.22	441.64	228.13	708.18	320.8	796.86	748.61	775.05	638.15	759.08	836.53	518.15	381.68	346.29	540.19	718.08	476.71	316.37	441.64	423.61	353.59	583.07	417.77	480.04	373.81	563.18	435.55	460.44	356.05	490.14	660.68	473.41	665.29	305.55	693.58	503.95	327.56	463.65	785.88	769.69	454.09	616.37	490.14	503.95	780.44	486.75	656.11	295.11	363.56	521.76	728.11	483.38	379.04	438.59	688.78	884.29	616.37	332.14	454.09	514.56	387.02	688.78	318.57	358.54	529.06	529.06	281.09	403.5	387.02	253.23	599.49	371.22	514.56	954.43	493.56	813.63	397.93	457.25	708.18	387.02	551.56	559.28	277.2	447.82	346.29	444.72	738.29	127.0	343.89	351.14	327.56	327.56	373.81	273.37	279.14
GOLGA6L4	4.06	9.27	27.84	25.54	9.06	21.94	21.32	101.54	27.64	65.26	19.82	30.34	44.57	86.43	62.56	18.97	18.16	87.65	41.52	155.5	26.86	17.51	55.1	5.02	22.75	68.07	38.67	78.34	85.82	10.55	78.34	17.64	44.57	64.8	100.83	15.56	63.45	62.56	2.81	7.75	25.72	55.49	35.25	75.64	56.68	48.18	4.74	74.06	47.5	37.59	45.21	49.91	68.55	15.8	21.16	21.47	14.03	9.13	74.58	21.63	147.06	122.64	110.43	49.91	40.93	49.91	15.91	13.93	24.81	81.14	81.14	29.91	27.64	66.65	39.22	16.88	63.45	42.41	48.87	45.85	54.33	48.87	65.72	29.7	12.27	76.71	27.64	69.52	23.25	45.21	29.27	14.89	39.79	52.82	73.54	27.64	72.01	69.03	37.05	103.69	35.25	88.26	19.53	21.47	46.18	30.34	40.93	22.43	30.56	59.13	72.52	74.06	14.03	40.93	50.98	16.51	53.19	6.89	31.67	35.0	53.57	3.26	8.0	24.81	14.67	111.21	13.62	65.72	114.36	52.08	92.7	46.18	88.26	46.84	11.91	48.87	45.53	17.64	33.78	11.73	53.19	97.36	8.85	21.94	12.18	16.27	25.35	64.34	8.0	4.5
GOLGA8B	20.26	34.51	186.4	173.85	100.13	215.77	713.11	1037.29	169.07	1066.48	114.36	497.0	743.43	1081.39	728.11	325.29	387.02	830.75	361.04	1628.26	293.07	51.35	808.0	69.52	150.17	934.76	406.31	583.07	1457.23	118.43	1008.9	620.67	981.29	1008.9	974.5	253.23	429.54	1447.15	24.63	77.79	106.63	511.0	303.44	551.56	842.36	457.25	55.89	1096.5	866.07	236.21	890.44	1066.48	825.0	103.69	547.75	497.0	71.5	85.22	1457.23	194.36	1745.2	679.29	1721.16	563.18	595.34	1674.06	395.18	141.02	148.09	860.08	1023.0	713.11	275.28	466.88	441.64	253.23	1015.93	255.0	490.14	193.01	559.28	307.69	536.45	211.31	142.01	785.88	532.74	921.88	205.5	808.0	1066.48	57.89	547.75	616.37	1066.48	260.38	860.08	599.49	493.56	1457.23	848.22	872.1	183.82	83.45	389.72	842.36	244.57	373.81	536.45	1001.93	2104.58	463.65	98.04	759.08	307.69	94.67	684.02	82.87	379.04	525.39	854.13	52.08	224.97	307.69	92.7	1111.82	133.36	934.76	1023.0	387.02	830.75	339.14	848.22	941.27	67.59	713.11	473.41	167.9	206.94	164.42	480.04	1350.18	84.63	103.69	102.25	97.36	161.02	698.41	57.08	104.42
GON4L	19.68	84.63	332.14	215.77	293.07	376.41	159.9	540.19	249.73	444.72	332.14	368.65	384.34	490.14	457.25	281.09	366.09	555.41	473.41	638.15	295.11	246.28	325.29	248.0	376.41	507.46	314.17	483.38	470.14	291.04	466.88	409.15	346.29	420.68	454.09	361.04	403.5	507.46	242.88	314.17	249.73	379.04	400.71	457.25	583.07	295.11	305.55	460.44	438.59	351.14	409.15	429.54	514.56	262.2	285.03	214.27	275.28	248.0	540.19	325.29	567.1	438.59	457.25	460.44	525.39	466.88	327.56	307.69	299.25	473.41	518.15	341.51	295.11	356.05	318.57	295.11	441.64	395.18	381.68	293.07	414.87	371.22	373.81	293.07	368.65	473.41	366.09	473.41	323.03	384.34	358.54	334.46	348.71	493.56	607.87	409.15	480.04	466.88	316.37	583.07	316.37	525.39	260.38	267.73	371.22	441.64	381.68	305.55	351.14	525.39	563.18	429.54	264.03	420.68	353.59	256.78	400.71	279.14	318.57	371.22	400.71	183.82	273.37	242.88	180.02	497.0	256.78	389.72	397.93	356.05	575.03	353.59	397.93	429.54	269.6	397.93	466.88	275.28	414.87	303.44	417.77	536.45	161.02	316.37	339.14	376.41	260.38	400.71	241.19	283.05
INPPL1	277.2	205.5	1794.29	947.83	1199.98	1225.22	1225.22	2047.0	1378.57	1781.89	1167.14	1721.16	1369.04	1909.85	2645.74	1081.39	1407.55	1950.0	1594.73	2209.26	1388.16	961.07	1697.45	1259.69	1427.22	1963.57	1051.79	1561.89	2178.83	1487.87	2133.97	1467.37	1639.59	1977.24	1674.06	1369.04	1447.15	2075.59	813.63	995.0	934.76	1733.13	1685.71	2133.97	2163.77	1175.27	1111.82	1651.0	1378.57	1023.0	1529.73	1066.48	2537.92	1304.15	1111.82	1340.84	1529.73	995.0	2104.58	1225.22	2271.4	2061.24	1819.35	1977.24	1769.57	2434.5	1216.75	1540.37	1135.2	1819.35	2417.67	2178.83	902.89	1832.01	1651.0	1757.34	2133.97	1225.22	1896.65	1651.0	1628.26	1685.71	1151.06	1427.22	1498.22	2178.83	1651.0	2209.26	1225.22	2004.85	2520.38	1286.18	1844.76	2104.58	2133.97	1216.75	2075.59	1350.18	1437.15	1745.2	1674.06	2090.03	1044.52	988.12	1081.39	1991.0	1651.0	1191.69	1617.0	2209.26	3081.75	1477.58	1030.12	1540.37	1407.55	1378.57	2384.37	1111.82	1175.27	1467.37	1909.85	1183.45	1685.71	1277.29	961.07	1594.73	1359.57	1369.04	2875.3	1199.98	2004.85	1733.13	1651.0	2209.26	1733.13	1378.57	1806.78	988.12	1175.27	1191.69	1487.87	2032.85	540.19	1242.34	1183.45	1199.98	1378.57	1277.29	759.08	866.07
JMJD7-PLA2G4B	4.46	0.84	35.76	29.27	24.46	44.89	62.12	248.0	43.02	129.69	48.18	90.77	100.13	211.31	171.45	33.06	69.03	122.64	111.21	267.73	37.85	32.59	105.15	16.63	48.87	154.42	73.54	187.71	199.85	37.32	255.0	63.45	120.1	125.24	182.55	47.17	97.36	173.85	24.28	58.3	41.81	99.43	88.26	166.73	104.42	66.65	10.63	111.99	100.13	58.71	92.7	75.64	159.9	28.04	91.41	67.12	22.1	11.3	221.86	39.22	314.17	164.42	149.12	175.07	151.22	139.07	49.91	19.97	28.04	133.36	162.14	93.35	49.56	105.15	105.89	39.5	158.79	61.68	74.58	69.52	161.02	75.11	139.07	40.93	40.36	128.79	108.14	234.57	28.65	96.68	73.54	26.1	68.07	191.67	151.22	52.82	151.22	115.16	94.67	155.5	88.26	275.28	51.71	14.78	96.01	163.28	148.09	44.57	94.67	176.29	260.38	62.56	32.36	96.68	70.51	10.31	137.14	13.22	66.18	111.99	125.24	24.63	21.32	41.22	37.05	202.66	26.67	70.51	265.87	77.25	228.13	57.49	204.07	98.04	50.98	114.36	177.53	36.27	69.52	74.06	98.73	299.25	35.76	32.13	25.35	17.9	40.64	82.87	18.97	30.12
KDM5C	53.19	339.14	571.05	500.46	642.59	607.87	642.59	738.29	571.05	656.11	555.41	785.88	764.36	884.29	941.27	555.41	693.58	802.41	688.78	808.0	616.37	529.06	808.0	567.1	693.58	872.1	647.07	848.22	759.08	660.68	743.43	813.63	728.11	679.29	836.53	708.18	665.29	802.41	426.57	543.96	476.71	813.63	688.78	808.0	1015.93	483.38	616.37	785.88	733.19	567.1	780.44	507.46	1023.0	808.0	607.87	753.83	660.68	521.76	934.76	688.78	769.69	909.17	669.92	819.3	718.08	961.07	543.96	493.56	599.49	769.69	1044.52	599.49	381.68	693.58	698.41	612.11	759.08	743.43	842.36	633.73	567.1	684.02	642.59	693.58	743.43	753.83	738.29	753.83	748.61	723.08	555.41	642.59	620.67	769.69	1313.23	1096.5	1023.0	651.58	633.73	1008.9	728.11	748.61	476.71	563.18	555.41	896.64	698.41	571.05	733.19	941.27	934.76	703.28	493.56	633.73	660.68	660.68	764.36	679.29	693.58	603.67	808.0	525.39	854.13	713.11	429.54	679.29	518.15	529.06	819.3	591.22	819.3	743.43	603.67	974.5	802.41	660.68	647.07	660.68	629.35	629.35	708.18	884.29	258.57	567.1	651.58	532.74	698.41	575.03	454.09	638.15
KHNYN	23.93	100.13	507.46	215.77	450.94	521.76	376.41	738.29	320.8	483.38	343.89	669.92	728.11	808.0	656.11	285.03	559.28	796.86	567.1	830.75	329.84	463.65	775.05	417.77	532.74	785.88	356.05	669.92	808.0	283.05	698.41	503.95	493.56	738.29	753.83	473.41	529.06	723.08	316.37	397.93	303.44	612.11	521.76	587.13	961.07	293.07	476.71	599.49	500.46	521.76	642.59	384.34	830.75	599.49	579.04	612.11	591.22	400.71	860.08	543.96	848.22	366.09	599.49	743.43	738.29	595.34	441.64	420.68	447.82	728.11	764.36	563.18	231.32	583.07	447.82	473.41	808.0	607.87	660.68	327.56	571.05	525.39	387.02	454.09	624.99	514.56	607.87	540.19	698.41	325.29	397.93	435.55	343.89	1044.52	915.51	563.18	688.78	417.77	426.57	497.0	591.22	728.11	387.02	483.38	536.45	830.75	532.74	363.56	555.41	836.53	764.36	540.19	339.14	476.71	493.56	624.99	460.44	480.04	514.56	633.73	607.87	412.0	432.53	466.88	299.25	547.75	438.59	454.09	529.06	603.67	656.11	571.05	511.0	703.28	559.28	571.05	591.22	412.0	575.03	473.41	529.06	802.41	206.94	312.0	457.25	454.09	583.07	567.1	351.14	267.73
KIAA0556	15.34	18.84	220.32	267.73	307.69	336.79	432.53	432.53	265.87	351.14	271.48	400.71	307.69	447.82	595.34	309.83	371.22	466.88	426.57	341.51	320.8	164.42	348.71	293.07	353.59	497.0	242.88	318.57	497.0	301.33	389.72	361.04	363.56	447.82	547.75	397.93	283.05	466.88	186.4	223.41	157.68	368.65	361.04	490.14	525.39	234.57	208.38	450.94	454.09	305.55	507.46	323.03	525.39	323.03	387.02	412.0	368.65	246.28	514.56	476.71	343.89	366.09	387.02	480.04	376.41	397.93	470.14	166.73	173.85	379.04	447.82	303.44	186.4	336.79	351.14	295.11	473.41	348.71	555.41	307.69	299.25	297.17	242.88	490.14	363.56	414.87	414.87	432.53	403.5	400.71	371.22	309.83	432.53	457.25	591.22	612.11	438.59	414.87	295.11	361.04	392.44	511.0	258.57	181.28	232.94	629.35	450.94	297.17	423.61	511.0	486.75	387.02	267.73	299.25	463.65	291.04	463.65	140.04	334.46	384.34	438.59	237.86	343.89	441.64	172.65	414.87	299.25	289.02	583.07	368.65	395.18	305.55	389.72	595.34	363.56	392.44	366.09	346.29	305.55	368.65	309.83	412.0	109.66	199.85	303.44	248.0	417.77	253.23	191.67	269.6
KIAA0907	49.91	115.16	417.77	373.81	334.46	332.14	327.56	769.69	607.87	764.36	291.04	551.56	728.11	813.63	1037.29	656.11	387.02	928.3	698.41	1008.9	441.64	269.6	616.37	343.89	435.55	878.17	583.07	830.75	660.68	236.21	1037.29	1143.1	753.83	629.35	674.59	356.05	633.73	825.0	204.07	325.29	329.84	599.49	447.82	1023.0	1037.29	587.13	348.71	1081.39	738.29	470.14	656.11	642.59	1127.35	228.13	698.41	612.11	202.66	275.28	1001.93	309.83	921.88	1617.0	1199.98	660.68	764.36	974.5	679.29	400.71	239.52	693.58	1096.5	540.19	412.0	599.49	651.58	551.56	698.41	463.65	764.36	493.56	521.76	483.38	961.07	281.09	332.14	825.0	599.49	860.08	366.09	753.83	738.29	285.03	473.41	723.08	1135.2	571.05	1008.9	466.88	571.05	1378.57	842.36	884.29	486.75	248.0	503.95	1059.11	514.56	567.1	647.07	1059.11	1519.15	825.0	358.54	733.19	397.93	291.04	954.43	309.83	493.56	460.44	693.58	186.4	277.2	264.03	281.09	890.44	305.55	753.83	836.53	426.57	1066.48	595.34	934.76	941.27	289.02	563.18	723.08	447.82	417.77	395.18	780.44	743.43	332.14	312.0	299.25	318.57	285.03	579.04	234.57	205.5
KIAA1683	5.5	27.64	16.15	43.94	19.68	43.32	36.53	161.02	40.07	79.45	24.11	89.51	49.21	111.99	38.67	80.01	60.39	92.05	55.1	212.78	80.01	22.59	77.25	21.94	42.41	47.17	25.54	56.28	124.37	29.7	68.07	38.4	51.71	98.73	79.45	15.11	46.18	68.07	8.78	22.26	15.0	32.59	62.12	90.77	47.84	17.38	16.39	56.28	48.87	36.27	73.54	35.25	31.67	54.33	148.09	28.65	41.22	20.11	68.07	30.56	147.06	96.68	78.34	80.57	149.12	63.45	37.59	13.22	25.91	59.13	65.72	39.79	28.65	85.22	44.89	21.47	133.36	21.16	35.25	41.22	68.07	52.08	51.71	18.97	77.79	118.43	36.27	56.68	17.77	33.3	19.11	21.78	66.65	120.94	111.99	85.82	125.24	53.95	38.95	100.83	54.33	76.71	13.72	26.28	57.08	120.1	45.53	71.5	42.41	82.87	96.01	135.24	14.03	59.13	35.0	15.45	115.16	33.78	53.19	110.43	65.72	11.04	12.83	35.5	23.59	194.36	30.12	58.71	85.22	27.84	96.01	44.89	75.64	51.35	27.05	56.68	52.45	27.84	44.25	45.21	57.08	236.21	13.52	60.39	7.4	39.79	27.44	47.17	23.42	31.22
KLK2	1.99	1.99	231394.29	520665.48	249727.34	241220.67	391864.76	225066.78	228208.61	249727.34	246289.25	279017.26	288856.81	242898.5	218912.29	233003.78	329517.51	184082.4	273275.14	105727.15	284880.02	172949.54	353168.2	180294.02	292889.12	258533.99	249727.34	244588.0	256748.15	280957.98	280957.98	320506.81	324980.94	309589.14	236256.4	350728.68	378516.38	233003.78	99333.0	292889.12	159145.95	269512.87	241220.67	353168.2	229795.93	334117.42	341137.96	273275.14	311742.51	378516.38	318292.9	383800.28	260332.24	236256.4	288856.81	279017.26	253213.41	256748.15	164758.26	303217.87	114103.8	386469.83	205673.01	193234.41	229795.93	360589.03	341137.96	443937.41	181548.07	301123.38	165904.25	292889.12	338781.54	256748.15	279017.26	269512.87	294926.33	286861.53	311742.51	363097.14	324980.94	284880.02	299043.36	241220.67	294926.33	212926.09	329517.51	246289.25	320506.81	303217.87	373305.21	262143.0	316094.29	303217.87	116501.39	320506.81	301123.38	419990.32	284880.02	114103.8	345900.08	167058.21	334117.42	167058.21	311742.51	331809.5	324980.94	279017.26	355624.68	193234.41	437825.58	290865.98	204252.32	260332.24	280957.98	182810.84	217400.14	256748.15	260332.24	331809.5	246289.25	107948.72	269512.87	273275.14	244588.0	207103.59	249727.34	375901.76	389157.95	299043.36	365622.68	279017.26	299043.36	226632.25	239554.43	383800.28	402881.61	262143.0	269512.87	284880.02	284880.02	241220.67	322736.12	198667.0	217400.14	284880.02	267651.2	370726.6	254974.66	116501.39
L3MBTL1	19.97	2.01	73.03	84.04	49.91	123.5	100.83	307.69	125.24	201.25	90.77	139.07	132.44	231.32	249.73	116.78	100.13	198.47	144.01	241.19	68.07	37.32	183.82	36.27	87.65	161.02	158.79	205.5	241.19	56.28	241.19	143.01	150.17	130.6	191.67	66.65	165.57	249.73	33.78	65.26	47.5	170.25	117.6	234.57	190.34	79.45	19.82	195.72	150.17	67.12	166.73	130.6	48.87	69.52	166.73	129.69	63.45	31.22	255.0	44.25	281.09	262.2	314.17	231.32	201.25	187.71	153.34	63.45	59.13	175.07	206.94	88.88	87.65	151.22	126.12	109.66	189.02	81.14	158.79	122.64	135.24	136.19	162.14	55.49	88.26	256.78	150.17	242.88	106.63	187.71	161.02	79.45	106.63	164.42	343.89	127.89	221.86	105.15	152.28	279.14	163.28	218.79	54.33	47.84	157.68	234.57	147.06	88.88	147.06	234.57	221.86	153.34	43.63	183.82	101.54	52.82	162.14	36.79	88.88	137.14	139.07	41.52	36.27	69.52	37.59	260.38	83.45	139.07	248.0	76.71	312.0	134.3	154.42	218.79	65.26	111.99	178.77	104.42	131.51	109.66	182.55	277.2	43.02	57.08	64.34	68.55	75.64	158.79	35.76	50.98
LENEP	0.0	0.93	0.0	3.72	1.27	1.31	5.73	9.34	19.11	14.89	1.62	5.32	2.36	100.13	38.67	21.78	1.31	32.36	10.63	5.41	5.06	0.0	12.93	0.0	4.35	14.03	2.1	10.55	8.38	2.92	10.88	20.41	10.71	25.72	11.38	5.45	6.67	14.56	0.0	0.0	0.0	1.64	0.0	8.92	5.54	2.25	0.0	8.51	4.39	4.66	2.76	7.51	32.82	0.0	22.92	3.89	12.27	0.0	14.89	0.0	14.24	19.25	16.03	11.73	38.67	15.0	4.94	1.6	0.0	4.31	15.34	14.24	0.0	17.9	6.11	2.39	15.45	5.06	6.73	5.15	0.0	7.51	10.16	1.3	5.87	4.39	22.1	7.75	1.27	12.09	6.36	2.12	12.0	8.38	14.67	1.27	42.11	5.5	4.17	18.29	17.38	43.02	0.0	0.0	0.0	16.88	20.26	5.41	13.62	8.65	46.18	15.8	5.54	7.57	3.69	4.03	8.85	0.0	8.06	6.11	19.39	0.0	3.32	1.69	0.0	12.45	3.26	17.64	21.63	0.0	25.54	12.36	1.66	16.63	0.0	4.39	7.82	2.71	0.0	1.71	9.34	17.0	0.0	0.0	2.1	0.0	1.68	0.0	0.0	1.13
