	TCGA.LL.A440.01A.11R.A24H.07	TCGA.B8.4148.01A.02R.1325.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.56.7580.11A.01R.2045.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.BR.A4J5.01A.21R.A251.31	TCGA.BR.8590.01A.11R.2402.13	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.CG.4474.01A.02R.1157.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.RD.A8NB.01A.12R.A39E.31	TCGA.HU.A4G8.01A.11R.A251.31	TCGA.BR.4362.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.VQ.A922.01A.11R.A414.31	TCGA.VQ.A8PB.01A.11R.A39E.31	TCGA.BR.4361.01A.01R.1157.13	TCGA.CG.4305.01A.01R.1157.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.4253.01A.01R.1131.13	TCGA.CG.4465.01A.01R.1157.13	TCGA.BR.4357.01A.01R.1157.13	TCGA.VQ.A8P8.01A.11R.A39E.31
RAD51AP1	96.01	89.51	45.21	81.14	15.56	24.63	18.84	8.99	13.32	9.34	8.19	3.08	4.03	22.43	5.41	16.27	7.4	2.78	13.72	4.74	25.91	21.63	24.28	15.0	17.77	4.35	31.45	16.75	0.57	9.56	71.0	199.85	134.3	139.07	87.03	412.0	132.44	256.78	429.54	460.44	473.41	334.46	514.56	764.36	271.48	77.79	547.75	356.05	406.31	199.85
RAD54L	66.65	49.21	48.52	42.41	8.38	24.63	9.2	5.23	8.38	1.04	2.81	5.15	9.13	10.55	3.59	13.22	11.64	9.78	14.78	3.29	16.39	19.11	16.63	4.31	6.73	4.31	5.68	13.62	1.73	6.16	38.12	92.05	51.71	63.89	72.01	123.5	60.39	181.28	289.02	348.71	293.07	409.15	363.56	314.17	138.1	62.12	220.32	217.27	249.73	147.06
RBM18	323.03	327.56	244.57	244.57	187.71	158.79	88.88	68.55	131.51	178.77	107.38	128.79	137.14	199.85	159.9	114.36	127.89	180.02	147.06	96.01	145.02	131.51	201.25	129.69	101.54	107.38	171.45	113.56	134.3	117.6	366.09	343.89	316.37	343.89	271.48	454.09	325.29	387.02	480.04	733.19	1059.11	583.07	291.04	457.25	346.29	376.41	486.75	460.44	363.56	329.84
RFC3	157.68	130.6	141.02	107.38	68.07	85.82	54.72	34.51	91.41	88.26	44.25	55.1	43.63	70.01	51.35	57.89	73.54	37.85	50.98	68.55	65.26	67.12	69.52	58.71	97.36	69.52	66.18	88.88	59.97	78.34	116.78	253.23	275.28	299.25	205.5	371.22	303.44	447.82	854.13	941.27	723.08	759.08	733.19	967.76	406.31	164.42	878.17	511.0	616.37	379.04
RQCD1	507.46	624.99	470.14	414.87	204.07	287.01	190.34	228.13	214.27	281.09	232.94	220.32	191.67	191.67	214.27	198.47	264.03	241.19	157.68	187.71	332.14	209.84	226.54	246.28	214.27	264.03	323.03	234.57	223.41	178.77	500.46	624.99	674.59	684.02	575.03	884.29	647.07	775.05	896.64	902.89	624.99	638.15	728.11	961.07	848.22	511.0	1159.07	872.1	688.78	563.18
SASS6	55.89	44.25	39.22	33.78	17.77	33.78	3.86	15.8	14.67	20.71	30.78	9.41	14.24	9.41	20.71	16.39	21.16	19.97	5.73	8.85	17.9	21.16	16.27	11.04	23.59	10.0	14.45	27.64	2.16	9.48	47.5	128.79	77.79	106.63	69.52	98.73	108.9	137.14	186.4	137.14	145.02	260.38	241.19	217.27	96.68	67.12	152.28	131.51	141.02	98.73
SGOL1	32.13	18.7	21.32	21.63	0.77	4.46	1.13	3.56	1.69	5.45	7.46	4.28	5.68	2.92	4.94	3.96	5.5	5.59	2.01	7.75	1.62	9.2	14.56	7.51	4.46	5.41	6.67	1.97	0.0	10.24	19.39	123.5	89.51	166.73	48.52	180.02	78.89	214.27	204.07	209.84	264.03	239.52	366.09	180.02	119.26	36.01	253.23	181.28	277.2	158.79
SHCBP1	55.49	52.45	19.39	19.11	1.27	6.16	1.04	0.41	10.24	0.41	1.43	1.43	1.39	1.31	0.38	15.8	10.47	5.41	3.14	5.63	2.25	13.32	4.1	0.43	16.88	4.21	5.87	0.83	0.48	1.39	61.25	117.6	108.9	176.29	48.52	102.97	93.35	212.78	217.27	211.31	258.57	105.89	269.6	287.01	138.1	21.32	194.36	206.94	269.6	131.51
SKA1	34.75	28.45	7.11	13.83	3.32	6.84	1.69	0.0	0.93	2.48	4.28	0.0	3.11	8.85	0.0	0.0	1.57	1.36	0.0	0.0	2.92	2.61	2.89	1.51	4.78	0.92	1.16	1.85	0.51	0.0	21.01	136.19	53.95	83.45	25.17	199.85	34.02	147.06	262.2	201.25	206.94	231.32	256.78	285.03	86.43	22.75	187.71	127.89	152.28	116.78
SKA3	22.92	33.78	21.94	21.01	0.0	16.27	1.5	12.18	2.36	11.04	4.03	0.0	2.41	3.29	0.0	0.79	12.36	0.0	9.34	7.82	3.29	3.5	1.28	4.58	7.22	3.82	3.23	3.69	0.0	3.96	22.59	99.43	176.29	118.43	64.34	224.97	75.64	242.88	551.56	642.59	438.59	540.19	256.78	470.14	314.17	40.07	353.59	242.88	591.22	161.02
SMARCA4	1369.04	1250.98	1059.11	591.22	218.79	723.08	466.88	447.82	743.43	384.34	341.51	229.72	234.57	262.2	395.18	325.29	532.74	384.34	395.18	320.8	529.06	327.56	571.05	260.38	412.0	356.05	543.96	273.37	115.97	297.17	1208.34	1857.6	1477.58	1508.65	1519.15	1923.14	1331.57	1143.1	1331.57	1340.84	1467.37	2417.67	2018.8	1183.45	1008.9	1259.69	1457.23	1487.87	1216.75	1662.49
SPC25	75.11	55.49	31.0	36.53	13.52	15.11	0.0	0.0	8.0	14.35	4.86	1.51	0.0	8.19	5.19	4.7	6.78	4.46	7.34	2.05	4.98	6.16	4.13	3.96	8.92	6.73	10.24	9.13	1.6	1.99	37.32	71.0	98.04	57.49	29.7	155.5	94.01	201.25	483.38	397.93	529.06	201.25	348.71	684.02	228.13	24.63	587.13	318.57	571.05	120.1
SRSF10	1572.76	1467.37	1143.1	1030.12	674.59	1059.11	483.38	775.05	616.37	1023.0	988.12	703.28	785.88	633.73	674.59	638.15	878.17	825.0	493.56	713.11	733.19	836.53	954.43	620.67	1151.06	764.36	872.1	1104.13	483.38	1015.93	1551.09	2047.0	2224.63	1733.13	1844.76	2400.97	2664.15	1977.24	2739.08	2434.5	2956.17	2287.2	2178.83	3039.3	2090.03	1697.45	3190.46	2485.67	4038.61	2061.24
SRSF2	3794.3	3901.01	3190.46	2367.9	1467.37	2720.15	2400.97	2777.33	2367.9	2148.82	2956.17	1781.89	2255.7	1447.15	1605.83	1936.53	2319.15	1844.76	2287.2	2627.46	2209.26	2255.7	2609.3	1819.35	2591.27	3103.19	1794.29	3081.75	1167.14	2018.8	3039.3	3901.01	4123.49	3146.52	2956.17	4802.93	4704.07	4239.45	5633.22	4836.35	5791.62	6381.92	5292.48	7911.95	5076.84	3168.41	6337.83	4937.99	5751.61	4152.18
STIL	45.85	39.79	22.26	24.99	5.45	6.52	3.38	10.08	4.86	17.0	6.06	1.46	1.39	2.78	1.93	2.25	4.62	1.71	12.74	6.84	8.45	4.35	5.32	2.12	4.21	9.63	5.32	8.58	0.19	9.27	24.81	186.4	82.87	190.34	112.77	155.5	113.56	249.73	579.04	738.29	429.54	444.72	256.78	289.02	117.6	53.57	521.76	271.48	384.34	130.6
SUZ12	303.44	366.09	256.78	229.72	167.9	241.19	114.36	154.42	120.94	316.37	170.25	125.24	120.1	143.01	170.25	105.89	183.82	185.11	152.28	136.19	194.36	150.17	190.34	178.77	265.87	125.24	127.0	140.04	105.15	316.37	305.55	392.44	339.14	460.44	389.72	435.55	460.44	444.72	543.96	555.41	708.18	698.41	703.28	575.03	417.77	392.44	684.02	567.1	497.0	409.15
TFRC	878.17	1081.39	688.78	493.56	117.6	251.48	108.9	223.41	155.5	204.07	154.42	316.37	197.09	748.61	166.73	195.72	241.19	363.56	371.22	140.04	332.14	769.69	318.57	118.43	423.61	164.42	384.34	153.34	158.79	194.36	1551.09	1794.29	813.63	1551.09	1259.69	3614.55	921.88	1769.57	3235.01	3794.3	2400.97	1651.0	4639.29	2367.9	2400.97	679.29	2777.33	5329.3	4607.24	1950.0
TICRR	29.7	12.27	5.87	8.58	0.01	2.03	0.52	0.0	0.53	1.0	3.79	0.0	1.58	0.69	0.0	1.0	1.17	0.65	1.91	0.16	6.26	2.51	9.06	0.36	4.58	2.29	1.62	0.88	0.0	0.8	15.56	77.79	31.9	88.26	37.85	72.01	25.54	128.79	214.27	144.01	127.0	656.11	170.25	148.09	81.71	28.04	117.6	72.52	107.38	56.28
TIMELESS	249.73	191.67	318.57	239.52	111.99	167.9	84.04	150.17	132.44	149.12	176.29	144.01	209.84	155.5	111.21	165.57	211.31	161.02	177.53	171.45	181.28	156.59	148.09	156.59	195.72	165.57	116.78	246.28	91.41	151.22	175.07	341.51	164.42	381.68	260.38	483.38	239.52	438.59	587.13	616.37	743.43	1008.9	718.08	470.14	363.56	197.09	493.56	395.18	547.75	316.37
TMEM194A	157.68	175.07	87.65	92.05	49.91	75.64	29.91	55.49	36.01	48.87	118.43	104.42	59.13	77.25	44.25	56.68	70.01	15.34	37.59	51.35	75.11	78.34	52.45	62.12	92.7	58.71	44.57	135.24	36.01	67.12	183.82	206.94	128.79	241.19	221.86	221.86	224.97	209.84	264.03	387.02	514.56	591.22	244.57	358.54	181.28	287.01	295.11	170.25	441.64	143.01
TMEM62	426.57	351.14	341.51	384.34	265.87	379.04	269.6	376.41	253.23	336.79	289.02	228.13	220.32	293.07	273.37	356.05	283.05	301.33	204.07	260.38	241.19	269.6	417.77	371.22	198.47	220.32	1015.93	253.23	105.89	221.86	395.18	547.75	432.53	463.65	417.77	500.46	435.55	417.77	587.13	647.07	518.15	473.41	503.95	728.11	432.53	320.8	872.1	684.02	830.75	536.45
TPX2	190.34	126.12	80.57	99.43	118.43	59.55	29.91	27.84	40.93	198.47	46.18	17.0	16.51	68.55	45.85	22.1	18.84	27.25	27.64	10.39	106.63	118.43	44.57	34.75	42.41	45.53	72.52	10.31	28.04	6.06	112.77	514.56	215.77	429.54	161.02	555.41	170.25	629.35	769.69	1066.48	1909.85	1498.22	1286.18	909.17	954.43	103.69	775.05	629.35	1437.15	450.94
TRIM25	480.04	808.0	395.18	312.0	267.73	205.5	86.43	239.52	111.21	92.7	226.54	109.66	194.36	147.06	103.69	119.26	198.47	175.07	138.1	140.04	329.84	148.09	178.77	187.71	314.17	287.01	642.59	198.47	87.65	119.26	995.0	1277.29	633.73	830.75	1059.11	921.88	854.13	896.64	1519.15	2163.77	1769.57	988.12	647.07	860.08	1096.5	514.56	1508.65	928.3	902.89	825.0
TRIP13	120.94	54.72	44.25	24.11	3.5	39.22	1.93	3.5	13.32	4.98	28.65	0.59	3.17	3.32	3.47	2.32	25.72	3.92	2.56	8.45	11.21	8.19	7.88	3.63	0.16	7.69	4.86	6.94	1.5	6.78	32.36	153.34	129.69	201.25	120.94	248.0	97.36	291.04	314.17	543.96	1059.11	743.43	341.51	825.0	395.18	81.71	248.0	316.37	808.0	178.77
TROAP	155.5	81.14	66.18	74.58	5.63	52.08	2.73	9.27	8.78	15.8	6.41	6.52	5.92	38.4	13.22	11.38	14.14	6.41	6.52	3.56	12.93	31.67	9.78	15.0	7.22	5.63	5.06	24.99	1.95	6.67	76.17	178.77	220.32	187.71	95.34	193.01	139.07	318.57	490.14	612.11	796.86	860.08	665.29	860.08	555.41	92.05	363.56	334.46	2119.22	224.97
TTF2	187.71	220.32	59.97	82.29	30.78	25.72	12.36	11.3	35.25	40.07	72.52	15.8	28.04	28.86	23.93	35.0	34.26	18.03	49.91	24.99	43.63	56.28	48.52	41.22	44.89	35.76	78.34	55.1	30.12	7.63	224.97	511.0	256.78	409.15	346.29	503.95	320.8	647.07	988.12	808.0	486.75	842.36	708.18	728.11	412.0	244.57	529.06	521.76	802.41	363.56
TTK	37.85	18.43	16.03	26.28	2.81	8.78	0.0	0.0	1.14	4.5	5.23	0.0	3.63	7.28	1.04	0.0	1.25	6.11	0.0	0.75	2.46	9.56	8.19	1.2	4.58	0.68	5.63	5.63	0.31	5.68	31.45	163.28	106.63	199.85	59.13	287.01	104.42	231.32	251.48	511.0	473.41	698.41	412.0	599.49	279.14	59.55	679.29	305.55	275.28	178.77
UBE2C	441.64	171.45	77.25	130.6	16.75	74.58	23.25	36.27	15.91	23.59	7.4	9.06	26.47	17.9	25.54	1.51	23.25	17.9	35.25	16.39	50.98	77.25	26.67	7.4	10.31	21.78	57.08	32.82	4.06	25.91	187.71	579.04	599.49	483.38	218.79	1286.18	500.46	954.43	1794.29	2163.77	4903.87	2255.7	2319.15	2537.92	1313.23	158.79	2287.2	1594.73	9808.75	813.63
UBE2K	967.76	1023.0	954.43	1447.15	1175.27	1199.98	665.29	896.64	693.58	1685.71	743.43	902.89	921.88	713.11	915.51	665.29	748.61	836.53	974.5	915.51	866.07	775.05	1167.14	753.83	1378.57	679.29	947.83	1286.18	954.43	1183.45	1044.52	1119.56	1529.73	1487.87	1199.98	1250.98	1457.23	1519.15	2061.24	1757.34	1572.76	1268.46	1572.76	2163.77	1487.87	1304.15	2104.58	1936.53	1781.89	1268.46
UTP6	1059.11	1119.56	967.76	902.89	703.28	995.0	836.53	825.0	848.22	587.13	1151.06	656.11	780.44	624.99	665.29	660.68	941.27	743.43	514.56	612.11	743.43	708.18	878.17	536.45	825.0	759.08	607.87	981.29	291.04	660.68	1037.29	1199.98	1313.23	1286.18	1104.13	1183.45	1277.29	1250.98	1477.58	1685.71	1745.2	1977.24	1159.07	2163.77	1233.75	1044.52	1745.2	1529.73	1427.22	1277.29
VRK1	170.25	204.07	145.02	139.07	66.65	149.12	63.89	49.56	93.35	93.35	51.35	92.05	65.26	66.65	49.21	59.97	86.43	37.59	54.33	94.01	53.57	77.25	153.34	106.63	65.72	50.98	78.89	93.35	44.25	94.67	164.42	320.8	387.02	312.0	178.77	435.55	387.02	444.72	579.04	769.69	748.61	432.53	629.35	791.35	366.09	176.29	1051.79	616.37	551.56	392.44
WBP11	890.44	1143.1	866.07	708.18	511.0	373.81	466.88	358.54	423.61	497.0	497.0	490.14	463.65	486.75	595.34	555.41	493.56	334.46	587.13	414.87	435.55	660.68	420.68	595.34	521.76	406.31	447.82	432.53	521.76	500.46	1030.12	1250.98	872.1	1167.14	1191.69	1369.04	1175.27	1447.15	1304.15	1605.83	1685.71	1369.04	1685.71	1674.06	1135.2	1096.5	1519.15	1407.55	1268.46	1199.98
XRCC2	43.94	17.77	7.69	10.24	3.03	3.86	0.0	0.29	1.95	1.93	1.14	0.74	4.43	2.29	0.0	3.79	2.14	1.79	0.25	0.75	7.06	6.62	4.06	0.32	2.14	2.78	5.28	4.94	0.0	2.01	17.0	56.68	27.64	61.25	27.05	68.55	32.13	85.82	100.13	181.28	69.52	120.94	162.14	108.9	75.64	27.05	95.34	66.65	88.88	35.0
ZBED4	145.02	172.65	90.77	62.56	25.54	70.51	49.56	87.03	48.87	55.89	37.85	48.52	29.48	31.9	45.21	20.26	44.57	88.26	17.25	46.84	40.36	31.9	52.08	22.59	44.89	43.32	44.89	33.06	13.32	61.68	121.79	281.09	172.65	195.72	289.02	244.57	177.53	244.57	218.79	258.57	228.13	242.88	312.0	185.11	208.38	190.34	148.09	206.94	231.32	185.11
ZNF207	1819.35	2075.59	1757.34	1225.22	819.3	1119.56	532.74	830.75	947.83	791.35	860.08	595.34	1605.83	860.08	555.41	733.19	995.0	1044.52	536.45	679.29	1359.57	1216.75	1277.29	878.17	1313.23	733.19	1008.9	1529.73	679.29	708.18	2209.26	3103.19	2664.15	3168.41	2915.45	4512.4	3372.43	2895.31	4268.94	4450.27	4769.75	4802.93	2956.17	4671.57	4038.61	2645.74	5791.62	4869.99	4481.23	2720.15
ZWILCH	158.79	96.68	75.11	87.65	75.64	40.64	25.17	57.89	56.68	57.89	46.84	29.7	32.82	43.94	68.55	40.36	90.77	23.25	66.18	47.5	40.36	45.85	43.32	37.85	74.06	47.84	28.45	43.94	27.05	38.12	102.25	248.0	206.94	480.04	181.28	346.29	223.41	376.41	387.02	429.54	420.68	514.56	547.75	414.87	320.8	153.34	432.53	358.54	361.04	332.14
ZWINT	384.34	327.56	145.02	305.55	22.26	178.77	23.59	24.63	43.63	57.89	45.85	28.86	45.21	108.14	31.45	44.57	40.07	20.11	47.17	34.75	90.77	98.73	59.13	47.17	101.54	58.71	120.1	74.06	18.29	57.08	190.34	483.38	387.02	575.03	277.2	660.68	392.44	703.28	1304.15	1001.93	629.35	529.06	1639.59	1304.15	620.67	177.53	529.06	748.61	866.07	500.46
