	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	TCGA.EM.A22M.01A.11R.A32Y.07
METTL15	134.3	253.23	166.73	143.01	132.44	103.69	98.73	146.03	136.19	101.54	134.3	76.71	155.5	98.04	155.5	164.42	130.6	173.85	166.73	214.27	162.14	99.43	116.78	164.42	157.68	108.9	130.6	147.06	105.89	121.79	96.01	204.07	147.06	142.01	103.69	135.24	143.01	131.51	93.35	111.99	94.01	189.02	109.66	148.09	157.68	138.1	125.24	133.36	121.79	145.02	163.28	111.99	139.07	171.45	131.51	102.97	166.73	159.9	146.03	161.02	102.25	127.0	169.07	94.01	152.28	153.34	144.01	97.36	134.3	110.43	125.24	135.24	140.04	155.5	108.9	138.1	129.69	139.07	169.07	106.63	148.09	151.22	171.45	197.09	118.43	121.79	126.12	115.16	130.6	134.3	98.73
MFAP3	157.68	473.41	376.41	244.57	187.71	157.68	172.65	287.01	205.5	157.68	361.04	89.51	260.38	157.68	182.55	387.02	206.94	255.0	305.55	351.14	332.14	151.22	165.57	301.33	228.13	152.28	267.73	406.31	205.5	236.21	175.07	444.72	206.94	267.73	122.64	307.69	177.53	226.54	221.86	105.89	169.07	318.57	100.13	348.71	327.56	165.57	226.54	226.54	249.73	281.09	387.02	205.5	201.25	514.56	285.03	149.12	262.2	403.5	229.72	307.69	162.14	156.59	271.48	141.02	279.14	265.87	454.09	223.41	165.57	127.0	178.77	283.05	251.48	551.56	253.23	199.85	162.14	291.04	255.0	181.28	381.68	177.53	358.54	379.04	228.13	251.48	271.48	134.3	212.78	305.55	154.42
MGA	60.82	202.66	118.43	87.65	87.65	67.59	65.72	117.6	82.87	46.18	135.24	52.08	112.77	74.06	75.11	158.79	87.03	102.25	137.14	166.73	101.54	72.01	67.59	135.24	92.05	67.59	98.04	181.28	82.87	126.12	68.55	194.36	87.65	113.56	52.08	136.19	98.04	120.94	85.82	46.18	53.57	144.01	53.19	158.79	138.1	63.45	94.01	101.54	93.35	109.66	169.07	79.45	93.35	146.03	130.6	74.06	130.6	159.9	96.01	149.12	61.25	84.04	103.69	53.57	100.13	123.5	187.71	79.45	82.29	64.8	57.08	128.79	108.14	208.38	115.16	90.77	78.89	118.43	96.01	61.68	170.25	81.14	151.22	145.02	81.71	87.65	157.68	74.06	57.49	129.69	71.5
MORC3	191.67	567.1	295.11	361.04	351.14	249.73	267.73	368.65	371.22	221.86	400.71	112.77	414.87	273.37	336.79	476.71	314.17	438.59	486.75	521.76	366.09	246.28	297.17	476.71	373.81	242.88	341.51	547.75	285.03	305.55	231.32	532.74	368.65	303.44	195.72	387.02	334.46	341.51	246.28	221.86	149.12	525.39	212.78	507.46	454.09	323.03	255.0	406.31	346.29	371.22	454.09	346.29	334.46	500.46	423.61	258.57	450.94	473.41	351.14	423.61	187.71	341.51	392.44	255.0	447.82	397.93	476.71	275.28	356.05	249.73	241.19	366.09	366.09	583.07	323.03	309.83	301.33	423.61	441.64	218.79	503.95	343.89	470.14	503.95	309.83	332.14	429.54	260.38	334.46	412.0	234.57
MOSPD2	106.63	450.94	199.85	127.89	195.72	110.43	117.6	223.41	194.36	127.0	205.5	73.03	147.06	148.09	127.0	198.47	136.19	248.0	264.03	301.33	185.11	107.38	119.26	201.25	177.53	150.17	182.55	297.17	144.01	155.5	127.0	218.79	167.9	173.85	81.71	163.28	147.06	149.12	146.03	78.89	135.24	199.85	124.37	224.97	195.72	157.68	121.79	197.09	133.36	187.71	197.09	142.01	199.85	185.11	185.11	120.1	236.21	198.47	147.06	176.29	135.24	150.17	199.85	87.65	208.38	189.02	224.97	117.6	156.59	123.5	170.25	149.12	194.36	320.8	151.22	164.42	186.4	165.57	215.77	112.77	285.03	133.36	221.86	220.32	139.07	178.77	242.88	121.79	170.25	229.72	110.43
MTRR	947.83	1037.29	1923.14	361.04	291.04	371.22	193.01	283.05	262.2	190.34	295.11	136.19	366.09	293.07	214.27	358.54	287.01	363.56	363.56	400.71	463.65	260.38	358.54	400.71	287.01	256.78	336.79	595.34	334.46	346.29	229.72	490.14	387.02	332.14	206.94	356.05	356.05	426.57	358.54	316.37	167.9	441.64	171.45	417.77	429.54	323.03	409.15	283.05	220.32	412.0	432.53	269.6	400.71	483.38	441.64	267.73	343.89	483.38	366.09	400.71	205.5	277.2	366.09	224.97	514.56	429.54	536.45	457.25	237.86	189.02	368.65	466.88	358.54	532.74	412.0	351.14	287.01	473.41	397.93	215.77	473.41	329.84	493.56	470.14	281.09	291.04	366.09	206.94	403.5	444.72	215.77
NCOA2	180.02	351.14	299.25	147.06	217.27	146.03	136.19	253.23	229.72	156.59	249.73	93.35	255.0	146.03	178.77	303.44	176.29	246.28	275.28	320.8	244.57	186.4	140.04	343.89	195.72	162.14	211.31	384.34	190.34	297.17	147.06	409.15	201.25	215.77	107.38	242.88	209.84	262.2	190.34	115.97	122.64	356.05	144.01	400.71	314.17	173.85	178.77	217.27	218.79	260.38	291.04	183.82	201.25	305.55	234.57	148.09	289.02	329.84	232.94	301.33	151.22	198.47	314.17	155.5	218.79	323.03	412.0	172.65	198.47	158.79	154.42	256.78	248.0	334.46	269.6	223.41	165.57	234.57	234.57	126.12	379.04	178.77	341.51	325.29	171.45	194.36	303.44	161.02	191.67	271.48	172.65
NFAT5	105.89	346.29	218.79	103.69	187.71	73.54	55.49	187.71	197.09	71.0	323.03	44.57	237.86	110.43	103.69	299.25	124.37	193.01	249.73	234.57	220.32	91.41	88.88	297.17	180.02	131.51	194.36	334.46	193.01	253.23	111.99	447.82	138.1	173.85	39.5	208.38	150.17	194.36	130.6	44.89	102.25	381.68	87.03	327.56	246.28	96.68	187.71	220.32	153.34	183.82	299.25	67.59	113.56	320.8	279.14	133.36	267.73	334.46	148.09	221.86	100.83	113.56	262.2	90.14	237.86	293.07	444.72	97.36	209.84	94.67	101.54	255.0	180.02	438.59	161.02	152.28	121.79	232.94	202.66	91.41	397.93	122.64	336.79	316.37	120.94	127.89	293.07	85.22	150.17	283.05	55.49
NPC2	156954.93	72213.45	113315.62	113315.62	99333.0	98646.85	83528.61	90146.51	113315.62	87075.75	97288.74	106462.55	115696.65	91404.92	142439.51	124000.67	107948.72	137587.47	93974.69	98646.85	138544.47	85283.74	111755.56	94628.34	122293.5	93974.69	108699.57	91404.92	134755.94	109455.64	114103.8	65082.31	117311.73	130165.62	127486.83	130165.62	131982.68	154794.07	110983.6	80125.95	135693.24	104996.83	109455.64	85283.74	97965.44	110216.97	104271.56	103551.29	155870.75	94628.34	77934.88	118127.7	135693.24	69753.56	105727.15	105727.15	90146.51	93325.55	118127.7	115696.65	92040.7	117311.73	92680.9	114897.47	103551.29	90773.53	114103.8	96616.71	126606.21	118949.35	119776.72	112532.89	111755.56	69753.56	100719.65	102836.01	107948.72	92040.7	110216.97	89523.81	75803.72	101420.22	80683.28	103551.29	106462.55	121448.75	85876.94	74243.68	127486.83	84109.6	104271.56
NR2C2	100.83	221.86	161.02	144.01	120.1	81.71	67.12	173.85	154.42	106.63	255.0	86.43	186.4	123.5	85.22	209.84	104.42	109.66	170.25	165.57	114.36	100.83	103.69	218.79	101.54	135.24	135.24	283.05	111.21	193.01	84.63	329.84	106.63	87.03	64.34	163.28	121.79	172.65	137.14	90.77	65.72	256.78	105.15	251.48	218.79	104.42	133.36	182.55	175.07	165.57	260.38	114.36	99.43	241.19	258.57	106.63	191.67	265.87	172.65	224.97	126.12	113.56	215.77	117.6	193.01	229.72	356.05	117.6	131.51	126.12	85.82	232.94	156.59	353.59	189.02	156.59	95.34	218.79	175.07	118.43	325.29	147.06	267.73	253.23	100.13	116.78	237.86	92.05	111.99	262.2	110.43
NUMB	728.11	1605.83	1268.46	559.28	559.28	633.73	497.0	684.02	660.68	476.71	860.08	417.77	629.35	679.29	575.03	813.63	579.04	629.35	656.11	733.19	738.29	579.04	511.0	665.29	563.18	612.11	728.11	718.08	603.67	728.11	567.1	866.07	583.07	693.58	514.56	669.92	591.22	603.67	660.68	429.54	543.96	775.05	493.56	698.41	848.22	616.37	684.02	769.69	665.29	718.08	909.17	571.05	674.59	791.35	842.36	638.15	703.28	769.69	753.83	693.58	555.41	571.05	684.02	463.65	723.08	802.41	848.22	620.67	647.07	563.18	559.28	616.37	540.19	947.83	842.36	669.92	591.22	665.29	738.29	547.75	808.0	679.29	738.29	743.43	688.78	748.61	884.29	525.39	563.18	791.35	571.05
NUP160	309.83	1059.11	693.58	332.14	318.57	293.07	236.21	403.5	320.8	204.07	476.71	149.12	420.68	295.11	283.05	426.57	336.79	366.09	414.87	432.53	320.8	258.57	232.94	397.93	305.55	279.14	334.46	460.44	314.17	353.59	273.37	547.75	353.59	368.65	182.55	400.71	297.17	343.89	307.69	172.65	195.72	447.82	202.66	454.09	417.77	289.02	312.0	392.44	361.04	325.29	444.72	297.17	373.81	490.14	466.88	264.03	368.65	403.5	320.8	389.72	232.94	297.17	379.04	269.6	417.77	417.77	438.59	258.57	287.01	217.27	218.79	314.17	320.8	511.0	406.31	307.69	299.25	395.18	417.77	234.57	518.15	285.03	457.25	490.14	314.17	346.29	426.57	242.88	277.2	447.82	289.02
NUP54	438.59	785.88	1331.57	521.76	514.56	460.44	476.71	587.13	514.56	441.64	543.96	400.71	571.05	409.15	463.65	595.34	470.14	536.45	642.59	607.87	529.06	397.93	476.71	483.38	426.57	529.06	599.49	555.41	444.72	483.38	361.04	497.0	540.19	616.37	406.31	532.74	486.75	507.46	454.09	417.77	301.33	579.04	373.81	620.67	525.39	457.25	397.93	563.18	426.57	470.14	660.68	486.75	543.96	543.96	583.07	463.65	536.45	571.05	563.18	480.04	403.5	483.38	532.74	423.61	688.78	457.25	563.18	423.61	476.71	392.44	463.65	540.19	525.39	896.64	500.46	457.25	486.75	567.1	595.34	420.68	567.1	480.04	603.67	684.02	483.38	536.45	599.49	497.0	511.0	567.1	438.59
NUPL1	444.72	738.29	674.59	224.97	291.04	194.36	215.77	368.65	256.78	193.01	381.68	138.1	283.05	180.02	232.94	348.71	260.38	291.04	406.31	384.34	152.28	195.72	204.07	432.53	275.28	249.73	242.88	366.09	242.88	271.48	198.47	463.65	229.72	251.48	163.28	281.09	253.23	178.77	249.73	209.84	214.27	361.04	173.85	429.54	334.46	236.21	231.32	255.0	269.6	265.87	339.14	228.13	236.21	444.72	320.8	241.19	327.56	376.41	241.19	285.03	201.25	255.0	323.03	217.27	379.04	343.89	363.56	181.28	297.17	204.07	258.57	316.37	246.28	444.72	269.6	262.2	248.0	329.84	343.89	177.53	420.68	228.13	397.93	348.71	285.03	242.88	356.05	246.28	356.05	332.14	124.37
OTUD4	218.79	599.49	599.49	197.09	265.87	204.07	178.77	343.89	256.78	170.25	283.05	105.15	271.48	204.07	195.72	400.71	229.72	269.6	444.72	389.72	226.54	176.29	176.29	356.05	212.78	214.27	264.03	387.02	226.54	293.07	229.72	361.04	206.94	265.87	139.07	295.11	214.27	217.27	212.78	162.14	166.73	409.15	172.65	435.55	353.59	191.67	173.85	255.0	285.03	303.44	353.59	187.71	228.13	395.18	309.83	176.29	397.93	426.57	220.32	305.55	187.71	255.0	336.79	187.71	285.03	339.14	435.55	228.13	226.54	195.72	194.36	351.14	249.73	507.46	318.57	256.78	208.38	307.69	307.69	176.29	486.75	242.88	420.68	379.04	195.72	239.52	366.09	175.07	205.5	309.83	181.28
OTUD6B	89.51	162.14	293.07	90.14	113.56	92.05	83.45	131.51	125.24	87.03	139.07	32.82	113.56	82.87	108.14	145.02	93.35	121.79	171.45	148.09	113.56	98.73	73.54	120.94	100.13	106.63	109.66	142.01	89.51	92.7	90.14	136.19	107.38	126.12	59.97	105.15	105.89	80.57	72.01	77.25	68.07	142.01	80.57	158.79	120.1	114.36	72.01	116.78	116.78	113.56	120.1	107.38	128.79	152.28	125.24	94.67	133.36	148.09	93.35	117.6	68.07	100.83	147.06	91.41	154.42	108.9	109.66	85.22	120.94	102.25	108.9	127.0	100.13	157.68	108.9	102.97	113.56	149.12	157.68	68.55	147.06	99.43	135.24	116.78	111.99	112.77	123.5	80.57	120.94	111.99	70.01
PBRM1	248.0	848.22	934.76	214.27	258.57	187.71	189.02	305.55	256.78	197.09	373.81	143.01	299.25	182.55	223.41	381.68	246.28	301.33	397.93	387.02	279.14	204.07	183.82	406.31	224.97	169.07	281.09	497.0	218.79	323.03	224.97	480.04	217.27	264.03	142.01	314.17	241.19	309.83	220.32	173.85	199.85	381.68	169.07	444.72	341.51	201.25	242.88	260.38	253.23	327.56	395.18	217.27	237.86	454.09	307.69	191.67	332.14	397.93	251.48	356.05	185.11	212.78	336.79	169.07	265.87	343.89	511.0	237.86	198.47	173.85	221.86	351.14	255.0	547.75	379.04	265.87	208.38	336.79	275.28	171.45	490.14	248.0	476.71	358.54	244.57	255.0	381.68	170.25	229.72	341.51	181.28
PHC3	205.5	358.54	237.86	84.04	131.51	84.63	95.34	164.42	162.14	87.65	231.32	81.14	199.85	99.43	102.97	264.03	139.07	146.03	189.02	229.72	171.45	84.04	90.14	271.48	123.5	116.78	144.01	277.2	130.6	258.57	119.26	371.22	145.02	129.69	53.95	228.13	141.02	173.85	119.26	82.87	100.83	246.28	91.41	265.87	236.21	102.25	121.79	158.79	137.14	185.11	275.28	102.25	115.97	323.03	197.09	94.01	246.28	297.17	173.85	307.69	133.36	111.99	214.27	111.21	165.57	265.87	343.89	106.63	117.6	82.29	99.43	285.03	144.01	358.54	194.36	157.68	104.42	185.11	166.73	97.36	379.04	130.6	281.09	255.0	130.6	133.36	283.05	84.04	154.42	293.07	94.01
PHF20L1	194.36	532.74	555.41	267.73	239.52	275.28	229.72	318.57	299.25	190.34	525.39	101.54	320.8	265.87	267.73	400.71	241.19	312.0	351.14	400.71	303.44	316.37	202.66	320.8	258.57	239.52	279.14	343.89	244.57	279.14	265.87	450.94	206.94	316.37	166.73	327.56	275.28	258.57	234.57	172.65	490.14	423.61	189.02	358.54	334.46	217.27	251.48	470.14	336.79	334.46	417.77	305.55	346.29	435.55	406.31	208.38	281.09	361.04	299.25	291.04	151.22	258.57	307.69	195.72	358.54	269.6	389.72	251.48	320.8	191.67	293.07	318.57	275.28	616.37	336.79	246.28	231.32	341.51	327.56	183.82	381.68	256.78	417.77	343.89	361.04	363.56	351.14	202.66	265.87	351.14	181.28
PIAS1	193.01	819.3	612.11	287.01	346.29	264.03	267.73	366.09	353.59	205.5	454.09	212.78	361.04	301.33	183.82	486.75	327.56	363.56	454.09	536.45	343.89	206.94	248.0	555.41	285.03	303.44	348.71	563.18	312.0	438.59	316.37	642.59	295.11	348.71	158.79	389.72	269.6	312.0	343.89	218.79	218.79	503.95	234.57	514.56	457.25	332.14	297.17	318.57	285.03	389.72	493.56	265.87	211.31	511.0	389.72	273.37	366.09	483.38	363.56	397.93	232.94	273.37	409.15	211.31	457.25	450.94	607.87	269.6	269.6	226.54	256.78	466.88	307.69	775.05	348.71	376.41	297.17	457.25	392.44	231.32	612.11	299.25	514.56	490.14	325.29	325.29	540.19	275.28	351.14	503.95	249.73
PIK3C2A	209.84	432.53	616.37	217.27	269.6	198.47	141.02	341.51	279.14	159.9	454.09	100.13	297.17	208.38	208.38	409.15	246.28	260.38	371.22	392.44	297.17	226.54	155.5	397.93	242.88	187.71	295.11	447.82	255.0	348.71	198.47	555.41	236.21	242.88	128.79	301.33	279.14	327.56	248.0	140.04	297.17	426.57	167.9	444.72	381.68	211.31	236.21	273.37	260.38	356.05	543.96	241.19	229.72	497.0	309.83	253.23	348.71	423.61	258.57	341.51	189.02	209.84	384.34	152.28	334.46	441.64	441.64	185.11	242.88	191.67	201.25	339.14	253.23	638.15	325.29	260.38	237.86	376.41	351.14	166.73	497.0	202.66	521.76	387.02	283.05	287.01	441.64	163.28	242.88	403.5	155.5
PIKFYVE	87.65	228.13	287.01	108.14	138.1	85.82	81.14	149.12	117.6	70.51	162.14	47.17	143.01	93.35	105.89	183.82	127.89	139.07	183.82	180.02	131.51	108.9	85.22	181.28	122.64	98.04	127.0	201.25	108.14	128.79	98.04	223.41	104.42	111.21	56.68	157.68	121.79	137.14	99.43	68.07	92.7	176.29	78.34	202.66	172.65	100.13	109.66	134.3	124.37	166.73	183.82	111.21	124.37	199.85	151.22	91.41	150.17	201.25	115.16	154.42	98.04	105.89	153.34	77.25	142.01	159.9	199.85	87.65	125.24	90.77	104.42	153.34	131.51	241.19	136.19	118.43	100.83	153.34	159.9	75.64	191.67	100.13	194.36	171.45	111.99	131.51	178.77	90.77	105.89	159.9	77.25
PLEKHM3	21.16	80.01	69.03	15.56	25.54	9.7	13.72	37.05	28.04	12.83	47.84	11.82	35.76	16.03	11.21	46.84	16.15	17.25	31.0	47.84	30.78	12.64	9.06	39.79	11.21	12.55	21.47	53.19	20.71	43.94	13.42	76.71	13.72	15.68	9.2	32.82	15.22	37.59	31.0	8.38	15.68	51.35	9.06	50.63	50.27	16.15	21.63	25.35	17.77	33.3	60.39	19.11	8.51	66.18	33.78	17.64	40.93	56.28	29.91	50.63	19.82	18.29	45.53	9.78	26.67	44.57	81.14	17.25	17.13	12.0	12.55	44.89	25.54	74.06	47.17	31.45	12.36	41.81	27.84	14.78	74.58	18.29	75.11	47.5	20.71	21.94	61.25	13.12	19.39	59.13	15.68
POT1	186.4	414.87	265.87	264.03	234.57	189.02	147.06	283.05	273.37	224.97	246.28	164.42	237.86	183.82	180.02	246.28	258.57	277.2	341.51	312.0	295.11	208.38	197.09	264.03	186.4	183.82	277.2	277.2	242.88	329.84	167.9	329.84	223.41	293.07	206.94	275.28	221.86	285.03	220.32	211.31	190.34	339.14	208.38	325.29	256.78	244.57	221.86	224.97	183.82	215.77	334.46	189.02	218.79	301.33	281.09	161.02	262.2	269.6	299.25	195.72	232.94	237.86	299.25	182.55	341.51	312.0	414.87	244.57	189.02	135.24	190.34	325.29	291.04	473.41	323.03	236.21	260.38	275.28	239.52	209.84	366.09	193.01	265.87	361.04	169.07	251.48	307.69	193.01	228.13	320.8	191.67
PPP6R3	571.05	708.18	842.36	764.36	878.17	759.08	571.05	890.44	674.59	500.46	1051.79	454.09	854.13	748.61	748.61	967.76	796.86	921.88	1030.12	1081.39	743.43	647.07	728.11	988.12	764.36	642.59	836.53	1313.23	796.86	884.29	684.02	1151.06	813.63	764.36	497.0	842.36	723.08	791.35	708.18	503.95	571.05	1023.0	529.06	941.27	890.44	591.22	708.18	1030.12	854.13	842.36	1208.34	819.3	785.88	1151.06	1191.69	660.68	974.5	1037.29	808.0	854.13	633.73	718.08	909.17	555.41	921.88	1008.9	1119.56	674.59	813.63	607.87	616.37	941.27	866.07	1498.22	872.1	718.08	728.11	890.44	872.1	599.49	1119.56	825.0	1111.82	1008.9	819.3	836.53	981.29	583.07	423.61	1066.48	571.05
PREPL	559.28	819.3	713.11	688.78	669.92	633.73	314.17	866.07	808.0	414.87	941.27	281.09	633.73	656.11	571.05	1008.9	547.75	928.3	902.89	1001.93	842.36	463.65	633.73	1096.5	791.35	591.22	674.59	1277.29	718.08	651.58	642.59	1088.92	808.0	866.07	473.41	651.58	620.67	884.29	591.22	343.89	684.02	830.75	414.87	872.1	928.3	693.58	764.36	738.29	529.06	928.3	1015.93	656.11	728.11	995.0	748.61	540.19	890.44	890.44	718.08	802.41	603.67	571.05	743.43	395.18	974.5	967.76	1159.07	693.58	708.18	480.04	638.15	591.22	607.87	1242.34	753.83	723.08	624.99	961.07	718.08	547.75	1135.2	642.59	909.17	1008.9	579.04	620.67	884.29	389.72	836.53	775.05	356.05
PRKAA1	438.59	1104.13	1295.13	361.04	547.75	356.05	289.02	518.15	454.09	318.57	665.29	215.77	620.67	379.04	358.54	633.73	373.81	521.76	693.58	723.08	387.02	358.54	197.09	438.59	389.72	303.44	379.04	587.13	373.81	575.03	400.71	603.67	376.41	511.0	198.47	500.46	358.54	575.03	371.22	583.07	332.14	620.67	353.59	642.59	470.14	332.14	486.75	559.28	518.15	486.75	674.59	379.04	532.74	693.58	500.46	318.57	647.07	647.07	470.14	525.39	248.0	450.94	595.34	392.44	511.0	432.53	518.15	373.81	447.82	334.46	316.37	679.29	438.59	759.08	583.07	414.87	384.34	525.39	599.49	293.07	718.08	400.71	693.58	698.41	518.15	412.0	669.92	334.46	473.41	603.67	281.09
PTAR1	120.94	409.15	417.77	117.6	130.6	125.24	90.77	170.25	132.44	86.43	177.53	54.33	173.85	116.78	133.36	239.52	140.04	165.57	201.25	236.21	166.73	108.9	98.04	212.78	141.02	94.67	166.73	249.73	124.37	138.1	76.71	277.2	162.14	132.44	75.64	161.02	146.03	165.57	136.19	48.52	96.01	271.48	79.45	234.57	214.27	91.41	145.02	145.02	151.22	176.29	228.13	123.5	147.06	264.03	209.84	116.78	180.02	220.32	144.01	202.66	78.89	122.64	185.11	113.56	180.02	189.02	256.78	122.64	141.02	99.43	115.97	214.27	161.02	366.09	194.36	139.07	140.04	182.55	176.29	111.99	232.94	120.1	273.37	264.03	114.36	132.44	208.38	91.41	129.69	215.77	97.36
QSER1	84.63	224.97	346.29	113.56	122.64	83.45	99.43	181.28	120.94	94.01	140.04	47.17	138.1	106.63	102.97	194.36	127.0	161.02	202.66	186.4	130.6	97.36	100.83	212.78	128.79	103.69	147.06	204.07	117.6	140.04	82.87	260.38	107.38	140.04	78.89	163.28	127.89	116.78	100.13	71.5	111.99	206.94	78.89	241.19	169.07	103.69	103.69	128.79	104.42	151.22	212.78	94.67	102.97	197.09	157.68	106.63	166.73	201.25	107.38	157.68	98.04	105.15	193.01	91.41	163.28	171.45	236.21	88.88	123.5	87.65	100.83	145.02	142.01	256.78	138.1	124.37	113.56	152.28	129.69	86.43	224.97	104.42	193.01	229.72	118.43	122.64	177.53	102.25	132.44	152.28	83.45
RAB2B	343.89	866.07	346.29	295.11	341.51	277.2	211.31	329.84	339.14	255.0	412.0	185.11	414.87	303.44	329.84	532.74	358.54	327.56	384.34	432.53	457.25	291.04	301.33	406.31	387.02	281.09	420.68	412.0	329.84	366.09	379.04	463.65	316.37	429.54	182.55	406.31	341.51	353.59	291.04	178.77	186.4	423.61	244.57	400.71	329.84	273.37	303.44	348.71	412.0	301.33	363.56	293.07	387.02	435.55	447.82	318.57	318.57	490.14	323.03	444.72	226.54	264.03	379.04	277.2	403.5	329.84	426.57	269.6	339.14	251.48	241.19	486.75	348.71	603.67	301.33	314.17	289.02	361.04	314.17	260.38	392.44	305.55	339.14	473.41	309.83	303.44	392.44	255.0	312.0	376.41	325.29
RAB3GAP2	180.02	285.03	305.55	178.77	212.78	153.34	144.01	256.78	234.57	176.29	242.88	124.37	221.86	166.73	162.14	273.37	202.66	214.27	289.02	267.73	232.94	165.57	150.17	264.03	187.71	154.42	193.01	285.03	182.55	224.97	161.02	318.57	195.72	209.84	116.78	224.97	191.67	212.78	181.28	182.55	172.65	281.09	164.42	309.83	251.48	177.53	182.55	214.27	199.85	232.94	297.17	169.07	193.01	295.11	229.72	176.29	262.2	287.01	189.02	223.41	161.02	187.71	248.0	167.9	258.57	281.09	327.56	165.57	206.94	164.42	199.85	236.21	183.82	376.41	226.54	198.47	170.25	279.14	262.2	156.59	320.8	177.53	293.07	299.25	189.02	187.71	281.09	152.28	197.09	253.23	130.6
