	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.AK.3425.01A.02R.1277.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.B0.4815.01A.01R.1503.07	TCGA.A3.3319.01A.02R.1325.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.BP.4176.01A.02R.1289.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13113.1326.SM.5GCOI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
RABL5	211.31	1936.53	1709.26	2148.82	1857.6	1757.34	1757.34	1250.98	1286.18	2335.28	2758.13	928.3	1651.0	1685.71	2384.37	1397.83	1583.71	1250.98	269.6	128.79	229.72	366.09	441.64	314.17	293.07	220.32	170.25	170.25	397.93	281.09	249.73	206.94	228.13	316.37	269.6	202.66	271.48	334.46	236.21	152.28	368.65	241.19	0.0	0.06
RALY	1127.35	3081.75	4298.64	3614.55	4152.18	2997.45	3901.01	3540.14	2573.36	2997.45	3665.02	3467.27	3639.7	2997.45	3768.09	3349.13	3018.3	3419.52	1127.35	1119.56	1059.11	1857.6	1487.87	1059.11	1322.37	1540.37	1151.06	1208.34	1508.65	1183.45	1721.16	830.75	1111.82	896.64	1295.13	1044.52	780.44	915.51	728.11	896.64	1088.92	1191.69	3467.27	723.08
RFC5	147.06	376.41	356.05	397.93	361.04	412.0	447.82	397.93	307.69	450.94	275.28	379.04	583.07	409.15	384.34	297.17	279.14	277.2	187.71	131.51	124.37	169.07	143.01	163.28	150.17	197.09	137.14	158.79	248.0	54.33	43.02	105.15	183.82	175.07	189.02	126.12	124.37	155.5	116.78	98.73	193.01	176.29	0.0	0.39
RIC8A	780.44	1498.22	2351.53	1437.15	1467.37	1605.83	1977.24	1617.0	1674.06	1819.35	1697.45	1529.73	1697.45	1457.23	1651.0	1378.57	1242.34	1242.34	616.37	559.28	738.29	1051.79	1088.92	1059.11	679.29	896.64	511.0	638.15	854.13	995.0	961.07	684.02	656.11	1066.48	848.22	503.95	591.22	713.11	638.15	473.41	748.61	728.11	0.0	0.71
RNPEPL1	1059.11	1806.78	3235.01	1477.58	1674.06	1745.2	2133.97	1583.71	1498.22	1628.26	2485.67	1674.06	2758.13	1457.23	2664.15	2537.92	1037.29	2895.31	796.86	713.11	941.27	1111.82	1081.39	1081.39	1697.45	995.0	669.92	1487.87	642.59	995.0	1467.37	1001.93	1023.0	785.88	860.08	1617.0	941.27	759.08	679.29	587.13	1697.45	1832.01	0.0	0.45
RP11-145E5.5	0.0	4.35	0.0	1.17	6.06	0.0	0.0	3.76	0.71	0.0	0.0	0.0	0.0	2.58	0.0	1.14	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88	0.0	0.0	0.0	0.0	0.0
RTFDC1	1259.69	2997.45	3491.39	3124.78	3103.19	2645.74	3515.68	2555.58	2319.15	2591.27	2303.12	2537.92	3443.31	2915.45	2061.24	2209.26	2956.17	3325.99	1322.37	1199.98	1183.45	1508.65	1819.35	1233.75	1794.29	1519.15	1498.22	1151.06	1561.89	1313.23	1697.45	1359.57	1540.37	1745.2	1529.73	1001.93	1259.69	1369.04	1242.34	1417.35	1745.2	1407.55	2485.67	583.07
SCD	1909.85	7857.29	5219.6	3395.89	9474.59	9151.82	9474.59	5479.15	2895.31	13776.25	4972.34	2915.45	4210.15	4038.61	4181.07	2976.74	3589.58	3794.3	1832.01	5517.27	4836.35	1909.85	7382.04	25354.3	974.5	1883.54	4575.41	5711.87	18950.18	11745.96	4066.71	2287.2	8078.22	780.44	1023.0	2224.63	4704.07	1059.11	2895.31	8022.41	748.61	8963.45	2835.7	591.22
SLC10A3	162.14	603.67	1199.98	866.07	486.75	802.41	1127.35	595.34	591.22	532.74	995.0	529.06	518.15	511.0	860.08	497.0	595.34	1073.91	143.01	221.86	264.03	348.71	638.15	134.3	223.41	102.97	186.4	403.5	94.67	246.28	246.28	141.02	129.69	143.01	185.11	201.25	85.22	96.68	65.72	94.67	197.09	167.9	0.0	0.66
SLC25A3	7280.4	9808.75	12329.98	12943.04	13776.25	16496.96	10959.3	11827.67	11035.54	11504.21	10585.95	9673.69	14262.1	10512.82	13492.72	15392.14	12415.75	9606.86	7081.29	6887.62	6607.01	6121.9	10296.45	6792.79	10014.87	7857.29	8421.31	9740.98	6516.03	8963.45	6294.04	7911.95	9606.86	6935.54	10440.2	9876.98	6381.92	8538.88	5292.48	7382.04	10440.2	5711.87	10225.32	775.05
SLC2A13	79.45	295.11	237.86	251.48	162.14	214.27	303.44	162.14	162.14	65.72	239.52	147.06	447.82	215.77	84.63	151.22	287.01	138.1	85.82	43.63	92.7	52.08	46.5	166.73	32.36	41.81	92.7	40.36	125.24	80.01	34.75	29.91	71.0	74.58	66.65	51.35	52.82	76.17	77.79	37.59	46.84	149.12	0.0	0.39
SLC7A10	3.35	34.02	1.13	3.63	31.45	3.59	0.38	35.25	3.96	1.19	4.54	3.11	1.17	1.89	4.46	5.92	0.38	3.66	0.61	2.92	0.64	4.43	0.0	0.78	0.0	0.69	4.82	3.47	4.82	4.24	3.66	0.0	2.97	0.0	6.94	11.73	2.97	5.92	6.73	0.0	0.0	3.89	0.0	0.0
SMAGP	92.7	872.1	1044.52	2224.63	988.12	830.75	2119.22	860.08	909.17	1350.18	1096.5	693.58	2271.4	995.0	902.89	947.83	1167.14	890.44	120.1	142.01	170.25	260.38	220.32	190.34	293.07	633.73	109.66	135.24	215.77	214.27	146.03	248.0	214.27	55.49	232.94	98.04	212.78	189.02	55.1	88.88	177.53	115.16	921.88	323.03
SNRPB	1437.15	2609.3	5995.9	2835.7	3665.02	2485.67	4239.45	4543.8	2119.22	3395.89	3847.29	3395.89	1477.58	3018.3	3901.01	3820.7	2384.37	2645.74	1111.82	1769.57	1322.37	2090.03	3325.99	2061.24	1950.0	2104.58	1407.55	1963.57	1199.98	3716.2	1991.0	2061.24	2224.63	1259.69	2682.69	1628.26	988.12	1529.73	1378.57	1388.16	2351.53	1295.13	0.0	1.0
SPNS1	507.46	780.44	1159.07	591.22	995.0	785.88	1331.57	915.51	988.12	713.11	854.13	890.44	1104.13	718.08	915.51	1104.13	563.18	785.88	547.75	532.74	389.72	567.1	679.29	371.22	559.28	490.14	336.79	559.28	529.06	341.51	503.95	366.09	429.54	429.54	397.93	400.71	358.54	341.51	493.56	389.72	647.07	429.54	0.0	0.56
SRSF9	2163.77	4802.93	5076.84	4836.35	4388.98	5672.41	5147.73	4769.75	4607.24	5076.84	4095.0	4239.45	6337.83	4239.45	5479.15	3395.89	3928.15	3874.05	2520.38	1950.0	2485.67	2816.11	2895.31	3325.99	2796.65	2956.17	2645.74	2271.4	2758.13	3794.3	2976.74	2627.46	2627.46	2537.92	3060.45	1378.57	2400.97	3515.68	2384.37	1950.0	2351.53	2271.4	5076.84	457.25
STMN3	37.59	1662.49	2224.63	1745.2	7485.11	1350.18	2935.74	1304.15	1051.79	2468.49	2835.7	1498.22	1806.78	2193.99	1870.53	1417.35	995.0	2178.83	34.02	34.02	42.11	283.05	172.65	23.25	126.12	41.22	14.67	35.25	19.25	102.25	81.14	18.56	8.13	65.26	17.51	31.0	8.65	18.56	26.86	1.58	27.64	34.26	0.0	0.82
SYS1	575.03	1331.57	1806.78	1407.55	1369.04	1096.5	1508.65	1286.18	896.64	1529.73	1135.2	1167.14	1594.73	1225.22	698.41	1183.45	1447.15	1407.55	633.73	842.36	775.05	728.11	1127.35	947.83	896.64	679.29	941.27	981.29	723.08	1340.84	1037.29	1001.93	743.43	802.41	785.88	723.08	791.35	813.63	743.43	674.59	785.88	813.63	0.0	0.16
TAPBPL	532.74	967.76	1583.71	1073.91	1437.15	1350.18	2061.24	1322.37	1781.89	2032.85	842.36	1923.14	2664.15	1498.22	1896.65	1991.0	1519.15	1388.16	738.29	825.0	429.54	1015.93	718.08	679.29	688.78	1437.15	224.97	1529.73	423.61	409.15	890.44	620.67	633.73	674.59	480.04	450.94	438.59	371.22	1073.91	1015.93	638.15	460.44	0.0	0.55
TBC1D7	353.59	381.68	651.58	500.46	575.03	866.07	536.45	392.44	493.56	432.53	599.49	529.06	432.53	423.61	1350.18	403.5	423.61	688.78	379.04	231.32	209.84	256.78	262.2	417.77	454.09	444.72	287.01	143.01	417.77	255.0	329.84	334.46	320.8	279.14	376.41	363.56	271.48	389.72	318.57	320.8	376.41	409.15	0.0	0.56
TCF19	23.25	420.68	896.64	279.14	842.36	733.19	748.61	279.14	249.73	1529.73	299.25	234.57	285.03	346.29	264.03	100.13	162.14	201.25	14.45	7.94	20.11	87.65	20.26	63.45	53.95	60.82	11.82	14.45	39.5	10.0	32.59	4.74	113.56	19.97	37.05	4.21	9.27	5.73	5.32	5.68	10.63	15.34	0.0	0.0
TCTN1	395.18	3467.27	2777.33	2701.35	2240.11	2417.67	2796.65	2240.11	2701.35	2133.97	2976.74	1896.65	2976.74	2209.26	4239.45	2032.85	1721.16	1295.13	361.04	248.0	285.03	414.87	343.89	323.03	291.04	366.09	134.3	208.38	343.89	93.35	381.68	138.1	186.4	239.52	99.43	414.87	327.56	126.12	295.11	181.28	518.15	325.29	0.0	0.39
TMBIM4	2855.44	4210.15	4836.35	4298.64	3794.3	5441.3	4512.4	4543.8	3639.7	5633.22	3955.48	3639.7	4095.0	3257.52	4972.34	3540.14	5292.48	4010.71	2573.36	2104.58	2609.3	3060.45	2956.17	4268.94	3190.46	2485.67	4066.71	1721.16	4388.98	2537.92	2468.49	2178.83	3280.18	3235.01	2720.15	2434.5	3564.78	3280.18	3955.48	2915.45	3467.27	3467.27	0.0	0.87
TMCC1	289.02	2485.67	3081.75	2384.37	1977.24	2133.97	4358.66	1936.53	1757.34	10883.59	2287.2	836.53	3419.52	3349.13	1322.37	1781.89	1963.57	3060.45	486.75	860.08	928.3	343.89	241.19	684.02	189.02	397.93	441.64	1159.07	325.29	642.59	1088.92	353.59	447.82	305.55	884.29	417.77	224.97	507.46	872.1	121.79	223.41	387.02	281.09	264.03
TMED2	3820.7	7180.15	5329.3	6792.79	7695.57	6935.54	9740.98	6840.04	5995.9	5791.62	3928.15	4869.99	12589.08	5041.77	4181.07	5555.65	6699.25	4639.29	4937.99	3018.3	5479.15	3212.66	5633.22	7032.37	4419.52	2997.45	6381.92	2400.97	4038.61	6471.02	3768.09	4972.34	4328.55	5366.37	5366.37	2935.74	4543.8	6745.86	5479.15	3280.18	4543.8	3491.39	7280.4	2758.13
TMED3	195.72	2193.99	3235.01	2032.85	2664.15	2335.28	3901.01	2609.3	1857.6	1923.14	2303.12	1313.23	1896.65	1572.76	3190.46	2997.45	2777.33	1540.37	305.55	112.77	301.33	536.45	2664.15	703.28	406.31	507.46	55.49	256.78	220.32	698.41	1674.06	466.88	400.71	90.77	500.46	211.31	36.27	265.87	260.38	52.08	1388.16	177.53	0.0	0.33
TMEM116	163.28	361.04	271.48	397.93	371.22	432.53	423.61	299.25	351.14	547.75	258.57	339.14	312.0	343.89	289.02	289.02	379.04	249.73	169.07	146.03	172.65	208.38	133.36	164.42	206.94	214.27	151.22	299.25	392.44	60.39	157.68	145.02	144.01	262.2	141.02	99.43	237.86	244.57	177.53	137.14	102.97	187.71	0.0	0.36
TMEM140	1044.52	4123.49	2609.3	3146.52	2935.74	1857.6	3540.14	3039.3	2573.36	4736.79	2915.45	2468.49	2502.97	4152.18	5255.91	3982.99	2119.22	3372.43	1457.23	1498.22	836.53	1583.71	466.88	1001.93	1104.13	1286.18	764.36	934.76	1769.57	348.71	1487.87	651.58	981.29	1037.29	941.27	1819.35	1340.84	381.68	1427.22	1447.15	1151.06	1745.2	0.0	0.16
TMEM150A	591.22	1081.39	708.18	1350.18	825.0	769.69	1447.15	607.87	633.73	1059.11	1277.29	842.36	753.83	728.11	1378.57	647.07	603.67	909.17	599.49	532.74	432.53	665.29	698.41	480.04	507.46	796.86	320.8	733.19	559.28	295.11	518.15	796.86	525.39	620.67	409.15	563.18	616.37	406.31	1143.1	476.71	507.46	738.29	521.76	890.44
TMEM230	2816.11	4671.57	4639.29	4512.4	4181.07	3257.52	6037.61	4095.0	2434.5	4575.41	3665.02	3467.27	1819.35	3257.52	3280.18	2835.7	4769.75	3955.48	3124.78	2485.67	3018.3	3081.75	3060.45	4239.45	3280.18	3190.46	2739.08	1870.53	3901.01	1709.26	2537.92	2075.59	2758.13	3190.46	2240.11	2956.17	3060.45	3589.58	3768.09	2537.92	3564.78	4268.94	0.0	0.61
TMEM41A	226.54	518.15	551.56	575.03	480.04	363.56	679.29	447.82	387.02	718.08	497.0	353.59	713.11	607.87	432.53	312.0	414.87	555.41	297.17	277.2	229.72	248.0	417.77	162.14	341.51	208.38	332.14	224.97	275.28	214.27	195.72	358.54	341.51	346.29	339.14	256.78	242.88	463.65	209.84	295.11	221.86	223.41	444.72	275.28
TSPAN17	334.46	785.88	890.44	1037.29	947.83	775.05	1127.35	934.76	785.88	967.76	808.0	785.88	825.0	1151.06	967.76	961.07	684.02	854.13	269.6	154.42	242.88	348.71	414.87	438.59	426.57	403.5	249.73	237.86	329.84	432.53	376.41	289.02	343.89	242.88	397.93	253.23	242.88	314.17	303.44	139.07	406.31	334.46	0.0	0.55
TUBB3	19.82	314.17	1250.98	199.85	665.29	264.03	848.22	503.95	220.32	738.29	743.43	176.29	728.11	183.82	297.17	171.45	130.6	121.79	7.22	8.06	11.04	122.64	267.73	18.84	1.01	14.45	8.58	14.45	8.58	20.56	55.1	5.36	7.0	19.82	0.0	1.43	0.06	8.58	14.45	0.0	1.48	3.56	0.0	0.35
TWF1	693.58	1733.13	1583.71	2018.8	1594.73	1857.6	1628.26	1322.37	1457.23	2835.7	1697.45	1199.98	3491.39	1417.35	1250.98	1037.29	1721.16	1199.98	769.69	483.38	954.43	457.25	738.29	872.1	583.07	450.94	934.76	334.46	738.29	759.08	587.13	514.56	595.34	660.68	780.44	642.59	587.13	909.17	450.94	483.38	624.99	759.08	4671.57	921.88
UBE2I	723.08	2004.85	3491.39	1909.85	2417.67	2384.37	2609.3	2032.85	2664.15	2335.28	2209.26	2351.53	2720.15	2163.77	2240.11	2271.4	1769.57	2004.85	780.44	896.64	1151.06	1378.57	1781.89	909.17	909.17	890.44	1073.91	1183.45	656.11	1340.84	1378.57	909.17	1023.0	743.43	780.44	825.0	616.37	748.61	563.18	376.41	921.88	723.08	2895.31	5441.3
UNG	629.35	934.76	802.41	884.29	769.69	1051.79	1268.46	884.29	921.88	909.17	603.67	819.3	1159.07	808.0	791.35	728.11	713.11	830.75	490.14	400.71	460.44	629.35	400.71	587.13	529.06	669.92	420.68	624.99	796.86	291.04	470.14	212.78	718.08	476.71	392.44	406.31	638.15	301.33	303.44	503.95	412.0	563.18	0.0	0.46
VPS33A	148.09	493.56	395.18	435.55	351.14	423.61	500.46	368.65	371.22	334.46	406.31	334.46	563.18	435.55	309.83	417.77	392.44	363.56	232.94	99.43	187.71	178.77	379.04	232.94	228.13	205.5	285.03	185.11	234.57	152.28	212.78	175.07	253.23	239.52	281.09	143.01	260.38	244.57	181.28	181.28	214.27	186.4	363.56	66.65
WNT5B	67.59	361.04	10.08	95.34	228.13	239.52	36.27	389.72	71.0	23.42	7.46	137.14	190.34	285.03	36.53	59.55	80.57	86.43	63.0	63.0	24.11	70.51	43.02	30.56	33.06	409.15	21.16	6.26	320.8	3.99	16.39	44.57	21.94	38.95	48.18	23.76	16.63	67.12	34.02	34.75	15.68	55.1	0.0	0.46
WT1	0.0	220.32	82.29	154.42	237.86	143.01	226.54	6.16	63.0	166.73	236.21	38.95	325.29	45.53	87.03	155.5	111.99	12.64	6.21	9.27	12.74	67.12	22.92	0.93	17.25	0.0	10.08	0.0	0.0	12.64	2.86	0.92	2.43	8.38	3.0	4.1	0.0	0.0	1.46	0.33	1.64	0.24	0.0	0.0
XKR3	0.0	0.74	6.21	1.97	16.27	16.27	1.45	5.68	4.21	2.71	3.23	0.77	3.44	0.38	4.74	1.55	4.74	2.86	0.0	0.0	0.58	0.0	10.88	0.0	1.45	0.0	0.0	0.0	0.0	0.0	1.23	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.0
YIPF2	884.29	1350.18	1781.89	1819.35	1617.0	915.51	2119.22	1225.22	1183.45	1233.75	981.29	802.41	1457.23	1359.57	1909.85	1519.15	974.5	1233.75	693.58	819.3	674.59	813.63	1437.15	1250.98	612.11	902.89	532.74	500.46	665.29	1175.27	780.44	764.36	728.11	934.76	738.29	860.08	785.88	1322.37	1583.71	435.55	718.08	748.61	3874.05	12244.81
YKT6	366.09	1322.37	2061.24	1819.35	1397.83	1208.34	1651.0	1175.27	961.07	2061.24	1844.76	1350.18	1561.89	1143.1	1340.84	1183.45	1127.35	1151.06	356.05	267.73	400.71	454.09	764.36	540.19	466.88	361.04	490.14	403.5	305.55	723.08	463.65	536.45	454.09	571.05	470.14	395.18	307.69	599.49	435.55	115.97	376.41	366.09	0.0	0.6
ZDHHC7	239.52	723.08	854.13	743.43	1447.15	780.44	1498.22	684.02	1447.15	624.99	536.45	780.44	1467.37	961.07	473.41	825.0	860.08	775.05	260.38	239.52	318.57	246.28	229.72	92.7	206.94	187.71	98.04	332.14	140.04	248.0	269.6	271.48	170.25	88.26	193.01	226.54	170.25	106.63	218.79	107.38	249.73	318.57	0.0	0.84
