	GTEX.ZVZP.1626.SM.5GIDJ	GTEX.11P81.1026.SM.5GU54	GTEX.XBEW.1526.SM.4AT4K	GTEX.ZT9W.1426.SM.4YCD2	GTEX.Y3I4.0926.SM.4TT2B	GTEX.13RTK.0426.SM.5RQHT	GTEX.131XG.1126.SM.5DUWR	GTEX.13D11.2026.SM.5IJBK	GTEX.13YAN.1826.SM.5LU3Q	GTEX.XUW1.1326.SM.4BOO1	GTEX.146FR.0526.SM.5Q5EX	GTEX.WH7G.1026.SM.4LVML	GTEX.WFG8.1026.SM.4LVMZ	GTEX.TMMY.1226.SM.4DXT6	GTEX.12C56.1126.SM.5FQTO	GTEX.ZT9W.1226.SM.57WE4	GTEX.145LV.1426.SM.5Q5BV	GTEX.1211K.1026.SM.5EQ4B	GTEX.ZXES.1226.SM.5NQ8G	GTEX.13OVI.2526.SM.5KM4V	GTEX.UPIC.0626.SM.4IHK2	GTEX.13RTK.0626.SM.5Q5EK	GTEX.145ME.0626.SM.5O99Q	GTEX.XUW1.1526.SM.4BOOY	GTEX.NFK9.1226.SM.3LK79	GTEX.OIZG.0926.SM.3LK5Y	GTEX.QCQG.0726.SM.48U1Z	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4GY.11A.11R.A36D.31
VAT1	2075.59	2573.36	1498.22	1662.49	1519.15	1819.35	2468.49	2319.15	4972.34	2075.59	1883.54	1769.57	1950.0	2075.59	1498.22	1662.49	1950.0	1757.34	2573.36	1844.76	2367.9	1896.65	1066.48	1870.53	2434.5	4704.07	2090.03	954.43	1119.56	934.76	1151.06	2915.45	1277.29	909.17	753.83	830.75	674.59	825.0	748.61	872.1	1313.23	1950.0	1733.13	934.76	1313.23	1844.76	669.92	1594.73	1487.87	947.83	921.88	1437.15	1183.45	444.72	1250.98	1151.06	1572.76	802.41	785.88	1950.0	518.15	1378.57	934.76	2335.28	708.18	1225.22	2739.08	2609.3	1572.76	1721.16	161.02	2255.7	1709.26	4095.0	1923.14	2047.0	2193.99
WBP2	2997.45	3325.99	3443.31	3928.15	3325.99	3847.29	3419.52	3235.01	4512.4	4095.0	4239.45	3874.05	4358.66	2835.7	4704.07	3955.48	3614.55	4937.99	3928.15	5366.37	4512.4	3280.18	3982.99	3901.01	3768.09	3257.52	4268.94	3060.45	2956.17	2434.5	3349.13	3540.14	2796.65	2468.49	2956.17	2701.35	5041.77	3168.41	1857.6	2485.67	2720.15	2255.7	2758.13	4419.52	3955.48	2664.15	2855.44	2758.13	3349.13	1977.24	2303.12	3190.46	2895.31	5791.62	3212.66	4543.8	2664.15	3768.09	4038.61	3928.15	3467.27	2935.74	3212.66	4736.79	2796.65	2855.44	2956.17	2855.44	2701.35	0.0	0.87	3955.48	4450.27	5441.3	2777.33	4639.29	5594.3
WDR93	2.89	6.21	6.67	2.51	3.44	10.08	2.43	4.98	3.92	2.01	3.96	7.94	9.93	5.41	3.56	1.85	5.59	5.73	5.32	4.82	3.44	7.82	4.5	4.35	2.07	3.56	3.08	1.64	6.16	1.55	1.69	0.0	1.41	0.26	0.89	0.0	1.89	0.0	0.0	3.96	3.47	0.39	0.0	0.0	1.27	1.19	0.88	0.3	2.1	3.56	1.99	2.27	1.31	0.36	0.0	0.87	4.54	3.23	0.0	1.83	0.0	3.63	3.92	1.57	1.97	1.83	1.36	0.0	0.74	0.0	0.0	1.39	4.1	10.79	1.73	3.44	12.45
ZNF174	173.85	285.03	183.82	209.84	169.07	218.79	231.32	265.87	228.13	224.97	177.53	297.17	226.54	285.03	191.67	183.82	220.32	228.13	223.41	232.94	353.59	231.32	214.27	255.0	318.57	323.03	214.27	108.9	101.54	94.01	85.82	116.78	72.52	87.03	82.87	74.06	54.33	88.26	91.41	68.07	109.66	109.66	114.36	52.45	113.56	124.37	60.39	96.68	108.9	90.14	104.42	102.25	61.68	57.08	74.58	99.43	95.34	106.63	73.03	111.99	77.79	65.72	59.13	52.08	94.01	114.36	90.77	82.87	105.89	0.0	0.0	256.78	346.29	258.57	224.97	312.0	348.71
ZNF34	162.14	253.23	215.77	249.73	185.11	198.47	217.27	214.27	251.48	241.19	208.38	214.27	248.0	189.02	178.77	211.31	236.21	201.25	228.13	303.44	264.03	221.86	172.65	271.48	231.32	214.27	157.68	81.14	61.68	57.49	50.63	91.41	99.43	26.67	37.85	60.82	46.18	52.82	40.36	36.27	65.72	62.12	54.33	39.22	67.59	65.72	39.5	67.59	39.5	78.89	37.32	31.67	48.52	51.71	77.79	121.79	64.34	81.14	32.59	63.0	32.82	78.34	69.52	52.45	47.84	65.26	28.65	47.84	59.13	0.0	0.34	234.57	314.17	281.09	145.02	269.6	341.51
ZNF362	417.77	503.95	500.46	575.03	511.0	536.45	616.37	536.45	567.1	460.44	395.18	536.45	620.67	521.76	473.41	493.56	441.64	497.0	587.13	575.03	884.29	493.56	343.89	507.46	551.56	753.83	518.15	151.22	124.37	144.01	130.6	251.48	144.01	66.18	100.13	158.79	92.05	209.84	107.38	70.51	127.89	193.01	181.28	47.84	89.51	103.69	109.66	105.15	170.25	236.21	136.19	119.26	140.04	69.52	94.01	246.28	198.47	162.14	105.15	170.25	94.01	178.77	115.16	81.14	239.52	134.3	140.04	72.52	117.6	0.0	0.27	660.68	878.17	1001.93	466.88	941.27	915.51
ZNF496	293.07	563.18	314.17	450.94	414.87	397.93	441.64	454.09	463.65	466.88	392.44	406.31	466.88	473.41	412.0	358.54	366.09	348.71	454.09	438.59	473.41	403.5	397.93	514.56	591.22	480.04	307.69	53.57	70.01	59.13	67.12	327.56	42.11	6.89	56.28	35.0	23.76	154.42	88.88	30.78	80.01	45.21	114.36	189.02	45.85	102.97	74.06	25.17	49.91	59.97	87.65	113.56	70.01	34.51	24.81	102.25	57.49	146.03	113.56	119.26	56.28	101.54	72.52	13.52	69.52	49.56	19.25	18.16	23.08	0.0	0.65	417.77	599.49	457.25	351.14	450.94	738.29
ZNF534	6.52	2.97	9.48	6.21	3.41	5.59	6.36	2.34	9.34	2.84	4.86	13.22	4.39	2.18	8.0	7.57	2.56	7.94	4.9	13.52	5.41	8.99	2.29	3.17	10.79	17.13	10.24	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	0.0	1.13	2.29	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	1.06	0.0	1.06	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.09	1.57	19.11	4.62	0.0	5.54	17.13
ZNF554	58.71	97.36	102.97	76.17	55.89	81.14	145.02	73.54	106.63	95.34	53.95	77.25	90.77	82.29	120.94	75.64	74.06	87.65	98.04	150.17	162.14	90.14	119.26	96.68	96.01	105.89	59.13	56.28	34.26	35.5	25.91	37.32	34.26	31.67	41.52	42.41	17.13	60.82	31.45	20.71	64.8	34.26	45.85	18.84	20.86	27.05	31.45	39.5	32.82	36.01	35.25	43.02	44.25	30.12	63.45	59.55	23.76	49.91	24.81	35.25	37.85	56.28	40.93	31.0	35.0	28.65	32.59	43.32	28.24	0.0	0.01	60.82	92.05	70.01	87.65	77.25	85.82
ZNF620	46.18	55.89	51.71	47.5	51.35	39.79	53.95	75.11	62.56	50.98	43.94	67.59	52.82	32.13	55.89	21.01	38.67	32.82	41.81	59.97	73.03	41.52	31.0	53.95	78.34	50.63	55.1	14.89	14.14	14.67	20.26	27.84	18.97	14.89	20.11	26.67	10.88	28.45	16.63	21.16	21.16	16.63	19.25	28.45	26.67	25.54	15.8	19.68	29.27	30.78	18.29	16.51	11.82	24.99	17.77	11.82	13.72	7.11	22.75	17.9	22.92	32.13	15.34	5.54	12.55	9.13	21.01	12.18	14.03	0.0	0.17	61.25	76.17	87.65	77.79	56.28	87.65
ZNF8	57.49	66.65	56.68	58.71	58.71	76.71	57.49	72.52	67.59	75.64	63.45	67.12	53.57	59.13	42.11	64.34	53.95	78.34	68.07	91.41	63.89	59.13	81.14	84.04	67.12	66.65	52.82	8.92	13.12	14.78	12.0	14.89	8.78	7.46	18.29	21.63	0.0	14.03	7.88	17.9	9.56	26.1	10.47	13.62	14.89	1.51	18.03	9.06	0.0	20.11	18.7	13.32	14.14	6.57	20.71	16.39	12.74	17.77	14.24	31.22	8.38	18.16	12.93	5.11	17.64	12.36	15.91	24.46	8.19	0.0	0.2	62.12	142.01	119.26	105.89	3.5	131.51
