	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.14C38.2626.SM.5RQI4	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.05.4389.01A.01R.1206.07	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.39.5011.01A.01R.1443.07	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.EL.A3GP.01A.11R.A206.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.A5.A3LP.01A.11R.A22K.07
MTPAP	211.31	334.46	275.28	307.69	212.78	435.55	91.41	248.0	130.6	111.99	148.09	110.43	153.34	164.42	71.5	130.6	96.68	82.87	132.44	153.34	143.01	246.28	150.17	87.65	151.22	141.02	208.38	102.97	158.79	159.9	112.77	126.12	112.77	129.69	301.33	145.02	214.27	191.67	142.01	113.56	87.65	173.85	72.52	186.4	211.31	113.56	229.72	241.19	98.73	126.12	150.17	116.78	164.42	114.36	139.07	100.13	88.88	119.26	100.13	123.5	130.6	208.38	78.34	167.9	133.36	119.26	105.89	100.83	108.9	120.94	98.73	62.12	133.36	90.77	297.17	169.07	173.85	224.97	525.39	299.25	307.69	291.04	267.73	211.31	353.59	169.07	137.14	195.72	142.01	177.53	199.85	171.45	115.16	258.57	137.14	258.57	204.07	176.29	107.38	152.28	175.07	113.56	221.86	165.57	145.02	136.19	161.02	249.73	249.73	287.01	205.5	171.45	490.14	361.04
MYSM1	87.65	353.59	144.01	195.72	96.68	376.41	68.55	242.88	80.57	62.12	46.5	27.84	28.45	64.34	7.94	42.71	50.98	38.12	76.71	75.64	58.71	175.07	44.25	26.1	80.57	60.39	50.27	49.91	25.54	94.67	44.25	110.43	50.98	65.72	96.68	53.95	66.18	66.65	39.5	63.0	50.27	120.94	50.27	68.55	117.6	47.84	122.64	199.85	52.82	32.59	93.35	75.64	67.59	96.01	72.01	74.06	35.76	39.22	37.85	63.89	40.36	71.5	47.84	228.13	42.41	71.5	46.5	31.22	27.44	108.9	69.03	25.35	75.11	30.34	82.87	122.64	258.57	96.01	543.96	221.86	275.28	343.89	215.77	79.45	301.33	77.79	90.14	124.37	109.66	64.8	206.94	120.1	101.54	183.82	90.77	215.77	98.73	143.01	31.9	88.88	139.07	90.14	178.77	99.43	162.14	99.43	106.63	76.17	228.13	79.45	134.3	103.69	620.67	83.45
NBN	366.09	1088.92	587.13	1359.57	633.73	1519.15	848.22	921.88	279.14	309.83	291.04	194.36	271.48	368.65	77.25	167.9	231.32	164.42	587.13	231.32	281.09	511.0	420.68	435.55	224.97	332.14	223.41	336.79	248.0	376.41	409.15	470.14	151.22	309.83	603.67	368.65	170.25	138.1	255.0	260.38	299.25	371.22	332.14	172.65	373.81	265.87	316.37	392.44	563.18	251.48	507.46	438.59	607.87	285.03	336.79	217.27	73.54	217.27	208.38	206.94	195.72	212.78	128.79	242.88	180.02	142.01	193.01	171.45	320.8	128.79	264.03	171.45	170.25	258.57	379.04	412.0	392.44	379.04	1447.15	679.29	743.43	358.54	420.68	283.05	620.67	532.74	346.29	444.72	409.15	373.81	500.46	575.03	256.78	473.41	563.18	961.07	470.14	444.72	204.07	409.15	376.41	426.57	371.22	285.03	902.89	379.04	329.84	457.25	320.8	514.56	507.46	305.55	954.43	414.87
NEDD1	190.34	532.74	242.88	320.8	314.17	536.45	150.17	368.65	120.94	72.01	118.43	100.83	120.1	148.09	30.78	100.83	77.25	62.12	87.03	65.26	59.97	88.26	63.45	75.64	38.67	44.89	64.34	53.57	56.28	120.1	42.41	142.01	40.64	47.84	129.69	58.71	59.55	57.08	68.07	46.18	35.25	114.36	30.56	53.57	92.05	51.71	118.43	141.02	51.35	54.33	87.03	69.52	113.56	105.15	88.26	45.85	17.9	48.18	41.52	43.94	34.02	29.06	34.02	108.14	26.86	36.27	61.68	32.13	53.57	20.71	59.55	24.46	27.64	66.18	220.32	167.9	119.26	285.03	368.65	244.57	277.2	277.2	264.03	159.9	463.65	171.45	122.64	164.42	205.5	194.36	285.03	165.57	111.21	217.27	246.28	571.05	190.34	172.65	82.29	226.54	218.79	190.34	202.66	161.02	95.34	138.1	236.21	181.28	143.01	249.73	146.03	217.27	607.87	127.0
NGDN	769.69	1151.06	836.53	988.12	679.29	1407.55	279.14	2119.22	738.29	738.29	764.36	507.46	503.95	813.63	551.56	521.76	728.11	748.61	1044.52	599.49	819.3	587.13	679.29	559.28	896.64	813.63	961.07	866.07	1081.39	785.88	665.29	988.12	775.05	723.08	466.88	647.07	660.68	961.07	896.64	638.15	616.37	934.76	769.69	738.29	1519.15	780.44	842.36	909.17	775.05	1030.12	775.05	743.43	808.0	651.58	796.86	753.83	447.82	514.56	547.75	693.58	759.08	764.36	633.73	813.63	551.56	500.46	656.11	470.14	435.55	473.41	579.04	283.05	438.59	447.82	1073.91	2555.58	713.11	1407.55	1781.89	1286.18	1030.12	1199.98	1498.22	1104.13	1757.34	884.29	954.43	902.89	947.83	669.92	674.59	1216.75	872.1	536.45	417.77	802.41	1066.48	921.88	329.84	599.49	1119.56	1242.34	575.03	830.75	708.18	769.69	878.17	1651.0	848.22	1487.87	775.05	1066.48	1457.23	1313.23
NKRF	166.73	214.27	182.55	279.14	151.22	339.14	703.28	297.17	92.7	96.68	107.38	66.18	88.26	107.38	29.27	91.41	69.52	54.33	159.9	95.34	102.97	98.04	89.51	74.06	88.26	199.85	100.13	125.24	102.25	106.63	64.34	135.24	99.43	145.02	152.28	90.14	75.64	65.72	206.94	57.89	140.04	147.06	52.45	111.21	143.01	103.69	100.83	165.57	57.08	177.53	149.12	113.56	111.99	75.64	98.04	145.02	49.21	114.36	70.51	98.73	166.73	120.94	66.18	76.71	88.26	86.43	68.55	113.56	59.97	127.0	102.25	97.36	85.22	69.03	152.28	246.28	108.9	111.21	232.94	242.88	201.25	287.01	150.17	191.67	249.73	107.38	103.69	161.02	104.42	121.79	105.89	171.45	82.87	120.1	123.5	193.01	118.43	85.22	111.21	105.89	131.51	121.79	87.03	94.01	102.97	100.83	193.01	178.77	172.65	273.37	100.13	123.5	318.57	166.73
NOC3L	231.32	371.22	221.86	205.5	265.87	543.96	130.6	381.68	157.68	131.51	130.6	67.12	99.43	180.02	25.35	50.63	74.58	64.8	125.24	105.89	155.5	145.02	84.04	85.82	107.38	100.13	94.67	78.89	113.56	119.26	74.06	130.6	63.0	105.15	126.12	101.54	102.97	87.65	140.04	82.87	70.01	195.72	70.51	113.56	94.01	114.36	211.31	239.52	72.01	127.0	123.5	124.37	136.19	77.25	98.73	101.54	17.38	95.34	93.35	81.71	96.68	145.02	113.56	104.42	72.52	62.12	78.34	104.42	88.88	90.14	71.0	28.65	55.89	76.71	376.41	202.66	139.07	305.55	389.72	267.73	283.05	159.9	262.2	241.19	244.57	154.42	131.51	178.77	150.17	189.02	163.28	236.21	115.16	143.01	176.29	318.57	143.01	197.09	119.26	121.79	171.45	149.12	173.85	149.12	76.71	155.5	220.32	281.09	205.5	255.0	155.5	193.01	567.1	130.6
NUP205	624.99	825.0	860.08	878.17	753.83	1757.34	141.02	1119.56	457.25	400.71	447.82	305.55	356.05	420.68	267.73	389.72	473.41	460.44	444.72	297.17	299.25	854.13	429.54	444.72	896.64	346.29	463.65	511.0	320.8	470.14	343.89	679.29	329.84	273.37	457.25	426.57	323.03	271.48	1096.5	316.37	279.14	435.55	293.07	373.81	454.09	406.31	536.45	713.11	547.75	470.14	325.29	392.44	540.19	543.96	447.82	366.09	175.07	217.27	175.07	218.79	208.38	255.0	171.45	669.92	198.47	137.14	264.03	237.86	186.4	175.07	193.01	94.67	144.01	237.86	651.58	1388.16	555.41	620.67	1159.07	1259.69	1167.14	1295.13	1697.45	813.63	2178.83	460.44	429.54	583.07	638.15	483.38	591.22	718.08	432.53	409.15	813.63	1242.34	579.04	420.68	842.36	457.25	791.35	435.55	483.38	429.54	384.34	651.58	2119.22	1467.37	961.07	2193.99	497.0	579.04	1051.79	1037.29
NUP54	532.74	974.5	638.15	559.28	723.08	2119.22	376.41	902.89	327.56	305.55	343.89	121.79	165.57	271.48	76.71	149.12	208.38	149.12	287.01	226.54	307.69	262.2	224.97	248.0	212.78	395.18	244.57	215.77	248.0	334.46	246.28	305.55	389.72	242.88	343.89	309.83	275.28	172.65	406.31	281.09	202.66	212.78	123.5	417.77	258.57	307.69	224.97	346.29	287.01	273.37	343.89	429.54	339.14	332.14	281.09	265.87	99.43	229.72	327.56	208.38	320.8	309.83	312.0	293.07	239.52	186.4	190.34	291.04	161.02	503.95	183.82	120.1	275.28	212.78	660.68	547.75	500.46	1313.23	1397.83	775.05	674.59	587.13	429.54	412.0	638.15	518.15	571.05	486.75	420.68	518.15	353.59	738.29	444.72	381.68	356.05	802.41	688.78	438.59	476.71	381.68	743.43	341.51	483.38	397.93	432.53	454.09	896.64	1127.35	429.54	684.02	521.76	802.41	988.12	559.28
OGT	511.0	1242.34	693.58	1008.9	733.19	1617.0	748.61	1819.35	543.96	441.64	420.68	323.03	299.25	373.81	241.19	470.14	273.37	223.41	1059.11	450.94	463.65	540.19	299.25	271.48	555.41	1044.52	638.15	366.09	426.57	1044.52	307.69	1208.34	753.83	525.39	896.64	555.41	325.29	457.25	693.58	466.88	244.57	1088.92	277.2	688.78	1467.37	395.18	571.05	1081.39	314.17	909.17	915.51	1030.12	669.92	387.02	361.04	435.55	177.53	260.38	161.02	450.94	343.89	329.84	217.27	1561.89	409.15	244.57	303.44	178.77	209.84	525.39	656.11	120.94	260.38	232.94	1030.12	808.0	2255.7	796.86	4239.45	1191.69	1477.58	1044.52	1561.89	728.11	1119.56	612.11	738.29	769.69	638.15	733.19	1044.52	836.53	679.29	1175.27	587.13	780.44	583.07	264.03	532.74	547.75	967.76	698.41	406.31	902.89	2335.28	860.08	571.05	688.78	860.08	1427.22	775.05	1191.69	1991.0	830.75
ORC2	223.41	368.65	232.94	343.89	256.78	571.05	358.54	563.18	134.3	177.53	127.0	52.45	57.08	318.57	30.12	82.29	74.06	72.52	134.3	96.68	80.57	283.05	84.63	75.64	117.6	132.44	128.79	72.01	101.54	151.22	90.14	185.11	135.24	81.14	178.77	120.94	147.06	68.55	262.2	81.14	56.68	205.5	57.08	191.67	193.01	87.65	346.29	343.89	63.89	116.78	121.79	185.11	136.19	141.02	127.0	100.13	32.13	85.82	123.5	139.07	175.07	153.34	170.25	117.6	157.68	73.03	88.88	115.16	73.54	164.42	79.45	46.5	103.69	78.89	237.86	366.09	285.03	656.11	579.04	444.72	368.65	289.02	406.31	327.56	490.14	170.25	157.68	197.09	175.07	226.54	220.32	224.97	170.25	198.47	139.07	277.2	198.47	336.79	134.3	169.07	218.79	197.09	169.07	169.07	314.17	176.29	279.14	444.72	366.09	403.5	206.94	209.84	651.58	358.54
PAPOLG	189.02	248.0	178.77	137.14	161.02	387.02	88.88	161.02	115.16	118.43	96.68	44.25	43.63	80.57	44.25	77.25	71.5	54.72	72.01	40.93	62.12	64.8	64.34	33.06	63.89	46.84	52.82	42.41	40.07	77.25	32.82	105.89	59.55	39.5	86.43	56.28	45.85	57.49	65.72	47.17	39.5	80.01	38.67	52.45	79.45	54.33	120.94	111.21	29.27	54.72	69.03	65.72	102.97	81.71	59.97	45.53	25.17	46.18	56.68	59.97	72.01	35.0	39.22	50.63	44.57	35.5	36.79	63.89	36.79	39.5	78.89	28.24	30.12	62.56	157.68	165.57	135.24	178.77	463.65	241.19	220.32	199.85	147.06	133.36	212.78	130.6	117.6	127.0	134.3	162.14	295.11	169.07	115.97	229.72	117.6	205.5	159.9	100.13	120.1	127.89	150.17	185.11	115.97	159.9	525.39	155.5	176.29	283.05	156.59	343.89	142.01	221.86	423.61	107.38
PHIP	209.84	460.44	212.78	248.0	190.34	780.44	146.03	206.94	92.05	71.5	64.34	28.86	26.67	71.5	12.55	33.3	49.56	41.52	52.82	42.11	61.68	68.07	47.5	32.82	72.01	36.27	78.89	46.5	50.98	85.22	22.75	120.94	69.52	41.81	127.0	62.56	99.43	31.0	85.82	40.07	15.68	140.04	48.52	89.51	99.43	46.84	164.42	118.43	63.0	56.68	57.08	102.25	77.79	77.25	60.39	24.81	9.63	46.5	40.64	77.79	52.82	39.5	40.07	83.45	24.28	23.25	40.07	31.22	28.45	64.34	62.12	14.45	36.27	41.81	103.69	115.16	191.67	79.45	703.28	312.0	312.0	273.37	110.43	212.78	318.57	118.43	116.78	221.86	163.28	108.14	285.03	139.07	146.03	205.5	163.28	297.17	194.36	99.43	82.29	133.36	170.25	173.85	186.4	145.02	228.13	129.69	108.9	121.79	343.89	137.14	136.19	218.79	954.43	194.36
PHTF2	289.02	384.34	273.37	620.67	348.71	579.04	183.82	215.77	121.79	98.73	123.5	43.63	57.08	44.57	23.42	57.08	61.68	46.18	96.68	96.01	70.01	131.51	71.0	53.19	151.22	69.03	58.71	77.79	44.25	115.16	36.27	126.12	57.08	51.71	156.59	74.58	54.33	57.08	115.16	59.13	47.84	105.15	39.79	108.9	139.07	64.8	82.87	99.43	97.36	60.82	118.43	96.68	165.57	103.69	83.45	76.17	17.25	54.72	44.25	36.01	44.57	28.45	48.52	62.12	62.12	93.35	30.78	44.89	43.02	30.78	95.34	41.22	53.57	47.84	265.87	896.64	177.53	299.25	842.36	325.29	363.56	287.01	157.68	392.44	503.95	228.13	246.28	316.37	187.71	226.54	127.89	224.97	152.28	283.05	161.02	249.73	129.69	132.44	113.56	142.01	141.02	115.97	177.53	165.57	368.65	180.02	291.04	518.15	271.48	775.05	275.28	297.17	293.07	234.57
PIGC	1286.18	890.44	728.11	995.0	780.44	1359.57	55.49	1407.55	503.95	540.19	638.15	497.0	518.15	583.07	500.46	493.56	674.59	688.78	693.58	836.53	551.56	780.44	954.43	303.44	1175.27	684.02	1467.37	860.08	684.02	575.03	358.54	551.56	571.05	567.1	723.08	743.43	981.29	620.67	947.83	830.75	620.67	848.22	642.59	796.86	616.37	373.81	860.08	961.07	414.87	1487.87	780.44	813.63	665.29	915.51	764.36	748.61	248.0	273.37	376.41	500.46	336.79	182.55	277.2	525.39	327.56	264.03	291.04	197.09	397.93	373.81	583.07	314.17	234.57	543.96	1605.83	1350.18	476.71	1286.18	1001.93	1015.93	842.36	967.76	1059.11	890.44	954.43	591.22	547.75	356.05	848.22	684.02	551.56	733.19	708.18	775.05	775.05	796.86	753.83	642.59	503.95	866.07	825.0	780.44	647.07	703.28	480.04	728.11	463.65	1594.73	743.43	1991.0	679.29	802.41	854.13	941.27
POLE3	454.09	1551.09	1697.45	723.08	1388.16	1605.83	587.13	1191.69	802.41	759.08	921.88	780.44	684.02	708.18	547.75	819.3	607.87	813.63	651.58	642.59	713.11	1030.12	679.29	866.07	902.89	780.44	909.17	441.64	403.5	890.44	503.95	1151.06	1023.0	514.56	836.53	703.28	791.35	371.22	934.76	366.09	432.53	444.72	629.35	624.99	785.88	624.99	1529.73	1183.45	780.44	759.08	507.46	638.15	836.53	412.0	708.18	656.11	518.15	414.87	587.13	532.74	638.15	376.41	518.15	638.15	536.45	414.87	603.67	316.37	587.13	463.65	426.57	327.56	420.68	514.56	1340.84	1407.55	884.29	1697.45	1104.13	1651.0	1508.65	1313.23	1151.06	1781.89	1066.48	1199.98	961.07	679.29	995.0	1096.5	656.11	1322.37	780.44	860.08	1023.0	1250.98	633.73	791.35	595.34	981.29	1104.13	988.12	703.28	860.08	769.69	759.08	2591.27	3124.78	738.29	2502.97	1066.48	728.11	759.08	1268.46
POLR2B	1135.2	1519.15	1498.22	974.5	1175.27	2384.37	1709.26	1806.78	547.75	551.56	638.15	429.54	563.18	780.44	368.65	642.59	525.39	507.46	450.94	348.71	587.13	507.46	444.72	503.95	366.09	567.1	693.58	397.93	426.57	759.08	395.18	688.78	400.71	423.61	599.49	460.44	392.44	647.07	567.1	409.15	329.84	426.57	353.59	909.17	540.19	507.46	674.59	525.39	329.84	493.56	532.74	559.28	563.18	575.03	543.96	432.53	332.14	457.25	444.72	426.57	503.95	327.56	297.17	414.87	356.05	186.4	432.53	356.05	373.81	346.29	473.41	185.11	351.14	366.09	842.36	507.46	830.75	1073.91	1819.35	1175.27	1662.49	890.44	708.18	684.02	1199.98	753.83	708.18	713.11	941.27	961.07	1225.22	1096.5	748.61	813.63	769.69	1073.91	791.35	669.92	693.58	579.04	748.61	775.05	1001.93	748.61	1572.76	988.12	698.41	1159.07	1081.39	1104.13	854.13	1066.48	2417.67	921.88
POLR3F	137.14	231.32	173.85	256.78	171.45	450.94	37.32	221.86	217.27	237.86	118.43	95.34	89.51	116.78	57.89	89.51	113.56	110.43	118.43	125.24	101.54	131.51	101.54	67.12	126.12	84.04	134.3	148.09	96.01	159.9	81.71	133.36	116.78	110.43	191.67	111.21	172.65	83.45	186.4	139.07	55.89	146.03	81.71	154.42	172.65	106.63	156.59	189.02	80.01	199.85	111.21	120.1	137.14	138.1	120.1	84.04	48.87	58.71	75.11	70.01	55.89	80.57	81.71	115.16	61.25	48.87	78.89	58.3	56.28	100.13	71.5	30.56	57.49	82.87	194.36	379.04	171.45	181.28	327.56	236.21	281.09	314.17	244.57	183.82	293.07	175.07	162.14	112.77	224.97	180.02	124.37	193.01	195.72	120.1	218.79	269.6	195.72	164.42	121.79	176.29	195.72	193.01	164.42	162.14	134.3	182.55	167.9	212.78	120.1	183.82	185.11	170.25	348.71	256.78
PPIG	941.27	1417.35	974.5	1001.93	947.83	1397.83	521.76	808.0	206.94	387.02	172.65	56.28	48.18	1388.16	28.65	76.17	64.34	42.41	483.38	540.19	555.41	769.69	571.05	536.45	480.04	620.67	575.03	346.29	426.57	497.0	358.54	830.75	334.46	343.89	647.07	486.75	497.0	301.33	567.1	497.0	341.51	967.76	341.51	1073.91	507.46	571.05	1081.39	1001.93	384.34	497.0	493.56	616.37	532.74	518.15	587.13	400.71	66.18	563.18	432.53	575.03	429.54	356.05	500.46	872.1	417.77	358.54	473.41	312.0	620.67	403.5	457.25	379.04	339.14	483.38	497.0	674.59	579.04	656.11	1250.98	1151.06	1159.07	1015.93	909.17	866.07	1059.11	591.22	595.34	1127.35	796.86	860.08	733.19	836.53	518.15	1199.98	638.15	1529.73	780.44	620.67	356.05	796.86	708.18	954.43	878.17	591.22	890.44	842.36	830.75	551.56	1119.56	860.08	738.29	616.37	1697.45	1250.98
PPP1R12A	441.64	1001.93	493.56	599.49	688.78	2682.69	638.15	1519.15	241.19	251.48	208.38	85.82	101.54	212.78	38.4	75.11	129.69	85.22	187.71	147.06	165.57	176.29	124.37	119.26	96.68	122.64	139.07	106.63	98.73	242.88	75.11	336.79	128.79	105.15	260.38	139.07	114.36	130.6	129.69	105.89	91.41	246.28	73.03	186.4	244.57	119.26	246.28	224.97	56.28	178.77	221.86	135.24	256.78	162.14	158.79	102.25	30.34	167.9	111.21	176.29	111.21	117.6	122.64	186.4	117.6	73.03	68.07	123.5	117.6	182.55	265.87	71.0	85.82	67.59	348.71	409.15	435.55	432.53	1709.26	684.02	934.76	547.75	293.07	299.25	738.29	312.0	323.03	381.68	753.83	470.14	642.59	414.87	346.29	591.22	397.93	629.35	483.38	379.04	269.6	381.68	525.39	616.37	454.09	356.05	563.18	457.25	511.0	346.29	738.29	432.53	423.61	540.19	1388.16	348.71
PRMT5	1030.12	1397.83	1037.29	1119.56	995.0	1225.22	563.18	2609.3	842.36	974.5	1008.9	896.64	1467.37	1896.65	967.76	1259.69	934.76	1242.34	915.51	571.05	723.08	785.88	555.41	532.74	1388.16	981.29	620.67	684.02	1008.9	780.44	941.27	981.29	1008.9	679.29	723.08	511.0	483.38	1008.9	1066.48	460.44	497.0	1051.79	842.36	848.22	1662.49	684.02	1350.18	872.1	1044.52	1417.35	536.45	780.44	718.08	723.08	1044.52	698.41	476.71	406.31	595.34	429.54	1008.9	329.84	559.28	633.73	406.31	521.76	583.07	518.15	525.39	392.44	802.41	343.89	490.14	624.99	1870.53	3168.41	698.41	1721.16	2163.77	1519.15	1529.73	1572.76	1175.27	1397.83	2271.4	813.63	748.61	579.04	813.63	1369.04	759.08	1059.11	660.68	620.67	928.3	1378.57	796.86	934.76	1208.34	688.78	1096.5	988.12	947.83	872.1	529.06	708.18	1594.73	2997.45	1216.75	2119.22	842.36	1127.35	2209.26	2004.85
PRPF40A	1199.98	1844.76	1397.83	1359.57	1427.22	1175.27	995.0	1104.13	373.81	603.67	366.09	221.86	167.9	896.64	74.58	202.66	151.22	100.13	579.04	466.88	624.99	647.07	525.39	444.72	791.35	563.18	563.18	429.54	514.56	780.44	490.14	684.02	341.51	420.68	909.17	435.55	555.41	363.56	878.17	384.34	289.02	780.44	500.46	890.44	688.78	438.59	1119.56	981.29	514.56	629.35	555.41	463.65	674.59	728.11	647.07	387.02	119.26	463.65	450.94	414.87	497.0	366.09	444.72	607.87	486.75	376.41	457.25	543.96	638.15	201.25	563.18	325.29	358.54	624.99	934.76	748.61	567.1	878.17	2090.03	1685.71	1259.69	1044.52	1135.2	1295.13	967.76	583.07	633.73	1044.52	934.76	638.15	669.92	547.75	444.72	775.05	1037.29	1242.34	703.28	928.3	476.71	629.35	575.03	423.61	872.1	665.29	1277.29	603.67	785.88	1023.0	1199.98	1216.75	759.08	884.29	4010.71	1519.15
PRPF4B	511.0	1191.69	708.18	1794.29	583.07	1519.15	518.15	1044.52	343.89	356.05	325.29	127.89	138.1	327.56	59.97	120.1	211.31	173.85	353.59	264.03	323.03	460.44	376.41	190.34	358.54	400.71	285.03	224.97	232.94	476.71	180.02	500.46	595.34	346.29	412.0	343.89	406.31	246.28	444.72	334.46	189.02	438.59	287.01	356.05	406.31	295.11	679.29	248.0	212.78	536.45	353.59	529.06	417.77	351.14	351.14	295.11	85.22	293.07	202.66	279.14	327.56	346.29	237.86	435.55	185.11	194.36	339.14	241.19	178.77	529.06	297.17	137.14	167.9	242.88	379.04	693.58	698.41	356.05	1268.46	638.15	872.1	679.29	651.58	540.19	941.27	457.25	486.75	813.63	551.56	656.11	587.13	674.59	500.46	579.04	473.41	698.41	713.11	325.29	358.54	379.04	693.58	909.17	503.95	547.75	1001.93	638.15	417.77	283.05	651.58	500.46	703.28	543.96	1594.73	591.22
QTRTD1	191.67	470.14	303.44	277.2	262.2	423.61	85.22	242.88	198.47	177.53	152.28	135.24	139.07	166.73	85.82	167.9	124.37	98.73	101.54	98.04	133.36	134.3	105.15	96.68	114.36	63.89	110.43	69.52	101.54	154.42	92.05	162.14	89.51	92.05	212.78	96.01	98.04	96.01	173.85	102.25	39.5	167.9	69.52	96.68	120.1	96.68	193.01	94.67	73.54	133.36	91.41	105.89	151.22	95.34	124.37	102.25	52.82	80.57	83.45	64.8	119.26	89.51	82.29	100.83	55.49	51.35	79.45	56.28	61.68	98.73	92.7	31.9	90.77	87.03	131.51	224.97	229.72	105.89	454.09	363.56	392.44	348.71	258.57	361.04	341.51	173.85	177.53	218.79	277.2	387.02	111.21	214.27	169.07	217.27	232.94	457.25	283.05	194.36	135.24	199.85	287.01	241.19	253.23	220.32	98.04	281.09	137.14	154.42	279.14	444.72	152.28	189.02	688.78	241.19
