	GTEX.XBEW.1926.SM.4SOJO	GTEX.WYVS.0826.SM.4RTXB	GTEX.117YW.2026.SM.5N9BH	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	GTEX.WHWD.1426.SM.4OORU	GTEX.Y8E4.1526.SM.4WWDI	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZF2S.1426.SM.57WET	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	GTEX.UPK5.2126.SM.4JBJK	GTEX.V1D1.1726.SM.4JBHB	GTEX.Y3I4.1626.SM.4TT7W	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
SMIM10	109.66	555.41	361.04	20.41	31.67	32.59	32.82	25.91	41.22	92.7	33.54	22.43	181.28	116.78	3.96	1.66	68.07	429.54	260.38	187.71	532.74	728.11	63.0	116.78	164.42	182.55	211.31	1051.79	77.79	309.83	54.33	40.93	33.54	142.01	206.94	46.5	72.01	136.19
SNAPC2	414.87	995.0	1295.13	256.78	406.31	518.15	753.83	579.04	447.82	348.71	450.94	312.0	414.87	384.34	137.14	395.18	400.71	684.02	802.41	629.35	878.17	728.11	412.0	392.44	368.65	470.14	518.15	967.76	591.22	769.69	339.14	366.09	525.39	403.5	559.28	366.09	336.79	796.86
SNCG	426.57	1388.16	1104.13	57.08	123.5	122.64	279.14	47.17	6121.9	293.07	1639.59	215.77	703.28	327.56	8.38	51.71	64.8	1378.57	848.22	866.07	4972.34	4575.41	223.41	426.57	967.76	1044.52	1388.16	13872.08	412.0	2451.44	343.89	251.48	234.57	490.14	1498.22	248.0	303.44	595.34
SORBS3	2303.12	2915.45	4543.8	318.57	1159.07	656.11	1151.06	872.1	1350.18	825.0	1250.98	1119.56	1883.54	1721.16	412.0	435.55	1059.11	4123.49	3467.27	2997.45	5366.37	7911.95	1167.14	1427.22	2148.82	2701.35	3589.58	9606.86	1794.29	5076.84	1447.15	1572.76	1023.0	2434.5	2915.45	872.1	1745.2	1350.18
SSC5D	126.12	921.88	1322.37	13.12	6.84	7.82	19.39	5.68	3.56	21.47	15.68	113.56	51.35	301.33	7.17	5.11	117.6	1457.23	1639.59	412.0	780.44	1844.76	39.5	75.11	267.73	120.1	265.87	830.75	204.07	318.57	23.42	63.0	15.0	75.11	511.0	9.34	121.79	25.17
STON1-GTF2A1L	31.22	232.94	102.97	6.67	13.32	0.4	6.06	0.39	6.46	0.0	10.47	0.0	15.45	0.0	2.84	0.0	11.91	193.01	457.25	112.77	181.28	18.84	0.0	4.86	0.0	8.06	32.13	42.71	3.32	40.07	0.0	0.0	0.0	11.91	0.8	0.0	16.03	0.0
SYT11	106.63	438.59	295.11	37.32	21.63	8.13	39.79	22.26	31.22	81.14	11.55	49.91	103.69	336.79	5.82	12.55	58.71	603.67	438.59	226.54	395.18	728.11	57.08	81.14	141.02	121.79	178.77	521.76	141.02	366.09	72.01	74.58	41.81	103.69	217.27	55.89	115.97	81.14
SYT15	27.25	88.88	107.38	12.45	7.69	5.68	14.03	6.36	3.47	9.7	8.51	23.93	24.28	148.09	0.91	19.39	24.63	242.88	291.04	89.51	177.53	295.11	47.17	124.37	114.36	88.88	159.9	647.07	43.63	145.02	76.17	49.91	44.57	336.79	89.51	55.89	201.25	40.36
TCEAL5	13.62	38.95	44.25	0.0	0.0	1.2	0.93	1.99	0.0	0.97	0.0	0.0	0.0	26.86	0.0	0.0	3.89	26.86	29.06	22.43	55.1	234.57	6.73	11.38	16.15	5.45	26.28	156.59	16.15	4.1	2.63	0.0	0.0	0.85	20.86	1.43	0.89	3.63
TCEAL7	131.51	406.31	463.65	8.99	8.19	22.92	11.73	10.79	6.57	42.71	7.06	6.78	86.43	171.45	7.34	2.86	26.67	476.71	287.01	131.51	307.69	1151.06	33.54	83.45	158.79	75.11	148.09	633.73	75.64	232.94	72.52	15.68	18.84	41.81	116.78	26.1	33.78	43.63
TGFB1I1	1397.83	6381.92	5441.3	117.6	163.28	106.63	426.57	170.25	231.32	480.04	299.25	130.6	1135.2	848.22	105.89	92.05	1037.29	11664.82	13033.07	1991.0	4358.66	3768.09	728.11	1191.69	1617.0	1674.06	2835.7	4869.99	1378.57	2855.44	571.05	921.88	387.02	780.44	2351.53	193.01	802.41	567.1
TMEM59L	88.88	85.82	183.82	1.39	2.48	0.85	7.17	2.05	1.79	3.96	4.62	11.21	44.25	15.68	1.99	7.28	14.45	154.42	118.43	90.77	397.93	135.24	8.78	76.17	31.45	32.36	78.89	571.05	44.57	412.0	69.03	27.44	24.99	70.51	255.0	33.06	58.3	55.1
TMEM91	183.82	265.87	426.57	107.38	32.82	99.43	101.54	111.21	90.77	124.37	57.49	135.24	346.29	162.14	49.91	21.63	178.77	312.0	358.54	305.55	540.19	703.28	116.78	175.07	115.97	279.14	336.79	825.0	163.28	426.57	73.54	87.03	115.16	536.45	620.67	44.89	172.65	183.82
TNFSF12	629.35	3060.45	4038.61	403.5	429.54	205.5	1208.34	356.05	376.41	406.31	242.88	1073.91	848.22	1331.57	121.79	123.5	728.11	3928.15	4836.35	1721.16	2956.17	4388.98	665.29	718.08	1183.45	1447.15	1242.34	4066.71	1259.69	2090.03	612.11	591.22	547.75	1066.48	1233.75	660.68	693.58	785.88
TNXB	1015.93	4181.07	18689.27	22.75	37.32	17.38	224.97	33.78	53.95	128.79	217.27	108.9	320.8	4450.27	16.39	40.93	232.94	7966.99	5791.62	2224.63	14561.8	39785.74	483.38	633.73	2271.4	1313.23	3443.31	26431.04	1757.34	4903.87	169.07	163.28	49.21	397.93	1594.73	97.36	236.21	289.02
TWIST2	43.02	70.01	92.05	0.47	0.51	0.43	0.97	0.0	0.0	2.48	1.55	0.0	12.83	229.72	2.41	3.66	25.35	346.29	271.48	115.16	327.56	376.41	34.26	53.57	77.25	24.63	156.59	420.68	33.54	165.57	8.06	3.17	0.0	5.45	17.77	2.12	4.78	7.69
VIT	34.51	221.86	500.46	0.0	0.0	0.0	0.46	0.0	0.0	0.0	1.99	0.0	0.71	358.54	0.68	0.0	7.46	358.54	314.17	99.43	264.03	368.65	27.84	43.63	58.3	82.29	341.51	332.14	29.7	289.02	0.0	1.6	1.57	13.72	62.12	0.0	10.96	0.0
XG	8.19	31.45	16.03	0.44	0.47	0.0	0.0	2.36	1.28	1.91	0.49	0.0	9.78	47.5	0.68	0.88	7.22	39.5	13.03	58.3	325.29	191.67	3.72	47.84	25.72	82.29	48.18	206.94	19.25	102.97	15.11	6.57	1.68	8.13	190.34	1.06	7.88	0.0
ZCCHC24	248.0	1175.27	995.0	35.25	23.76	23.76	88.26	15.34	44.25	46.84	54.72	74.58	397.93	599.49	15.34	54.33	183.82	1551.09	1674.06	607.87	902.89	2287.2	100.83	197.09	435.55	309.83	679.29	1617.0	234.57	1015.93	138.1	131.51	158.79	234.57	603.67	72.01	211.31	108.14
ZEB2	368.65	656.11	921.88	80.01	42.11	35.25	88.88	40.93	82.87	204.07	167.9	246.28	463.65	1457.23	21.94	33.06	169.07	1030.12	688.78	638.15	1508.65	5329.3	152.28	273.37	896.64	420.68	674.59	3039.3	457.25	1457.23	182.55	161.02	98.73	251.48	521.76	140.04	258.57	281.09
ZNF423	36.79	214.27	202.66	14.35	19.25	45.85	32.36	72.01	55.49	42.41	12.55	27.44	58.71	242.88	28.24	5.45	32.13	420.68	423.61	103.69	312.0	591.22	39.22	41.81	139.07	55.89	122.64	785.88	63.89	204.07	51.71	56.68	28.04	92.05	229.72	17.38	66.18	51.35
ZNF521	52.45	142.01	343.89	27.25	13.03	73.54	16.03	38.95	28.24	46.84	5.06	5.82	49.56	260.38	5.32	16.63	53.19	246.28	221.86	123.5	441.64	647.07	68.07	79.45	205.5	100.83	122.64	860.08	101.54	201.25	107.38	52.45	42.41	135.24	361.04	26.1	60.82	59.97
