	TCGA.LL.A440.01A.11R.A24H.07	TCGA.IG.A4QT.01A.21R.A260.31	TCGA.LN.A8I1.01A.11R.A36D.31	GTEX.N7MS.1626.SM.3LK5F	TCGA.A4.8518.01A.11R.2404.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.55.8510.01A.11R.2403.07	TCGA.86.8671.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.55.7728.01A.11R.2187.07	TCGA.44.7660.01A.11R.2066.07	TCGA.86.A4P7.01A.11R.A24X.07	TCGA.97.8552.01A.11R.2403.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.38.4632.11A.01R.1755.07	GTEX.P44H.1126.SM.48TBU	GTEX.QV44.0926.SM.2S1RH	GTEX.X5EB.0426.SM.46MVY	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.22.1016.01A.01R.0692.07	TCGA.18.3411.01A.01R.0980.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.90.7964.01A.21R.2187.07	TCGA.21.1081.01A.01R.0692.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07
METTL22	420.68	460.44	947.83	108.9	320.8	432.53	420.68	361.04	312.0	444.72	450.94	332.14	269.6	285.03	241.19	327.56	186.4	285.03	256.78	518.15	279.14	253.23	164.42	234.57	156.59	152.28	206.94	262.2	163.28	387.02	303.44	246.28	209.84	224.97	248.0	175.07	269.6	189.02	181.28	256.78	234.57	197.09	193.01	199.85	275.28	177.53	170.25	189.02	221.86	191.67	376.41	211.31	194.36	209.84	190.34	307.69	149.12	173.85	118.43	185.11	279.14	194.36	591.22	514.56	312.0	660.68	651.58	733.19	412.0	412.0	723.08	432.53	547.75	397.93	638.15	679.29	579.04	813.63	353.59	381.68	384.34	343.89	441.64	256.78	486.75	567.1	281.09	532.74	450.94	583.07	579.04	543.96
METTL3	967.76	1583.71	1407.55	242.88	323.03	521.76	473.41	395.18	234.57	563.18	287.01	323.03	275.28	341.51	336.79	389.72	339.14	316.37	836.53	412.0	775.05	400.71	384.34	343.89	728.11	698.41	571.05	511.0	348.71	651.58	559.28	480.04	497.0	457.25	571.05	607.87	738.29	507.46	961.07	638.15	718.08	555.41	480.04	265.87	253.23	211.31	341.51	403.5	283.05	327.56	325.29	285.03	287.01	389.72	223.41	157.68	249.73	486.75	351.14	260.38	283.05	264.03	1081.39	1313.23	1023.0	947.83	1340.84	693.58	974.5	1081.39	1066.48	1378.57	1167.14	796.86	674.59	1119.56	403.5	1883.54	603.67	665.29	665.29	486.75	389.72	547.75	669.92	595.34	860.08	1051.79	728.11	842.36	693.58	713.11
MIB2	967.76	1369.04	3168.41	237.86	361.04	775.05	620.67	503.95	470.14	688.78	351.14	301.33	529.06	305.55	358.54	684.02	432.53	638.15	480.04	327.56	775.05	293.07	507.46	397.93	1015.93	612.11	532.74	361.04	368.65	595.34	764.36	312.0	466.88	444.72	265.87	497.0	665.29	854.13	450.94	460.44	384.34	713.11	441.64	403.5	314.17	164.42	493.56	463.65	511.0	420.68	460.44	384.34	599.49	507.46	567.1	348.71	351.14	995.0	591.22	423.61	438.59	450.94	1583.71	981.29	1001.93	1015.93	1199.98	1331.57	529.06	1594.73	2061.24	764.36	1250.98	236.21	684.02	1340.84	309.83	941.27	420.68	1183.45	688.78	796.86	656.11	713.11	563.18	1051.79	201.25	1397.83	1709.26	4268.94	842.36	497.0
MIS18BP1	387.02	551.56	293.07	42.41	49.21	166.73	117.6	118.43	25.91	164.42	52.08	126.12	33.54	96.01	28.86	59.97	76.71	20.56	118.43	81.14	48.87	90.77	70.51	63.0	149.12	68.07	60.39	54.72	84.63	46.84	54.72	50.27	71.0	78.34	57.49	62.56	144.01	44.25	84.63	122.64	155.5	79.45	65.72	16.27	41.22	137.14	99.43	30.56	38.67	35.0	84.63	15.56	34.51	69.52	21.78	70.01	30.12	40.64	100.13	25.54	58.3	60.39	363.56	226.54	400.71	371.22	226.54	234.57	521.76	287.01	271.48	470.14	297.17	305.55	463.65	384.34	190.34	603.67	176.29	441.64	224.97	412.0	246.28	507.46	921.88	341.51	329.84	155.5	255.0	191.67	307.69	271.48
MON2	493.56	603.67	384.34	105.89	127.89	293.07	204.07	153.34	119.26	395.18	135.24	153.34	71.0	190.34	120.94	181.28	209.84	90.77	309.83	172.65	307.69	108.14	256.78	258.57	195.72	358.54	177.53	139.07	204.07	194.36	403.5	180.02	215.77	205.5	164.42	273.37	480.04	68.07	265.87	312.0	251.48	221.86	171.45	158.79	185.11	100.13	256.78	218.79	234.57	228.13	178.77	214.27	171.45	181.28	351.14	221.86	152.28	406.31	198.47	182.55	285.03	156.59	638.15	327.56	376.41	470.14	384.34	947.83	454.09	480.04	400.71	447.82	376.41	307.69	503.95	490.14	194.36	607.87	444.72	409.15	371.22	191.67	183.82	229.72	336.79	463.65	180.02	454.09	320.8	305.55	309.83	260.38
MSL1	1794.29	2271.4	2119.22	400.71	575.03	902.89	961.07	819.3	283.05	1104.13	511.0	713.11	420.68	679.29	466.88	684.02	638.15	633.73	1059.11	723.08	703.28	591.22	343.89	1225.22	896.64	947.83	633.73	633.73	583.07	753.83	988.12	954.43	1216.75	521.76	1111.82	748.61	1088.92	403.5	1151.06	995.0	1066.48	896.64	620.67	373.81	447.82	567.1	463.65	551.56	463.65	540.19	860.08	638.15	612.11	748.61	423.61	830.75	490.14	830.75	688.78	466.88	500.46	460.44	2075.59	1359.57	1417.35	1628.26	1001.93	1674.06	1143.1	1794.29	1407.55	1066.48	1127.35	1216.75	1781.89	1977.24	947.83	2287.2	836.53	2018.8	921.88	1322.37	759.08	836.53	1151.06	1540.37	934.76	1794.29	1096.5	1697.45	1519.15	1135.2
MSS51	49.91	94.01	9.85	2.25	3.44	13.62	15.8	7.4	2.05	23.25	2.39	4.43	3.47	6.62	2.71	12.18	8.38	8.32	24.28	10.08	15.11	15.68	6.73	14.35	15.8	30.78	19.97	4.82	5.45	15.0	12.55	15.91	22.59	11.38	13.52	8.58	17.77	15.68	11.04	26.47	12.74	8.06	16.88	2.92	4.9	0.46	7.51	9.7	3.76	9.56	5.11	9.63	11.82	6.94	9.2	4.82	2.68	18.43	11.21	10.08	6.57	3.38	81.14	29.06	36.53	52.82	39.79	49.91	136.19	55.89	35.76	34.51	72.01	15.91	25.54	75.64	16.15	48.87	23.76	55.49	29.7	31.0	21.78	29.48	40.93	32.82	8.0	35.76	36.79	18.29	27.25	17.13
MTA1	1745.2	2209.26	3212.66	133.36	312.0	743.43	738.29	647.07	327.56	1015.93	435.55	616.37	450.94	351.14	334.46	780.44	507.46	633.73	1066.48	603.67	334.46	503.95	547.75	624.99	447.82	1199.98	718.08	651.58	480.04	525.39	941.27	395.18	961.07	660.68	460.44	728.11	915.51	511.0	890.44	633.73	656.11	693.58	748.61	358.54	325.29	197.09	423.61	842.36	1008.9	583.07	476.71	432.53	503.95	397.93	327.56	583.07	260.38	1159.07	356.05	403.5	587.13	305.55	2061.24	1977.24	1819.35	1322.37	2384.37	2075.59	2645.74	1844.76	1991.0	2090.03	2271.4	1119.56	3349.13	2193.99	473.41	3124.78	412.0	1896.65	1605.83	769.69	738.29	679.29	1111.82	1477.58	995.0	1781.89	1794.29	2758.13	1259.69	684.02
NAA16	242.88	346.29	171.45	37.05	65.26	153.34	130.6	84.04	35.76	234.57	54.33	85.82	14.89	108.9	57.08	63.0	115.16	42.11	163.28	77.79	125.24	109.66	78.34	128.79	90.14	161.02	98.73	91.41	53.19	69.52	59.13	51.71	115.16	53.57	76.71	167.9	107.38	36.01	72.52	143.01	132.44	88.88	59.97	21.94	49.91	29.91	87.65	156.59	105.89	82.87	71.5	48.52	80.01	83.45	97.36	111.21	52.08	187.71	246.28	187.71	54.33	85.82	348.71	208.38	191.67	343.89	142.01	287.01	379.04	297.17	208.38	206.94	193.01	185.11	180.02	253.23	148.09	212.78	145.02	169.07	220.32	166.73	127.89	186.4	186.4	273.37	129.69	253.23	149.12	429.54	195.72	187.71
NAPB	147.06	164.42	144.01	69.52	64.8	149.12	110.43	73.03	60.82	142.01	54.72	63.45	53.19	76.17	55.1	76.71	83.45	66.65	106.63	79.45	148.09	94.67	35.76	144.01	118.43	88.88	120.1	59.97	72.01	56.68	90.77	49.21	66.65	79.45	79.45	97.36	100.13	156.59	141.02	119.26	120.94	87.65	61.25	37.32	39.79	23.93	76.71	71.0	68.07	81.14	67.59	69.52	53.57	58.3	71.5	98.73	45.85	68.07	66.18	70.51	53.19	40.36	191.67	118.43	144.01	178.77	277.2	211.31	178.77	152.28	162.14	145.02	237.86	81.71	194.36	198.47	97.36	178.77	120.1	172.65	123.5	94.01	59.55	90.77	119.26	185.11	66.18	195.72	100.13	358.54	204.07	100.83
NBEAL2	1313.23	2835.7	493.56	114.36	194.36	813.63	890.44	679.29	285.03	1096.5	409.15	366.09	358.54	314.17	307.69	518.15	429.54	547.75	450.94	232.94	356.05	323.03	175.07	297.17	327.56	483.38	351.14	366.09	73.54	264.03	271.48	400.71	283.05	154.42	285.03	169.07	320.8	163.28	201.25	518.15	764.36	283.05	283.05	85.82	120.94	69.03	199.85	226.54	267.73	104.42	162.14	53.19	170.25	159.9	78.89	293.07	97.36	251.48	171.45	94.01	114.36	108.14	4095.0	2061.24	2645.74	2485.67	1639.59	5006.93	1963.57	1757.34	1794.29	1572.76	2573.36	713.11	1286.18	2956.17	503.95	3060.45	583.07	1199.98	1870.53	579.04	1388.16	693.58	500.46	1477.58	275.28	2758.13	988.12	2255.7	2255.7	934.76
NFATC2IP	698.41	1151.06	769.69	118.43	291.04	395.18	343.89	246.28	279.14	500.46	242.88	217.27	149.12	279.14	327.56	332.14	277.2	170.25	348.71	277.2	423.61	316.37	249.73	249.73	409.15	146.03	256.78	167.9	217.27	217.27	579.04	470.14	121.79	217.27	339.14	236.21	507.46	269.6	297.17	339.14	341.51	293.07	246.28	134.3	132.44	134.3	211.31	251.48	171.45	253.23	307.69	138.1	212.78	258.57	221.86	363.56	121.79	275.28	271.48	334.46	145.02	127.0	860.08	1081.39	693.58	748.61	547.75	988.12	595.34	813.63	808.0	571.05	713.11	579.04	1242.34	890.44	244.57	693.58	728.11	995.0	503.95	334.46	961.07	743.43	438.59	928.3	392.44	780.44	718.08	1322.37	775.05	412.0
NKPD1	4.66	2.71	16.63	0.0	0.0	0.75	1.06	1.28	0.4	2.84	0.47	2.16	1.13	0.0	0.39	0.36	0.39	0.69	0.6	0.59	2.43	0.0	0.0	0.0	1.41	1.55	0.0	0.52	3.56	0.54	0.0	0.55	0.54	0.93	0.0	0.57	3.41	0.0	4.31	1.06	1.28	2.34	0.0	0.0	0.0	0.0	0.09	0.01	0.03	0.0	0.0	1.07	0.0	0.0	0.52	4.58	0.13	1.1	0.57	0.73	1.77	0.48	2.25	6.57	4.98	1.16	6.78	3.17	28.65	1.48	3.14	6.16	6.01	1.41	3.86	2.27	0.0	10.63	0.0	0.69	1.35	1.46	0.0	0.0	3.63	12.18	1.68	5.32	3.29	9.56	15.8	0.93
NKTR	1008.9	1651.0	547.75	32.13	86.43	361.04	329.84	95.34	42.71	713.11	43.32	201.25	14.14	111.99	41.81	72.52	153.34	31.67	341.51	142.01	325.29	127.0	108.9	255.0	156.59	503.95	111.21	127.89	84.63	149.12	237.86	201.25	215.77	163.28	92.7	208.38	400.71	75.11	172.65	295.11	226.54	130.6	100.83	21.63	72.52	34.26	152.28	155.5	135.24	183.82	226.54	106.63	96.01	180.02	75.64	202.66	80.57	387.02	228.13	70.01	90.14	127.0	1639.59	575.03	718.08	1081.39	444.72	1350.18	603.67	915.51	860.08	651.58	1119.56	249.73	587.13	1183.45	166.73	1709.26	255.0	902.89	379.04	271.48	249.73	483.38	1540.37	733.19	102.25	1015.93	332.14	579.04	500.46	414.87
NOL9	145.02	173.85	115.16	48.87	37.32	102.97	115.97	81.71	48.87	146.03	80.57	94.67	76.17	94.67	75.64	106.63	103.69	109.66	81.71	58.71	138.1	92.05	71.5	81.14	94.67	57.08	76.17	59.97	67.12	77.25	149.12	82.87	60.82	64.8	35.76	94.67	246.28	120.94	63.45	73.54	70.01	105.89	79.45	47.17	47.5	35.5	48.18	75.64	56.68	60.82	125.24	51.71	46.84	34.02	80.01	175.07	48.18	111.99	43.63	81.14	87.65	33.06	182.55	120.1	140.04	150.17	176.29	120.94	158.79	209.84	161.02	163.28	159.9	156.59	144.01	191.67	85.22	123.5	151.22	237.86	178.77	120.1	180.02	172.65	83.45	271.48	77.25	181.28	287.01	400.71	102.97	103.69
NOM1	287.01	275.28	220.32	52.45	74.58	262.2	208.38	154.42	93.35	368.65	108.9	133.36	140.04	85.82	99.43	165.57	194.36	155.5	199.85	107.38	218.79	110.43	156.59	170.25	85.82	146.03	134.3	121.79	108.9	131.51	146.03	94.01	57.08	98.04	77.25	140.04	165.57	132.44	117.6	94.67	130.6	214.27	155.5	97.36	84.63	71.5	70.51	138.1	287.01	80.01	175.07	98.04	56.68	146.03	89.51	185.11	86.43	155.5	132.44	90.14	77.25	108.14	226.54	258.57	189.02	229.72	409.15	199.85	392.44	289.02	346.29	426.57	426.57	283.05	341.51	295.11	88.88	287.01	403.5	215.77	189.02	105.89	162.14	226.54	102.25	249.73	224.97	289.02	206.94	438.59	209.84	126.12
NPIPB11	40.07	144.01	77.79	3.26	2.2	10.39	24.81	11.82	2.48	48.87	3.86	8.0	1.99	3.59	2.36	12.64	5.45	2.18	13.52	5.45	9.48	7.51	17.25	15.11	12.45	15.45	25.35	3.47	7.63	11.21	40.36	20.41	13.03	8.32	12.74	6.11	20.56	7.17	6.46	23.25	12.0	16.15	6.89	0.0	1.79	0.6	11.38	18.7	4.62	8.51	9.7	3.29	7.88	7.22	6.41	6.94	3.86	16.75	7.82	18.29	2.05	3.82	56.28	62.12	44.89	35.76	27.64	80.57	35.25	49.91	37.59	55.89	43.32	16.88	70.51	45.21	7.57	24.63	39.22	22.75	35.76	12.64	18.29	21.16	16.51	39.79	8.25	162.14	58.71	76.17	67.12	13.62
NPIPB3	1662.49	5292.48	2835.7	242.88	204.07	1909.85	2400.97	884.29	187.71	3190.46	309.83	371.22	214.27	301.33	251.48	500.46	825.0	381.68	1015.93	688.78	759.08	764.36	320.8	607.87	848.22	860.08	1023.0	409.15	376.41	802.41	1286.18	651.58	551.56	490.14	947.83	351.14	1127.35	232.94	703.28	1001.93	1066.48	769.69	483.38	105.15	173.85	87.65	303.44	842.36	708.18	848.22	444.72	366.09	616.37	323.03	438.59	432.53	305.55	1617.0	476.71	432.53	420.68	242.88	3515.68	2855.44	2224.63	2875.3	3665.02	6561.36	2609.3	2609.3	2178.83	2855.44	2758.13	1096.5	4210.15	2758.13	353.59	4239.45	860.08	2451.44	2835.7	748.61	1662.49	1781.89	1870.53	1457.23	327.56	2335.28	2664.15	3564.78	2664.15	1313.23
NPIPB4	1674.06	3515.68	1923.14	53.19	87.65	1088.92	708.18	255.0	124.37	1733.13	116.78	143.01	50.63	190.34	113.56	205.5	387.02	124.37	406.31	336.79	384.34	221.86	169.07	253.23	262.2	381.68	395.18	229.72	193.01	264.03	698.41	432.53	217.27	158.79	318.57	175.07	642.59	125.24	253.23	435.55	336.79	312.0	134.3	38.95	82.29	46.84	110.43	444.72	187.71	444.72	327.56	104.42	172.65	139.07	126.12	265.87	137.14	656.11	244.57	135.24	193.01	103.69	1697.45	1233.75	1242.34	1322.37	1088.92	3349.13	1340.84	1844.76	1467.37	1023.0	1561.89	656.11	2163.77	1259.69	194.36	3515.68	961.07	1674.06	1127.35	507.46	728.11	928.3	860.08	1151.06	218.79	1286.18	1242.34	1819.35	1757.34	902.89
NPIPB5	2018.8	7803.01	4095.0	64.8	106.63	2163.77	1233.75	323.03	124.37	2935.74	149.12	267.73	63.0	251.48	113.56	441.64	595.34	153.34	579.04	353.59	921.88	356.05	100.13	551.56	429.54	599.49	297.17	143.01	167.9	387.02	400.71	444.72	185.11	231.32	325.29	258.57	921.88	49.56	295.11	647.07	511.0	273.37	201.25	41.52	108.9	24.11	181.28	536.45	460.44	353.59	325.29	185.11	234.57	329.84	139.07	287.01	130.6	1151.06	500.46	147.06	150.17	108.14	3395.89	2061.24	2104.58	2664.15	1651.0	6607.01	2835.7	3716.2	2075.59	2303.12	2976.74	954.43	4298.64	3280.18	414.87	4066.71	1295.13	1950.0	2335.28	633.73	890.44	1304.15	1447.15	1407.55	336.79	2777.33	2502.97	3349.13	2627.46	1208.34
NPIPB8	4.7	45.53	5.45	0.0	0.0	0.0	9.85	2.2	0.0	7.57	0.0	0.0	0.0	0.0	0.0	0.0	1.57	1.77	0.0	5.32	9.27	0.0	5.23	5.77	5.11	7.22	0.0	0.0	6.73	0.0	0.0	9.13	4.82	0.0	7.69	1.53	0.0	0.0	0.0	0.0	13.62	0.0	4.5	0.0	0.0	0.0	5.96	2.23	0.01	7.88	0.53	2.23	1.99	8.45	1.64	2.39	0.73	7.22	4.03	1.71	7.06	1.19	26.28	33.54	15.0	6.31	0.0	29.06	4.35	11.47	8.38	7.0	18.84	10.96	28.86	21.63	0.0	11.21	9.41	23.25	12.45	6.06	13.93	4.46	16.75	23.76	0.0	33.78	3.17	18.16	27.64	7.22
NUTM2G	8.45	17.0	3.44	0.0	1.68	2.25	1.06	2.14	0.8	3.92	1.39	0.88	0.39	3.76	0.39	1.04	2.27	1.04	0.75	1.25	0.0	1.57	0.73	0.0	0.72	10.24	0.0	0.0	0.0	2.05	1.87	3.5	0.68	0.68	0.69	0.73	0.0	0.0	1.46	2.81	1.1	0.66	0.73	0.0	0.87	1.07	1.19	1.17	2.27	1.48	2.68	2.41	0.72	1.5	3.14	2.16	0.39	1.36	2.51	4.86	1.48	0.72	8.13	4.31	6.06	7.57	6.46	14.14	8.65	4.74	8.19	7.11	7.75	4.5	12.45	5.96	3.92	4.86	1.28	8.06	2.32	2.18	5.5	2.12	5.41	9.63	2.2	6.41	4.62	9.78	3.76	3.82
PAPD7	432.53	624.99	642.59	56.68	58.71	212.78	242.88	197.09	85.82	255.0	89.51	104.42	107.38	90.14	130.6	125.24	171.45	102.25	329.84	173.85	141.02	149.12	149.12	460.44	211.31	134.3	327.56	194.36	125.24	205.5	301.33	265.87	226.54	137.14	190.34	194.36	273.37	158.79	285.03	281.09	220.32	215.77	205.5	117.6	112.77	108.9	176.29	249.73	329.84	180.02	194.36	151.22	139.07	180.02	234.57	607.87	125.24	241.19	152.28	138.1	171.45	141.02	612.11	674.59	490.14	450.94	406.31	429.54	476.71	555.41	480.04	518.15	723.08	217.27	426.57	507.46	177.53	438.59	232.94	507.46	253.23	224.97	228.13	307.69	647.07	575.03	193.01	860.08	470.14	941.27	441.64	231.32
PBX2	1167.14	2319.15	1832.01	536.45	435.55	967.76	780.44	759.08	591.22	1111.82	612.11	1073.91	665.29	679.29	836.53	866.07	1008.9	1127.35	651.58	500.46	620.67	728.11	587.13	603.67	1183.45	1583.71	426.57	540.19	551.56	323.03	796.86	490.14	2004.85	607.87	703.28	1519.15	688.78	529.06	915.51	684.02	616.37	651.58	624.99	346.29	395.18	297.17	417.77	473.41	351.14	540.19	490.14	256.78	470.14	848.22	223.41	559.28	536.45	579.04	1135.2	860.08	567.1	525.39	1950.0	1250.98	1508.65	1487.87	1037.29	1487.87	848.22	1794.29	1561.89	1044.52	1286.18	525.39	1081.39	1561.89	995.0	2133.97	1388.16	2032.85	1286.18	825.0	813.63	1008.9	860.08	1870.53	426.57	1519.15	813.63	2271.4	1467.37	1225.22
PCF11	612.11	830.75	366.09	195.72	93.35	341.51	236.21	232.94	91.41	389.72	80.57	155.5	115.97	131.51	64.8	114.36	228.13	93.35	193.01	116.78	103.69	173.85	131.51	293.07	176.29	249.73	105.15	115.97	151.22	118.43	199.85	125.24	208.38	194.36	128.79	332.14	363.56	127.89	275.28	172.65	217.27	277.2	183.82	51.35	182.55	76.17	217.27	170.25	139.07	180.02	232.94	209.84	175.07	194.36	198.47	167.9	94.67	312.0	299.25	204.07	155.5	108.9	575.03	293.07	647.07	435.55	384.34	647.07	432.53	507.46	420.68	540.19	483.38	358.54	521.76	392.44	249.73	1096.5	460.44	587.13	341.51	314.17	358.54	438.59	909.17	339.14	75.11	684.02	406.31	327.56	316.37	283.05
PCGF3	1015.93	718.08	684.02	180.02	291.04	339.14	226.54	258.57	132.44	389.72	152.28	339.14	189.02	242.88	249.73	244.57	251.48	249.73	305.55	346.29	371.22	305.55	155.5	397.93	295.11	457.25	285.03	297.17	262.2	211.31	629.35	336.79	316.37	518.15	277.2	281.09	220.32	309.83	309.83	371.22	384.34	305.55	293.07	167.9	199.85	151.22	172.65	351.14	256.78	277.2	211.31	180.02	314.17	239.52	260.38	371.22	117.6	246.28	269.6	412.0	205.5	125.24	759.08	872.1	603.67	708.18	620.67	1127.35	633.73	764.36	785.88	791.35	796.86	381.68	457.25	981.29	262.2	1304.15	318.57	353.59	518.15	423.61	334.46	341.51	563.18	995.0	339.14	802.41	616.37	848.22	928.3	450.94
PCNT	395.18	457.25	339.14	86.43	73.03	211.31	148.09	265.87	103.69	154.42	122.64	133.36	133.36	144.01	157.68	115.97	191.67	98.73	156.59	269.6	281.09	169.07	201.25	303.44	141.02	189.02	101.54	154.42	713.11	220.32	202.66	246.28	236.21	94.01	171.45	95.34	251.48	125.24	142.01	162.14	170.25	166.73	113.56	87.03	154.42	140.04	98.04	191.67	152.28	115.16	135.24	126.12	84.04	185.11	114.36	279.14	116.78	166.73	132.44	119.26	102.97	198.47	373.81	215.77	305.55	309.83	260.38	226.54	223.41	373.81	299.25	265.87	417.77	110.43	514.56	511.0	110.43	287.01	309.83	591.22	281.09	253.23	356.05	339.14	228.13	309.83	64.8	232.94	329.84	620.67	289.02	163.28
PIDD	575.03	669.92	363.56	45.21	142.01	497.0	208.38	147.06	146.03	420.68	208.38	258.57	73.03	194.36	258.57	341.51	132.44	258.57	285.03	228.13	336.79	244.57	224.97	197.09	318.57	273.37	327.56	258.57	277.2	309.83	688.78	242.88	281.09	201.25	177.53	182.55	199.85	283.05	218.79	211.31	269.6	214.27	277.2	162.14	93.35	109.66	127.0	320.8	251.48	166.73	242.88	146.03	206.94	224.97	218.79	206.94	100.83	309.83	167.9	205.5	241.19	121.79	532.74	426.57	466.88	305.55	551.56	435.55	361.04	447.82	454.09	318.57	1001.93	142.01	813.63	703.28	90.14	555.41	320.8	476.71	327.56	248.0	329.84	392.44	295.11	232.94	118.43	289.02	366.09	438.59	525.39	234.57
PLAGL2	173.85	166.73	237.86	60.82	57.08	82.87	101.54	86.43	46.84	111.21	44.57	61.25	52.82	60.82	100.13	48.52	123.5	73.54	56.28	49.91	53.95	47.84	37.32	70.51	51.71	87.65	43.94	41.52	20.71	20.56	96.68	36.27	120.1	47.84	28.04	134.3	71.5	34.26	75.64	42.11	73.54	34.02	40.93	38.4	33.06	24.63	36.79	41.52	17.64	49.56	24.99	40.93	41.22	35.5	42.41	16.75	39.22	159.9	49.91	53.19	15.34	35.76	206.94	173.85	223.41	193.01	201.25	133.36	307.69	264.03	215.77	159.9	305.55	138.1	435.55	191.67	127.89	262.2	177.53	221.86	116.78	251.48	146.03	246.28	332.14	718.08	171.45	237.86	182.55	591.22	211.31	133.36
PLCG1	1417.35	3103.19	1950.0	183.82	769.69	1127.35	791.35	651.58	432.53	1104.13	629.35	748.61	406.31	376.41	457.25	769.69	486.75	660.68	305.55	387.02	500.46	412.0	244.57	503.95	961.07	303.44	281.09	312.0	167.9	267.73	395.18	414.87	262.2	483.38	265.87	599.49	363.56	248.0	633.73	612.11	624.99	334.46	307.69	217.27	153.34	110.43	198.47	143.01	145.02	195.72	295.11	154.42	164.42	187.71	111.99	205.5	190.34	229.72	366.09	134.3	86.43	172.65	1844.76	1427.22	1639.59	1073.91	1208.34	1096.5	1151.06	1870.53	1651.0	1088.92	2591.27	769.69	1651.0	1313.23	480.04	1388.16	651.58	1551.09	884.29	490.14	511.0	947.83	1191.69	1359.57	220.32	1088.92	928.3	1208.34	1340.84	583.07
