	TCGA.A8.A081.01A.11R.A00Z.07	TCGA.C8.A278.01A.11R.A169.07	TCGA.BH.A0DL.01A.11R.A115.07	TCGA.AR.A1AJ.01A.21R.A12P.07	TCGA.D8.A1JG.01B.11R.A13Q.07	TCGA.A2.A0CM.01A.31R.A034.07	TCGA.XK.AAIV.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.V1.A9O5.01A.11R.A41O.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.ZG.A9L0.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.ZG.A8QW.01A.11R.A37L.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07
KIF20A	181.28	348.71	409.15	555.41	616.37	825.0	255.0	19.53	6.78	49.91	13.32	13.62	149.12	82.87	27.05	29.7	23.93	121.79	26.1	130.6	25.17	10.47	13.32	24.81	50.63	20.86	8.78	21.01	21.32	20.86	49.21	14.78	10.71	9.7	29.91	53.95	262.2	22.26	54.72	90.14	23.59	63.0	318.57	22.1	28.24	21.94	77.79	21.94	16.51	17.13	183.82	31.45	21.78	45.21	260.38	58.3	31.45	81.14	24.99	90.14	10.31	148.09	224.97	23.42	23.76	93.35	33.06	21.63	31.67	48.87	142.01	48.18	165.57	49.21	31.9	12.74	20.56	22.1	66.18	20.41	11.73	26.67	10.96	86.43	25.35	33.06	5.73	13.72	3.29	183.82	10.31
KIF23	351.14	281.09	698.41	486.75	323.03	836.53	87.65	8.13	10.0	57.89	15.45	10.88	98.73	84.04	30.78	19.11	31.67	64.34	28.45	122.64	28.04	20.26	18.43	21.47	30.12	25.54	17.13	34.26	38.4	15.56	48.18	36.79	12.09	8.38	15.68	43.32	107.38	21.32	50.98	107.38	18.43	78.34	191.67	19.97	21.01	24.46	60.82	32.13	37.05	29.06	115.16	34.26	26.67	35.0	144.01	42.11	34.02	54.72	16.27	91.41	7.06	108.14	171.45	20.56	36.53	99.43	23.93	28.45	26.86	44.89	98.04	45.53	94.67	43.63	26.1	11.82	18.97	24.11	36.53	25.17	14.24	22.43	14.14	114.36	21.32	30.12	15.68	23.08	14.67	126.12	24.28
KIF4A	303.44	157.68	295.11	397.93	543.96	547.75	182.55	11.82	4.78	38.95	9.78	8.65	87.65	62.56	17.0	10.0	13.62	95.34	13.52	69.03	16.63	12.55	13.12	14.03	24.11	17.64	4.54	15.8	17.51	10.88	30.34	9.63	5.96	8.0	29.06	32.36	251.48	19.82	47.17	92.05	22.26	49.21	232.94	9.34	10.79	10.63	54.72	26.28	16.88	11.38	130.6	18.03	20.11	27.05	99.43	44.57	19.82	49.21	17.13	70.01	2.56	107.38	120.1	11.21	18.43	103.69	25.54	17.38	23.59	25.17	70.01	36.53	97.36	37.85	15.8	8.78	14.35	14.89	38.4	14.45	10.88	23.59	7.34	85.22	15.56	22.26	2.46	2.86	2.73	134.3	5.92
KLHDC7B	299.25	98.73	1857.6	2090.03	529.06	91.41	45.85	3.66	4.54	9.63	0.6	1.28	13.03	4.62	11.38	8.65	3.96	13.72	10.71	59.55	1.38	3.89	1.91	3.0	4.9	6.57	28.86	1.95	8.65	1.1	92.05	3.32	2.89	0.0	3.99	15.56	45.21	2.89	4.9	0.0	14.67	9.56	33.06	3.56	11.13	1.62	2.32	19.11	15.0	21.01	13.22	4.54	1.3	3.92	2.46	0.36	4.58	84.63	3.53	7.46	1.6	22.59	87.65	7.75	4.43	13.32	3.53	1.6	1.58	65.72	39.5	6.01	31.22	2.97	6.73	1.68	11.55	2.41	11.38	7.0	5.45	5.5	2.32	12.27	3.63	2.43	0.97	3.03	1.46	7.82	4.66
KLK2	5.68	363.56	0.68	3.29	1.43	0.0	71714.63	520665.48	249727.34	116501.39	391864.76	246289.25	218912.29	96616.71	329517.51	284880.02	353168.2	184082.4	292889.12	123144.13	280957.98	280957.98	320506.81	324980.94	309589.14	378516.38	292889.12	269512.87	353168.2	334117.42	273275.14	311742.51	378516.38	383800.28	288856.81	253213.41	51775.15	386469.83	360589.03	341137.96	443937.41	93325.55	66912.05	338781.54	269512.87	286861.53	311742.51	363097.14	324980.94	299043.36	212926.09	294926.33	329517.51	320506.81	303217.87	373305.21	316094.29	159145.95	419990.32	345900.08	334117.42	75280.1	142439.51	311742.51	331809.5	208544.12	279017.26	355624.68	437825.58	119776.72	72715.74	256748.15	110216.97	253213.41	273275.14	244588.0	249727.34	375901.76	389157.95	299043.36	365622.68	279017.26	299043.36	251464.33	383800.28	402881.61	284880.02	322736.12	284880.02	89523.81	370726.6
KNOP1	1081.39	753.83	928.3	703.28	915.51	753.83	896.64	409.15	236.21	379.04	323.03	417.77	780.44	406.31	400.71	343.89	363.56	629.35	414.87	500.46	341.51	470.14	376.41	392.44	414.87	260.38	265.87	346.29	379.04	256.78	540.19	269.6	514.56	291.04	307.69	309.83	647.07	316.37	551.56	514.56	521.76	409.15	529.06	373.81	323.03	366.09	400.71	325.29	348.71	381.68	547.75	318.57	366.09	511.0	559.28	547.75	332.14	438.59	316.37	329.84	403.5	642.59	656.11	409.15	466.88	616.37	423.61	447.82	444.72	521.76	463.65	454.09	525.39	463.65	435.55	381.68	366.09	366.09	518.15	417.77	346.29	327.56	236.21	497.0	441.64	409.15	356.05	316.37	171.45	438.59	279.14
LMNB1	1066.48	1250.98	1397.83	1561.89	2047.0	1991.0	599.49	49.21	73.54	283.05	60.39	68.55	339.14	334.46	146.03	78.89	155.5	417.77	118.43	381.68	96.01	81.14	78.34	107.38	110.43	115.16	43.02	143.01	76.71	82.29	260.38	69.03	71.0	71.0	105.15	180.02	551.56	144.01	291.04	406.31	97.36	253.23	928.3	79.45	100.13	135.24	189.02	175.07	110.43	87.03	860.08	127.0	167.9	155.5	780.44	293.07	108.14	303.44	101.54	199.85	76.71	441.64	629.35	77.25	162.14	426.57	78.89	164.42	167.9	339.14	264.03	220.32	555.41	205.5	75.64	56.68	83.45	96.68	185.11	86.43	62.56	110.43	69.03	327.56	132.44	164.42	33.06	35.5	49.21	607.87	59.97
MCM10	170.25	194.36	128.79	351.14	169.07	423.61	52.45	2.34	3.79	14.03	2.58	0.87	30.34	10.79	6.94	3.76	6.52	42.11	3.47	30.34	4.31	6.06	3.38	3.89	4.43	5.45	2.36	5.73	7.34	2.78	21.16	8.19	1.83	7.82	9.56	8.51	24.99	4.58	9.06	26.1	2.73	19.68	88.26	1.68	4.06	4.74	13.22	1.87	2.46	5.45	50.98	6.21	4.39	7.46	18.7	9.48	4.46	8.13	3.06	12.0	1.81	25.17	43.94	4.1	5.59	38.12	6.31	4.66	3.99	7.0	13.12	5.28	24.28	12.18	2.92	6.26	3.89	4.7	7.57	6.01	6.73	5.11	1.87	26.86	6.21	4.03	5.15	6.73	1.01	47.5	1.58
MCM2	1268.46	813.63	1015.93	1151.06	497.0	1081.39	521.76	149.12	183.82	185.11	159.9	130.6	450.94	376.41	209.84	137.14	180.02	363.56	239.52	295.11	197.09	170.25	112.77	151.22	162.14	138.1	218.79	214.27	176.29	115.97	211.31	177.53	116.78	135.24	190.34	297.17	285.03	130.6	221.86	305.55	169.07	236.21	728.11	167.9	145.02	115.16	251.48	145.02	181.28	161.02	808.0	241.19	165.57	214.27	366.09	303.44	223.41	215.77	172.65	182.55	191.67	260.38	341.51	211.31	209.84	555.41	189.02	234.57	389.72	171.45	193.01	154.42	368.65	234.57	190.34	130.6	197.09	126.12	195.72	154.42	176.29	190.34	123.5	267.73	181.28	211.31	212.78	157.68	197.09	356.05	175.07
MCM4	547.75	2319.15	2555.58	1745.2	3540.14	2485.67	1111.82	154.42	127.89	232.94	194.36	127.0	397.93	269.6	173.85	170.25	204.07	624.99	197.09	327.56	185.11	163.28	147.06	159.9	177.53	124.37	143.01	251.48	176.29	175.07	291.04	167.9	112.77	120.94	173.85	327.56	1081.39	185.11	241.19	260.38	119.26	301.33	1322.37	114.36	123.5	187.71	149.12	139.07	135.24	151.22	764.36	193.01	258.57	332.14	854.13	486.75	177.53	242.88	138.1	137.14	127.0	336.79	665.29	197.09	182.55	536.45	162.14	205.5	209.84	299.25	283.05	177.53	412.0	206.94	162.14	165.57	164.42	122.64	149.12	154.42	162.14	283.05	95.34	612.11	151.22	163.28	204.07	141.02	128.79	660.68	186.4
MELK	400.71	460.44	316.37	595.34	656.11	1127.35	205.5	16.03	7.63	61.25	7.88	13.62	139.07	66.18	21.78	18.16	20.41	109.66	21.78	75.11	19.25	16.75	17.64	21.01	31.67	20.56	3.82	26.28	45.21	22.59	46.18	7.75	7.57	13.12	25.91	38.95	111.99	21.32	50.63	141.02	31.45	60.39	285.03	17.38	13.12	18.56	37.59	18.84	23.59	15.34	164.42	30.12	25.54	29.27	156.59	48.52	30.78	77.79	16.75	81.71	7.17	104.42	143.01	17.25	25.91	148.09	35.76	23.08	26.28	45.21	112.77	38.95	96.01	53.19	16.63	6.57	22.92	14.03	46.84	17.77	15.91	29.91	8.38	139.07	25.35	28.45	2.18	9.06	4.21	177.53	5.73
MKI67	698.41	392.44	651.58	665.29	674.59	780.44	214.27	16.27	12.74	82.29	14.35	26.67	127.89	198.47	34.02	41.22	35.25	140.04	37.32	60.82	28.45	25.35	72.52	25.91	80.01	27.25	17.77	34.51	40.36	41.52	96.68	20.56	13.93	9.06	35.25	84.04	239.52	17.77	102.25	99.43	42.71	124.37	457.25	26.1	13.22	31.0	80.57	40.64	29.91	34.26	154.42	40.64	59.97	51.71	244.57	68.55	41.22	73.54	24.81	130.6	27.44	178.77	356.05	19.11	50.27	102.97	28.65	34.75	68.55	82.29	78.89	63.89	157.68	86.43	41.22	13.83	27.05	36.27	50.27	37.59	29.48	47.17	15.22	215.77	60.82	38.12	12.27	1.6	6.78	303.44	5.54
MTFR2	164.42	486.75	97.36	195.72	93.35	444.72	40.36	6.89	4.03	20.26	3.38	5.36	38.95	20.26	14.56	6.57	4.46	32.13	3.29	37.85	5.77	8.06	4.66	10.08	5.87	6.62	2.32	8.71	2.43	8.51	31.67	7.46	7.94	8.51	25.72	11.82	63.45	2.36	19.68	27.25	8.92	13.83	81.14	8.38	6.84	8.71	10.71	8.13	6.89	7.4	28.04	11.38	7.57	4.78	21.47	8.32	8.06	17.0	7.11	16.88	5.02	26.86	35.5	9.06	9.27	46.5	9.06	6.11	10.31	12.83	35.0	16.27	24.28	19.68	5.68	6.41	9.7	28.86	21.16	9.7	6.11	12.36	3.69	27.05	9.63	5.82	3.2	9.63	4.39	42.11	3.66
MYD88	909.17	1295.13	967.76	2148.82	1259.69	1709.26	842.36	325.29	612.11	583.07	332.14	563.18	547.75	775.05	579.04	514.56	624.99	733.19	624.99	518.15	397.93	483.38	336.79	536.45	426.57	490.14	466.88	429.54	379.04	381.68	679.29	466.88	438.59	312.0	392.44	651.58	813.63	423.61	447.82	202.66	559.28	612.11	934.76	353.59	339.14	563.18	486.75	457.25	454.09	629.35	486.75	575.03	525.39	493.56	368.65	267.73	450.94	728.11	403.5	417.77	447.82	733.19	1199.98	473.41	400.71	525.39	305.55	563.18	463.65	642.59	616.37	309.83	738.29	647.07	420.68	438.59	583.07	457.25	480.04	547.75	490.14	555.41	441.64	780.44	473.41	454.09	368.65	426.57	435.55	753.83	423.61
NCAPG	236.21	201.25	343.89	356.05	287.01	563.18	149.12	14.35	6.52	41.22	9.56	8.92	69.03	57.89	21.78	10.96	15.8	53.19	18.56	58.3	16.39	14.67	15.22	19.25	20.56	11.21	6.78	19.68	14.56	16.03	39.5	6.01	8.38	17.13	19.53	25.54	88.26	16.51	29.7	202.66	17.13	62.12	137.14	12.83	11.91	9.13	45.53	13.52	24.11	13.83	120.1	21.32	14.78	28.24	112.77	36.27	13.42	46.18	16.27	61.25	4.17	82.87	59.55	12.0	24.63	75.11	22.75	17.51	22.1	37.59	71.0	37.85	97.36	36.01	15.45	9.06	13.62	20.26	34.51	15.45	12.0	17.9	8.58	73.03	18.84	19.97	1.95	8.99	6.52	187.71	5.63
NCAPG2	559.28	387.02	371.22	785.88	412.0	409.15	283.05	97.36	75.64	142.01	85.82	74.58	248.0	206.94	115.16	85.82	82.29	194.36	96.01	181.28	107.38	100.83	162.14	82.29	151.22	107.38	70.01	108.9	125.24	97.36	137.14	89.51	87.03	81.71	102.25	154.42	156.59	150.17	156.59	175.07	66.18	147.06	473.41	64.34	112.77	98.73	173.85	84.04	73.54	74.58	521.76	103.69	66.65	124.37	316.37	202.66	102.97	159.9	91.41	163.28	73.03	224.97	305.55	89.51	151.22	297.17	107.38	90.77	133.36	118.43	128.79	135.24	170.25	139.07	94.01	63.45	116.78	85.22	100.13	94.01	105.89	85.82	52.45	155.5	108.9	100.83	69.52	53.19	58.3	217.27	79.45
NEIL3	47.17	52.82	70.51	177.53	186.4	102.25	28.65	4.54	0.36	7.22	0.33	0.99	24.28	12.45	3.69	1.33	3.29	16.75	2.63	7.94	5.06	2.61	1.93	5.59	2.81	5.82	0.74	3.23	4.94	2.56	8.19	2.34	1.0	1.03	3.0	6.41	19.97	3.59	11.21	11.38	3.47	11.04	42.11	1.46	1.0	4.17	9.06	2.32	1.95	1.99	28.86	3.86	1.64	6.41	41.52	6.57	3.26	8.0	3.17	17.38	0.0	20.71	24.81	1.97	3.79	7.51	5.11	4.43	5.32	7.63	19.82	5.96	17.64	9.93	3.69	0.71	1.69	2.76	4.74	3.53	2.73	4.21	1.68	15.91	4.9	5.45	0.64	2.27	0.0	16.03	1.28
NEK2	802.41	389.72	808.0	780.44	289.02	1030.12	246.28	12.74	3.72	38.67	5.5	5.87	98.04	59.97	16.88	12.93	15.91	67.12	13.32	84.63	15.56	16.88	5.06	16.63	24.46	15.22	2.23	14.35	17.13	14.24	21.16	5.87	8.25	8.78	22.26	40.93	283.05	6.73	52.08	102.25	19.82	51.71	234.57	20.11	9.93	11.47	24.63	16.39	10.88	12.27	140.04	21.32	14.03	23.76	109.66	44.89	19.25	57.49	12.83	68.55	7.34	119.26	141.02	12.64	21.78	82.87	18.7	20.26	26.1	27.05	129.69	38.4	137.14	32.36	22.59	5.63	19.97	17.9	38.95	5.96	10.63	25.91	6.67	101.54	15.34	26.1	4.43	14.45	0.77	145.02	4.54
NLRC5	547.75	460.44	1844.76	1883.54	791.35	1369.04	575.03	133.36	133.36	260.38	63.45	78.89	271.48	187.71	356.05	232.94	343.89	470.14	169.07	718.08	56.28	293.07	187.71	185.11	97.36	172.65	146.03	132.44	195.72	75.64	884.29	190.34	79.45	113.56	127.89	177.53	420.68	307.69	228.13	33.06	202.66	291.04	1023.0	158.79	60.39	124.37	107.38	163.28	142.01	392.44	1617.0	110.43	130.6	111.99	81.14	23.76	173.85	356.05	171.45	163.28	77.25	486.75	1135.2	180.02	103.69	435.55	121.79	155.5	74.58	249.73	366.09	139.07	139.07	269.6	112.77	93.35	149.12	214.27	211.31	161.02	201.25	181.28	221.86	169.07	165.57	158.79	109.66	129.69	133.36	202.66	201.25
NUF2	325.29	228.13	543.96	660.68	279.14	796.86	126.12	14.14	8.19	35.5	14.67	12.0	68.55	53.19	17.25	17.9	10.79	65.72	12.36	96.68	10.47	13.62	16.63	15.68	29.91	13.52	8.58	15.56	14.67	12.18	40.07	9.78	7.82	16.27	20.41	21.47	150.17	15.45	40.93	94.01	17.25	34.75	185.11	11.3	11.13	12.93	34.02	14.45	39.22	20.26	111.99	16.15	23.59	14.45	83.45	36.53	17.13	59.55	13.72	52.45	7.4	60.39	73.03	15.56	27.44	142.01	16.51	13.03	41.81	19.11	59.55	30.12	49.91	34.26	18.03	8.85	12.93	16.63	35.25	13.42	19.25	29.91	7.28	78.34	21.47	27.05	4.46	15.11	5.73	93.35	12.09
NUSAP1	921.88	808.0	1769.57	1233.75	1572.76	1369.04	713.11	57.08	19.97	182.55	57.49	43.32	392.44	305.55	78.34	51.71	87.65	318.57	66.65	368.65	44.57	52.45	68.07	76.17	111.21	76.17	51.71	84.04	63.45	37.32	172.65	37.59	29.06	47.84	100.13	155.5	532.74	91.41	129.69	417.77	77.25	191.67	825.0	46.84	45.21	65.72	171.45	56.28	65.26	59.55	660.68	70.01	79.45	121.79	480.04	154.42	87.03	175.07	63.45	323.03	22.1	406.31	583.07	66.18	88.26	264.03	82.29	64.34	66.65	165.57	323.03	149.12	358.54	185.11	79.45	32.13	68.07	63.89	176.29	87.03	50.98	101.54	19.25	351.14	70.51	94.01	20.56	58.3	17.0	497.0	24.46
ORC1	113.56	215.77	212.78	211.31	173.85	151.22	55.89	8.92	6.01	21.01	11.82	3.23	27.84	22.43	12.93	6.36	10.31	28.45	6.06	20.41	8.85	10.79	7.22	11.73	15.22	11.21	3.96	10.71	9.7	7.51	23.93	7.57	5.32	10.24	12.36	16.63	32.36	11.21	21.01	32.36	14.14	24.46	78.89	8.85	5.96	9.7	15.8	8.51	7.34	9.85	36.79	14.56	12.0	12.55	30.78	18.29	10.47	15.91	7.63	18.84	4.58	30.12	48.52	10.39	18.7	48.52	11.38	10.63	8.51	14.03	25.17	10.55	24.99	16.75	9.41	5.87	8.65	7.82	15.56	11.64	11.3	12.18	4.74	20.26	8.92	6.78	7.0	9.34	5.92	29.27	12.27
PARP14	2104.58	1250.98	1397.83	1745.2	1605.83	1081.39	708.18	265.87	251.48	327.56	218.79	186.4	279.14	358.54	289.02	279.14	287.01	587.13	368.65	507.46	153.34	320.8	234.57	244.57	195.72	198.47	236.21	253.23	361.04	193.01	599.49	353.59	297.17	153.34	231.32	269.6	830.75	198.47	281.09	82.87	242.88	432.53	1304.15	135.24	134.3	251.48	279.14	293.07	159.9	476.71	1073.91	297.17	258.57	341.51	197.09	64.34	220.32	651.58	193.01	139.07	185.11	642.59	890.44	201.25	258.57	403.5	119.26	208.38	187.71	314.17	260.38	198.47	267.73	281.09	255.0	236.21	273.37	267.73	299.25	214.27	291.04	273.37	244.57	591.22	147.06	137.14	281.09	161.02	234.57	205.5	287.01
PARPBP	152.28	217.27	137.14	136.19	234.57	341.51	125.24	13.32	15.45	58.71	11.04	20.56	68.55	42.11	16.03	24.99	17.13	77.25	33.78	119.26	20.71	28.45	31.45	21.47	18.16	25.17	21.78	27.05	14.78	25.91	44.57	34.51	11.55	29.06	32.82	40.36	120.94	28.24	47.84	48.52	20.86	53.19	208.38	20.41	12.18	21.94	55.1	30.78	21.16	26.47	102.25	25.72	28.04	35.25	76.17	42.11	14.56	68.55	14.24	34.51	14.14	73.54	74.58	26.47	38.12	82.87	17.0	18.97	17.38	77.25	49.21	24.99	87.03	34.26	29.27	10.24	27.64	12.74	21.32	18.43	22.75	24.81	18.16	59.13	20.71	23.76	17.25	69.52	21.16	86.43	25.35
PLCH1	283.05	105.89	17.25	339.14	180.02	49.56	85.22	1.19	3.96	12.18	0.29	2.43	43.02	18.03	6.57	9.48	11.73	21.94	7.51	39.79	3.23	15.45	3.59	4.35	7.11	3.92	11.55	6.01	3.79	0.36	21.47	2.84	2.16	1.58	9.41	8.51	69.52	16.51	13.62	0.28	3.89	20.26	32.59	1.38	8.25	5.41	2.53	2.2	5.11	7.88	4.9	11.47	3.35	3.99	45.21	2.36	6.94	13.93	2.36	3.96	0.93	60.39	69.03	5.73	5.02	35.76	3.35	5.06	36.53	22.26	51.71	2.71	6.67	5.82	6.26	0.97	8.25	1.33	5.36	4.5	8.45	5.73	3.11	47.17	3.44	1.66	8.25	5.77	3.53	56.28	6.94
PLK4	214.27	173.85	332.14	466.88	341.51	318.57	45.21	28.65	21.94	50.27	27.05	27.25	66.65	53.57	20.71	16.03	15.68	77.79	16.88	70.01	22.1	40.93	27.64	40.07	37.32	31.45	25.54	35.76	59.55	11.91	40.64	35.0	19.53	21.63	48.87	22.26	61.68	51.71	56.68	58.3	16.63	40.93	111.21	17.38	8.85	26.47	32.59	14.35	32.59	16.63	79.45	37.05	45.53	41.22	26.28	40.36	30.12	42.41	12.55	47.5	16.39	48.52	68.55	26.47	60.82	33.54	28.04	36.27	29.06	40.93	69.03	42.11	52.45	23.59	34.51	18.29	23.93	21.94	45.21	23.93	26.67	25.54	12.0	30.12	25.35	42.71	24.63	26.67	18.84	70.51	50.98
POLQ	165.57	75.64	127.0	108.14	85.22	84.63	31.67	1.33	2.07	10.71	2.84	0.71	15.34	8.19	2.86	4.06	4.86	15.0	1.75	13.03	2.53	4.1	1.71	3.5	3.69	2.23	2.27	2.41	2.32	1.57	16.63	1.77	1.06	1.43	4.17	3.96	14.45	2.29	5.87	19.53	1.69	9.93	58.3	1.53	1.06	4.1	5.87	1.77	5.06	2.1	37.85	4.78	4.06	4.82	22.26	7.0	2.76	14.78	2.25	8.78	0.72	17.77	27.84	2.76	5.28	10.79	2.73	3.03	3.0	8.78	16.63	4.35	8.85	10.96	7.0	0.74	1.45	1.85	5.36	1.71	2.53	3.44	1.07	12.83	2.12	2.58	2.05	1.43	1.17	15.68	1.75
PRR11	363.56	389.72	417.77	334.46	518.15	503.95	127.0	6.06	10.24	47.5	7.0	16.63	76.71	75.64	20.86	13.42	27.25	63.45	14.78	57.49	16.39	13.83	13.52	11.73	25.54	20.11	11.21	17.25	13.52	9.56	65.26	10.16	8.13	4.78	25.72	39.5	99.43	11.73	31.22	33.78	10.63	101.54	217.27	10.31	9.56	23.59	48.18	14.24	15.45	8.32	96.01	26.86	15.91	33.78	69.52	34.75	16.15	35.0	10.55	48.52	7.51	69.52	124.37	9.41	19.68	55.1	12.18	15.8	17.38	36.53	52.08	17.51	70.51	27.25	14.89	8.19	19.25	11.82	13.83	15.68	15.45	16.75	3.86	44.57	8.71	20.26	12.83	15.68	13.03	131.51	14.67
RACGAP1	1233.75	567.1	780.44	941.27	2163.77	1023.0	551.56	64.8	56.68	156.59	82.29	58.3	253.23	307.69	109.66	76.17	106.63	224.97	94.01	293.07	115.16	84.63	88.26	96.01	132.44	113.56	80.57	108.9	84.04	66.65	161.02	87.65	81.71	88.88	127.0	191.67	353.59	87.65	195.72	221.86	76.17	242.88	490.14	79.45	68.55	114.36	199.85	88.88	81.71	67.59	397.93	131.51	131.51	193.01	307.69	189.02	131.51	202.66	88.88	232.94	47.84	297.17	379.04	81.14	99.43	251.48	88.88	123.5	102.97	209.84	205.5	104.42	363.56	186.4	117.6	71.0	109.66	80.01	108.14	85.22	82.87	170.25	34.02	307.69	98.73	108.14	83.45	134.3	63.89	414.87	77.79
RCC2	1639.59	2555.58	4298.64	2855.44	1572.76	3103.19	1950.0	616.37	660.68	995.0	559.28	769.69	1857.6	1540.37	802.41	708.18	1119.56	1378.57	896.64	1096.5	603.67	684.02	587.13	688.78	759.08	660.68	583.07	748.61	753.83	775.05	1001.93	638.15	674.59	480.04	759.08	961.07	1508.65	934.76	988.12	1066.48	961.07	728.11	1781.89	616.37	819.3	769.69	866.07	764.36	1037.29	748.61	1417.35	791.35	1081.39	796.86	1369.04	896.64	629.35	1088.92	638.15	860.08	961.07	1397.83	1883.54	612.11	718.08	981.29	796.86	890.44	1167.14	1498.22	1008.9	638.15	1457.23	878.17	599.49	551.56	703.28	629.35	1143.1	660.68	854.13	743.43	665.29	974.5	909.17	1073.91	563.18	269.6	438.59	1583.71	493.56
RNF213	1844.76	2104.58	3395.89	3820.7	4152.18	3467.27	1745.2	785.88	836.53	1304.15	738.29	642.59	1167.14	1268.46	1159.07	775.05	1111.82	1369.04	1023.0	1870.53	854.13	1111.82	642.59	713.11	934.76	728.11	718.08	878.17	1304.15	599.49	1572.76	764.36	629.35	733.19	591.22	1242.34	2855.44	842.36	1044.52	303.44	974.5	1540.37	2090.03	525.39	503.95	1008.9	780.44	848.22	890.44	1066.48	1417.35	934.76	753.83	830.75	1135.2	718.08	1135.2	1508.65	974.5	941.27	529.06	2178.83	2855.44	896.64	743.43	1388.16	708.18	866.07	830.75	1437.15	1008.9	808.0	1051.79	1250.98	708.18	551.56	915.51	915.51	1111.82	921.88	988.12	743.43	915.51	1378.57	802.41	872.1	759.08	332.14	728.11	796.86	796.86
