	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.86.8669.01A.11R.2403.07	TCGA.49.4510.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.78.7161.01A.11R.2039.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.91.6849.01A.11R.1949.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.38.4625.01A.01R.1206.07	TCGA.50.5932.01A.11R.1755.07	TCGA.80.5608.01A.31R.1949.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.73.4675.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.73.7498.01A.12R.2187.07	TCGA.44.7671.01A.11R.2066.07	TCGA.4B.A93V.01A.11R.A39D.07	TCGA.78.7537.01A.11R.2066.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.55.6970.01A.11R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.QXCU.0626.SM.2TC69	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.ZT9W.0726.SM.4YCDC	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ
MPHOSPH8	412.0	228.13	603.67	279.14	309.83	412.0	507.46	358.54	629.35	507.46	234.57	651.58	285.03	679.29	454.09	248.0	201.25	409.15	497.0	361.04	299.25	684.02	620.67	187.71	423.61	275.28	651.58	620.67	403.5	587.13	384.34	624.99	389.72	669.92	571.05	928.3	285.03	785.88	1088.92	775.05	555.41	603.67	260.38	872.1	738.29	633.73	490.14	366.09	490.14	785.88	796.86	607.87	567.1	878.17	1030.12	476.71	518.15	866.07	384.34	703.28	1191.69	813.63	713.11	555.41	941.27	1216.75	665.29	825.0	708.18	679.29	748.61	599.49	500.46	1030.12	620.67	450.94	743.43	703.28	1340.84	409.15	974.5	665.29	890.44	890.44	470.14	470.14
MYZAP	4.94	0.0	75.11	98.04	75.64	37.05	125.24	20.71	22.59	50.27	70.51	74.06	0.0	108.14	56.28	19.11	0.13	53.95	70.01	26.1	52.08	71.5	48.87	4.28	50.27	15.68	112.77	56.28	107.38	56.28	45.53	90.14	753.83	1104.13	3190.46	1340.84	170.25	3146.52	1991.0	450.94	1594.73	1388.16	473.41	287.01	1378.57	1030.12	555.41	665.29	928.3	3491.39	612.11	616.37	688.78	1059.11	1378.57	543.96	3212.66	1769.57	595.34	1313.23	3443.31	426.57	1259.69	503.95	559.28	83.45	915.51	1685.71	260.38	733.19	1199.98	967.76	647.07	1259.69	343.89	521.76	967.76	255.0	353.59	1233.75	1225.22	1407.55	1183.45	2119.22	547.75	733.19
NTN4	88.26	140.04	490.14	299.25	507.46	389.72	466.88	69.52	96.01	301.33	429.54	108.14	0.0	223.41	258.57	312.0	0.27	53.57	305.55	55.49	420.68	312.0	119.26	48.18	283.05	155.5	146.03	181.28	218.79	612.11	136.19	642.59	3168.41	5594.3	6840.04	3349.13	995.0	3146.52	4095.0	2664.15	4210.15	5147.73	780.44	1651.0	5594.3	3540.14	1709.26	1551.09	2895.31	5791.62	3280.18	2240.11	1487.87	3467.27	3124.78	2434.5	2537.92	5076.84	703.28	2555.58	1950.0	3768.09	3820.7	2271.4	5913.33	6079.61	4210.15	3928.15	1340.84	4671.57	2400.97	2303.12	2796.65	3901.01	1950.0	2701.35	4066.71	5555.65	4836.35	2240.11	4358.66	2133.97	5831.91	3716.2	2018.8	2400.97
PCYOX1L	3.35	4.1	100.13	58.71	78.89	190.34	50.63	32.82	63.45	107.38	58.71	61.68	181.28	28.86	63.89	49.21	80.57	83.45	86.43	127.89	90.14	138.1	105.15	41.81	133.36	60.82	41.81	69.52	89.51	62.56	23.76	89.51	73.03	149.12	117.6	122.64	35.5	93.35	150.17	178.77	102.25	128.79	42.11	94.01	205.5	267.73	152.28	131.51	214.27	115.16	339.14	130.6	170.25	131.51	115.16	165.57	125.24	195.72	55.89	157.68	281.09	209.84	275.28	173.85	139.07	126.12	204.07	126.12	140.04	277.2	153.34	110.43	329.84	178.77	256.78	96.01	208.38	246.28	147.06	135.24	186.4	181.28	115.16	121.79	189.02	61.25
PRICKLE1	1.2	1.53	63.45	68.07	49.21	36.79	33.78	24.28	20.11	20.41	24.46	50.98	0.0	44.89	12.83	13.42	0.26	30.12	30.56	24.28	44.89	54.72	45.53	6.84	55.1	35.25	20.26	32.59	38.67	9.56	28.65	57.89	92.7	108.9	320.8	325.29	137.14	301.33	718.08	260.38	214.27	281.09	41.81	133.36	144.01	397.93	183.82	143.01	146.03	366.09	218.79	189.02	37.59	221.86	135.24	316.37	743.43	346.29	121.79	75.11	361.04	212.78	182.55	121.79	283.05	242.88	148.09	423.61	105.15	112.77	150.17	136.19	175.07	486.75	169.07	164.42	353.59	83.45	429.54	698.41	228.13	543.96	97.36	406.31	91.41	81.71
PTPN21	64.34	105.89	37.05	91.41	177.53	63.0	173.85	61.25	106.63	57.08	41.22	164.42	0.0	223.41	24.28	53.95	0.24	37.85	201.25	15.68	63.0	201.25	111.99	21.47	110.43	40.93	125.24	151.22	114.36	85.82	52.82	153.34	480.04	759.08	1697.45	825.0	500.46	743.43	909.17	460.44	791.35	543.96	221.86	620.67	665.29	551.56	229.72	273.37	540.19	1143.1	547.75	532.74	454.09	679.29	1304.15	480.04	490.14	890.44	368.65	743.43	438.59	417.77	825.0	743.43	1199.98	620.67	1037.29	1008.9	358.54	620.67	591.22	559.28	497.0	607.87	363.56	363.56	884.29	423.61	723.08	620.67	624.99	500.46	642.59	941.27	514.56	669.92
RAB32	624.99	384.34	392.44	638.15	438.59	309.83	339.14	171.45	368.65	112.77	277.2	297.17	0.0	244.57	320.8	121.79	0.58	376.41	287.01	204.07	521.76	256.78	316.37	301.33	332.14	301.33	275.28	149.12	348.71	171.45	103.69	490.14	1066.48	532.74	884.29	1685.71	620.67	2720.15	1508.65	842.36	954.43	2119.22	1950.0	1477.58	525.39	1508.65	2367.9	1896.65	878.17	1427.22	1277.29	2178.83	723.08	633.73	476.71	2047.0	2061.24	967.76	414.87	1745.2	1250.98	620.67	708.18	808.0	1208.34	769.69	718.08	1104.13	2240.11	723.08	1225.22	1259.69	1304.15	1977.24	848.22	1143.1	921.88	647.07	1059.11	3419.52	825.0	1259.69	808.0	866.07	1233.75	1135.2
RAB9A	303.44	211.31	470.14	656.11	384.34	551.56	656.11	612.11	486.75	423.61	368.65	647.07	0.0	733.19	629.35	486.75	0.69	470.14	503.95	529.06	486.75	536.45	423.61	521.76	612.11	518.15	441.64	295.11	543.96	463.65	483.38	579.04	444.72	679.29	642.59	688.78	454.09	1259.69	555.41	1001.93	723.08	988.12	395.18	624.99	1023.0	563.18	624.99	642.59	748.61	1199.98	902.89	902.89	928.3	785.88	825.0	387.02	753.83	693.58	503.95	791.35	1051.79	426.57	780.44	551.56	780.44	981.29	1369.04	733.19	684.02	738.29	624.99	759.08	1073.91	995.0	769.69	1242.34	432.53	860.08	493.56	1044.52	808.0	540.19	954.43	366.09	954.43	665.29
RALB	151.22	327.56	514.56	583.07	909.17	679.29	854.13	521.76	866.07	571.05	1081.39	878.17	0.0	928.3	928.3	660.68	0.73	819.3	1111.82	674.59	954.43	884.29	830.75	521.76	563.18	921.88	896.64	981.29	1340.84	764.36	660.68	1001.93	1295.13	1397.83	1199.98	1397.83	642.59	764.36	1617.0	1250.98	896.64	2133.97	1191.69	1233.75	1519.15	1572.76	1331.57	1088.92	1001.93	1662.49	961.07	1617.0	738.29	775.05	854.13	2434.5	1870.53	1605.83	769.69	1191.69	1639.59	1119.56	1127.35	743.43	1378.57	1378.57	1233.75	1286.18	1639.59	1051.79	981.29	1216.75	1487.87	2875.3	1769.57	1963.57	961.07	1519.15	1733.13	3443.31	1651.0	1044.52	1498.22	2434.5	928.3	2193.99
RHOG	583.07	665.29	1242.34	947.83	1159.07	780.44	1151.06	1268.46	1277.29	825.0	1551.09	1059.11	0.0	1208.34	1594.73	1015.93	0.52	1268.46	1313.23	1066.48	1143.1	1467.37	1378.57	1073.91	1417.35	1111.82	1467.37	1104.13	1199.98	1081.39	559.28	1119.56	2004.85	1806.78	1340.84	2956.17	2935.74	2119.22	2047.0	2209.26	2520.38	2627.46	3639.7	2104.58	1340.84	2303.12	2591.27	2935.74	2451.44	2417.67	1477.58	2777.33	2537.92	1498.22	1457.23	3081.75	3124.78	1963.57	1909.85	2303.12	2104.58	1639.59	1870.53	1963.57	2384.37	1639.59	1605.83	2090.03	3540.14	1572.76	2163.77	3665.02	2485.67	2319.15	2520.38	1733.13	1757.34	1674.06	1378.57	3901.01	1781.89	2061.24	1896.65	2224.63	1628.26	2915.45
RIN3	170.25	35.25	244.57	151.22	244.57	197.09	283.05	186.4	255.0	116.78	285.03	177.53	0.0	346.29	234.57	79.45	0.75	336.79	309.83	101.54	323.03	363.56	211.31	122.64	234.57	303.44	289.02	214.27	217.27	209.84	75.11	277.2	624.99	591.22	435.55	723.08	1096.5	318.57	511.0	444.72	819.3	327.56	173.85	629.35	454.09	397.93	775.05	595.34	1277.29	423.61	656.11	954.43	988.12	460.44	379.04	633.73	607.87	575.03	486.75	457.25	825.0	819.3	743.43	866.07	819.3	334.46	995.0	493.56	718.08	836.53	718.08	1259.69	305.55	819.3	612.11	206.94	764.36	698.41	368.65	426.57	713.11	483.38	848.22	660.68	486.75	579.04
RTKN2	0.65	15.68	21.63	32.36	90.14	29.48	29.27	23.93	12.18	41.22	9.93	27.64	0.0	48.52	63.89	23.59	0.0	7.94	24.28	82.87	96.01	53.57	19.97	24.63	15.34	72.52	81.71	18.97	26.86	7.06	90.14	183.82	1127.35	2997.45	1870.53	2701.35	293.07	2351.53	2777.33	607.87	2573.36	1388.16	239.52	738.29	1467.37	2627.46	417.77	176.29	1119.56	1870.53	4181.07	753.83	429.54	3372.43	2351.53	884.29	2075.59	1936.53	764.36	665.29	2224.63	1096.5	1757.34	1159.07	3467.27	1639.59	2758.13	1662.49	599.49	3081.75	579.04	2240.11	1806.78	3372.43	941.27	1096.5	2178.83	1340.84	1397.83	2915.45	3716.2	2520.38	1936.53	3103.19	802.41	1088.92
RXFP1	0.0	0.99	10.24	12.55	7.57	13.72	9.2	1.62	7.28	7.57	5.54	10.39	0.0	8.45	12.74	1.27	0.0	2.39	15.0	1.5	12.45	12.83	5.28	1.25	15.56	5.87	13.22	6.94	19.11	3.86	11.55	15.34	93.35	97.36	130.6	100.13	5.32	206.94	154.42	66.18	62.56	157.68	25.72	49.56	92.7	173.85	50.63	52.45	70.01	167.9	156.59	50.98	33.54	209.84	82.29	162.14	183.82	189.02	22.26	75.64	194.36	117.6	114.36	93.35	186.4	134.3	161.02	82.29	27.05	141.02	50.27	80.57	145.02	208.38	62.56	35.5	93.35	59.97	126.12	246.28	202.66	110.43	117.6	417.77	20.71	34.02
SEMA5A	1.2	11.47	18.84	15.11	36.27	40.93	26.67	8.58	21.01	17.0	45.53	24.81	0.0	51.71	15.22	6.46	0.14	21.94	23.59	15.45	39.22	81.14	40.93	9.85	49.91	11.3	23.42	19.82	50.98	18.56	16.63	127.0	265.87	679.29	1037.29	403.5	316.37	157.68	607.87	69.03	414.87	187.71	64.8	71.5	351.14	854.13	64.8	135.24	99.43	242.88	397.93	540.19	111.99	197.09	301.33	532.74	624.99	242.88	253.23	269.6	262.2	301.33	351.14	156.59	759.08	218.79	587.13	454.09	190.34	201.25	136.19	307.69	218.79	543.96	112.77	457.25	995.0	170.25	232.94	480.04	291.04	384.34	902.89	1340.84	426.57	361.04
SERTM1	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.24	0.66	1.43	1.87	0.0	0.0	0.0	0.66	4.21	0.0	0.69	0.2	0.0	3.44	40.07	476.71	497.0	551.56	33.54	134.3	616.37	37.05	248.0	102.25	62.56	63.0	189.02	228.13	124.37	45.85	57.89	197.09	265.87	267.73	31.67	285.03	224.97	136.19	366.09	262.2	50.27	343.89	154.42	43.94	209.84	76.17	463.65	89.51	107.38	275.28	60.82	169.07	148.09	195.72	303.44	205.5	38.95	915.51	281.09	67.59	132.44	334.46	336.79	209.84	397.93	229.72	47.17	68.07
SETDB2	90.14	51.71	82.87	61.68	98.73	70.51	111.99	47.84	121.79	115.16	56.68	115.97	0.0	87.65	67.59	46.5	0.19	86.43	87.65	69.03	84.63	126.12	82.29	48.52	114.36	48.87	68.07	148.09	84.63	90.77	108.9	123.5	87.65	105.89	117.6	134.3	20.26	153.34	221.86	223.41	113.56	158.79	36.01	128.79	236.21	143.01	120.1	115.16	136.19	175.07	229.72	175.07	67.12	177.53	153.34	100.13	131.51	133.36	57.49	153.34	318.57	145.02	217.27	94.67	156.59	129.69	149.12	132.44	180.02	217.27	131.51	112.77	167.9	176.29	171.45	94.67	157.68	173.85	178.77	169.07	234.57	158.79	143.01	155.5	190.34	49.56
SFTPA2	0.0	0.0	25179.16	4268.94	9025.81	7382.04	51775.15	7589.61	1991.0	7803.01	1697.45	9279.58	22225.61	5872.48	46339.95	2537.92	123.5	2090.03	48307.85	1819.35	71714.63	11584.24	23169.48	134.3	19482.97	4152.18	36864.92	334.46	3372.43	194578.47	9673.69	41188.81	6014443.23	4495342.72	4023444.33	2263304.65	4051429.61	2924988.47	4402829.88	3268052.11	3049200.37	3134925.09	3995652.37	2343119.96	3995652.37	3806410.22	2171106.91	3940643.03	4851500.88	5163792.94	2786455.11	2729110.67	4079609.54	3526974.2	5308966.95	3313672.43	1085552.95	2654482.97	1800541.22	2786455.11	1556634.79	2408994.05	2392353.91	5163792.94	2156109.97	3968052.37	2945333.38	1903204.61	2459612.16	2617937.91	2767207.65	2425749.94	2617937.91	1943195.01	2343119.96	2904784.09	2201414.44	2672946.37	2729110.67	1775752.63	2511293.86	3806410.22	2581895.97	3406832.48	3430528.88	4051429.61
SGCG	0.0	0.0	2.43	1.77	1.58	3.38	3.17	0.0	1.97	0.0	0.0	0.3	0.0	4.46	3.76	0.0	0.0	2.43	2.92	0.92	4.39	9.93	4.1	0.0	6.46	0.61	8.51	2.81	1.27	0.0	0.29	4.86	48.52	161.02	279.14	61.25	30.34	55.89	126.12	78.89	55.49	66.18	9.13	58.71	75.11	285.03	33.3	42.71	71.0	74.06	66.18	87.03	43.63	93.35	140.04	136.19	170.25	60.39	48.87	70.51	256.78	31.67	90.14	85.82	114.36	35.0	111.99	62.12	12.55	113.56	37.85	86.43	73.54	144.01	63.89	96.01	58.3	77.25	111.99	351.14	139.07	100.13	154.42	297.17	29.27	74.58
SH3GL3	0.0	0.0	1.55	1.5	0.0	1.45	0.0	0.0	1.66	0.72	0.0	0.0	0.0	1.01	2.39	0.0	0.0	0.77	1.1	0.0	4.7	1.31	1.89	0.0	0.0	1.01	4.66	0.51	1.87	0.22	0.46	7.4	152.28	156.59	177.53	368.65	84.04	194.36	285.03	18.84	87.65	113.56	32.36	77.79	89.51	42.71	121.79	33.06	25.72	40.64	147.06	66.65	17.0	55.89	206.94	202.66	361.04	82.29	36.53	206.94	262.2	11.04	186.4	68.55	327.56	34.02	297.17	135.24	54.72	202.66	57.89	113.56	134.3	139.07	28.04	82.29	63.0	6.57	31.22	265.87	99.43	113.56	88.26	500.46	123.5	217.27
SHQ1	129.69	121.79	156.59	123.5	149.12	114.36	115.16	156.59	211.31	138.1	153.34	204.07	0.0	128.79	103.69	146.03	0.13	157.68	176.29	151.22	217.27	130.6	172.65	113.56	141.02	164.42	120.94	130.6	191.67	127.89	166.73	202.66	220.32	170.25	212.78	215.77	547.75	212.78	211.31	208.38	170.25	199.85	351.14	232.94	224.97	231.32	297.17	260.38	161.02	226.54	187.71	253.23	158.79	175.07	138.1	241.19	291.04	242.88	127.89	167.9	204.07	264.03	199.85	181.28	181.28	191.67	169.07	178.77	199.85	191.67	218.79	204.07	211.31	214.27	309.83	353.59	232.94	224.97	273.37	260.38	303.44	191.67	202.66	205.5	182.55	341.51
SLAIN1	0.0	9.34	255.0	162.14	175.07	185.11	228.13	57.89	76.17	432.53	111.21	52.82	0.0	403.5	325.29	343.89	0.29	119.26	92.7	256.78	84.04	265.87	371.22	112.77	269.6	228.13	42.71	325.29	157.68	223.41	348.71	271.48	2367.9	836.53	4671.57	212.78	543.96	848.22	463.65	656.11	1111.82	620.67	309.83	514.56	1427.22	713.11	194.36	356.05	301.33	819.3	511.0	878.17	607.87	583.07	1685.71	189.02	514.56	825.0	769.69	753.83	379.04	447.82	1350.18	536.45	518.15	3103.19	1066.48	1498.22	759.08	447.82	571.05	395.18	392.44	995.0	1477.58	947.83	825.0	463.65	5255.91	753.83	743.43	1023.0	444.72	688.78	3982.99	493.56
SLC25A46	316.37	312.0	236.21	361.04	368.65	80.57	361.04	201.25	334.46	147.06	287.01	363.56	0.0	435.55	147.06	133.36	0.41	293.07	426.57	525.39	444.72	361.04	381.68	201.25	301.33	348.71	334.46	251.48	463.65	395.18	258.57	400.71	511.0	486.75	417.77	579.04	708.18	518.15	500.46	497.0	426.57	633.73	351.14	409.15	693.58	497.0	603.67	603.67	529.06	878.17	612.11	514.56	283.05	665.29	373.81	532.74	684.02	591.22	547.75	599.49	612.11	620.67	728.11	426.57	660.68	476.71	679.29	665.29	490.14	688.78	476.71	525.39	532.74	432.53	651.58	1111.82	497.0	802.41	423.61	559.28	836.53	295.11	656.11	665.29	500.46	343.89
SLC6A4	0.49	0.48	2.12	14.45	0.28	2.03	2.86	0.8	0.96	0.55	2.1	4.82	0.0	5.11	4.43	0.62	0.0	2.14	17.51	0.0	8.19	24.28	0.29	0.29	1.73	1.5	172.65	0.92	1.25	1.2	0.55	85.22	836.53	2255.7	7589.61	3325.99	921.88	3614.55	3665.02	1651.0	5255.91	884.29	82.29	571.05	2520.38	3212.66	1977.24	884.29	3103.19	5329.3	3372.43	2502.97	329.84	343.89	890.44	775.05	4123.49	3768.09	63.89	3665.02	3212.66	1662.49	426.57	2303.12	4481.23	98.73	1159.07	2739.08	147.06	872.1	1991.0	1529.73	1991.0	2287.2	146.03	185.11	2303.12	116.78	400.71	1447.15	1651.0	1991.0	4123.49	2417.67	67.12	785.88
SLFN11	23.25	7.46	277.2	154.42	221.86	176.29	84.63	39.22	197.09	85.22	159.9	177.53	0.0	130.6	289.02	47.84	0.71	139.07	175.07	124.37	366.09	256.78	145.02	70.01	175.07	140.04	124.37	109.66	189.02	713.11	70.51	312.0	775.05	348.71	656.11	1529.73	52.08	249.73	1936.53	825.0	483.38	836.53	457.25	1313.23	2075.59	1350.18	660.68	217.27	420.68	1286.18	1183.45	796.86	249.73	1277.29	612.11	1119.56	723.08	633.73	167.9	591.22	1733.13	723.08	1044.52	514.56	967.76	476.71	651.58	466.88	463.65	967.76	698.41	921.88	281.09	1286.18	460.44	384.34	921.88	295.11	3349.13	591.22	2468.49	2319.15	563.18	1183.45	237.86	1023.0
SLIT2	0.66	1.06	70.01	59.97	130.6	94.01	105.15	12.09	61.68	48.18	55.1	88.26	0.0	134.3	41.22	52.45	0.41	58.71	88.26	40.64	155.5	229.72	154.42	21.78	145.02	43.32	87.65	92.05	234.57	26.67	78.34	157.68	769.69	1572.76	2895.31	1191.69	473.41	813.63	1015.93	759.08	941.27	848.22	68.07	507.46	866.07	808.0	420.68	100.83	1051.79	708.18	728.11	1216.75	536.45	884.29	825.0	748.61	1008.9	1745.2	351.14	1216.75	575.03	435.55	607.87	1015.93	1991.0	599.49	902.89	1119.56	198.47	583.07	603.67	532.74	802.41	633.73	536.45	536.45	1030.12	551.56	1794.29	708.18	1628.26	624.99	1304.15	1183.45	223.41	1277.29
SPN	3.06	5.32	187.71	37.05	136.19	31.45	60.39	22.75	198.47	33.06	141.02	85.82	0.0	77.79	47.84	19.39	0.13	132.44	66.65	34.26	58.3	169.07	53.57	53.95	105.89	50.98	82.29	51.35	78.34	44.57	44.25	139.07	1467.37	1340.84	1135.2	2796.65	490.14	406.31	3146.52	567.1	2701.35	476.71	616.37	571.05	3665.02	1977.24	1498.22	780.44	1143.1	1628.26	1030.12	764.36	473.41	1757.34	1427.22	1119.56	3928.15	674.59	791.35	878.17	3212.66	1183.45	1963.57	921.88	1806.78	743.43	1628.26	1216.75	698.41	2875.3	2119.22	4388.98	473.41	1467.37	371.22	417.77	1066.48	703.28	884.29	5041.77	2555.58	5147.73	2018.8	612.11	688.78	1331.57
SPRY2	99.43	100.83	205.5	262.2	327.56	291.04	612.11	277.2	400.71	267.73	234.57	348.71	0.0	693.58	371.22	262.2	0.47	297.17	713.11	514.56	271.48	507.46	473.41	137.14	638.15	397.93	392.44	466.88	251.48	587.13	567.1	473.41	1427.22	1015.93	2351.53	1437.15	1991.0	1909.85	1088.92	1977.24	780.44	1183.45	341.51	1081.39	1037.29	743.43	743.43	1183.45	612.11	1487.87	1151.06	718.08	1498.22	1832.01	802.41	1183.45	878.17	2287.2	417.77	638.15	698.41	1015.93	1417.35	819.3	1340.84	2645.74	1030.12	1225.22	1143.1	1159.07	1519.15	808.0	1242.34	521.76	1561.89	825.0	1208.34	854.13	1477.58	902.89	1044.52	718.08	1819.35	1378.57	1883.54	842.36
SYNE1	59.97	63.0	616.37	409.15	1073.91	483.38	647.07	460.44	575.03	583.07	371.22	738.29	0.0	941.27	381.68	417.77	0.83	269.6	587.13	147.06	279.14	791.35	638.15	540.19	1167.14	256.78	842.36	819.3	878.17	480.04	373.81	775.05	4937.99	981.29	2502.97	1286.18	1832.01	2777.33	1529.73	1304.15	2485.67	1857.6	872.1	10225.32	2720.15	902.89	703.28	848.22	1277.29	8191.0	1119.56	791.35	1583.71	1467.37	2319.15	1447.15	1104.13	2240.11	1104.13	3146.52	909.17	1427.22	1662.49	7749.1	5913.33	3982.99	1159.07	7331.05	603.67	988.12	2664.15	6745.86	785.88	1936.53	327.56	2627.46	1963.57	507.46	5183.54	813.63	1936.53	1037.29	7485.11	1977.24	1322.37	7081.29
TEAD1	85.82	98.73	151.22	151.22	260.38	121.79	221.86	198.47	217.27	217.27	189.02	239.52	0.0	314.17	180.02	186.4	0.43	197.09	231.32	264.03	234.57	195.72	265.87	185.11	146.03	186.4	351.14	125.24	224.97	169.07	253.23	318.57	551.56	708.18	1066.48	603.67	376.41	323.03	511.0	334.46	612.11	323.03	808.0	629.35	571.05	206.94	295.11	371.22	426.57	796.86	571.05	529.06	329.84	457.25	332.14	312.0	295.11	444.72	256.78	718.08	277.2	251.48	490.14	616.37	708.18	287.01	587.13	796.86	283.05	392.44	493.56	684.02	246.28	329.84	217.27	633.73	587.13	397.93	486.75	246.28	518.15	301.33	713.11	620.67	417.77	603.67
TEK	7.69	5.19	54.72	63.45	88.26	70.51	62.56	21.78	66.18	36.27	26.86	82.29	0.0	51.71	44.25	16.75	0.31	19.68	85.22	29.91	106.63	147.06	85.82	10.47	78.89	17.64	102.25	50.63	89.51	36.01	37.05	110.43	603.67	785.88	1963.57	1477.58	540.19	854.13	967.76	368.65	1015.93	616.37	599.49	1191.69	902.89	1015.93	647.07	808.0	521.76	1685.71	764.36	551.56	1769.57	529.06	356.05	1030.12	1191.69	981.29	178.77	1561.89	780.44	693.58	392.44	813.63	1857.6	490.14	728.11	941.27	269.6	381.68	780.44	728.11	392.44	1378.57	212.78	480.04	967.76	201.25	713.11	1051.79	1498.22	346.29	1923.14	2835.7	149.12	1909.85
TIAM1	27.44	6.67	55.1	22.43	41.52	37.59	14.89	14.78	62.56	8.99	45.53	37.59	86.43	13.83	20.11	8.92	50.98	49.56	41.81	15.22	50.27	63.0	38.95	33.06	61.25	18.43	45.85	18.56	48.87	106.63	11.73	53.95	140.04	126.12	177.53	170.25	305.55	97.36	159.9	171.45	116.78	153.34	42.11	110.43	283.05	157.68	111.21	115.97	119.26	175.07	264.03	121.79	89.51	153.34	148.09	104.42	208.38	125.24	105.89	87.65	400.71	90.14	237.86	143.01	206.94	633.73	403.5	134.3	43.94	309.83	120.1	279.14	189.02	633.73	255.0	154.42	165.57	209.84	279.14	120.94	182.55	295.11	78.89	297.17	77.25	102.25
TK2	507.46	656.11	371.22	258.57	454.09	334.46	289.02	208.38	395.18	307.69	271.48	341.51	267.73	376.41	303.44	269.6	204.07	356.05	373.81	256.78	376.41	309.83	379.04	514.56	417.77	303.44	412.0	172.65	473.41	866.07	221.86	289.02	514.56	1051.79	1313.23	612.11	244.57	638.15	748.61	928.3	647.07	660.68	165.57	392.44	583.07	866.07	486.75	457.25	775.05	679.29	830.75	1051.79	275.28	890.44	514.56	603.67	902.89	551.56	251.48	547.75	813.63	759.08	860.08	693.58	616.37	559.28	775.05	616.37	503.95	928.3	575.03	514.56	684.02	518.15	748.61	387.02	915.51	743.43	642.59	1242.34	1175.27	860.08	723.08	1286.18	497.0	341.51
