	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7815.01A.11R.2170.07	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2656.01A.02R.A278.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
ASPSCR1	248.0	232.94	178.77	163.28	251.48	198.47	149.12	60.39	178.77	173.85	105.89	327.56	183.82	612.11	674.59	866.07	1111.82	1008.9	651.58	738.29	435.55	1127.35	417.77	819.3	493.56	616.37	1233.75	860.08	759.08	928.3	384.34	791.35	909.17	688.78	775.05	620.67	693.58	1088.92	825.0	753.83	599.49	713.11	595.34	511.0	1059.11	713.11	547.75	928.3	1030.12	825.0	860.08	842.36	1561.89	656.11	813.63	902.89	967.76	934.76	723.08	1259.69	802.41	909.17	392.44	954.43	759.08	536.45	961.07	802.41	665.29	791.35	1001.93	518.15	1059.11	629.35	647.07	693.58	836.53	819.3	769.69	373.81	571.05	1073.91	902.89	1191.69	1295.13	638.15	909.17	785.88	1199.98	463.65	921.88	1183.45	591.22	842.36	1073.91	825.0	738.29	1044.52	796.86	866.07	1159.07	733.19	921.88	1322.37	780.44	748.61	551.56	769.69	921.88	629.35	769.69	785.88	1313.23	1081.39	753.83	571.05	836.53	813.63	1104.13	902.89	796.86	780.44	397.93	420.68	1119.56	514.56	1268.46	660.68	1015.93	480.04	1037.29	624.99	1225.22	854.13	420.68	941.27	429.54	679.29	638.15	476.71	1167.14	684.02	1001.93	1295.13	1096.5	748.61	1044.52	575.03	1051.79	796.86	947.83	961.07	981.29	1111.82	1001.93	1427.22	1143.1	1304.15	1159.07	890.44	947.83	1167.14	684.02	591.22	555.41	830.75	753.83	624.99	521.76	866.07	775.05	543.96	521.76	363.56
AURKAIP1	974.5	698.41	698.41	293.07	890.44	1151.06	289.02	454.09	738.29	995.0	211.31	480.04	629.35	2255.7	2224.63	2855.44	4607.24	4388.98	2796.65	3039.3	1651.0	3794.3	2303.12	3540.14	1896.65	2417.67	4543.8	3614.55	3349.13	3794.3	1733.13	4181.07	3060.45	2895.31	3168.41	2032.85	2915.45	3874.05	3168.41	3372.43	2303.12	2758.13	2682.69	2451.44	4450.27	2555.58	1844.76	3589.58	4010.71	2645.74	3443.31	3874.05	5041.77	2451.44	3847.29	3212.66	3955.48	3768.09	3794.3	5366.37	3325.99	3443.31	1883.54	3794.3	3665.02	1709.26	4736.79	3349.13	2163.77	3124.78	4358.66	2148.82	4181.07	3212.66	2148.82	2935.74	3235.01	3349.13	2224.63	2555.58	2417.67	4038.61	3395.89	5041.77	5995.9	2520.38	3768.09	3039.3	4903.87	1896.65	3168.41	4704.07	2720.15	3847.29	4181.07	3103.19	4095.0	3665.02	3212.66	4095.0	4937.99	3081.75	3768.09	3614.55	2935.74	2119.22	2434.5	3124.78	4903.87	2609.3	3372.43	2956.17	4419.52	4123.49	3212.66	2061.24	3081.75	3419.52	4298.64	4328.55	3146.52	3018.3	1806.78	1844.76	5112.16	2032.85	4575.41	2739.08	3280.18	2178.83	3874.05	2502.97	5403.7	3467.27	2032.85	4038.61	2061.24	2997.45	2400.97	2090.03	5255.91	2976.74	3614.55	4010.71	3467.27	4328.55	3820.7	2384.37	3540.14	3081.75	4543.8	3146.52	3982.99	5147.73	3639.7	4639.29	3928.15	4543.8	3665.02	4066.71	3901.01	3820.7	2627.46	2367.9	2075.59	2875.3	4095.0	2303.12	2384.37	3060.45	4181.07	2224.63	2303.12	2163.77
B3GALT6	242.88	189.02	112.77	208.38	199.85	167.9	175.07	127.89	73.54	164.42	116.78	115.16	131.51	332.14	314.17	312.0	688.78	514.56	318.57	438.59	211.31	563.18	327.56	511.0	234.57	293.07	764.36	363.56	620.67	287.01	201.25	633.73	532.74	316.37	409.15	316.37	480.04	638.15	376.41	381.68	309.83	318.57	332.14	395.18	616.37	441.64	341.51	571.05	463.65	343.89	591.22	486.75	947.83	356.05	703.28	417.77	348.71	579.04	332.14	435.55	392.44	457.25	163.28	454.09	358.54	281.09	473.41	503.95	363.56	476.71	486.75	373.81	529.06	287.01	293.07	450.94	490.14	387.02	493.56	373.81	327.56	753.83	343.89	540.19	525.39	412.0	409.15	384.34	438.59	277.2	395.18	842.36	397.93	503.95	551.56	329.84	265.87	400.71	403.5	507.46	483.38	368.65	532.74	647.07	480.04	336.79	318.57	366.09	638.15	379.04	379.04	295.11	607.87	583.07	490.14	450.94	616.37	518.15	438.59	379.04	303.44	323.03	253.23	275.28	454.09	241.19	486.75	384.34	612.11	351.14	470.14	343.89	981.29	348.71	297.17	567.1	244.57	361.04	293.07	336.79	791.35	351.14	480.04	444.72	540.19	500.46	854.13	318.57	693.58	470.14	389.72	376.41	514.56	503.95	507.46	490.14	624.99	679.29	486.75	412.0	638.15	463.65	232.94	212.78	234.57	307.69	426.57	265.87	234.57	336.79	497.0	206.94	232.94	273.37
B4GALT7	339.14	271.48	346.29	204.07	339.14	395.18	224.97	229.72	246.28	256.78	185.11	135.24	164.42	638.15	612.11	603.67	1037.29	1066.48	679.29	633.73	525.39	941.27	567.1	647.07	438.59	620.67	1199.98	878.17	764.36	775.05	361.04	928.3	656.11	679.29	723.08	529.06	860.08	819.3	748.61	563.18	536.45	753.83	698.41	575.03	902.89	555.41	547.75	1059.11	954.43	718.08	915.51	738.29	909.17	529.06	854.13	748.61	775.05	967.76	928.3	1023.0	753.83	967.76	571.05	713.11	660.68	447.82	764.36	780.44	595.34	808.0	866.07	651.58	819.3	616.37	638.15	718.08	748.61	748.61	679.29	633.73	571.05	802.41	759.08	928.3	1001.93	603.67	860.08	796.86	872.1	447.82	642.59	1127.35	616.37	915.51	1001.93	713.11	616.37	947.83	764.36	961.07	890.44	808.0	825.0	1159.07	674.59	738.29	473.41	708.18	679.29	748.61	813.63	723.08	1096.5	1015.93	595.34	579.04	728.11	669.92	825.0	759.08	497.0	503.95	490.14	470.14	934.76	547.75	769.69	785.88	902.89	571.05	718.08	708.18	1277.29	718.08	567.1	921.88	507.46	647.07	684.02	567.1	974.5	866.07	854.13	813.63	791.35	775.05	813.63	551.56	1096.5	934.76	819.3	791.35	1111.82	954.43	738.29	848.22	866.07	1096.5	890.44	743.43	743.43	660.68	718.08	660.68	559.28	769.69	909.17	698.41	616.37	743.43	909.17	620.67	713.11	665.29
BAD	896.64	733.19	830.75	559.28	860.08	1143.1	525.39	406.31	518.15	642.59	237.86	239.52	334.46	1963.57	1572.76	2133.97	3564.78	3540.14	2895.31	2319.15	1059.11	3540.14	1857.6	2502.97	1167.14	1806.78	4239.45	2935.74	2758.13	2384.37	1191.69	3716.2	3349.13	2287.2	2502.97	1963.57	2627.46	4095.0	2417.67	2682.69	2090.03	2555.58	2047.0	1963.57	3491.39	1832.01	1378.57	2537.92	3039.3	2335.28	3146.52	2537.92	2287.2	1662.49	3018.3	2573.36	2682.69	3395.89	3190.46	3589.58	2502.97	3742.05	1295.13	2855.44	2502.97	1388.16	3257.52	2287.2	1685.71	2351.53	1427.22	1950.0	3018.3	2178.83	2148.82	2758.13	3124.78	2520.38	1685.71	1407.55	1883.54	3614.55	3665.02	3372.43	4388.98	1870.53	2816.11	2537.92	3039.3	1487.87	2591.27	4769.75	1674.06	2875.3	3190.46	2075.59	2209.26	3639.7	3467.27	3742.05	3716.2	2303.12	2915.45	2855.44	2319.15	2627.46	1551.09	2075.59	3491.39	1832.01	1806.78	2758.13	4066.71	3124.78	2240.11	1745.2	2468.49	2485.67	2935.74	2573.36	2271.4	3060.45	934.76	1225.22	4181.07	1540.37	3540.14	2351.53	2720.15	1745.2	2502.97	1883.54	4210.15	2555.58	1561.89	2664.15	1605.83	2271.4	1909.85	1242.34	3060.45	2573.36	3190.46	3419.52	2796.65	2739.08	3060.45	1322.37	3515.68	2485.67	3372.43	2627.46	4095.0	2976.74	3419.52	3212.66	3212.66	3303.0	2855.44	2816.11	2627.46	2796.65	2555.58	2434.5	1794.29	2935.74	3018.3	2351.53	2240.11	2090.03	3395.89	2090.03	2835.7	1662.49
BCL7C	483.38	441.64	361.04	387.02	406.31	454.09	384.34	616.37	267.73	547.75	155.5	441.64	239.52	473.41	460.44	497.0	830.75	866.07	551.56	432.53	435.55	775.05	555.41	414.87	447.82	514.56	854.13	738.29	432.53	674.59	392.44	842.36	629.35	624.99	665.29	423.61	674.59	723.08	483.38	660.68	551.56	476.71	486.75	521.76	753.83	603.67	507.46	693.58	753.83	791.35	540.19	669.92	423.61	543.96	703.28	551.56	723.08	860.08	854.13	769.69	620.67	540.19	567.1	656.11	476.71	387.02	543.96	567.1	466.88	470.14	547.75	476.71	748.61	435.55	567.1	713.11	633.73	571.05	387.02	466.88	514.56	713.11	769.69	825.0	954.43	400.71	854.13	693.58	872.1	490.14	616.37	866.07	555.41	967.76	1008.9	497.0	466.88	551.56	698.41	669.92	878.17	579.04	595.34	915.51	447.82	454.09	514.56	532.74	791.35	438.59	629.35	713.11	775.05	693.58	571.05	312.0	633.73	595.34	624.99	616.37	514.56	511.0	379.04	567.1	1111.82	444.72	1023.0	571.05	728.11	503.95	583.07	503.95	780.44	651.58	447.82	669.92	559.28	493.56	587.13	460.44	967.76	579.04	860.08	753.83	981.29	647.07	599.49	426.57	703.28	642.59	718.08	780.44	1066.48	854.13	759.08	813.63	583.07	836.53	934.76	796.86	579.04	669.92	813.63	698.41	665.29	902.89	884.29	679.29	665.29	842.36	860.08	733.19	728.11	454.09
BLOC1S4	215.77	224.97	143.01	256.78	223.41	166.73	279.14	125.24	155.5	228.13	231.32	119.26	166.73	343.89	325.29	414.87	567.1	260.38	403.5	525.39	260.38	441.64	303.44	500.46	279.14	320.8	518.15	412.0	525.39	384.34	295.11	486.75	503.95	358.54	463.65	356.05	409.15	346.29	420.68	454.09	348.71	409.15	397.93	356.05	540.19	376.41	325.29	389.72	441.64	325.29	511.0	403.5	376.41	356.05	438.59	339.14	429.54	447.82	384.34	616.37	384.34	376.41	299.25	450.94	450.94	149.12	507.46	395.18	409.15	525.39	476.71	356.05	389.72	406.31	305.55	409.15	454.09	438.59	343.89	348.71	323.03	454.09	511.0	954.43	571.05	395.18	412.0	409.15	450.94	332.14	423.61	486.75	318.57	373.81	457.25	356.05	500.46	497.0	400.71	532.74	457.25	444.72	511.0	500.46	379.04	392.44	224.97	368.65	563.18	395.18	392.44	312.0	466.88	423.61	476.71	417.77	414.87	521.76	363.56	414.87	339.14	426.57	277.2	260.38	368.65	341.51	525.39	343.89	441.64	373.81	363.56	400.71	483.38	389.72	341.51	417.77	287.01	336.79	348.71	373.81	483.38	389.72	387.02	591.22	447.82	423.61	500.46	289.02	420.68	438.59	490.14	400.71	395.18	473.41	483.38	376.41	414.87	521.76	423.61	376.41	466.88	387.02	371.22	309.83	336.79	323.03	371.22	348.71	293.07	287.01	403.5	291.04	265.87	267.73
BRF1	223.41	228.13	131.51	161.02	241.19	287.01	133.36	145.02	190.34	151.22	153.34	170.25	389.72	521.76	463.65	460.44	587.13	825.0	454.09	507.46	368.65	607.87	403.5	518.15	361.04	525.39	647.07	514.56	536.45	514.56	327.56	656.11	595.34	587.13	547.75	507.46	507.46	591.22	559.28	507.46	555.41	555.41	493.56	470.14	620.67	486.75	460.44	616.37	713.11	571.05	579.04	599.49	780.44	511.0	612.11	514.56	547.75	665.29	525.39	543.96	551.56	703.28	392.44	656.11	595.34	497.0	607.87	525.39	555.41	591.22	543.96	432.53	525.39	463.65	529.06	503.95	607.87	599.49	395.18	336.79	483.38	669.92	591.22	693.58	620.67	454.09	483.38	616.37	547.75	420.68	555.41	743.43	454.09	591.22	587.13	503.95	426.57	638.15	674.59	529.06	656.11	532.74	555.41	753.83	540.19	540.19	341.51	503.95	571.05	571.05	429.54	525.39	703.28	638.15	688.78	483.38	571.05	660.68	616.37	521.76	493.56	351.14	387.02	316.37	624.99	483.38	591.22	607.87	679.29	493.56	620.67	579.04	713.11	551.56	389.72	529.06	414.87	559.28	500.46	441.64	769.69	575.03	647.07	571.05	785.88	309.83	571.05	463.65	785.88	567.1	480.04	620.67	808.0	603.67	551.56	540.19	921.88	656.11	780.44	543.96	521.76	563.18	376.41	412.0	460.44	603.67	486.75	447.82	441.64	460.44	497.0	450.94	518.15	384.34
C11orf68	830.75	633.73	738.29	679.29	796.86	693.58	684.02	780.44	780.44	429.54	275.28	167.9	182.55	890.44	921.88	1073.91	1540.37	1359.57	1111.82	743.43	796.86	1313.23	848.22	1001.93	954.43	1081.39	1508.65	1427.22	1008.9	1447.15	688.78	1191.69	1044.52	1044.52	1159.07	848.22	1250.98	1286.18	1104.13	1359.57	974.5	1143.1	988.12	974.5	1104.13	1096.5	854.13	1437.15	1183.45	1183.45	1088.92	1259.69	1199.98	947.83	1073.91	1304.15	1378.57	1350.18	1583.71	1208.34	1151.06	1059.11	836.53	1216.75	1119.56	791.35	981.29	1277.29	836.53	1111.82	1417.35	890.44	1259.69	974.5	836.53	1259.69	1159.07	1096.5	896.64	941.27	1037.29	1167.14	1467.37	1159.07	1447.15	1051.79	1331.57	1088.92	1119.56	848.22	1096.5	1447.15	1023.0	1417.35	1540.37	1081.39	954.43	995.0	1159.07	1322.37	1487.87	1104.13	1088.92	1467.37	1119.56	947.83	934.76	988.12	1304.15	967.76	1167.14	1477.58	1674.06	1427.22	1369.04	796.86	1167.14	1447.15	1250.98	1151.06	1023.0	890.44	836.53	1030.12	1378.57	872.1	1529.73	1225.22	1175.27	902.89	1175.27	1037.29	1286.18	1216.75	796.86	1359.57	909.17	1191.69	1216.75	909.17	1208.34	1277.29	1685.71	1081.39	1551.09	1216.75	1104.13	1030.12	1313.23	1369.04	1378.57	1208.34	1628.26	1437.15	1250.98	1295.13	1233.75	1583.71	1561.89	1037.29	988.12	1096.5	1119.56	1111.82	1044.52	1487.87	1540.37	1104.13	981.29	1487.87	1388.16	1250.98	1359.57	1208.34
C16orf13	878.17	759.08	563.18	708.18	718.08	698.41	540.19	379.04	379.04	563.18	361.04	708.18	759.08	1662.49	2018.8	2018.8	4358.66	3874.05	2032.85	2133.97	1407.55	2997.45	1844.76	2400.97	1617.0	1529.73	2935.74	2520.38	2319.15	2796.65	1685.71	3982.99	1950.0	2303.12	2591.27	1540.37	2119.22	3257.52	2591.27	4239.45	1697.45	2609.3	2434.5	2163.77	5006.93	1721.16	1617.0	3018.3	3443.31	2163.77	2555.58	3614.55	4095.0	1685.71	2434.5	2502.97	3515.68	3820.7	2502.97	4607.24	2047.0	3280.18	1369.04	3901.01	2758.13	1277.29	4328.55	3515.68	1572.76	1857.6	3349.13	1477.58	3564.78	2061.24	2133.97	2335.28	2777.33	2609.3	2061.24	1870.53	2047.0	3190.46	3467.27	5517.27	4607.24	1529.73	2537.92	2209.26	5292.48	1259.69	3103.19	4575.41	2682.69	2835.7	3491.39	2351.53	2609.3	2701.35	2468.49	3303.0	4358.66	2485.67	2777.33	4481.23	2351.53	1487.87	1883.54	2520.38	2758.13	2367.9	2573.36	2537.92	3018.3	3280.18	3303.0	1286.18	2573.36	1417.35	3716.2	3564.78	2855.44	1909.85	1447.15	1313.23	3768.09	1111.82	3372.43	1721.16	2609.3	1369.04	2976.74	1950.0	5183.54	2400.97	1487.87	3564.78	1844.76	2047.0	2303.12	1674.06	4181.07	2875.3	2758.13	3690.52	4328.55	3491.39	2796.65	2104.58	4152.18	2555.58	2976.74	2061.24	3540.14	4210.15	3395.89	4388.98	3395.89	3820.7	3540.14	2537.92	2976.74	3395.89	1540.37	1551.09	1127.35	1794.29	2520.38	1397.83	1350.18	2271.4	2537.92	1313.23	1313.23	1037.29
C19orf24	723.08	583.07	500.46	363.56	674.59	490.14	476.71	249.73	289.02	438.59	89.51	49.91	75.64	1037.29	1199.98	1286.18	2976.74	1977.24	1561.89	1487.87	830.75	2627.46	1286.18	1447.15	1001.93	1572.76	2271.4	2240.11	1662.49	2032.85	1059.11	1936.53	1781.89	1844.76	1508.65	1159.07	1769.57	1963.57	1709.26	2163.77	1199.98	2090.03	1794.29	1519.15	2520.38	1991.0	830.75	2664.15	2178.83	1697.45	1639.59	2796.65	3847.29	1088.92	1991.0	2090.03	1467.37	2434.5	1819.35	3614.55	1216.75	1233.75	842.36	2875.3	1950.0	825.0	1709.26	2451.44	1388.16	1340.84	1781.89	1066.48	2303.12	1883.54	1832.01	2287.2	2104.58	1844.76	1277.29	1059.11	1447.15	1662.49	1781.89	3742.05	3235.01	1066.48	1923.14	1225.22	3349.13	848.22	1832.01	1697.45	2224.63	1781.89	2502.97	1540.37	1268.46	1923.14	2104.58	2163.77	2855.44	1304.15	2018.8	2287.2	2400.97	1225.22	1059.11	1498.22	1561.89	1594.73	1183.45	1844.76	2384.37	2351.53	1963.57	1096.5	1467.37	1159.07	2997.45	1844.76	2240.11	2004.85	967.76	825.0	3768.09	1073.91	1977.24	1662.49	1295.13	1081.39	2018.8	1594.73	3018.3	1551.09	1286.18	2032.85	1304.15	1242.34	1529.73	1417.35	2255.7	1674.06	2271.4	2591.27	3395.89	2468.49	1651.0	1313.23	2701.35	1832.01	2090.03	1709.26	2148.82	1963.57	2739.08	2193.99	1950.0	2502.97	2004.85	1427.22	1991.0	2287.2	1216.75	1313.23	825.0	1583.71	2193.99	1073.91	1111.82	1733.13	2163.77	1135.2	1191.69	1359.57
C19orf25	248.0	211.31	137.14	170.25	218.79	260.38	134.3	153.34	157.68	260.38	53.57	97.36	102.25	507.46	665.29	674.59	780.44	854.13	684.02	612.11	486.75	1008.9	460.44	647.07	466.88	563.18	780.44	854.13	656.11	733.19	366.09	981.29	780.44	813.63	733.19	620.67	693.58	791.35	656.11	651.58	624.99	780.44	490.14	607.87	718.08	703.28	447.82	813.63	842.36	660.68	791.35	698.41	813.63	616.37	836.53	674.59	718.08	928.3	928.3	961.07	785.88	599.49	379.04	688.78	583.07	438.59	748.61	733.19	497.0	813.63	591.22	490.14	753.83	521.76	521.76	785.88	785.88	733.19	543.96	438.59	633.73	728.11	759.08	1135.2	995.0	476.71	669.92	769.69	624.99	447.82	591.22	684.02	500.46	884.29	915.51	620.67	466.88	638.15	698.41	647.07	1015.93	693.58	698.41	759.08	567.1	503.95	426.57	547.75	483.38	723.08	703.28	684.02	1111.82	819.3	665.29	599.49	759.08	748.61	872.1	728.11	543.96	728.11	406.31	389.72	785.88	603.67	909.17	785.88	679.29	493.56	808.0	684.02	1073.91	620.67	414.87	769.69	470.14	612.11	529.06	463.65	802.41	638.15	780.44	884.29	753.83	775.05	723.08	559.28	941.27	708.18	629.35	860.08	941.27	620.67	718.08	775.05	733.19	890.44	759.08	642.59	785.88	674.59	674.59	723.08	629.35	693.58	848.22	616.37	511.0	813.63	785.88	571.05	688.78	748.61
