	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX
GJC1	12.74	7.46	47.5	78.34	82.87	18.7	9.56	17.25	60.82	78.34	100.83	111.99	159.9	109.66	104.42	12.55	76.17	21.16	23.93	34.75	53.95	56.68	366.09	191.67	312.0	43.63	150.17	9.63	15.56	84.04	186.4	271.48	14.67	234.57	20.11	111.21	193.01	94.67	14.35	14.45	85.22	13.03	36.27	29.48	115.97	12.18	204.07	29.06	264.03	164.42	108.14	76.71	24.46	132.44	167.9	289.02	46.84	143.01	21.01	20.71	10.16	19.11	11.64	156.59	19.53	48.52	90.14	19.82	48.18	10.39	18.84	40.93	159.9	226.54	11.55	55.89	132.44	264.03	45.21	12.74	18.56	154.42	15.22	21.32	47.17	105.15	18.84	13.93	26.67	13.83	249.73	281.09	16.88	142.01	27.84	142.01	16.88	50.63	187.71	202.66	38.12	115.16	102.25	248.0	23.08	18.16	16.63
GLI3	10.31	19.53	28.04	57.08	45.21	14.03	5.15	10.08	43.02	29.48	38.12	69.03	92.7	54.33	24.11	9.93	46.5	11.04	16.03	24.28	28.04	33.54	94.01	67.59	117.6	28.24	90.14	4.17	18.16	55.49	95.34	183.82	12.55	92.05	8.32	55.89	79.45	40.07	8.06	8.92	32.82	11.91	20.86	17.0	63.0	7.46	67.59	13.32	145.02	92.05	43.94	33.54	16.27	52.82	62.12	97.36	17.64	81.71	24.99	13.83	11.91	14.45	4.86	58.71	18.84	12.93	38.4	27.44	21.32	9.63	12.45	23.59	56.68	87.03	10.63	24.81	40.64	126.12	18.7	20.41	8.99	61.68	10.63	14.24	19.68	63.45	11.47	8.78	15.0	11.55	74.06	105.89	10.39	49.56	12.36	53.57	12.18	25.17	91.41	98.04	19.39	101.54	54.33	110.43	8.85	13.62	6.06
GNA12	507.46	450.94	332.14	460.44	457.25	271.48	228.13	248.0	384.34	423.61	363.56	497.0	583.07	435.55	329.84	299.25	567.1	346.29	348.71	384.34	397.93	395.18	836.53	450.94	616.37	387.02	642.59	236.21	301.33	473.41	607.87	934.76	285.03	674.59	279.14	521.76	693.58	438.59	303.44	262.2	363.56	320.8	287.01	297.17	497.0	267.73	583.07	348.71	728.11	529.06	366.09	389.72	329.84	454.09	460.44	616.37	327.56	529.06	353.59	287.01	348.71	363.56	221.86	426.57	318.57	323.03	460.44	420.68	384.34	325.29	305.55	314.17	460.44	642.59	289.02	417.77	457.25	693.58	400.71	363.56	251.48	476.71	287.01	246.28	332.14	480.04	303.44	314.17	406.31	277.2	638.15	665.29	232.94	414.87	323.03	532.74	363.56	327.56	571.05	603.67	318.57	583.07	392.44	748.61	325.29	387.02	255.0
GNAO1	33.54	76.17	111.99	281.09	171.45	39.22	20.41	36.79	198.47	229.72	218.79	387.02	460.44	223.41	105.15	37.05	301.33	28.24	49.21	131.51	99.43	172.65	470.14	190.34	607.87	156.59	483.38	22.1	39.79	242.88	497.0	854.13	40.36	607.87	27.25	295.11	514.56	285.03	31.9	44.89	164.42	36.27	94.01	68.55	490.14	25.72	332.14	46.18	981.29	432.53	191.67	158.79	52.82	258.57	253.23	397.93	60.82	376.41	35.25	32.82	42.41	41.52	18.97	301.33	35.76	83.45	217.27	81.71	101.54	36.01	30.78	97.36	334.46	379.04	47.5	131.51	267.73	660.68	57.08	44.57	28.24	403.5	26.1	43.32	78.89	303.44	81.14	25.91	48.52	35.5	490.14	435.55	35.76	275.28	64.34	287.01	42.41	115.16	518.15	389.72	59.55	301.33	256.78	518.15	44.25	47.17	16.39
GRIK5	7.57	26.86	30.34	70.51	50.63	12.36	15.45	9.7	45.85	90.14	71.0	86.43	127.0	81.71	50.27	8.78	88.26	9.48	13.83	44.57	35.25	68.55	211.31	63.89	187.71	38.67	142.01	10.31	21.63	77.25	148.09	208.38	12.74	130.6	16.27	92.05	113.56	75.11	9.06	18.84	69.03	8.0	29.48	14.67	115.16	10.47	98.04	16.27	194.36	132.44	62.12	48.87	10.39	68.55	82.87	119.26	18.56	76.71	20.56	12.74	13.22	7.75	3.92	76.71	12.36	30.56	55.49	15.56	30.34	12.36	12.45	27.44	105.15	129.69	12.93	39.79	75.11	156.59	27.25	11.91	14.24	105.89	7.57	11.21	35.0	88.88	15.56	6.36	19.25	12.55	149.12	120.1	15.22	82.29	13.62	99.43	12.27	38.12	119.26	149.12	29.06	95.34	93.35	147.06	9.48	21.16	11.55
GUCY1A3	13.12	72.52	90.14	246.28	180.02	21.78	21.01	20.11	138.1	87.03	211.31	244.57	277.2	198.47	88.88	14.14	183.82	25.72	42.71	82.29	66.18	130.6	406.31	146.03	454.09	85.82	185.11	8.25	30.78	142.01	389.72	753.83	40.07	299.25	13.93	220.32	260.38	242.88	17.9	17.9	102.25	24.81	71.5	48.52	265.87	10.31	397.93	21.16	420.68	444.72	111.99	159.9	39.79	209.84	234.57	373.81	55.1	269.6	45.85	25.91	24.28	22.1	10.24	279.14	50.98	59.97	142.01	99.43	84.04	23.93	18.43	58.3	241.19	420.68	34.75	77.79	140.04	603.67	34.75	37.85	15.8	356.05	24.28	36.27	65.72	323.03	51.71	9.78	42.11	13.32	400.71	547.75	18.03	237.86	36.01	208.38	23.25	132.44	435.55	336.79	58.3	267.73	260.38	470.14	24.63	24.46	11.47
GUCY1B3	14.56	105.15	62.56	167.9	129.69	38.12	28.45	36.27	106.63	81.71	151.22	155.5	177.53	132.44	98.04	18.29	154.42	38.4	47.5	73.54	60.39	98.04	273.37	125.24	351.14	71.5	189.02	15.11	33.3	154.42	285.03	384.34	41.22	211.31	23.08	134.3	221.86	140.04	27.05	34.51	105.89	31.22	69.03	63.0	173.85	18.16	236.21	38.67	316.37	237.86	102.97	88.26	45.53	152.28	154.42	244.57	77.79	155.5	41.81	40.93	32.36	29.7	13.93	143.01	60.82	48.52	77.25	100.13	88.26	23.93	36.01	52.82	171.45	295.11	34.75	75.11	118.43	312.0	34.02	48.87	16.15	209.84	27.44	36.53	53.95	139.07	72.52	17.0	60.82	22.1	309.83	297.17	18.43	163.28	37.05	139.07	32.13	108.14	248.0	287.01	59.55	224.97	217.27	289.02	40.36	35.0	16.27
HAND2	28.86	55.89	96.68	363.56	334.46	57.89	28.65	52.45	283.05	191.67	397.93	366.09	848.22	258.57	208.38	25.72	387.02	27.25	63.89	202.66	156.59	314.17	921.88	199.85	1295.13	215.77	543.96	15.8	51.35	346.29	1104.13	902.89	48.18	974.5	56.68	376.41	395.18	500.46	43.32	23.93	244.57	19.25	137.14	45.85	409.15	40.36	599.49	80.57	884.29	454.09	267.73	142.01	55.1	414.87	532.74	791.35	140.04	441.64	31.45	35.0	20.86	54.33	25.35	438.59	31.22	85.82	159.9	102.97	167.9	46.18	58.3	111.99	647.07	532.74	24.81	152.28	260.38	854.13	71.0	38.12	34.02	387.02	38.4	22.92	177.53	361.04	46.84	58.71	75.64	25.91	890.44	909.17	63.0	486.75	88.88	490.14	31.22	186.4	620.67	713.11	46.5	397.93	693.58	1044.52	27.25	41.22	24.11
HDAC4	100.83	57.08	108.14	205.5	155.5	86.43	55.1	74.58	135.24	141.02	158.79	237.86	224.97	176.29	130.6	64.34	181.28	76.71	80.57	124.37	131.51	127.89	414.87	256.78	351.14	201.25	309.83	51.71	87.03	180.02	417.77	414.87	63.0	283.05	76.71	256.78	291.04	162.14	86.43	86.43	130.6	70.01	92.7	82.29	220.32	71.0	191.67	73.03	307.69	279.14	173.85	119.26	95.34	204.07	201.25	323.03	101.54	202.66	105.15	84.04	93.35	80.01	86.43	204.07	94.01	101.54	194.36	118.43	134.3	82.87	68.07	122.64	287.01	312.0	76.17	155.5	193.01	346.29	95.34	116.78	99.43	265.87	102.25	73.03	129.69	202.66	90.14	70.51	73.03	65.72	353.59	251.48	91.41	193.01	102.97	237.86	85.82	106.63	289.02	299.25	112.77	206.94	173.85	312.0	94.67	111.99	71.0
HLF	8.92	10.47	46.84	88.26	80.57	20.56	9.85	20.86	46.84	61.25	71.0	117.6	103.69	66.65	51.35	14.56	47.5	23.93	21.63	30.34	34.26	48.87	185.11	41.81	173.85	53.19	135.24	7.57	21.94	53.19	152.28	232.94	18.43	129.69	15.45	76.71	107.38	87.03	13.93	19.97	46.84	10.47	30.56	24.81	74.58	10.79	121.79	29.7	145.02	139.07	64.8	71.0	13.72	100.83	106.63	189.02	30.34	127.89	22.92	17.38	15.68	18.97	11.55	109.66	15.91	22.1	66.65	28.24	36.01	18.7	14.24	38.4	123.5	92.7	20.86	54.33	74.58	163.28	22.43	19.11	15.56	95.34	11.82	19.82	29.27	80.57	18.7	10.96	23.76	16.03	100.83	134.3	20.41	107.38	21.32	77.25	20.86	46.18	176.29	176.29	23.76	73.54	88.88	193.01	17.13	23.25	11.13
ITGA1	295.11	130.6	152.28	220.32	275.28	98.04	53.95	100.83	199.85	175.07	212.78	384.34	395.18	255.0	220.32	104.42	202.66	133.36	140.04	144.01	181.28	171.45	476.71	293.07	679.29	198.47	366.09	64.8	127.0	260.38	497.0	718.08	76.71	759.08	84.63	180.02	540.19	273.37	113.56	84.04	169.07	105.89	166.73	167.9	387.02	125.24	414.87	110.43	748.61	518.15	260.38	170.25	123.5	327.56	336.79	674.59	147.06	363.56	134.3	113.56	94.67	112.77	102.25	371.22	115.16	155.5	269.6	154.42	162.14	105.89	113.56	185.11	301.33	420.68	108.9	201.25	376.41	688.78	111.21	117.6	116.78	316.37	117.6	132.44	161.02	229.72	107.38	69.52	144.01	96.01	363.56	514.56	121.79	312.0	104.42	332.14	100.83	187.71	486.75	575.03	157.68	332.14	318.57	571.05	101.54	113.56	83.45
ITPR1	62.12	84.63	88.26	171.45	151.22	57.89	38.12	92.05	117.6	185.11	155.5	206.94	239.52	226.54	115.16	54.72	148.09	92.05	92.05	107.38	115.97	113.56	353.59	206.94	397.93	105.89	346.29	23.76	84.04	234.57	262.2	454.09	67.59	283.05	88.26	232.94	318.57	142.01	56.28	66.65	102.25	74.06	112.77	89.51	234.57	65.26	265.87	96.01	371.22	224.97	165.57	166.73	75.64	166.73	303.44	346.29	83.45	226.54	115.16	90.14	44.89	77.79	31.45	189.02	104.42	74.58	195.72	154.42	103.69	60.39	96.68	92.7	206.94	297.17	77.79	128.79	166.73	414.87	74.58	108.14	79.45	264.03	74.06	98.04	70.51	153.34	102.97	55.49	138.1	45.21	301.33	368.65	52.45	163.28	71.5	249.73	68.07	85.82	289.02	323.03	113.56	267.73	163.28	275.28	109.66	95.34	45.85
JAM3	53.95	152.28	154.42	312.0	271.48	140.04	83.45	114.36	293.07	244.57	223.41	325.29	384.34	305.55	264.03	110.43	287.01	97.36	147.06	122.64	190.34	212.78	718.08	361.04	599.49	173.85	414.87	56.68	121.79	231.32	473.41	587.13	118.43	547.75	108.14	403.5	412.0	258.57	92.05	88.26	199.85	108.9	161.02	140.04	366.09	111.21	403.5	118.43	607.87	368.65	273.37	180.02	114.36	371.22	381.68	579.04	159.9	373.81	153.34	134.3	102.25	124.37	92.05	297.17	120.1	103.69	283.05	198.47	155.5	79.45	124.37	155.5	314.17	532.74	127.89	201.25	343.89	470.14	127.0	108.14	134.3	392.44	116.78	123.5	145.02	301.33	193.01	85.22	164.42	106.63	435.55	493.56	108.14	262.2	128.79	346.29	105.15	253.23	599.49	748.61	152.28	444.72	309.83	470.14	123.5	147.06	82.87
JAZF1	27.25	68.55	77.25	175.07	144.01	75.64	39.79	61.25	157.68	121.79	173.85	217.27	267.73	177.53	102.25	47.84	153.34	52.08	60.82	75.11	129.69	118.43	426.57	149.12	444.72	116.78	186.4	35.25	62.12	164.42	329.84	409.15	57.49	262.2	38.12	244.57	197.09	172.65	52.45	48.87	146.03	52.45	97.36	92.7	223.41	38.95	353.59	72.52	366.09	320.8	144.01	143.01	53.19	197.09	358.54	389.72	88.26	262.2	63.89	60.82	43.63	47.17	38.95	323.03	70.01	74.58	175.07	102.25	122.64	38.95	58.3	96.01	275.28	336.79	64.34	134.3	138.1	387.02	50.98	53.95	50.98	229.72	52.08	64.8	96.01	209.84	86.43	43.94	69.03	56.68	379.04	381.68	57.49	273.37	58.71	197.09	73.03	105.15	256.78	255.0	86.43	226.54	183.82	358.54	60.39	77.79	34.26
KCNMA1	92.7	267.73	159.9	579.04	460.44	201.25	84.63	162.14	373.81	423.61	525.39	718.08	738.29	476.71	325.29	181.28	954.43	87.03	167.9	234.57	295.11	381.68	1721.16	708.18	1183.45	454.09	1030.12	189.02	316.37	497.0	1081.39	1295.13	163.28	1051.79	173.85	656.11	1015.93	470.14	153.34	232.94	412.0	123.5	205.5	191.67	796.86	177.53	764.36	169.07	1498.22	1167.14	463.65	366.09	115.97	698.41	819.3	1508.65	201.25	693.58	285.03	191.67	180.02	189.02	332.14	612.11	90.14	215.77	551.56	140.04	228.13	303.44	164.42	220.32	713.11	1709.26	147.06	432.53	463.65	1551.09	172.65	92.7	231.32	1183.45	169.07	153.34	251.48	444.72	96.01	199.85	162.14	164.42	1388.16	981.29	151.22	603.67	180.02	674.59	150.17	403.5	995.0	1088.92	155.5	1015.93	395.18	896.64	100.83	208.38	116.78
KIAA1462	10.47	47.84	83.45	320.8	170.25	23.25	22.92	29.27	224.97	197.09	244.57	320.8	387.02	309.83	165.57	47.5	241.19	30.78	57.89	93.35	134.3	157.68	660.68	214.27	860.08	163.28	358.54	13.42	34.51	232.94	507.46	693.58	44.57	420.68	28.65	684.02	312.0	244.57	21.78	24.81	329.84	32.36	115.97	63.0	381.68	33.78	529.06	52.08	483.38	480.04	198.47	139.07	37.05	231.32	457.25	591.22	66.18	341.51	36.01	46.84	28.86	31.67	28.45	435.55	22.26	80.57	205.5	72.52	148.09	27.64	44.25	87.65	555.41	381.68	45.85	134.3	194.36	679.29	66.65	34.51	29.91	389.72	22.75	53.57	187.71	368.65	34.02	27.44	53.95	20.11	529.06	629.35	25.72	409.15	54.33	438.59	21.63	127.0	473.41	384.34	85.22	346.29	373.81	728.11	33.3	62.12	29.91
KIAA1644	9.93	13.83	21.94	85.82	67.59	10.47	8.25	7.69	63.45	53.19	52.08	127.0	111.21	78.34	49.91	12.0	76.71	14.35	6.89	23.42	40.93	42.11	229.72	144.01	223.41	40.93	173.85	10.08	6.57	78.89	140.04	285.03	9.56	208.38	9.34	161.02	105.89	55.89	9.85	8.71	36.27	9.48	32.13	22.26	111.21	14.56	131.51	9.2	156.59	107.38	40.93	47.5	19.11	90.77	125.24	255.0	13.62	99.43	14.78	9.13	11.64	5.87	4.58	82.29	8.92	18.7	53.95	10.63	23.25	17.38	7.88	31.0	87.65	135.24	11.3	31.0	68.55	231.32	21.94	11.55	8.71	126.12	8.25	11.13	28.24	94.67	10.08	7.88	8.99	9.13	108.9	145.02	7.34	72.01	15.68	92.7	11.21	51.35	127.0	136.19	18.03	150.17	56.28	164.42	8.0	13.93	6.31
KLHL21	145.02	198.47	187.71	271.48	287.01	178.77	90.14	159.9	199.85	195.72	281.09	307.69	339.14	248.0	214.27	155.5	303.44	119.26	171.45	187.71	255.0	170.25	665.29	403.5	532.74	173.85	343.89	100.83	153.34	218.79	348.71	435.55	164.42	318.57	143.01	457.25	307.69	305.55	141.02	136.19	229.72	139.07	141.02	105.89	234.57	177.53	400.71	151.22	420.68	336.79	264.03	237.86	138.1	246.28	412.0	500.46	157.68	253.23	178.77	166.73	155.5	176.29	108.14	346.29	170.25	149.12	237.86	157.68	214.27	162.14	152.28	166.73	395.18	426.57	131.51	221.86	212.78	417.77	142.01	142.01	165.57	295.11	110.43	117.6	170.25	307.69	159.9	150.17	177.53	115.97	371.22	426.57	181.28	307.69	147.06	336.79	201.25	144.01	361.04	363.56	162.14	244.57	320.8	457.25	161.02	199.85	105.89
KLHL5	34.51	106.63	96.68	223.41	189.02	60.82	39.22	73.54	165.57	186.4	148.09	323.03	348.71	229.72	149.12	63.89	204.07	80.57	81.14	128.79	117.6	148.09	316.37	291.04	483.38	106.63	361.04	19.11	60.39	237.86	403.5	559.28	63.89	612.11	50.98	234.57	551.56	166.73	73.54	46.84	162.14	51.35	110.43	101.54	387.02	55.49	297.17	88.88	551.56	332.14	172.65	139.07	78.89	221.86	239.52	460.44	98.73	237.86	90.77	69.03	51.35	61.25	31.9	181.28	96.01	96.68	177.53	108.14	90.77	44.89	81.14	116.78	224.97	303.44	74.06	137.14	287.01	547.75	85.82	102.25	37.85	273.37	57.49	57.08	111.21	256.78	100.13	53.57	80.57	53.57	339.14	457.25	44.25	185.11	84.63	246.28	67.12	138.1	381.68	348.71	101.54	295.11	166.73	454.09	100.83	82.87	56.28
LONRF2	1.36	1.95	5.87	24.28	14.24	0.99	1.27	1.83	10.0	11.82	18.43	16.51	22.59	22.92	8.78	1.22	19.25	2.01	5.68	6.01	8.38	11.21	44.57	27.64	46.18	7.88	29.48	2.39	2.81	13.83	41.52	38.4	2.32	21.47	1.36	31.45	21.01	17.51	1.41	3.69	11.91	1.13	4.9	3.14	21.63	1.77	29.27	2.18	33.3	26.28	14.35	12.74	2.86	20.11	29.27	36.79	4.9	25.35	2.81	1.95	1.17	1.79	1.01	22.92	3.0	6.21	16.27	4.5	10.24	1.38	1.53	4.78	25.72	30.56	1.95	8.85	12.93	36.53	3.23	2.41	1.91	34.26	2.63	1.81	8.65	24.81	3.14	2.66	3.41	1.75	37.32	31.0	3.56	16.39	3.44	21.78	2.43	7.82	32.59	34.75	3.47	22.26	20.71	40.64	2.89	3.0	1.79
LPP	307.69	316.37	303.44	460.44	518.15	221.86	152.28	265.87	366.09	307.69	460.44	571.05	624.99	409.15	438.59	269.6	575.03	356.05	249.73	314.17	343.89	336.79	679.29	555.41	813.63	343.89	941.27	226.54	316.37	547.75	775.05	1175.27	237.86	1304.15	206.94	503.95	1242.34	460.44	279.14	215.77	269.6	256.78	457.25	334.46	591.22	255.0	579.04	293.07	1199.98	703.28	368.65	312.0	242.88	642.59	599.49	1242.34	269.6	603.67	376.41	316.37	186.4	271.48	258.57	563.18	297.17	320.8	381.68	373.81	339.14	265.87	301.33	341.51	536.45	813.63	236.21	395.18	684.02	961.07	281.09	237.86	218.79	483.38	248.0	289.02	291.04	423.61	212.78	221.86	323.03	205.5	665.29	941.27	293.07	457.25	283.05	500.46	273.37	318.57	629.35	1088.92	285.03	503.95	551.56	860.08	249.73	323.03	208.38
LRIG1	255.0	493.56	591.22	718.08	723.08	493.56	264.03	387.02	607.87	514.56	791.35	1059.11	1081.39	780.44	780.44	373.81	890.44	297.17	521.76	547.75	753.83	503.95	1883.54	1096.5	1447.15	521.76	1268.46	202.66	444.72	693.58	1008.9	1896.65	400.71	1594.73	417.77	854.13	1242.34	981.29	371.22	500.46	591.22	320.8	447.82	429.54	981.29	346.29	988.12	395.18	1250.98	1350.18	624.99	555.41	463.65	728.11	842.36	1561.89	563.18	1015.93	470.14	476.71	325.29	447.82	532.74	921.88	518.15	325.29	616.37	438.59	748.61	389.72	325.29	511.0	1111.82	1051.79	423.61	571.05	878.17	1457.23	392.44	379.04	463.65	878.17	381.68	389.72	603.67	819.3	351.14	514.56	454.09	447.82	1008.9	1662.49	518.15	915.51	529.06	884.29	400.71	638.15	1709.26	1427.22	567.1	909.17	902.89	1250.98	336.79	423.61	312.0
MAB21L2	21.78	144.01	234.57	1159.07	819.3	94.67	28.65	67.12	698.41	353.59	819.3	909.17	1594.73	1023.0	441.64	58.71	967.76	47.84	48.87	234.57	206.94	406.31	1963.57	529.06	2645.74	470.14	1119.56	21.78	71.5	836.53	1757.34	2627.46	74.58	1733.13	50.27	2240.11	915.51	941.27	60.39	63.45	642.59	45.85	353.59	146.03	1709.26	57.49	1896.65	110.43	1883.54	1794.29	780.44	368.65	96.01	738.29	1651.0	2163.77	217.27	1143.1	70.51	66.18	69.52	87.03	40.93	1437.15	89.51	198.47	417.77	154.42	483.38	60.82	61.68	256.78	1844.76	1340.84	73.03	387.02	674.59	1857.6	155.5	55.89	48.52	1151.06	39.79	72.01	312.0	1081.39	103.69	32.82	96.01	42.71	1844.76	1551.09	62.56	954.43	91.41	872.1	63.45	457.25	1397.83	1745.2	135.24	1167.14	1250.98	2240.11	56.28	115.16	43.63
MAP1A	8.78	20.41	29.48	97.36	111.99	18.97	10.79	12.64	48.18	78.89	82.29	85.22	161.02	79.45	57.49	16.88	98.04	17.38	28.86	65.26	55.89	71.5	197.09	122.64	249.73	35.0	152.28	6.36	16.63	79.45	140.04	231.32	24.46	232.94	13.93	104.42	193.01	76.17	14.67	21.78	68.55	18.16	36.27	23.08	144.01	25.17	98.73	19.53	258.57	98.73	66.65	45.85	20.11	89.51	124.37	229.72	29.48	82.29	29.91	15.68	10.08	25.54	8.38	98.04	18.7	33.54	59.13	46.5	26.86	15.45	14.78	33.78	113.56	126.12	16.15	53.57	87.65	191.67	37.32	21.01	12.18	91.41	15.68	20.41	35.25	87.03	18.29	19.97	22.43	13.52	114.36	178.77	14.14	75.64	26.67	85.82	20.41	36.53	146.03	123.5	31.67	72.01	65.26	148.09	16.15	19.68	16.39
MAP4	1159.07	1051.79	1519.15	1745.2	1594.73	1208.34	1159.07	1159.07	1733.13	1583.71	1529.73	1870.53	2148.82	1617.0	1508.65	981.29	1781.89	1051.79	1359.57	1407.55	1378.57	1709.26	2555.58	1870.53	2591.27	1340.84	2367.9	780.44	1183.45	1844.76	2758.13	2701.35	1088.92	3018.3	1183.45	1685.71	2485.67	1794.29	1208.34	1233.75	1477.58	1191.69	1295.13	1388.16	2148.82	1159.07	1832.01	1159.07	2976.74	2148.82	1721.16	1233.75	1378.57	1936.53	1794.29	2664.15	1447.15	1745.2	1350.18	1119.56	1001.93	1175.27	1096.5	1923.14	1104.13	1313.23	1721.16	1417.35	1359.57	1030.12	1159.07	1407.55	2047.0	2645.74	1216.75	1477.58	1844.76	2537.92	1259.69	1388.16	1183.45	1909.85	1081.39	1167.14	1277.29	1819.35	1268.46	1175.27	1191.69	1119.56	2400.97	2468.49	1159.07	1757.34	1417.35	1950.0	1135.2	1487.87	2303.12	2816.11	1250.98	1857.6	1819.35	2701.35	1167.14	1295.13	981.29
MEIS1	57.89	128.79	162.14	277.2	279.14	76.17	57.89	76.17	236.21	220.32	373.81	417.77	559.28	307.69	303.44	66.65	323.03	90.77	105.89	180.02	185.11	291.04	738.29	358.54	842.36	197.09	595.34	70.01	101.54	336.79	583.07	743.43	88.26	718.08	57.49	239.52	486.75	323.03	70.51	76.71	198.47	56.28	146.03	133.36	447.82	90.77	400.71	102.25	791.35	466.88	260.38	201.25	100.13	332.14	371.22	579.04	118.43	409.15	68.07	76.71	74.58	95.34	93.35	363.56	73.03	142.01	194.36	178.77	172.65	64.34	87.65	151.22	371.22	518.15	92.05	150.17	334.46	525.39	131.51	80.57	96.01	536.45	111.21	112.77	127.0	325.29	100.13	77.25	101.54	58.3	551.56	620.67	105.15	379.04	106.63	368.65	106.63	173.85	595.34	688.78	144.01	366.09	420.68	660.68	57.89	102.25	55.49
