	TCGA.AK.3447.01A.01R.1766.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.50.8460.01A.11R.2326.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07
SCAF8	63.45	143.01	159.9	151.22	117.6	181.28	135.24	84.04	339.14	295.11	318.57	379.04	297.17	264.03	363.56	309.83	414.87	246.28	204.07	423.61	348.71	371.22	490.14	368.65	381.68	463.65	426.57	211.31	248.0	358.54	275.28	389.72	493.56	327.56	358.54	423.61	297.17	327.56	575.03	334.46	429.54	397.93	194.36	392.44	406.31	293.07	490.14	305.55	229.72	211.31	463.65	237.86	309.83	353.59	395.18	273.37	309.83	366.09	361.04	218.79	348.71	327.56	269.6	511.0	299.25	480.04	293.07	463.65	287.01	295.11	379.04	412.0	262.2	316.37	387.02	258.57	381.68	532.74	309.83	327.56	371.22	232.94	267.73	392.44	409.15	295.11	395.18	343.89	447.82	651.58	318.57	432.53	329.84	295.11	361.04	237.86	251.48	466.88	291.04	366.09	283.05	293.07
SEC22A	397.93	96.01	185.11	205.5	175.07	163.28	218.79	164.42	249.73	599.49	395.18	246.28	267.73	358.54	301.33	287.01	293.07	246.28	163.28	271.48	262.2	242.88	339.14	237.86	287.01	417.77	293.07	244.57	244.57	260.38	277.2	214.27	343.89	228.13	283.05	314.17	267.73	361.04	373.81	295.11	327.56	267.73	264.03	312.0	218.79	312.0	297.17	291.04	220.32	212.78	273.37	191.67	226.54	309.83	373.81	336.79	299.25	334.46	198.47	186.4	303.44	312.0	297.17	384.34	277.2	314.17	289.02	314.17	285.03	194.36	332.14	295.11	267.73	234.57	307.69	154.42	341.51	389.72	303.44	232.94	287.01	195.72	253.23	361.04	285.03	262.2	224.97	281.09	320.8	441.64	208.38	334.46	299.25	248.0	297.17	232.94	255.0	353.59	273.37	318.57	262.2	269.6
SIN3A	72.01	187.71	146.03	201.25	172.65	212.78	151.22	256.78	273.37	318.57	547.75	532.74	417.77	341.51	490.14	409.15	660.68	379.04	376.41	616.37	438.59	435.55	688.78	543.96	551.56	638.15	591.22	353.59	476.71	429.54	332.14	567.1	703.28	432.53	591.22	603.67	373.81	450.94	860.08	486.75	599.49	532.74	343.89	647.07	476.71	540.19	651.58	493.56	318.57	307.69	684.02	348.71	435.55	525.39	555.41	381.68	493.56	525.39	518.15	262.2	500.46	470.14	403.5	728.11	473.41	708.18	358.54	713.11	521.76	403.5	583.07	718.08	414.87	476.71	575.03	395.18	507.46	728.11	486.75	426.57	587.13	312.0	358.54	753.83	444.72	435.55	603.67	438.59	620.67	698.41	525.39	638.15	470.14	403.5	441.64	389.72	483.38	796.86	423.61	555.41	376.41	493.56
SLC9A8	41.22	98.04	122.64	113.56	123.5	115.16	100.13	43.63	201.25	116.78	212.78	248.0	194.36	133.36	167.9	169.07	289.02	185.11	182.55	206.94	218.79	217.27	205.5	176.29	180.02	229.72	157.68	153.34	205.5	181.28	202.66	150.17	237.86	181.28	226.54	239.52	102.97	204.07	255.0	204.07	167.9	147.06	173.85	226.54	223.41	224.97	229.72	202.66	177.53	142.01	244.57	161.02	183.82	217.27	234.57	163.28	234.57	232.94	244.57	138.1	208.38	145.02	167.9	234.57	220.32	265.87	169.07	217.27	205.5	214.27	264.03	260.38	197.09	194.36	255.0	164.42	170.25	221.86	211.31	194.36	181.28	143.01	127.0	291.04	256.78	170.25	242.88	194.36	209.84	251.48	236.21	204.07	194.36	170.25	201.25	167.9	170.25	232.94	109.66	194.36	128.79	191.67
SMARCD1	177.53	366.09	323.03	339.14	234.57	297.17	186.4	126.12	764.36	934.76	1037.29	928.3	1037.29	791.35	842.36	813.63	1059.11	796.86	842.36	1216.75	1088.92	1143.1	1104.13	1437.15	1037.29	1015.93	1135.2	638.15	1044.52	1001.93	934.76	1322.37	1216.75	1008.9	934.76	1295.13	791.35	802.41	1295.13	981.29	1242.34	1066.48	638.15	1369.04	1268.46	1023.0	1322.37	890.44	723.08	587.13	1127.35	743.43	995.0	961.07	974.5	780.44	1051.79	1369.04	1331.57	830.75	1143.1	1023.0	743.43	1096.5	1073.91	1594.73	921.88	909.17	825.0	738.29	1208.34	1216.75	743.43	860.08	921.88	961.07	954.43	1015.93	961.07	947.83	1104.13	785.88	819.3	1313.23	842.36	743.43	1030.12	909.17	1199.98	1001.93	830.75	1183.45	909.17	866.07	753.83	902.89	988.12	1208.34	860.08	1081.39	753.83	1259.69
SPEN	17.0	299.25	283.05	353.59	336.79	343.89	563.18	271.48	860.08	414.87	854.13	954.43	921.88	500.46	688.78	836.53	1151.06	612.11	878.17	1044.52	802.41	698.41	878.17	902.89	934.76	995.0	1044.52	825.0	941.27	961.07	967.76	1127.35	1208.34	1001.93	1369.04	1268.46	503.95	688.78	1225.22	995.0	967.76	775.05	703.28	941.27	830.75	981.29	1066.48	902.89	483.38	483.38	1051.79	647.07	890.44	1135.2	1088.92	796.86	1001.93	796.86	775.05	497.0	860.08	764.36	848.22	1044.52	825.0	1259.69	902.89	1096.5	587.13	764.36	1135.2	1135.2	836.53	759.08	743.43	764.36	1015.93	1322.37	688.78	909.17	1225.22	633.73	651.58	1199.98	1008.9	567.1	1023.0	684.02	941.27	1199.98	890.44	733.19	896.64	785.88	638.15	713.11	808.0	1023.0	470.14	854.13	642.59	1159.07
STRIP1	44.25	161.02	120.94	124.37	152.28	108.14	94.67	65.72	309.83	285.03	529.06	409.15	336.79	447.82	387.02	384.34	483.38	409.15	293.07	450.94	426.57	316.37	454.09	379.04	366.09	447.82	314.17	289.02	441.64	361.04	473.41	414.87	450.94	361.04	457.25	629.35	273.37	361.04	583.07	409.15	579.04	341.51	368.65	483.38	339.14	429.54	547.75	406.31	356.05	244.57	438.59	299.25	403.5	403.5	463.65	376.41	429.54	525.39	435.55	307.69	395.18	358.54	356.05	450.94	423.61	543.96	358.54	497.0	420.68	232.94	497.0	460.44	493.56	444.72	417.77	309.83	412.0	511.0	395.18	387.02	423.61	318.57	327.56	473.41	389.72	336.79	414.87	395.18	444.72	540.19	358.54	414.87	417.77	314.17	432.53	332.14	379.04	507.46	395.18	417.77	371.22	403.5
TAS2R10	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.06	1.64	2.34	2.61	4.46	8.38	1.31	5.02	2.27	2.73	0.0	0.0	2.27	1.71	5.92	0.83	3.29	0.0	4.39	3.66	1.31	4.78	3.2	1.41	2.76	5.63	1.35	2.89	8.0	2.23	1.35	5.87	1.25	2.2	1.75	1.33	2.92	4.82	2.27	11.13	1.33	1.85	3.79	5.32	0.0	2.12	3.99	4.35	1.73	1.28	6.84	3.35	1.27	4.86	4.03	1.28	2.78	2.2	15.0	4.5	0.0	2.58	1.38	6.57	4.7	0.0	2.41	2.34	0.0	5.19	3.0	1.71	2.43	5.11	1.93	0.0	5.87	1.33	2.39	3.76	5.15	4.35	26.67	1.36	3.23	1.77	5.63	3.26	0.0	3.14	6.57	1.25	1.31	6.94	1.51
TBC1D13	197.09	111.21	125.24	132.44	158.79	139.07	114.36	50.98	273.37	426.57	551.56	529.06	543.96	351.14	384.34	429.54	733.19	381.68	323.03	575.03	587.13	507.46	543.96	540.19	483.38	579.04	532.74	412.0	595.34	651.58	480.04	540.19	638.15	591.22	503.95	486.75	241.19	518.15	698.41	547.75	555.41	435.55	483.38	532.74	567.1	540.19	616.37	603.67	208.38	514.56	669.92	275.28	420.68	638.15	642.59	389.72	547.75	493.56	503.95	647.07	624.99	384.34	507.46	669.92	575.03	669.92	514.56	525.39	400.71	616.37	738.29	665.29	392.44	323.03	555.41	384.34	595.34	723.08	555.41	490.14	620.67	435.55	343.89	620.67	514.56	412.0	642.59	532.74	660.68	493.56	351.14	518.15	493.56	543.96	441.64	400.71	460.44	703.28	295.11	536.45	341.51	463.65
TET2	11.64	22.75	25.17	28.04	23.59	30.78	15.45	23.42	67.59	53.95	77.25	62.12	68.55	64.34	61.68	65.72	100.83	49.56	28.45	123.5	76.71	96.01	127.89	80.57	105.89	150.17	90.14	55.49	66.18	74.58	61.25	108.14	127.0	62.12	85.22	131.51	52.45	73.03	131.51	80.57	120.94	94.01	38.4	104.42	85.22	94.67	124.37	52.82	38.4	45.85	144.01	43.94	64.8	83.45	115.97	53.95	69.03	92.7	91.41	33.3	70.51	77.25	59.55	137.14	67.59	112.77	55.1	129.69	54.72	52.82	93.35	98.73	30.78	58.3	94.01	62.12	77.25	113.56	52.82	76.17	77.25	62.12	49.21	115.97	78.34	62.56	104.42	81.14	114.36	201.25	78.89	92.05	65.72	64.8	88.26	52.45	71.5	139.07	75.11	71.0	55.89	51.71
THUMPD1	154.42	186.4	193.01	187.71	158.79	269.6	194.36	146.03	616.37	483.38	412.0	470.14	423.61	291.04	414.87	387.02	529.06	312.0	249.73	547.75	447.82	521.76	599.49	466.88	493.56	660.68	603.67	242.88	341.51	525.39	414.87	583.07	563.18	387.02	486.75	543.96	303.44	444.72	693.58	476.71	507.46	518.15	279.14	559.28	547.75	490.14	511.0	414.87	256.78	483.38	629.35	297.17	429.54	454.09	507.46	332.14	387.02	532.74	507.46	358.54	476.71	417.77	381.68	599.49	518.15	612.11	417.77	486.75	376.41	473.41	503.95	571.05	283.05	392.44	493.56	339.14	470.14	607.87	395.18	463.65	473.41	329.84	339.14	591.22	473.41	346.29	497.0	432.53	518.15	825.0	414.87	432.53	389.72	454.09	444.72	314.17	346.29	743.43	351.14	457.25	379.04	379.04
TNKS	26.28	59.97	46.5	62.56	57.89	81.14	43.94	57.89	139.07	100.13	197.09	241.19	178.77	144.01	197.09	186.4	255.0	175.07	154.42	327.56	191.67	193.01	287.01	202.66	244.57	320.8	234.57	172.65	167.9	177.53	177.53	221.86	283.05	224.97	258.57	229.72	149.12	236.21	346.29	215.77	229.72	224.97	148.09	242.88	217.27	255.0	285.03	185.11	163.28	183.82	318.57	166.73	191.67	258.57	277.2	165.57	215.77	231.32	212.78	128.79	205.5	193.01	209.84	305.55	190.34	242.88	194.36	332.14	197.09	128.79	224.97	283.05	163.28	177.53	237.86	171.45	229.72	312.0	178.77	183.82	193.01	169.07	156.59	271.48	228.13	221.86	246.28	212.78	293.07	363.56	244.57	239.52	221.86	190.34	226.54	177.53	195.72	353.59	175.07	195.72	145.02	181.28
TNPO2	183.82	221.86	130.6	191.67	191.67	177.53	82.29	91.41	536.45	217.27	708.18	679.29	587.13	521.76	651.58	629.35	866.07	583.07	591.22	836.53	718.08	595.34	748.61	638.15	583.07	830.75	679.29	583.07	633.73	679.29	802.41	713.11	921.88	819.3	915.51	1008.9	490.14	733.19	1250.98	802.41	854.13	693.58	551.56	796.86	679.29	708.18	872.1	796.86	460.44	842.36	902.89	473.41	748.61	785.88	928.3	703.28	813.63	896.64	872.1	651.58	718.08	575.03	679.29	915.51	733.19	1111.82	708.18	819.3	825.0	567.1	890.44	1030.12	633.73	665.29	693.58	713.11	775.05	1001.93	642.59	733.19	660.68	633.73	536.45	1037.29	728.11	775.05	603.67	769.69	974.5	909.17	791.35	698.41	860.08	660.68	733.19	669.92	660.68	842.36	599.49	703.28	698.41	638.15
TNRC6A	26.1	236.21	124.37	314.17	212.78	239.52	181.28	127.0	395.18	193.01	441.64	341.51	351.14	239.52	392.44	327.56	435.55	228.13	111.99	414.87	392.44	307.69	497.0	329.84	348.71	460.44	351.14	327.56	371.22	441.64	450.94	379.04	450.94	366.09	447.82	728.11	224.97	316.37	629.35	373.81	587.13	395.18	253.23	476.71	373.81	346.29	651.58	316.37	229.72	224.97	599.49	241.19	366.09	412.0	480.04	327.56	476.71	638.15	438.59	191.67	358.54	414.87	229.72	429.54	414.87	698.41	325.29	463.65	312.0	343.89	473.41	460.44	231.32	363.56	412.0	251.48	438.59	567.1	314.17	423.61	384.34	249.73	226.54	511.0	476.71	242.88	406.31	438.59	361.04	860.08	320.8	400.71	400.71	327.56	389.72	339.14	403.5	540.19	353.59	423.61	316.37	384.34
TP53BP1	90.14	111.99	93.35	75.64	92.05	88.26	103.69	31.45	320.8	237.86	759.08	529.06	612.11	503.95	555.41	490.14	612.11	507.46	460.44	743.43	620.67	466.88	669.92	490.14	536.45	669.92	612.11	438.59	547.75	616.37	684.02	647.07	830.75	620.67	642.59	878.17	563.18	529.06	1023.0	688.78	872.1	642.59	490.14	738.29	497.0	688.78	860.08	500.46	529.06	638.15	669.92	417.77	579.04	595.34	723.08	547.75	872.1	759.08	674.59	199.85	642.59	688.78	470.14	928.3	616.37	866.07	543.96	753.83	540.19	612.11	854.13	860.08	642.59	579.04	612.11	470.14	587.13	836.53	603.67	500.46	529.06	389.72	511.0	941.27	802.41	460.44	620.67	713.11	743.43	947.83	612.11	620.67	612.11	466.88	579.04	497.0	624.99	775.05	674.59	599.49	665.29	607.87
TRIM68	287.01	104.42	78.89	63.0	87.03	62.12	75.64	32.82	137.14	159.9	341.51	361.04	194.36	208.38	307.69	343.89	371.22	215.77	215.77	248.0	228.13	190.34	336.79	244.57	303.44	358.54	395.18	309.83	285.03	314.17	275.28	314.17	457.25	291.04	309.83	432.53	97.36	312.0	432.53	400.71	373.81	205.5	214.27	279.14	187.71	221.86	480.04	314.17	126.12	209.84	332.14	159.9	206.94	387.02	454.09	248.0	209.84	297.17	185.11	251.48	373.81	165.57	271.48	339.14	269.6	314.17	239.52	412.0	220.32	232.94	473.41	363.56	301.33	255.0	371.22	199.85	483.38	543.96	264.03	277.2	503.95	215.77	256.78	293.07	226.54	303.44	353.59	244.57	473.41	438.59	246.28	275.28	301.33	273.37	361.04	251.48	351.14	417.77	172.65	260.38	223.41	228.13
TSPYL4	99.43	70.51	102.97	75.11	72.52	84.04	61.25	141.02	193.01	275.28	429.54	281.09	339.14	198.47	262.2	234.57	490.14	186.4	152.28	403.5	348.71	334.46	497.0	271.48	400.71	457.25	460.44	214.27	295.11	384.34	236.21	325.29	346.29	258.57	269.6	483.38	242.88	273.37	796.86	466.88	426.57	397.93	182.55	423.61	420.68	400.71	612.11	293.07	175.07	273.37	493.56	165.57	287.01	320.8	447.82	239.52	397.93	447.82	363.56	170.25	334.46	381.68	229.72	616.37	320.8	497.0	255.0	397.93	273.37	218.79	373.81	669.92	190.34	234.57	318.57	253.23	265.87	493.56	358.54	231.32	414.87	170.25	186.4	454.09	309.83	241.19	351.14	351.14	483.38	555.41	293.07	432.53	277.2	329.84	277.2	223.41	384.34	470.14	348.71	307.69	171.45	273.37
UBOX5	42.71	50.27	74.06	51.71	43.02	49.91	40.07	42.41	52.82	122.64	117.6	100.83	105.15	100.83	78.34	78.89	144.01	116.78	114.36	117.6	100.83	98.04	112.77	111.99	110.43	105.89	125.24	107.38	144.01	132.44	100.13	115.16	123.5	128.79	121.79	101.54	57.89	115.16	134.3	138.1	109.66	84.63	90.77	127.89	124.37	71.0	139.07	104.42	111.21	89.51	135.24	90.77	81.14	124.37	132.44	107.38	84.04	100.13	107.38	110.43	120.1	83.45	97.36	92.05	110.43	130.6	102.97	113.56	116.78	105.15	136.19	121.79	96.68	96.68	95.34	116.78	98.04	136.19	87.03	93.35	122.64	119.26	80.57	130.6	114.36	98.73	130.6	90.77	127.89	98.04	98.73	94.67	100.13	118.43	87.03	127.0	88.88	150.17	61.25	119.26	59.55	111.99
UBR2	52.45	125.24	137.14	144.01	152.28	190.34	142.01	135.24	198.47	193.01	234.57	258.57	204.07	143.01	234.57	194.36	273.37	169.07	133.36	289.02	231.32	215.77	323.03	260.38	289.02	341.51	295.11	172.65	209.84	244.57	199.85	273.37	361.04	232.94	256.78	305.55	180.02	248.0	368.65	260.38	295.11	264.03	149.12	305.55	246.28	283.05	293.07	226.54	138.1	177.53	323.03	169.07	217.27	271.48	316.37	180.02	232.94	267.73	253.23	194.36	239.52	215.77	242.88	303.44	206.94	323.03	217.27	314.17	217.27	191.67	269.6	301.33	180.02	202.66	289.02	166.73	264.03	339.14	195.72	218.79	251.48	193.01	185.11	312.0	258.57	220.32	253.23	212.78	301.33	412.0	205.5	267.73	239.52	218.79	258.57	194.36	173.85	387.02	186.4	231.32	198.47	231.32
URGCP	163.28	629.35	441.64	466.88	293.07	325.29	366.09	153.34	334.46	361.04	503.95	432.53	454.09	438.59	429.54	373.81	616.37	356.05	351.14	490.14	480.04	441.64	587.13	450.94	529.06	518.15	466.88	432.53	633.73	559.28	497.0	483.38	575.03	460.44	525.39	536.45	305.55	420.68	607.87	521.76	579.04	463.65	395.18	507.46	466.88	514.56	540.19	490.14	363.56	366.09	497.0	336.79	384.34	507.46	551.56	476.71	435.55	490.14	480.04	406.31	503.95	423.61	460.44	514.56	444.72	591.22	470.14	583.07	473.41	435.55	529.06	571.05	511.0	417.77	480.04	366.09	470.14	647.07	429.54	460.44	583.07	384.34	412.0	518.15	470.14	356.05	476.71	518.15	540.19	547.75	400.71	466.88	450.94	473.41	409.15	420.68	470.14	543.96	397.93	480.04	406.31	500.46
VN1R1	0.0	2.51	3.72	3.29	1.97	4.58	0.27	5.63	16.88	8.45	25.72	32.13	28.45	9.41	17.77	24.81	39.79	19.68	12.45	48.18	24.11	15.45	19.68	17.51	20.86	21.16	33.06	47.5	40.07	17.13	13.22	20.41	47.5	28.86	34.51	39.22	8.06	14.03	27.05	30.78	35.25	19.68	10.39	29.91	40.36	27.64	46.5	19.53	6.57	5.54	33.54	6.11	24.11	25.91	13.62	23.42	43.94	16.51	24.46	1.77	21.47	23.59	9.56	40.36	23.76	38.12	23.08	26.47	10.39	11.91	37.32	10.39	8.0	10.71	24.81	13.62	18.84	24.11	17.9	30.12	19.97	13.52	14.03	23.42	31.0	14.03	40.36	23.42	35.5	60.39	31.22	27.25	27.25	18.97	16.51	18.97	32.13	47.84	15.0	33.54	18.7	24.28
VWA9	543.96	423.61	403.5	348.71	301.33	414.87	295.11	325.29	343.89	759.08	860.08	693.58	543.96	642.59	723.08	669.92	759.08	651.58	583.07	796.86	753.83	579.04	743.43	679.29	764.36	813.63	703.28	507.46	651.58	728.11	567.1	684.02	693.58	616.37	638.15	679.29	633.73	607.87	890.44	753.83	825.0	796.86	607.87	718.08	620.67	934.76	780.44	674.59	559.28	507.46	723.08	529.06	693.58	693.58	738.29	708.18	974.5	748.61	684.02	332.14	733.19	743.43	674.59	878.17	674.59	780.44	575.03	713.11	688.78	497.0	785.88	961.07	684.02	791.35	698.41	591.22	723.08	693.58	842.36	607.87	684.02	463.65	551.56	802.41	651.58	669.92	708.18	674.59	748.61	796.86	753.83	819.3	733.19	616.37	723.08	500.46	651.58	808.0	896.64	796.86	665.29	665.29
WDR73	89.51	202.66	246.28	176.29	135.24	126.12	124.37	66.18	253.23	371.22	830.75	444.72	536.45	429.54	559.28	514.56	698.41	525.39	297.17	629.35	536.45	555.41	633.73	620.67	647.07	665.29	629.35	473.41	802.41	507.46	595.34	591.22	660.68	563.18	490.14	909.17	341.51	493.56	780.44	603.67	836.53	497.0	511.0	669.92	660.68	514.56	954.43	500.46	395.18	406.31	764.36	417.77	435.55	591.22	587.13	616.37	599.49	703.28	551.56	159.9	583.07	503.95	486.75	638.15	669.92	848.22	463.65	595.34	438.59	571.05	723.08	616.37	521.76	547.75	603.67	463.65	723.08	551.56	518.15	571.05	703.28	371.22	503.95	563.18	603.67	447.82	616.37	603.67	688.78	981.29	409.15	555.41	500.46	547.75	647.07	450.94	579.04	693.58	571.05	708.18	540.19	466.88
WIPF2	29.48	93.35	103.69	108.14	100.83	115.97	106.63	48.52	309.83	332.14	234.57	264.03	212.78	180.02	244.57	209.84	318.57	161.02	173.85	297.17	217.27	217.27	363.56	269.6	277.2	307.69	299.25	169.07	212.78	271.48	198.47	277.2	414.87	267.73	295.11	295.11	202.66	211.31	438.59	234.57	316.37	236.21	170.25	281.09	264.03	287.01	325.29	242.88	169.07	208.38	346.29	158.79	221.86	291.04	312.0	190.34	258.57	277.2	262.2	208.38	249.73	215.77	237.86	429.54	258.57	327.56	229.72	368.65	236.21	205.5	283.05	356.05	161.02	229.72	299.25	159.9	271.48	389.72	215.77	244.57	295.11	180.02	209.84	343.89	241.19	224.97	281.09	253.23	397.93	379.04	231.32	267.73	242.88	220.32	241.19	180.02	215.77	361.04	209.84	265.87	234.57	201.25
ZBTB34	13.93	21.01	21.32	21.01	22.75	27.84	13.83	7.69	45.21	73.54	81.14	88.88	79.45	72.01	86.43	74.06	101.54	66.65	44.25	87.65	88.88	78.34	154.42	103.69	97.36	116.78	102.97	84.63	96.01	96.01	87.03	103.69	108.14	86.43	77.79	127.0	61.68	77.25	134.3	105.15	117.6	97.36	61.68	95.34	102.25	77.25	110.43	80.57	27.84	40.93	120.94	66.65	76.71	85.82	96.01	69.03	70.51	81.71	100.13	46.84	94.67	68.55	72.01	109.66	73.54	111.21	86.43	123.5	75.11	56.68	96.01	110.43	52.82	71.0	105.15	69.03	94.01	103.69	57.49	95.34	79.45	93.35	49.91	128.79	93.35	82.87	92.7	76.71	97.36	141.02	86.43	91.41	98.04	80.01	108.14	80.57	95.34	118.43	61.68	85.22	62.56	61.68
ZBTB39	3.89	11.04	16.39	15.11	18.7	23.08	13.22	5.92	43.02	55.1	57.08	56.68	34.26	27.64	40.64	44.25	73.03	31.9	18.16	64.8	52.08	37.85	78.34	57.89	45.21	56.28	53.95	29.7	43.63	51.35	45.21	66.18	68.07	53.95	43.63	74.06	16.63	41.52	79.45	71.0	71.0	44.57	30.34	57.89	51.71	54.33	88.26	43.94	27.64	25.35	70.01	27.64	41.22	71.0	54.72	33.54	52.45	55.1	51.35	31.67	46.18	37.85	28.86	71.5	37.85	85.22	47.84	72.01	23.76	30.78	62.56	87.03	31.22	30.78	60.39	35.25	52.08	63.89	30.56	49.91	57.49	40.07	28.86	75.64	43.94	35.0	69.03	38.95	55.49	94.67	36.79	59.97	55.49	49.91	50.27	53.19	41.81	97.36	22.1	43.94	33.06	38.4
ZFP14	13.42	7.46	20.11	12.64	14.03	19.82	18.16	13.12	52.82	58.3	85.22	78.89	72.01	48.18	81.71	71.0	108.14	53.95	38.4	105.15	88.26	85.82	135.24	106.63	116.78	149.12	115.16	69.03	75.11	98.73	71.5	113.56	114.36	98.73	102.25	119.26	48.87	88.88	150.17	110.43	115.16	101.54	52.08	115.16	92.05	88.26	127.0	69.52	48.18	59.13	125.24	65.72	69.52	88.88	111.21	65.72	69.03	94.67	80.01	50.27	87.03	85.82	62.12	102.97	80.57	129.69	80.57	140.04	63.45	61.68	92.05	123.5	53.19	71.0	104.42	49.56	97.36	121.79	68.07	79.45	99.43	67.59	79.45	84.63	88.88	65.26	107.38	83.45	94.01	162.14	73.54	85.22	84.63	76.17	87.03	65.26	66.65	142.01	58.71	88.26	58.71	73.03
