	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.FD.A5BZ.01A.11R.A28M.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.FD.A3B8.01A.31R.A20F.07	TCGA.FD.A3SP.01A.31R.A22U.07	TCGA.FD.A62S.01A.11R.A30C.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A145.01A.11R.A115.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.E2.A1BC.01A.11R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A7.A26F.01A.21R.A169.07.1	TCGA.A8.A07J.01A.11R.A00Z.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.JL.A3YW.01A.12R.A239.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.BH.A0BJ.01A.11R.A056.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.D8.A27K.01A.11R.A16F.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.CQ.7072.01A.21R.A30B.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.78.8648.01A.11R.2403.07	TCGA.MP.A4TC.01A.11R.A24X.07	TCGA.44.6774.01A.21R.1858.07	TCGA.44.7662.01A.11R.2066.07	TCGA.J2.8192.01A.11R.2241.07	TCGA.43.6647.01A.11R.1820.07	TCGA.18.3417.01A.01R.1443.07	TCGA.60.2724.01A.01R.0851.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.85.8582.01A.21R.2403.07	TCGA.34.5928.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.N6.A4VF.01A.31R.A28V.07
SLC25A46	189.02	269.6	348.71	228.13	559.28	368.65	376.41	723.08	441.64	529.06	450.94	397.93	1183.45	616.37	1143.1	457.25	395.18	961.07	665.29	463.65	791.35	591.22	620.67	514.56	660.68	547.75	967.76	353.59	555.41	497.0	836.53	525.39	743.43	647.07	339.14	384.34	567.1	1088.92	503.95	514.56	529.06	441.64	583.07	723.08	305.55	490.14	381.68	450.94	470.14	237.86	536.45	503.95	480.04	231.32	341.51	325.29	229.72	587.13	444.72	376.41	426.57	656.11	503.95	239.52	339.14	366.09	289.02	325.29	281.09	603.67	323.03	255.0	363.56	466.88	287.01	381.68	444.72	466.88	547.75	463.65	376.41
SRBD1	107.38	120.94	133.36	111.21	199.85	148.09	211.31	248.0	301.33	318.57	226.54	231.32	368.65	348.71	429.54	221.86	166.73	476.71	251.48	281.09	361.04	269.6	291.04	279.14	397.93	236.21	281.09	155.5	409.15	156.59	246.28	297.17	264.03	217.27	211.31	251.48	264.03	358.54	271.48	314.17	269.6	281.09	423.61	231.32	406.31	198.47	153.34	111.21	88.26	113.56	241.19	169.07	151.22	133.36	110.43	211.31	177.53	161.02	155.5	131.51	161.02	153.34	138.1	140.04	137.14	185.11	136.19	167.9	106.63	241.19	157.68	106.63	139.07	209.84	111.21	125.24	201.25	206.94	212.78	224.97	212.78
SRFBP1	130.6	104.42	66.65	63.45	137.14	88.88	129.69	256.78	189.02	195.72	135.24	120.1	283.05	206.94	483.38	171.45	122.64	575.03	198.47	121.79	226.54	171.45	287.01	128.79	253.23	176.29	318.57	138.1	190.34	142.01	287.01	232.94	291.04	186.4	119.26	112.77	209.84	403.5	185.11	253.23	189.02	197.09	187.71	121.79	94.01	118.43	127.89	80.57	69.52	57.08	170.25	127.89	121.79	61.68	124.37	44.89	59.97	178.77	109.66	82.29	125.24	142.01	159.9	88.26	85.82	91.41	73.03	106.63	96.01	175.07	95.34	63.89	117.6	123.5	81.71	116.78	152.28	182.55	136.19	145.02	129.69
ST8SIA6	4.98	1.69	0.85	0.37	2.14	2.78	0.99	242.88	90.77	156.59	8.25	170.25	287.01	540.19	599.49	111.21	87.03	327.56	193.01	12.83	299.25	64.8	217.27	329.84	146.03	287.01	248.0	22.59	80.01	7.06	341.51	258.57	8.71	507.46	14.78	34.75	112.77	769.69	228.13	693.58	651.58	119.26	2520.38	90.77	0.82	0.99	10.71	2.2	1.27	2.43	12.93	17.51	1.89	3.5	7.46	0.82	3.32	15.34	3.29	10.16	18.29	4.5	7.63	0.42	11.13	6.89	0.37	2.66	0.64	8.45	6.41	2.03	1.08	4.46	5.19	25.54	86.43	5.45	16.27	0.64	3.89
STAM2	102.97	181.28	242.88	205.5	221.86	187.71	202.66	500.46	336.79	432.53	403.5	476.71	559.28	616.37	819.3	432.53	325.29	651.58	423.61	486.75	571.05	409.15	536.45	463.65	525.39	529.06	514.56	182.55	293.07	236.21	500.46	343.89	493.56	441.64	316.37	346.29	414.87	860.08	309.83	620.67	497.0	414.87	854.13	490.14	303.44	293.07	232.94	258.57	248.0	166.73	376.41	285.03	287.01	204.07	253.23	226.54	165.57	244.57	237.86	239.52	194.36	279.14	329.84	406.31	221.86	236.21	204.07	234.57	264.03	423.61	173.85	176.29	180.02	285.03	237.86	244.57	232.94	412.0	493.56	447.82	217.27
STX17	140.04	141.02	117.6	161.02	283.05	181.28	224.97	361.04	194.36	409.15	223.41	209.84	412.0	339.14	587.13	287.01	256.78	684.02	206.94	199.85	325.29	309.83	438.59	325.29	392.44	264.03	305.55	175.07	205.5	186.4	363.56	303.44	438.59	320.8	132.44	175.07	329.84	571.05	236.21	389.72	371.22	185.11	463.65	215.77	194.36	314.17	212.78	173.85	181.28	65.72	339.14	173.85	148.09	94.01	108.14	212.78	68.07	314.17	158.79	211.31	271.48	351.14	289.02	206.94	141.02	173.85	149.12	171.45	127.89	283.05	164.42	80.57	116.78	224.97	161.02	198.47	177.53	231.32	334.46	275.28	136.19
SYAP1	490.14	271.48	334.46	368.65	521.76	320.8	381.68	1119.56	890.44	842.36	753.83	579.04	669.92	753.83	733.19	656.11	463.65	1073.91	612.11	860.08	947.83	559.28	764.36	607.87	921.88	684.02	764.36	529.06	860.08	400.71	563.18	620.67	660.68	753.83	638.15	974.5	470.14	759.08	406.31	780.44	693.58	559.28	674.59	493.56	395.18	332.14	325.29	463.65	226.54	198.47	305.55	441.64	323.03	497.0	275.28	503.95	480.04	236.21	414.87	283.05	265.87	305.55	303.44	218.79	336.79	409.15	392.44	460.44	253.23	559.28	395.18	171.45	264.03	457.25	332.14	211.31	426.57	483.38	384.34	555.41	529.06
TCEANC	19.68	20.71	41.52	26.86	44.25	25.35	36.53	92.05	98.73	93.35	55.89	90.77	125.24	96.68	112.77	55.89	59.97	101.54	93.35	74.58	112.77	70.01	63.89	64.8	95.34	83.45	80.01	38.4	52.45	40.07	105.15	71.5	53.95	77.25	65.26	102.97	66.65	66.65	67.12	75.64	104.42	69.52	140.04	69.52	58.71	35.76	28.04	25.35	30.78	10.31	31.22	26.47	24.11	31.45	19.68	47.84	42.41	17.77	35.5	15.91	33.3	29.91	24.11	17.51	23.08	52.45	33.06	45.21	23.42	63.45	22.59	24.46	35.0	32.13	39.22	25.17	46.84	59.13	77.25	42.71	59.55
THUMPD1	189.02	289.02	438.59	371.22	400.71	312.0	271.48	1313.23	571.05	967.76	679.29	1583.71	954.43	1159.07	1359.57	884.29	591.22	1519.15	890.44	579.04	1313.23	718.08	1259.69	921.88	928.3	738.29	878.17	395.18	532.74	414.87	1159.07	698.41	1199.98	624.99	559.28	624.99	819.3	1561.89	595.34	1183.45	1417.35	642.59	1572.76	842.36	647.07	454.09	521.76	426.57	256.78	244.57	470.14	376.41	341.51	356.05	258.57	305.55	291.04	409.15	460.44	299.25	379.04	332.14	353.59	366.09	297.17	414.87	373.81	435.55	397.93	684.02	470.14	249.73	229.72	536.45	351.14	293.07	339.14	607.87	743.43	607.87	323.03
TMEM57	251.48	281.09	251.48	305.55	327.56	228.13	305.55	599.49	656.11	532.74	629.35	595.34	679.29	563.18	674.59	426.57	318.57	647.07	698.41	638.15	995.0	457.25	497.0	669.92	708.18	629.35	669.92	258.57	343.89	320.8	575.03	490.14	988.12	518.15	463.65	373.81	339.14	679.29	529.06	660.68	591.22	555.41	620.67	320.8	366.09	277.2	236.21	353.59	373.81	224.97	301.33	239.52	406.31	291.04	271.48	346.29	353.59	351.14	381.68	221.86	264.03	287.01	470.14	277.2	285.03	236.21	217.27	414.87	256.78	348.71	229.72	152.28	212.78	305.55	275.28	205.5	251.48	293.07	334.46	346.29	406.31
TRAPPC13	208.38	226.54	169.07	201.25	258.57	248.0	256.78	607.87	334.46	432.53	224.97	218.79	595.34	432.53	674.59	454.09	316.37	547.75	429.54	299.25	441.64	275.28	483.38	358.54	447.82	514.56	497.0	285.03	371.22	343.89	551.56	409.15	684.02	480.04	258.57	299.25	285.03	718.08	476.71	503.95	435.55	351.14	417.77	679.29	490.14	329.84	323.03	231.32	177.53	132.44	281.09	260.38	155.5	154.42	163.28	346.29	178.77	180.02	246.28	191.67	223.41	299.25	212.78	255.0	183.82	248.0	180.02	204.07	287.01	406.31	195.72	194.36	265.87	248.0	232.94	214.27	246.28	307.69	348.71	275.28	363.56
TRIM23	65.72	87.03	106.63	59.13	96.01	120.1	66.65	221.86	178.77	258.57	175.07	180.02	307.69	253.23	376.41	151.22	165.57	299.25	234.57	172.65	209.84	159.9	163.28	150.17	269.6	214.27	249.73	69.52	147.06	142.01	260.38	209.84	339.14	214.27	120.1	127.0	211.31	460.44	197.09	220.32	197.09	187.71	460.44	81.71	191.67	251.48	120.94	88.26	119.26	69.52	166.73	127.0	109.66	52.08	62.56	140.04	71.5	115.16	113.56	90.14	115.97	169.07	115.97	82.87	61.68	100.83	82.87	126.12	77.25	177.53	79.45	35.76	41.81	169.07	90.14	87.03	127.89	136.19	149.12	81.71	137.14
TTC37	229.72	389.72	420.68	271.48	486.75	366.09	353.59	785.88	813.63	743.43	567.1	536.45	878.17	954.43	1594.73	595.34	591.22	1794.29	791.35	587.13	796.86	796.86	1127.35	660.68	802.41	866.07	1127.35	256.78	624.99	603.67	981.29	728.11	1322.37	915.51	376.41	555.41	743.43	2032.85	693.58	902.89	947.83	559.28	1088.92	854.13	348.71	708.18	470.14	490.14	361.04	236.21	599.49	473.41	454.09	358.54	368.65	463.65	303.44	796.86	490.14	368.65	473.41	603.67	503.95	295.11	279.14	447.82	334.46	493.56	343.89	688.78	450.94	236.21	358.54	583.07	473.41	271.48	642.59	759.08	947.83	890.44	555.41
TXNDC16	49.56	48.87	47.84	45.21	53.95	73.03	56.28	1277.29	185.11	232.94	122.64	339.14	212.78	463.65	426.57	181.28	125.24	130.6	198.47	287.01	642.59	199.85	108.9	353.59	239.52	248.0	381.68	87.03	129.69	76.71	205.5	242.88	323.03	392.44	137.14	164.42	130.6	264.03	314.17	195.72	155.5	123.5	463.65	183.82	129.69	92.05	43.94	61.68	35.0	28.86	66.65	62.12	37.59	19.25	28.65	27.84	40.64	50.27	47.84	57.08	43.02	63.89	52.08	70.51	43.32	80.01	36.01	94.01	57.08	140.04	80.01	31.45	42.11	88.88	35.25	81.71	87.03	105.89	153.34	102.25	211.31
UBR2	100.13	155.5	187.71	143.01	275.28	205.5	215.77	376.41	299.25	392.44	363.56	343.89	299.25	348.71	769.69	312.0	234.57	651.58	348.71	343.89	387.02	285.03	373.81	228.13	384.34	387.02	438.59	115.97	258.57	202.66	301.33	248.0	591.22	358.54	242.88	224.97	314.17	575.03	285.03	353.59	450.94	281.09	454.09	265.87	220.32	318.57	226.54	229.72	400.71	244.57	356.05	287.01	241.19	164.42	150.17	176.29	128.79	153.34	303.44	151.22	361.04	287.01	226.54	237.86	239.52	229.72	150.17	228.13	177.53	279.14	265.87	94.01	150.17	363.56	264.03	241.19	232.94	242.88	406.31	343.89	193.01
UHRF1BP1L	176.29	159.9	189.02	111.99	249.73	185.11	152.28	470.14	291.04	417.77	271.48	239.52	493.56	301.33	1183.45	336.79	212.78	733.19	381.68	373.81	356.05	316.37	314.17	323.03	392.44	371.22	329.84	142.01	275.28	212.78	379.04	221.86	460.44	327.56	244.57	226.54	316.37	620.67	287.01	417.77	318.57	293.07	327.56	151.22	155.5	229.72	175.07	241.19	234.57	150.17	258.57	234.57	178.77	122.64	136.19	303.44	161.02	223.41	173.85	205.5	149.12	239.52	178.77	182.55	171.45	181.28	149.12	204.07	121.79	260.38	177.53	155.5	97.36	244.57	204.07	139.07	194.36	283.05	264.03	273.37	153.34
YTHDC2	92.05	157.68	100.13	122.64	223.41	146.03	145.02	417.77	339.14	279.14	151.22	212.78	525.39	400.71	718.08	229.72	244.57	543.96	334.46	234.57	480.04	228.13	420.68	283.05	353.59	368.65	356.05	99.43	212.78	234.57	429.54	325.29	693.58	334.46	131.51	199.85	279.14	748.61	214.27	480.04	373.81	228.13	329.84	312.0	154.42	325.29	303.44	400.71	116.78	70.51	199.85	139.07	106.63	118.43	189.02	80.57	102.25	182.55	158.79	105.15	181.28	164.42	211.31	173.85	104.42	171.45	145.02	159.9	194.36	251.48	147.06	60.39	114.36	258.57	150.17	183.82	153.34	201.25	392.44	336.79	215.77
ZFX	129.69	115.97	171.45	112.77	285.03	145.02	209.84	547.75	314.17	514.56	226.54	325.29	525.39	503.95	981.29	366.09	264.03	1073.91	447.82	329.84	406.31	363.56	470.14	258.57	547.75	423.61	473.41	155.5	199.85	234.57	432.53	358.54	638.15	450.94	183.82	267.73	420.68	890.44	293.07	450.94	563.18	299.25	748.61	287.01	271.48	314.17	137.14	251.48	112.77	81.71	260.38	260.38	128.79	147.06	89.51	164.42	111.99	191.67	172.65	107.38	167.9	136.19	157.68	122.64	105.15	236.21	142.01	199.85	94.67	285.03	214.27	43.02	137.14	323.03	161.02	135.24	239.52	447.82	381.68	343.89	220.32
ZFYVE16	212.78	244.57	212.78	181.28	232.94	242.88	226.54	575.03	381.68	463.65	329.84	403.5	460.44	500.46	764.36	460.44	409.15	1111.82	417.77	343.89	693.58	325.29	599.49	301.33	543.96	483.38	642.59	229.72	454.09	381.68	647.07	336.79	693.58	571.05	253.23	279.14	409.15	921.88	463.65	551.56	447.82	473.41	665.29	273.37	647.07	447.82	387.02	204.07	157.68	99.43	267.73	242.88	128.79	229.72	208.38	173.85	172.65	297.17	198.47	244.57	187.71	236.21	211.31	181.28	143.01	343.89	248.0	343.89	215.77	395.18	199.85	154.42	133.36	379.04	229.72	198.47	264.03	414.87	460.44	457.25	356.05
ZMYM4	177.53	312.0	329.84	262.2	426.57	371.22	327.56	854.13	551.56	753.83	511.0	733.19	603.67	753.83	1111.82	591.22	395.18	1583.71	473.41	743.43	764.36	595.34	1467.37	660.68	551.56	775.05	753.83	223.41	412.0	423.61	738.29	713.11	583.07	698.41	441.64	463.65	559.28	743.43	616.37	791.35	813.63	503.95	1001.93	540.19	486.75	476.71	249.73	480.04	297.17	214.27	460.44	356.05	341.51	244.57	208.38	389.72	248.0	381.68	420.68	303.44	299.25	376.41	343.89	316.37	251.48	293.07	242.88	432.53	339.14	500.46	397.93	265.87	314.17	450.94	414.87	275.28	567.1	521.76	486.75	447.82	447.82
ZNF24	204.07	291.04	361.04	197.09	381.68	264.03	246.28	1540.37	454.09	1923.14	518.15	934.76	928.3	1208.34	1936.53	595.34	579.04	825.0	896.64	1561.89	1594.73	748.61	571.05	872.1	1088.92	1088.92	753.83	178.77	532.74	441.64	1277.29	967.76	1313.23	954.43	603.67	500.46	665.29	1044.52	638.15	1233.75	1135.2	660.68	1467.37	490.14	309.83	454.09	353.59	329.84	277.2	181.28	525.39	305.55	392.44	214.27	271.48	381.68	209.84	529.06	323.03	226.54	348.71	237.86	323.03	329.84	237.86	336.79	246.28	387.02	285.03	414.87	260.38	155.5	281.09	409.15	429.54	234.57	412.0	426.57	551.56	420.68	358.54
ZNF41	32.59	58.71	83.45	73.03	107.38	103.69	112.77	186.4	111.21	175.07	120.1	142.01	186.4	180.02	226.54	151.22	105.89	221.86	151.22	146.03	182.55	125.24	169.07	127.89	166.73	161.02	195.72	58.71	139.07	111.99	220.32	155.5	162.14	130.6	96.01	121.79	147.06	258.57	143.01	167.9	171.45	143.01	208.38	169.07	144.01	126.12	79.45	77.79	58.71	21.63	104.42	87.03	105.15	57.49	44.89	73.03	55.1	66.18	89.51	66.18	86.43	68.55	67.59	49.21	76.71	81.14	66.18	88.26	60.82	135.24	81.14	26.47	54.33	114.36	85.22	67.59	97.36	116.78	186.4	127.89	92.7
ZNF449	58.3	38.67	64.34	48.52	54.33	63.45	40.07	142.01	90.77	125.24	118.43	111.21	108.14	130.6	133.36	73.03	112.77	153.34	129.69	87.65	137.14	89.51	125.24	108.9	109.66	105.15	131.51	52.08	99.43	80.57	143.01	105.15	92.7	159.9	88.88	125.24	97.36	171.45	107.38	121.79	108.14	105.15	206.94	162.14	80.57	211.31	85.22	41.52	41.52	26.67	67.59	49.21	53.95	44.57	37.32	75.11	94.67	28.86	61.25	27.25	37.85	35.76	61.68	108.9	32.59	44.89	78.89	106.63	73.54	190.34	40.64	28.24	44.89	90.77	76.71	40.64	55.1	150.17	115.97	102.25	67.12
ZNF484	25.17	32.82	37.59	52.82	52.45	48.52	74.06	89.51	76.17	93.35	68.55	70.51	157.68	103.69	429.54	60.39	51.71	275.28	89.51	57.08	153.34	57.89	81.71	102.97	100.83	65.26	87.65	22.1	55.49	62.12	86.43	102.97	101.54	79.45	61.68	55.89	67.12	301.33	64.8	125.24	92.7	86.43	102.97	57.08	61.68	75.11	48.52	42.41	38.4	20.56	80.57	56.28	71.5	37.59	31.45	98.73	28.24	43.32	68.55	36.53	53.57	56.28	58.3	49.21	35.76	41.52	43.94	49.56	76.17	115.16	30.78	26.86	34.26	68.07	52.82	38.95	57.08	90.77	124.37	96.68	41.81
ZNF510	57.89	58.71	85.82	75.11	94.01	113.56	82.87	148.09	136.19	215.77	149.12	146.03	258.57	255.0	363.56	138.1	100.13	236.21	170.25	158.79	267.73	130.6	194.36	161.02	193.01	159.9	208.38	59.55	99.43	101.54	285.03	199.85	242.88	165.57	111.21	146.03	165.57	371.22	201.25	221.86	223.41	147.06	264.03	124.37	124.37	170.25	90.77	59.97	78.89	38.67	109.66	94.01	88.26	49.91	48.87	152.28	57.49	87.03	59.13	66.65	85.22	44.25	65.26	102.25	52.82	71.0	69.52	74.06	82.29	120.94	80.57	35.25	59.97	113.56	85.82	62.56	89.51	138.1	197.09	121.79	137.14
ZNF619	13.22	36.01	35.0	32.36	47.5	40.07	27.84	94.67	58.71	76.71	44.89	69.52	154.42	144.01	260.38	84.04	63.89	80.57	120.1	62.12	175.07	117.6	49.56	92.05	99.43	85.82	132.44	24.46	36.01	46.84	131.51	138.1	121.79	104.42	44.57	48.52	81.71	269.6	49.21	116.78	154.42	67.12	143.01	53.57	44.89	54.33	44.57	30.78	24.11	17.51	47.84	29.06	35.76	23.76	20.11	23.93	14.24	22.59	27.84	17.38	42.41	25.17	35.5	23.25	22.75	34.51	34.75	55.89	24.99	49.91	24.63	32.13	14.45	57.89	37.05	27.44	57.49	100.13	114.36	52.82	34.26
ZNF678	18.56	49.56	40.36	43.94	44.57	49.56	33.54	336.79	78.89	147.06	64.34	110.43	139.07	208.38	698.41	239.52	61.25	273.37	108.9	189.02	153.34	102.97	146.03	120.1	153.34	249.73	159.9	37.59	68.55	49.91	224.97	159.9	295.11	211.31	70.51	87.65	131.51	450.94	115.97	224.97	285.03	108.9	171.45	89.51	53.95	54.33	30.78	44.25	21.01	21.63	70.01	40.93	37.59	19.68	27.05	33.3	25.72	52.45	54.33	36.01	37.85	31.45	17.25	70.51	18.43	45.85	64.34	70.51	64.8	88.88	57.89	25.35	33.54	63.45	34.75	55.49	78.34	73.03	102.25	59.13	81.71
ZNF782	21.32	19.68	22.26	20.71	23.25	29.06	33.3	77.79	61.68	65.26	47.17	41.22	81.14	74.58	145.02	55.89	54.33	78.34	55.89	34.26	150.17	44.25	49.21	58.71	70.01	45.21	56.28	22.75	38.4	25.72	70.51	64.34	82.29	70.51	46.5	44.89	56.68	137.14	50.27	78.89	72.01	50.27	92.7	40.93	76.17	70.51	39.79	9.85	17.77	3.72	29.7	18.16	20.86	21.63	13.62	16.39	6.31	25.54	20.26	21.01	29.91	18.7	18.7	27.84	14.03	22.75	30.78	23.42	25.17	41.81	15.56	3.32	12.45	31.22	18.29	15.91	22.59	54.72	65.72	56.28	28.86
ZNF791	67.12	123.5	117.6	97.36	145.02	145.02	157.68	237.86	242.88	450.94	289.02	314.17	363.56	457.25	483.38	239.52	190.34	301.33	320.8	249.73	348.71	236.21	242.88	187.71	327.56	339.14	353.59	126.12	191.67	161.02	281.09	291.04	323.03	251.48	190.34	236.21	312.0	521.76	214.27	363.56	318.57	214.27	379.04	229.72	212.78	212.78	145.02	151.22	185.11	92.05	186.4	144.01	108.14	165.57	122.64	236.21	95.34	176.29	157.68	119.26	139.07	131.51	166.73	124.37	139.07	140.04	127.89	135.24	155.5	198.47	158.79	88.26	134.3	231.32	144.01	142.01	129.69	251.48	351.14	258.57	100.83
ZXDA	19.68	15.22	25.91	28.65	27.64	31.22	28.45	80.57	48.52	92.7	34.51	76.17	86.43	108.14	163.28	50.63	61.25	67.59	63.89	65.72	97.36	71.0	43.32	53.95	98.73	75.11	66.18	24.46	51.71	35.5	80.57	63.0	69.52	100.13	32.82	40.36	65.26	126.12	55.49	68.07	74.06	54.33	109.66	59.55	59.13	42.71	20.86	41.52	26.47	12.83	35.5	25.91	30.34	17.9	16.39	54.33	29.27	16.39	31.22	24.11	30.56	22.92	27.44	20.41	23.93	30.12	28.86	32.36	19.97	66.18	30.34	21.63	20.41	32.82	31.45	19.53	36.53	61.68	64.34	52.45	36.27
ZXDB	67.59	44.57	63.45	69.52	74.06	66.18	61.25	295.11	121.79	182.55	84.63	236.21	291.04	361.04	312.0	99.43	112.77	123.5	171.45	137.14	351.14	154.42	111.99	205.5	212.78	262.2	144.01	82.29	115.16	71.5	198.47	164.42	432.53	320.8	87.65	93.35	150.17	182.55	111.99	161.02	239.52	96.68	215.77	100.83	143.01	104.42	74.06	81.71	42.71	50.98	69.03	54.33	58.71	40.93	54.72	82.87	70.01	47.84	99.43	47.84	57.49	59.97	68.07	50.63	53.19	66.65	96.01	76.17	47.84	155.5	76.17	55.1	49.91	82.87	73.03	55.89	81.71	186.4	204.07	194.36	76.17
