	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.BH.A1FN.01A.11R.A13Q.07	TCGA.E2.A159.01A.11R.A115.07	TCGA.AR.A1AR.01A.31R.A137.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.CV.7407.01A.11R.2081.07	TCGA.55.1592.01A.01R.0946.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.86.7711.01A.11R.2066.07	TCGA.60.2704.01A.11R.2045.07	TCGA.66.2742.01A.01R.0980.07	TCGA.85.8666.01A.11R.2403.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.A62T.01A.11R.A405.07	TCGA.34.2608.01A.02R.0851.07	TCGA.66.2773.01A.01R.1201.07	TCGA.63.A5MH.01A.12R.A27Q.07	TCGA.85.7844.01A.11R.2125.07	TCGA.21.1071.01A.01R.0692.07	TCGA.BR.8289.01A.11R.2343.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.R55C.0626.SM.2TF4Q	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
PARP1	2758.13	2701.35	3742.05	3443.31	1331.57	1572.76	2758.13	1936.53	2367.9	1605.83	1745.2	1529.73	1870.53	1498.22	2075.59	1175.27	1088.92	1721.16	2855.44	2417.67	2018.8	2645.74	3443.31	1242.34	954.43	728.11	684.02	866.07	878.17	1096.5	808.0	575.03	633.73	698.41	571.05	563.18	748.61	1044.52	525.39	947.83	915.51	854.13	511.0	896.64	688.78	915.51	723.08	1159.07	775.05	890.44	612.11	693.58	878.17	808.0	651.58	890.44	616.37	583.07	921.88	764.36	669.92	684.02	1044.52	1081.39	1159.07	836.53	647.07	493.56	764.36	830.75	947.83	759.08	872.1	674.59	688.78	674.59	669.92	743.43	620.67	785.88	825.0	759.08	928.3	733.19	748.61	620.67	738.29	733.19	713.11	698.41	651.58	967.76	896.64	567.1	583.07	476.71	665.29	669.92	703.28	1044.52	836.53	1001.93	599.49	748.61	579.04	1030.12	738.29	733.19	708.18	902.89	941.27	764.36	878.17	738.29	1467.37	981.29	1191.69	1001.93
PATL1	583.07	748.61	791.35	1151.06	536.45	866.07	551.56	688.78	764.36	848.22	603.67	748.61	802.41	915.51	559.28	688.78	460.44	674.59	429.54	642.59	954.43	483.38	775.05	438.59	432.53	466.88	358.54	409.15	429.54	318.57	450.94	414.87	429.54	466.88	281.09	373.81	384.34	429.54	295.11	497.0	343.89	414.87	285.03	368.65	381.68	414.87	256.78	444.72	406.31	406.31	301.33	301.33	423.61	476.71	366.09	368.65	232.94	444.72	356.05	318.57	356.05	435.55	583.07	406.31	269.6	291.04	366.09	406.31	409.15	353.59	412.0	423.61	348.71	287.01	457.25	387.02	291.04	441.64	381.68	420.68	460.44	363.56	438.59	334.46	256.78	429.54	476.71	384.34	480.04	412.0	423.61	279.14	511.0	395.18	414.87	293.07	441.64	366.09	414.87	447.82	432.53	406.31	414.87	417.77	332.14	336.79	438.59	480.04	325.29	387.02	438.59	429.54	348.71	457.25	500.46	379.04	500.46	353.59
PAXIP1	201.25	206.94	343.89	400.71	149.12	244.57	153.34	285.03	248.0	214.27	142.01	325.29	246.28	242.88	279.14	220.32	136.19	133.36	155.5	181.28	201.25	221.86	229.72	137.14	153.34	120.1	115.97	120.1	112.77	108.9	128.79	112.77	120.1	167.9	79.45	57.08	180.02	112.77	58.71	117.6	108.14	127.0	99.43	95.34	119.26	124.37	100.83	110.43	96.68	99.43	127.89	124.37	111.99	109.66	105.89	100.13	82.87	137.14	94.67	93.35	107.38	104.42	150.17	111.99	75.11	102.97	96.01	76.71	97.36	98.73	152.28	115.97	106.63	87.65	144.01	100.83	106.63	125.24	103.69	117.6	107.38	120.94	101.54	122.64	93.35	126.12	158.79	117.6	110.43	120.1	133.36	158.79	159.9	98.04	105.89	81.14	103.69	87.03	88.26	85.82	131.51	90.14	129.69	127.0	92.7	122.64	100.83	109.66	104.42	85.82	113.56	146.03	88.88	118.43	150.17	189.02	147.06	177.53
PIGW	205.5	134.3	145.02	283.05	258.57	151.22	102.25	226.54	320.8	202.66	244.57	287.01	397.93	295.11	376.41	260.38	209.84	244.57	316.37	218.79	447.82	176.29	108.9	102.25	141.02	90.77	113.56	209.84	103.69	173.85	128.79	101.54	98.04	131.51	149.12	40.07	175.07	126.12	41.52	89.51	100.83	126.12	69.52	86.43	64.34	114.36	73.03	88.26	77.79	93.35	75.64	101.54	81.71	105.15	57.08	78.89	61.25	85.82	84.04	76.71	57.08	111.21	85.82	98.04	94.67	80.01	79.45	81.71	91.41	110.43	93.35	89.51	107.38	76.71	90.14	72.52	66.65	72.01	94.01	106.63	144.01	93.35	162.14	167.9	105.89	99.43	67.59	70.01	97.36	111.99	115.16	275.28	94.67	90.77	99.43	57.08	90.77	76.71	82.29	87.65	73.03	78.34	125.24	81.71	70.51	244.57	75.64	159.9	82.29	69.52	110.43	87.03	64.34	125.24	166.73	193.01	138.1	162.14
POGK	1233.75	1104.13	1073.91	1709.26	412.0	529.06	674.59	679.29	674.59	579.04	974.5	624.99	1540.37	684.02	896.64	503.95	486.75	728.11	775.05	954.43	830.75	728.11	769.69	392.44	287.01	384.34	325.29	260.38	366.09	361.04	384.34	329.84	316.37	395.18	299.25	256.78	204.07	303.44	239.52	395.18	226.54	435.55	291.04	267.73	327.56	470.14	236.21	493.56	368.65	389.72	255.0	275.28	444.72	389.72	291.04	269.6	218.79	329.84	246.28	273.37	323.03	414.87	429.54	318.57	228.13	267.73	255.0	283.05	307.69	426.57	403.5	400.71	343.89	249.73	371.22	301.33	212.78	384.34	339.14	420.68	351.14	307.69	353.59	236.21	260.38	356.05	305.55	295.11	361.04	414.87	353.59	244.57	473.41	318.57	356.05	293.07	289.02	329.84	314.17	423.61	373.81	320.8	343.89	412.0	264.03	336.79	389.72	470.14	253.23	242.88	406.31	358.54	457.25	301.33	426.57	438.59	441.64	325.29
POLR2D	551.56	902.89	503.95	872.1	432.53	314.17	457.25	466.88	791.35	651.58	567.1	543.96	507.46	723.08	521.76	543.96	441.64	607.87	518.15	713.11	743.43	438.59	275.28	205.5	158.79	181.28	255.0	231.32	232.94	209.84	229.72	175.07	181.28	228.13	165.57	135.24	111.21	180.02	147.06	241.19	127.0	236.21	155.5	140.04	241.19	260.38	173.85	265.87	215.77	241.19	146.03	127.0	199.85	246.28	143.01	173.85	128.79	205.5	189.02	172.65	201.25	232.94	260.38	180.02	128.79	144.01	163.28	145.02	185.11	215.77	215.77	177.53	165.57	178.77	182.55	180.02	167.9	224.97	242.88	223.41	206.94	202.66	201.25	106.63	139.07	237.86	165.57	176.29	204.07	267.73	223.41	144.01	255.0	182.55	246.28	124.37	167.9	176.29	173.85	162.14	186.4	209.84	221.86	191.67	157.68	241.19	204.07	277.2	127.89	152.28	295.11	187.71	194.36	209.84	336.79	211.31	289.02	242.88
PPAT	312.0	616.37	142.01	703.28	182.55	186.4	208.38	307.69	256.78	153.34	480.04	287.01	236.21	180.02	316.37	267.73	162.14	224.97	303.44	194.36	198.47	199.85	395.18	97.36	114.36	82.87	68.55	102.97	97.36	118.43	113.56	84.04	95.34	132.44	64.8	42.11	162.14	111.21	38.12	84.63	120.94	87.03	61.25	88.88	70.51	126.12	45.53	75.11	76.71	107.38	55.1	62.12	84.63	88.26	59.97	94.67	44.25	108.9	81.14	75.11	55.89	88.88	96.68	87.65	88.26	63.89	70.51	55.49	61.68	90.14	91.41	108.9	75.64	67.59	96.01	100.83	62.12	92.05	80.01	90.14	124.37	59.55	108.9	117.6	54.33	119.26	87.65	62.12	108.14	108.9	97.36	153.34	85.22	83.45	63.89	77.79	76.17	92.05	87.65	94.67	84.04	54.72	102.97	91.41	62.56	89.51	98.04	109.66	58.71	65.72	85.22	108.9	101.54	100.13	146.03	87.03	105.15	92.7
PRKAB2	381.68	376.41	194.36	287.01	204.07	438.59	343.89	269.6	226.54	332.14	198.47	343.89	346.29	195.72	373.81	376.41	341.51	518.15	353.59	234.57	412.0	341.51	447.82	111.99	140.04	69.52	118.43	134.3	114.36	104.42	85.22	75.11	76.71	82.29	76.17	41.22	84.63	88.26	102.97	71.0	85.22	79.45	60.39	90.14	66.65	105.89	82.87	108.9	82.29	81.71	69.03	90.77	105.89	98.04	93.35	124.37	75.11	140.04	94.67	68.07	84.63	90.14	89.51	89.51	73.54	89.51	58.3	56.28	66.18	86.43	95.34	96.01	92.05	65.26	105.15	82.87	46.84	95.34	94.01	90.77	88.88	90.14	98.04	63.89	84.04	95.34	76.17	82.87	79.45	89.51	99.43	84.63	92.05	75.64	116.78	73.54	54.33	88.88	106.63	129.69	81.71	62.56	90.77	99.43	88.88	153.34	99.43	84.63	62.56	52.45	108.9	116.78	122.64	55.49	170.25	201.25	142.01	113.56
PSMD10	1151.06	1407.55	1794.29	1508.65	1030.12	878.17	1286.18	1059.11	1540.37	1551.09	1111.82	1037.29	2047.0	1437.15	1242.34	1304.15	1437.15	1977.24	961.07	1286.18	1757.34	878.17	1059.11	921.88	1447.15	813.63	866.07	728.11	785.88	1127.35	854.13	988.12	954.43	698.41	723.08	551.56	1073.91	743.43	775.05	928.3	1008.9	813.63	679.29	802.41	928.3	1023.0	713.11	693.58	830.75	947.83	738.29	813.63	825.0	1015.93	954.43	884.29	684.02	967.76	808.0	872.1	796.86	884.29	703.28	769.69	825.0	808.0	769.69	775.05	703.28	688.78	738.29	764.36	890.44	954.43	665.29	854.13	896.64	890.44	825.0	947.83	819.3	878.17	780.44	1066.48	915.51	1001.93	743.43	738.29	713.11	909.17	909.17	1175.27	769.69	860.08	743.43	674.59	842.36	808.0	928.3	981.29	842.36	633.73	896.64	651.58	759.08	733.19	808.0	866.07	909.17	890.44	813.63	718.08	878.17	928.3	796.86	890.44	974.5	909.17
PTPLB	579.04	1044.52	693.58	1508.65	518.15	571.05	1104.13	733.19	571.05	884.29	1242.34	612.11	780.44	536.45	713.11	708.18	1015.93	1008.9	1529.73	1059.11	981.29	363.56	438.59	211.31	607.87	289.02	220.32	514.56	336.79	241.19	323.03	249.73	285.03	336.79	229.72	176.29	228.13	226.54	199.85	253.23	218.79	343.89	228.13	165.57	224.97	373.81	173.85	260.38	271.48	262.2	170.25	187.71	265.87	258.57	255.0	260.38	161.02	223.41	224.97	205.5	208.38	348.71	293.07	251.48	197.09	162.14	181.28	197.09	223.41	283.05	293.07	236.21	299.25	186.4	237.86	220.32	159.9	285.03	327.56	341.51	332.14	212.78	376.41	253.23	195.72	348.71	256.78	232.94	289.02	341.51	281.09	273.37	343.89	255.0	271.48	223.41	265.87	336.79	327.56	273.37	218.79	201.25	287.01	249.73	132.44	291.04	301.33	368.65	162.14	195.72	307.69	265.87	215.77	251.48	536.45	343.89	381.68	271.48
RAB3GAP2	579.04	1250.98	379.04	309.83	283.05	432.53	277.2	381.68	423.61	379.04	363.56	397.93	334.46	285.03	426.57	237.86	267.73	312.0	353.59	303.44	376.41	412.0	332.14	251.48	293.07	212.78	185.11	186.4	223.41	253.23	256.78	234.57	208.38	204.07	176.29	124.37	273.37	182.55	167.9	246.28	251.48	248.0	150.17	189.02	187.71	351.14	134.3	279.14	218.79	232.94	127.0	173.85	209.84	239.52	195.72	285.03	116.78	226.54	185.11	163.28	181.28	249.73	277.2	234.57	172.65	176.29	175.07	164.42	190.34	249.73	251.48	223.41	232.94	169.07	244.57	190.34	136.19	262.2	237.86	242.88	239.52	189.02	287.01	231.32	197.09	249.73	161.02	187.71	229.72	248.0	258.57	312.0	327.56	206.94	223.41	164.42	199.85	239.52	224.97	329.84	198.47	158.79	262.2	287.01	156.59	223.41	249.73	287.01	169.07	177.53	281.09	234.57	258.57	197.09	316.37	356.05	234.57	209.84
RBBP5	454.09	769.69	432.53	476.71	197.09	217.27	305.55	251.48	281.09	307.69	269.6	258.57	231.32	316.37	353.59	206.94	182.55	248.0	251.48	249.73	287.01	395.18	258.57	183.82	234.57	172.65	176.29	156.59	177.53	267.73	181.28	162.14	133.36	175.07	118.43	108.14	187.71	146.03	102.25	198.47	148.09	205.5	119.26	149.12	206.94	234.57	127.0	239.52	162.14	198.47	103.69	145.02	194.36	164.42	150.17	167.9	109.66	185.11	153.34	117.6	152.28	166.73	218.79	189.02	164.42	167.9	127.89	109.66	158.79	191.67	198.47	169.07	171.45	171.45	155.5	163.28	136.19	161.02	167.9	202.66	172.65	173.85	195.72	130.6	171.45	186.4	131.51	135.24	176.29	187.71	169.07	190.34	256.78	162.14	177.53	105.89	117.6	175.07	142.01	209.84	162.14	119.26	177.53	191.67	114.36	195.72	161.02	234.57	167.9	162.14	236.21	159.9	229.72	144.01	189.02	234.57	277.2	187.71
RBM12	1001.93	1001.93	612.11	878.17	688.78	728.11	669.92	616.37	802.41	780.44	679.29	1183.45	909.17	708.18	988.12	808.0	638.15	651.58	733.19	854.13	813.63	836.53	1175.27	397.93	267.73	320.8	334.46	291.04	463.65	507.46	435.55	363.56	281.09	277.2	229.72	190.34	232.94	303.44	151.22	438.59	312.0	563.18	177.53	232.94	267.73	571.05	283.05	559.28	414.87	258.57	195.72	260.38	429.54	460.44	204.07	269.6	189.02	403.5	269.6	236.21	368.65	473.41	753.83	285.03	220.32	223.41	205.5	193.01	297.17	476.71	441.64	320.8	406.31	264.03	358.54	287.01	255.0	320.8	363.56	409.15	353.59	381.68	460.44	249.73	293.07	353.59	301.33	255.0	361.04	486.75	414.87	303.44	616.37	271.48	387.02	197.09	226.54	343.89	327.56	387.02	318.57	361.04	392.44	441.64	186.4	493.56	423.61	688.78	329.84	242.88	497.0	420.68	295.11	373.81	607.87	854.13	872.1	612.11
RIF1	320.8	470.14	176.29	575.03	226.54	295.11	176.29	234.57	251.48	269.6	248.0	397.93	201.25	267.73	267.73	221.86	130.6	217.27	156.59	327.56	312.0	217.27	199.85	104.42	84.63	96.68	118.43	79.45	109.66	190.34	127.0	92.7	90.77	94.67	67.12	37.32	127.0	116.78	62.12	120.1	123.5	133.36	76.71	75.64	84.63	156.59	66.65	152.28	102.97	137.14	72.52	81.71	102.97	115.16	87.65	147.06	67.12	138.1	73.54	74.06	84.04	127.89	182.55	97.36	57.49	68.07	82.29	62.56	102.25	117.6	138.1	96.01	109.66	80.57	111.21	92.05	79.45	122.64	105.15	136.19	111.21	87.65	193.01	58.71	85.82	95.34	67.59	88.88	105.15	147.06	124.37	111.99	176.29	92.7	107.38	73.03	75.64	104.42	108.9	100.13	92.7	76.71	111.99	136.19	74.06	105.15	137.14	163.28	104.42	71.0	159.9	141.02	98.04	88.26	194.36	241.19	208.38	118.43
RNF2	872.1	603.67	563.18	967.76	473.41	409.15	679.29	511.0	432.53	438.59	563.18	441.64	1008.9	543.96	872.1	463.65	532.74	429.54	543.96	486.75	624.99	503.95	669.92	221.86	253.23	255.0	198.47	221.86	228.13	262.2	244.57	217.27	220.32	215.77	159.9	144.01	217.27	154.42	151.22	271.48	139.07	253.23	143.01	161.02	256.78	283.05	119.26	244.57	217.27	271.48	130.6	175.07	271.48	215.77	194.36	241.19	109.66	244.57	172.65	149.12	217.27	226.54	305.55	150.17	142.01	186.4	181.28	186.4	178.77	239.52	226.54	214.27	248.0	202.66	180.02	202.66	132.44	231.32	217.27	279.14	177.53	178.77	279.14	204.07	167.9	299.25	170.25	183.82	260.38	241.19	269.6	212.78	329.84	218.79	208.38	161.02	218.79	215.77	249.73	271.48	194.36	158.79	211.31	218.79	150.17	221.86	303.44	273.37	163.28	214.27	269.6	218.79	237.86	193.01	358.54	287.01	295.11	239.52
ROCK2	312.0	316.37	343.89	547.75	379.04	651.58	265.87	248.0	297.17	429.54	466.88	493.56	198.47	316.37	417.77	204.07	205.5	264.03	260.38	353.59	429.54	379.04	255.0	202.66	198.47	139.07	135.24	157.68	191.67	187.71	166.73	154.42	134.3	120.94	114.36	76.17	128.79	104.42	82.29	208.38	132.44	186.4	95.34	136.19	127.0	256.78	118.43	217.27	161.02	150.17	114.36	171.45	171.45	199.85	122.64	202.66	93.35	133.36	154.42	102.97	112.77	191.67	234.57	152.28	96.68	144.01	100.83	104.42	138.1	176.29	201.25	138.1	185.11	115.16	133.36	115.97	110.43	140.04	195.72	175.07	134.3	108.14	239.52	145.02	141.02	142.01	99.43	103.69	153.34	193.01	153.34	169.07	249.73	135.24	175.07	106.63	120.94	133.36	178.77	136.19	115.97	130.6	142.01	167.9	129.69	182.55	166.73	237.86	136.19	132.44	228.13	162.14	145.02	97.36	295.11	314.17	193.01	320.8
RPS6KC1	397.93	493.56	361.04	423.61	241.19	244.57	262.2	217.27	295.11	253.23	152.28	312.0	189.02	208.38	417.77	164.42	211.31	226.54	346.29	271.48	379.04	348.71	241.19	88.26	123.5	97.36	87.03	108.9	114.36	108.14	113.56	105.15	78.89	81.71	93.35	59.97	87.65	79.45	47.5	104.42	92.05	123.5	58.3	74.06	74.58	127.89	94.01	148.09	118.43	102.97	77.25	84.63	110.43	108.9	73.54	111.99	63.0	100.83	107.38	77.79	94.67	105.15	127.89	82.87	66.65	86.43	95.34	81.14	107.38	100.83	105.15	96.01	97.36	77.25	86.43	82.87	84.63	84.63	90.14	98.73	97.36	94.01	138.1	87.03	83.45	102.25	70.51	83.45	104.42	105.15	93.35	112.77	122.64	91.41	96.01	72.01	69.52	88.88	102.25	128.79	94.01	93.35	89.51	93.35	73.54	116.78	90.14	134.3	73.54	68.55	124.37	96.68	112.77	68.07	189.02	195.72	127.0	127.89
SCAF11	1259.69	819.3	1015.93	1030.12	1208.34	1417.35	1111.82	656.11	896.64	1233.75	967.76	1498.22	921.88	836.53	1143.1	1378.57	872.1	928.3	1081.39	1135.2	921.88	884.29	1051.79	679.29	791.35	607.87	529.06	463.65	718.08	718.08	759.08	603.67	579.04	476.71	381.68	511.0	688.78	507.46	376.41	775.05	575.03	748.61	381.68	429.54	444.72	866.07	397.93	728.11	616.37	555.41	348.71	493.56	559.28	748.61	435.55	679.29	400.71	775.05	454.09	429.54	555.41	612.11	921.88	536.45	343.89	525.39	490.14	460.44	579.04	723.08	665.29	587.13	607.87	444.72	679.29	507.46	444.72	723.08	583.07	665.29	629.35	536.45	693.58	612.11	603.67	616.37	543.96	603.67	555.41	808.0	629.35	660.68	947.83	518.15	607.87	426.57	435.55	532.74	669.92	656.11	555.41	633.73	684.02	642.59	497.0	543.96	713.11	896.64	514.56	543.96	791.35	603.67	607.87	587.13	974.5	1159.07	934.76	753.83
SEC22A	339.14	961.07	579.04	713.11	529.06	297.17	376.41	480.04	693.58	595.34	507.46	412.0	878.17	323.03	633.73	579.04	642.59	723.08	647.07	1044.52	785.88	275.28	312.0	249.73	224.97	246.28	339.14	303.44	285.03	361.04	295.11	301.33	287.01	249.73	246.28	163.28	193.01	271.48	244.57	277.2	283.05	291.04	244.57	185.11	260.38	363.56	341.51	264.03	258.57	361.04	256.78	221.86	376.41	287.01	295.11	193.01	264.03	297.17	275.28	289.02	291.04	293.07	318.57	239.52	212.78	212.78	215.77	191.67	226.54	303.44	373.81	246.28	325.29	303.44	307.69	297.17	258.57	279.14	358.54	356.05	291.04	332.14	307.69	277.2	262.2	323.03	267.73	234.57	248.0	307.69	341.51	231.32	389.72	232.94	295.11	195.72	253.23	262.2	239.52	208.38	299.25	209.84	297.17	327.56	232.94	371.22	214.27	336.79	248.0	208.38	397.93	301.33	275.28	262.2	371.22	486.75	454.09	358.54
SENP1	253.23	312.0	186.4	295.11	198.47	260.38	175.07	175.07	159.9	237.86	190.34	301.33	206.94	182.55	244.57	249.73	185.11	193.01	361.04	289.02	239.52	212.78	251.48	119.26	123.5	94.01	112.77	86.43	127.89	141.02	134.3	106.63	98.04	127.0	86.43	69.03	122.64	96.68	59.97	119.26	82.87	134.3	80.01	102.25	98.04	116.78	85.82	123.5	107.38	123.5	76.71	98.73	137.14	114.36	98.04	98.04	59.97	120.94	88.26	90.14	89.51	121.79	157.68	106.63	67.59	91.41	76.71	75.64	105.89	112.77	145.02	107.38	124.37	101.54	112.77	108.14	87.03	136.19	104.42	126.12	110.43	117.6	133.36	100.13	100.83	104.42	81.71	102.97	115.97	138.1	120.94	140.04	148.09	90.14	112.77	81.71	94.01	117.6	98.73	126.12	118.43	95.34	116.78	122.64	88.26	125.24	117.6	142.01	77.79	91.41	129.69	118.43	100.13	105.89	218.79	258.57	142.01	121.79
SERTAD4	363.56	438.59	412.0	376.41	80.01	140.04	521.76	470.14	262.2	170.25	4.17	246.28	102.25	101.54	318.57	45.85	138.1	120.1	318.57	164.42	90.14	66.18	166.73	19.39	59.97	31.67	16.63	31.67	72.52	15.45	46.18	57.49	30.78	15.22	37.32	24.63	133.36	13.72	4.98	39.79	15.11	49.56	22.75	29.27	26.1	72.01	15.0	63.89	35.76	9.7	21.32	13.32	52.45	45.53	9.41	22.59	21.94	41.81	15.11	31.67	55.1	48.18	31.9	21.78	7.51	18.03	8.71	30.56	34.51	50.98	47.84	41.52	33.06	14.24	55.1	23.76	26.86	37.32	40.93	51.35	11.38	14.89	28.04	29.27	13.12	30.56	10.96	40.36	37.85	48.87	57.49	82.29	96.68	38.4	39.5	22.75	17.38	37.05	29.27	17.64	19.82	39.79	39.5	57.49	52.82	9.7	33.3	35.0	22.59	23.76	53.95	55.49	17.13	18.56	85.22	105.89	86.43	51.35
SLC25A40	412.0	332.14	463.65	540.19	305.55	314.17	255.0	314.17	267.73	241.19	323.03	376.41	463.65	336.79	381.68	312.0	273.37	193.01	325.29	341.51	341.51	232.94	738.29	170.25	426.57	161.02	157.68	220.32	228.13	191.67	217.27	180.02	161.02	139.07	120.1	58.71	447.82	138.1	137.14	155.5	275.28	171.45	107.38	133.36	187.71	175.07	105.15	171.45	164.42	224.97	115.16	111.21	162.14	145.02	165.57	258.57	88.88	229.72	139.07	171.45	175.07	150.17	229.72	190.34	113.56	152.28	143.01	79.45	115.16	126.12	206.94	214.27	172.65	114.36	212.78	141.02	100.13	197.09	147.06	193.01	205.5	202.66	163.28	218.79	176.29	217.27	90.14	146.03	212.78	173.85	258.57	246.28	273.37	153.34	151.22	127.89	173.85	211.31	187.71	236.21	173.85	112.77	218.79	161.02	118.43	170.25	242.88	178.77	122.64	129.69	256.78	221.86	151.22	194.36	341.51	356.05	177.53	204.07
SLC25A44	651.58	603.67	656.11	708.18	356.05	406.31	599.49	603.67	842.36	638.15	836.53	450.94	941.27	493.56	651.58	303.44	395.18	473.41	397.93	500.46	616.37	866.07	813.63	379.04	334.46	297.17	348.71	363.56	281.09	395.18	279.14	241.19	218.79	285.03	204.07	191.67	244.57	339.14	176.29	297.17	351.14	295.11	255.0	299.25	287.01	341.51	291.04	409.15	264.03	381.68	283.05	334.46	289.02	281.09	289.02	303.44	215.77	241.19	289.02	239.52	320.8	249.73	400.71	314.17	264.03	258.57	206.94	180.02	277.2	309.83	366.09	265.87	283.05	353.59	269.6	242.88	289.02	251.48	277.2	301.33	277.2	332.14	336.79	279.14	281.09	264.03	205.5	218.79	297.17	273.37	279.14	366.09	403.5	262.2	297.17	193.01	253.23	251.48	195.72	299.25	316.37	273.37	267.73	285.03	231.32	444.72	285.03	387.02	264.03	318.57	303.44	287.01	320.8	253.23	318.57	470.14	392.44	397.93
