	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.ZF29.2026.SM.4WWB7	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.HC.7737.11A.02R.2118.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EL.A3T6.01A.11R.A220.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSG.2126.SM.5EGJ7	GTEX.U3ZN.0726.SM.4DXT5
SLC25A29	688.78	8658.09	813.63	262.2	2701.35	629.35	543.96	536.45	802.41	490.14	493.56	802.41	387.02	255.0	132.44	172.65	186.4	44.25	114.36	158.79	82.87	104.42	218.79	132.44	224.97	126.12	186.4	111.21	105.89	183.82	121.79	178.77	251.48	571.05	351.14	193.01	162.14	138.1	202.66	128.79	103.69	808.0	6381.92	2777.33	7803.01	3928.15	4388.98	7589.61	1832.01	16611.71	2720.15	4038.61	3955.48	5672.41	3768.09	8963.45	6207.38	5219.6	9279.58	6207.38	7966.99	5672.41	3665.02	866.07	4038.61	3190.46	2739.08	5672.41	4239.45	5403.7	8658.09	5995.9	8305.36	12160.22	4607.24	3325.99	5672.41	5711.87	1250.98	2224.63
SPG7	476.71	1697.45	1015.93	775.05	1417.35	1015.93	1119.56	1883.54	1199.98	1119.56	1313.23	1199.98	928.3	1037.29	656.11	575.03	1259.69	473.41	567.1	995.0	743.43	836.53	1250.98	708.18	743.43	748.61	713.11	1183.45	703.28	728.11	808.0	1119.56	842.36	1191.69	708.18	1407.55	785.88	921.88	860.08	698.41	764.36	860.08	1870.53	1427.22	2287.2	1322.37	1870.53	1477.58	995.0	2271.4	2032.85	1745.2	1397.83	1467.37	1508.65	1991.0	1697.45	1457.23	2090.03	1870.53	2271.4	2384.37	1088.92	1407.55	1794.29	1487.87	1225.22	1977.24	1583.71	1769.57	1721.16	2255.7	1697.45	2468.49	1378.57	1487.87	836.53	1369.04	1551.09	915.51
STX16	540.19	981.29	595.34	275.28	921.88	473.41	563.18	629.35	507.46	473.41	201.25	559.28	406.31	397.93	202.66	236.21	293.07	224.97	183.82	316.37	141.02	341.51	379.04	232.94	327.56	256.78	262.2	190.34	182.55	295.11	253.23	295.11	277.2	563.18	507.46	389.72	153.34	253.23	336.79	249.73	297.17	595.34	1259.69	1104.13	974.5	947.83	902.89	780.44	599.49	1733.13	842.36	1304.15	860.08	728.11	802.41	1350.18	1104.13	1111.82	1322.37	1088.92	1051.79	1427.22	802.41	775.05	733.19	764.36	738.29	1467.37	842.36	1175.27	1127.35	988.12	1066.48	713.11	718.08	941.27	1540.37	723.08	579.04	633.73
SUGP2	559.28	1191.69	346.29	312.0	656.11	698.41	409.15	764.36	612.11	629.35	638.15	571.05	334.46	271.48	206.94	172.65	314.17	162.14	171.45	307.69	170.25	249.73	229.72	171.45	209.84	262.2	253.23	353.59	183.82	244.57	211.31	384.34	253.23	293.07	293.07	329.84	182.55	295.11	403.5	260.38	183.82	547.75	1268.46	1059.11	1457.23	909.17	1447.15	1313.23	703.28	1697.45	819.3	1322.37	896.64	1111.82	1175.27	1277.29	1519.15	1104.13	1583.71	1662.49	1551.09	1508.65	954.43	791.35	1183.45	954.43	866.07	1331.57	974.5	1051.79	1225.22	1359.57	1286.18	1685.71	928.3	1378.57	981.29	981.29	1030.12	490.14
TARBP1	334.46	660.68	264.03	159.9	490.14	320.8	171.45	373.81	236.21	242.88	189.02	248.0	175.07	132.44	80.01	99.43	283.05	157.68	81.71	211.31	113.56	77.25	316.37	130.6	98.73	236.21	116.78	241.19	144.01	96.01	93.35	237.86	202.66	234.57	86.43	199.85	58.71	177.53	95.34	180.02	78.89	220.32	612.11	379.04	547.75	480.04	466.88	409.15	244.57	915.51	412.0	981.29	547.75	551.56	432.53	616.37	371.22	466.88	878.17	679.29	941.27	902.89	334.46	426.57	406.31	381.68	267.73	738.29	353.59	540.19	470.14	723.08	403.5	551.56	414.87	521.76	279.14	379.04	312.0	281.09
TBRG1	417.77	674.59	651.58	353.59	476.71	642.59	438.59	500.46	909.17	674.59	414.87	480.04	346.29	348.71	303.44	406.31	229.72	329.84	332.14	371.22	307.69	325.29	327.56	242.88	255.0	329.84	297.17	356.05	387.02	303.44	234.57	329.84	309.83	358.54	285.03	480.04	267.73	373.81	371.22	309.83	299.25	426.57	669.92	728.11	688.78	647.07	638.15	595.34	563.18	854.13	620.67	748.61	607.87	587.13	651.58	791.35	708.18	703.28	753.83	547.75	616.37	796.86	713.11	633.73	591.22	638.15	642.59	819.3	669.92	753.83	642.59	656.11	733.19	708.18	638.15	629.35	567.1	493.56	624.99	414.87
TCIRG1	967.76	7230.1	830.75	414.87	1313.23	703.28	988.12	2090.03	1037.29	555.41	1051.79	1277.29	1561.89	967.76	1233.75	775.05	1721.16	202.66	647.07	1037.29	743.43	656.11	579.04	603.67	728.11	476.71	836.53	1331.57	624.99	587.13	780.44	1111.82	642.59	2255.7	1199.98	995.0	529.06	1397.83	1498.22	1015.93	540.19	1378.57	3349.13	2148.82	3212.66	1857.6	3124.78	1936.53	1697.45	3491.39	2303.12	3515.68	2997.45	1896.65	3349.13	3419.52	2609.3	1617.0	3742.05	2032.85	3081.75	3589.58	2104.58	2591.27	2400.97	2555.58	1529.73	2956.17	3257.52	2816.11	3235.01	3928.15	2591.27	1662.49	1088.92	1051.79	2018.8	902.89	1819.35	842.36
TFAP2E	19.25	21.47	8.85	2.56	7.34	2.58	3.03	14.45	2.03	5.63	10.24	4.06	3.26	7.63	0.0	0.0	1.27	0.25	0.0	1.23	0.0	1.57	3.96	1.23	2.71	1.39	1.79	3.03	0.38	0.49	0.27	0.99	0.0	4.06	2.86	3.5	0.62	0.0	3.63	0.0	0.49	6.01	8.0	20.56	18.29	14.67	33.54	8.25	7.11	19.11	19.68	22.75	11.91	7.34	17.9	22.26	22.75	14.78	20.56	16.03	18.43	39.22	9.48	6.16	14.45	14.03	30.12	16.27	15.68	14.14	14.14	18.03	18.56	5.15	8.38	8.0	9.27	1.62	13.22	9.78
TRIM17	118.43	316.37	118.43	1.16	105.15	7.06	96.68	9.13	19.82	2.32	4.54	12.64	5.23	0.0	0.1	1.91	4.7	0.0	0.0	9.34	0.0	3.11	5.92	0.0	4.82	0.0	10.39	0.0	0.0	0.0	1.71	0.74	0.0	0.33	21.16	0.91	0.0	0.96	0.37	0.04	0.0	22.92	106.63	81.71	74.58	36.01	39.5	42.41	37.32	129.69	118.43	77.25	98.04	36.01	33.3	78.89	49.91	23.08	103.69	19.25	97.36	101.54	66.65	64.8	43.94	38.12	22.1	63.45	43.94	96.68	96.68	96.68	113.56	34.26	29.7	49.21	159.9	19.39	92.7	13.52
TRMT2A	291.04	1350.18	457.25	441.64	775.05	769.69	348.71	713.11	607.87	743.43	796.86	567.1	743.43	583.07	507.46	420.68	688.78	323.03	366.09	547.75	353.59	521.76	665.29	616.37	612.11	603.67	651.58	830.75	493.56	551.56	493.56	954.43	728.11	599.49	563.18	780.44	583.07	616.37	575.03	616.37	470.14	669.92	1277.29	1191.69	1540.37	974.5	1350.18	1096.5	769.69	1639.59	1030.12	1225.22	995.0	1143.1	1081.39	1277.29	1529.73	1111.82	1447.15	1467.37	1322.37	1111.82	961.07	1008.9	1001.93	988.12	571.05	1350.18	1199.98	1250.98	1304.15	1340.84	1277.29	909.17	921.88	1001.93	728.11	785.88	878.17	718.08
TRMU	255.0	497.0	301.33	379.04	363.56	363.56	215.77	379.04	271.48	329.84	307.69	264.03	314.17	249.73	218.79	214.27	277.2	237.86	159.9	220.32	173.85	220.32	249.73	177.53	152.28	277.2	137.14	262.2	201.25	215.77	170.25	224.97	234.57	171.45	242.88	323.03	73.03	171.45	267.73	255.0	212.78	387.02	595.34	525.39	698.41	473.41	642.59	525.39	309.83	860.08	463.65	624.99	444.72	532.74	633.73	660.68	536.45	532.74	624.99	753.83	738.29	470.14	406.31	366.09	409.15	532.74	253.23	660.68	540.19	759.08	547.75	624.99	642.59	638.15	483.38	629.35	412.0	353.59	607.87	358.54
TSEN54	536.45	1088.92	476.71	414.87	629.35	595.34	540.19	651.58	432.53	603.67	902.89	571.05	400.71	336.79	323.03	201.25	291.04	133.36	178.77	339.14	197.09	271.48	397.93	181.28	244.57	194.36	316.37	307.69	154.42	320.8	176.29	289.02	178.77	423.61	392.44	368.65	166.73	177.53	423.61	223.41	339.14	591.22	1104.13	612.11	866.07	642.59	884.29	872.1	647.07	1001.93	796.86	896.64	656.11	688.78	796.86	866.07	825.0	769.69	954.43	785.88	915.51	1051.79	575.03	819.3	941.27	753.83	718.08	988.12	813.63	878.17	656.11	738.29	718.08	629.35	406.31	612.11	748.61	476.71	503.95	450.94
TTC14	406.31	559.28	195.72	117.6	387.02	256.78	146.03	543.96	229.72	198.47	86.43	237.86	314.17	251.48	113.56	126.12	153.34	215.77	134.3	262.2	107.38	309.83	287.01	239.52	204.07	180.02	133.36	127.89	82.29	232.94	166.73	191.67	92.05	273.37	264.03	312.0	133.36	151.22	260.38	140.04	191.67	327.56	764.36	559.28	934.76	708.18	559.28	620.67	262.2	1135.2	476.71	1059.11	454.09	579.04	633.73	921.88	825.0	860.08	1096.5	780.44	909.17	1088.92	397.93	363.56	518.15	423.61	447.82	1183.45	679.29	954.43	775.05	638.15	718.08	555.41	457.25	1096.5	514.56	543.96	329.84	665.29
TTLL3	187.71	1674.06	329.84	78.34	642.59	239.52	366.09	825.0	301.33	285.03	186.4	285.03	215.77	154.42	50.27	33.3	94.67	45.85	21.78	104.42	28.65	121.79	135.24	59.55	158.79	75.11	84.04	81.14	44.89	51.35	78.34	96.01	69.52	108.14	237.86	153.34	39.5	87.03	92.7	71.0	55.49	348.71	1427.22	1030.12	1233.75	703.28	791.35	769.69	463.65	1508.65	928.3	1769.57	836.53	679.29	860.08	1757.34	878.17	896.64	1950.0	1044.52	1151.06	1651.0	679.29	454.09	791.35	616.37	555.41	1674.06	954.43	1167.14	1135.2	1044.52	1313.23	775.05	420.68	802.41	432.53	285.03	808.0	612.11
UPF3A	1457.23	1199.98	1015.93	802.41	769.69	718.08	575.03	738.29	780.44	665.29	260.38	497.0	575.03	457.25	336.79	281.09	414.87	312.0	260.38	514.56	371.22	441.64	429.54	343.89	316.37	420.68	463.65	320.8	332.14	423.61	316.37	624.99	400.71	381.68	341.51	559.28	195.72	381.68	373.81	387.02	260.38	1088.92	1508.65	1498.22	1745.2	1572.76	1572.76	1447.15	1417.35	2061.24	1457.23	1936.53	1583.71	1883.54	1685.71	1977.24	1561.89	1662.49	1844.76	1709.26	2224.63	1832.01	1331.57	1340.84	1651.0	1437.15	2555.58	1991.0	1467.37	1733.13	1781.89	1519.15	1487.87	2018.8	1583.71	2209.26	1277.29	1605.83	1183.45	909.17
ZFC3H1	267.73	483.38	214.27	98.04	334.46	236.21	206.94	447.82	205.5	191.67	105.89	323.03	154.42	144.01	46.18	67.59	74.06	108.9	59.97	155.5	82.29	183.82	112.77	108.9	108.14	106.63	91.41	156.59	32.59	95.34	75.64	154.42	48.18	156.59	187.71	153.34	49.91	91.41	181.28	111.21	100.83	209.84	633.73	493.56	603.67	718.08	473.41	563.18	281.09	796.86	567.1	728.11	514.56	547.75	679.29	748.61	518.15	684.02	764.36	669.92	669.92	860.08	493.56	470.14	438.59	457.25	547.75	934.76	551.56	674.59	629.35	607.87	642.59	444.72	309.83	642.59	438.59	289.02	651.58	301.33
ZMYM5	253.23	295.11	144.01	99.43	161.02	139.07	106.63	115.16	120.94	113.56	51.71	139.07	83.45	95.34	58.3	54.72	70.51	115.97	49.91	100.13	100.13	56.68	108.14	80.57	84.63	57.08	38.67	92.05	69.03	72.52	56.28	117.6	66.18	108.14	63.0	148.09	49.91	50.63	104.42	61.25	55.89	170.25	283.05	309.83	239.52	271.48	242.88	281.09	218.79	309.83	283.05	260.38	279.14	281.09	234.57	273.37	271.48	299.25	283.05	293.07	269.6	246.28	295.11	180.02	217.27	221.86	271.48	368.65	271.48	287.01	260.38	215.77	281.09	251.48	214.27	334.46	149.12	159.9	265.87	199.85
ZNF251	130.6	518.15	241.19	94.67	185.11	197.09	136.19	185.11	228.13	154.42	88.88	161.02	105.15	70.01	60.39	33.54	78.89	42.41	27.84	94.01	34.02	98.04	67.12	48.18	69.52	59.13	59.55	60.39	54.33	78.89	61.68	92.7	49.21	93.35	75.64	96.68	27.84	64.8	87.03	61.25	52.45	171.45	536.45	656.11	540.19	483.38	406.31	493.56	353.59	780.44	559.28	559.28	454.09	493.56	429.54	674.59	529.06	595.34	688.78	536.45	583.07	764.36	500.46	281.09	417.77	423.61	571.05	679.29	518.15	647.07	483.38	457.25	603.67	571.05	353.59	599.49	358.54	409.15	334.46	373.81
ZNF26	175.07	126.12	150.17	71.0	141.02	95.34	78.34	121.79	106.63	71.5	78.89	134.3	59.55	57.49	45.21	34.02	45.53	55.1	41.22	51.35	64.8	34.75	74.58	59.13	41.81	40.64	36.79	46.18	48.52	42.41	28.65	56.68	65.26	50.98	42.11	80.57	29.06	38.95	40.64	29.06	27.84	108.14	164.42	177.53	140.04	189.02	136.19	175.07	114.36	197.09	150.17	228.13	123.5	141.02	150.17	176.29	131.51	161.02	155.5	108.14	176.29	193.01	181.28	201.25	148.09	181.28	183.82	169.07	142.01	186.4	147.06	137.14	162.14	156.59	157.68	190.34	120.1	102.25	208.38	141.02
ZNF418	143.01	329.84	96.01	50.27	88.88	13.32	67.12	36.79	3.44	25.91	44.57	88.26	43.32	53.57	18.97	3.0	41.52	19.53	13.42	35.0	5.82	65.72	39.22	31.67	32.13	19.97	5.73	12.09	17.77	10.16	29.48	40.64	20.26	18.16	4.21	150.17	17.38	2.89	20.71	6.89	15.11	111.99	293.07	264.03	242.88	244.57	231.32	251.48	171.45	325.29	220.32	234.57	133.36	281.09	218.79	253.23	237.86	218.79	211.31	209.84	237.86	262.2	251.48	122.64	199.85	197.09	195.72	255.0	204.07	239.52	231.32	175.07	211.31	195.72	146.03	237.86	95.34	111.21	158.79	255.0
ZNF692	420.68	1037.29	258.57	178.77	595.34	417.77	198.47	733.19	400.71	343.89	379.04	423.61	239.52	273.37	149.12	111.21	145.02	95.34	93.35	231.32	76.71	289.02	218.79	143.01	198.47	178.77	169.07	285.03	51.35	185.11	143.01	181.28	111.21	293.07	307.69	275.28	110.43	209.84	267.73	164.42	180.02	293.07	1208.34	665.29	1331.57	698.41	884.29	842.36	348.71	1519.15	775.05	1191.69	660.68	775.05	860.08	1388.16	775.05	753.83	1447.15	1096.5	1233.75	1427.22	616.37	629.35	748.61	647.07	624.99	1044.52	909.17	1183.45	1066.48	1119.56	902.89	915.51	356.05	753.83	954.43	733.19	791.35	656.11
ZNF783	98.73	218.79	106.63	36.01	154.42	91.41	82.87	145.02	98.04	82.29	96.68	100.83	84.63	61.68	12.0	14.78	31.0	9.63	29.48	83.45	4.66	46.5	15.8	13.32	54.72	36.79	34.75	34.26	22.26	58.3	30.56	29.48	23.42	26.1	47.84	17.77	9.56	28.65	42.11	59.13	15.91	88.26	228.13	191.67	206.94	205.5	163.28	157.68	121.79	312.0	193.01	258.57	166.73	132.44	197.09	271.48	211.31	232.94	236.21	185.11	242.88	301.33	175.07	185.11	170.25	185.11	155.5	256.78	180.02	241.19	195.72	199.85	242.88	173.85	176.29	279.14	209.84	122.64	395.18	152.28
