	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.YF.AA3M.01A.11R.A42T.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.DK.A1AA.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.G2.AA3D.01A.11R.A39I.07	TCGA.LT.A8JT.01A.11R.A36F.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.DK.A6AW.01A.11R.A30C.07	TCGA.XF.AAN2.01A.11R.A42T.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.GD.A2C5.11A.11R.A180.07	TCGA.GD.A3OP.11A.11R.A220.07	TCGA.K4.A54R.11A.11R.A26T.07	TCGA.BH.A1EN.01A.11R.A13Q.07	TCGA.EK.A2RJ.01A.11R.A18M.07	GTEX.ZTPG.1626.SM.5DUX2	GTEX.X4XY.1726.SM.46MVO	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	TCGA.62.A46O.01A.11R.A24H.07	TCGA.35.3615.01A.01R.0946.07	TCGA.86.7955.01A.11R.2187.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4631.01A.01R.1755.07	TCGA.73.4677.01A.01R.1206.07	TCGA.62.A471.01A.12R.A24H.07	TCGA.69.8253.01A.11R.2287.07	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3
RNASEH2A	2075.59	1143.1	1909.85	848.22	441.64	1268.46	2061.24	684.02	603.67	447.82	1651.0	934.76	547.75	1467.37	1745.2	620.67	1259.69	1709.26	669.92	1073.91	1757.34	974.5	1143.1	2997.45	981.29	379.04	204.07	441.64	769.69	500.46	201.25	121.79	106.63	171.45	66.65	679.29	389.72	928.3	454.09	1467.37	285.03	769.69	206.94	607.87	591.22	642.59	232.94	346.29
S100P	55491.3	184082.4	179048.63	174152.51	307450.64	176583.6	190574.09	100023.92	159145.95	153724.82	71714.63	215898.44	96616.71	179048.63	144427.91	110983.6	204252.32	1131651.83	161367.56	133825.1	124863.17	201440.3	241220.67	104996.83	189257.69	115696.65	97288.74	194578.47	215898.44	135693.24	79022.82	10.31	75803.72	1096.5	34.75	135693.24	141455.6	229795.93	100719.65	180294.02	82951.62	161367.56	87075.75	201440.3	244588.0	167058.21	71219.26	93974.69
SASS6	111.21	74.58	56.68	46.5	10.63	76.71	170.25	27.64	34.51	48.52	96.68	121.79	48.87	46.5	68.07	53.57	43.63	112.77	23.08	98.73	133.36	59.55	63.0	107.38	61.25	23.42	6.36	28.04	172.65	41.22	20.11	7.4	7.51	27.05	10.16	301.33	31.0	88.88	19.68	74.06	20.26	86.43	32.59	56.28	49.91	69.52	31.0	30.78
SGOL1	283.05	152.28	199.85	88.26	22.75	110.43	417.77	14.67	25.17	61.25	242.88	348.71	38.12	75.11	113.56	35.0	127.0	202.66	75.64	165.57	693.58	108.9	141.02	281.09	62.12	13.32	2.46	57.89	123.5	44.25	21.94	5.32	6.31	1.33	4.24	253.23	13.42	141.02	10.39	277.2	17.13	87.03	14.35	106.63	47.5	82.29	9.56	37.05
SGOL2	147.06	111.99	47.84	85.82	22.43	81.71	105.89	13.72	22.59	35.25	94.01	84.04	59.97	43.94	57.49	41.52	61.68	103.69	6.84	191.67	36.27	54.33	137.14	125.24	102.25	16.03	7.4	108.9	87.03	51.71	20.26	3.11	9.56	2.89	4.21	204.07	24.99	97.36	19.97	165.57	23.42	88.88	21.16	55.1	35.5	42.41	18.97	22.75
SHCBP1	119.26	267.73	212.78	170.25	51.71	155.5	246.28	9.93	11.38	69.03	332.14	269.6	48.18	76.71	409.15	45.21	127.0	218.79	41.81	264.03	269.6	111.99	211.31	336.79	105.15	26.28	6.67	74.58	277.2	65.72	31.67	3.53	5.68	3.63	3.96	249.73	14.45	221.86	12.45	249.73	28.86	193.01	27.64	158.79	40.64	74.58	12.83	55.1
SKA1	426.57	170.25	265.87	122.64	23.25	201.25	307.69	20.26	18.03	64.34	183.82	356.05	48.52	82.29	208.38	54.72	94.67	156.59	66.65	323.03	303.44	118.43	218.79	232.94	67.12	5.02	4.21	67.59	185.11	54.33	31.9	0.0	3.23	0.36	0.45	145.02	13.22	127.89	9.2	134.3	14.45	127.89	16.88	67.12	39.79	49.21	19.82	40.64
SKA3	220.32	177.53	148.09	138.1	28.04	182.55	180.02	15.22	12.64	66.18	358.54	217.27	54.33	100.83	226.54	45.53	109.66	251.48	91.41	209.84	307.69	98.04	169.07	217.27	97.36	8.99	15.56	97.36	171.45	84.63	33.3	3.86	5.41	0.0	2.46	327.56	16.88	87.03	17.77	332.14	13.52	234.57	22.59	201.25	122.64	95.34	30.78	90.14
SKP2	909.17	293.07	336.79	279.14	169.07	447.82	679.29	248.0	173.85	202.66	872.1	305.55	285.03	186.4	323.03	253.23	265.87	277.2	429.54	384.34	366.09	161.02	435.55	532.74	205.5	106.63	115.16	134.3	417.77	209.84	67.59	122.64	31.45	35.5	59.55	287.01	86.43	162.14	59.13	376.41	52.08	381.68	106.63	336.79	162.14	91.41	23.08	49.21
SPC24	1295.13	303.44	511.0	148.09	76.17	217.27	334.46	54.33	23.42	98.73	674.59	325.29	96.01	348.71	723.08	105.15	234.57	518.15	228.13	339.14	540.19	199.85	197.09	915.51	135.24	17.38	14.03	177.53	131.51	70.51	39.79	15.22	10.71	32.13	4.98	320.8	27.84	256.78	63.0	271.48	23.59	343.89	23.25	115.97	120.94	167.9	13.72	85.82
SPDL1	559.28	164.42	211.31	127.0	52.45	228.13	255.0	48.87	144.01	98.04	228.13	187.71	77.79	116.78	229.72	141.02	108.9	341.51	79.45	426.57	239.52	122.64	239.52	256.78	90.77	131.51	81.14	84.63	339.14	131.51	73.03	17.38	54.72	29.48	15.56	351.14	221.86	133.36	211.31	267.73	71.5	167.9	52.45	438.59	164.42	287.01	51.71	43.63
STIL	142.01	69.03	44.89	44.57	12.55	84.63	92.05	17.9	17.51	52.45	175.07	103.69	39.5	32.59	93.35	23.76	68.07	94.01	34.02	195.72	108.9	40.64	81.14	190.34	42.71	24.99	9.48	53.95	142.01	53.57	33.78	3.79	9.93	3.72	1.14	220.32	20.41	79.45	16.88	133.36	15.22	125.24	20.56	114.36	30.12	31.67	20.86	34.26
TBC1D31	242.88	126.12	56.28	129.69	72.52	59.97	253.23	60.82	134.3	70.51	191.67	85.22	81.14	65.26	70.51	54.33	125.24	124.37	50.27	153.34	131.51	127.0	96.01	138.1	108.9	66.18	19.97	151.22	92.7	72.52	49.21	21.63	46.84	19.68	31.45	171.45	55.49	82.29	48.87	180.02	44.25	329.84	36.79	123.5	36.79	94.67	27.25	24.28
TIMELESS	684.02	341.51	454.09	234.57	197.09	334.46	620.67	197.09	187.71	267.73	854.13	669.92	279.14	389.72	629.35	318.57	289.02	466.88	170.25	620.67	423.61	656.11	571.05	819.3	373.81	215.77	95.34	229.72	432.53	218.79	114.36	156.59	171.45	201.25	132.44	1143.1	234.57	514.56	156.59	785.88	109.66	928.3	120.1	426.57	109.66	120.94	102.97	96.01
TIPIN	353.59	195.72	395.18	417.77	127.0	141.02	287.01	99.43	90.77	137.14	194.36	265.87	151.22	170.25	108.9	146.03	165.57	221.86	147.06	258.57	341.51	206.94	269.6	476.71	190.34	88.26	70.01	116.78	145.02	155.5	108.9	47.5	121.79	47.5	50.98	320.8	164.42	206.94	186.4	89.51	176.29	190.34	125.24	127.0	190.34	91.41	49.91	34.26
TK1	2319.15	2133.97	2682.69	1250.98	743.43	1199.98	3716.2	316.37	111.99	785.88	5517.27	1674.06	536.45	1088.92	2758.13	346.29	1225.22	3280.18	941.27	1628.26	2004.85	1159.07	1769.57	2739.08	860.08	194.36	40.07	656.11	780.44	551.56	194.36	133.36	31.67	50.27	74.58	1991.0	237.86	1819.35	381.68	2627.46	269.6	4639.29	236.21	1051.79	728.11	1397.83	293.07	656.11
TMPO	2193.99	896.64	961.07	460.44	253.23	733.19	1605.83	273.37	599.49	591.22	2240.11	1059.11	543.96	629.35	713.11	738.29	536.45	1639.59	420.68	1304.15	1628.26	1295.13	1127.35	1001.93	866.07	466.88	320.8	674.59	633.73	738.29	291.04	493.56	285.03	262.2	371.22	1733.13	353.59	674.59	426.57	2777.33	400.71	1369.04	234.57	884.29	854.13	616.37	397.93	403.5
TPX2	6887.62	708.18	842.36	759.08	185.11	567.1	1388.16	70.51	68.07	503.95	4972.34	1073.91	217.27	633.73	836.53	183.82	387.02	1407.55	325.29	1617.0	1794.29	665.29	679.29	1651.0	518.15	52.82	5.63	400.71	651.58	303.44	108.14	61.25	28.24	18.7	25.35	1059.11	52.08	974.5	49.91	1037.29	84.63	769.69	135.24	579.04	92.05	283.05	71.5	190.34
TRAIP	441.64	239.52	229.72	279.14	52.08	182.55	189.02	74.58	31.67	78.89	384.34	320.8	55.49	150.17	279.14	84.04	277.2	262.2	89.51	226.54	283.05	220.32	130.6	167.9	68.07	28.86	18.97	73.03	204.07	95.34	55.1	7.51	7.82	6.84	7.34	145.02	44.57	182.55	52.08	373.81	28.65	164.42	32.13	100.13	51.71	67.59	11.64	32.36
TROAP	1594.73	1594.73	1617.0	866.07	93.35	571.05	1909.85	119.26	59.97	316.37	2061.24	1073.91	183.82	890.44	941.27	162.14	234.57	1225.22	669.92	961.07	1467.37	915.51	669.92	1844.76	307.69	33.54	18.84	197.09	896.64	253.23	169.07	3.03	12.09	4.17	8.78	1639.59	64.34	607.87	54.72	1594.73	59.13	1369.04	114.36	381.68	547.75	197.09	45.85	181.28
TTK	532.74	241.19	154.42	128.79	18.97	269.6	155.5	26.47	33.78	125.24	483.38	363.56	71.0	126.12	293.07	74.58	116.78	291.04	73.03	454.09	525.39	165.57	264.03	323.03	66.65	10.96	2.46	61.68	156.59	105.89	43.63	1.6	13.62	1.73	4.74	420.68	14.14	95.34	18.43	265.87	11.64	229.72	21.01	146.03	108.14	54.33	75.11	63.45
TUBG1	3103.19	1936.53	1674.06	1709.26	954.43	1313.23	1794.29	1359.57	1175.27	1457.23	2997.45	2351.53	1159.07	1477.58	1378.57	915.51	2367.9	1733.13	1001.93	1498.22	738.29	1407.55	1950.0	2193.99	1594.73	842.36	660.68	2384.37	1233.75	1199.98	514.56	346.29	698.41	241.19	281.09	1519.15	536.45	2976.74	748.61	1259.69	579.04	2609.3	813.63	1159.07	638.15	1111.82	884.29	738.29
TYMS	3847.29	409.15	1733.13	743.43	389.72	1030.12	1437.15	185.11	142.01	620.67	2609.3	1073.91	961.07	941.27	1923.14	454.09	785.88	1143.1	567.1	2468.49	3372.43	1388.16	1417.35	1015.93	486.75	371.22	74.58	432.53	759.08	376.41	169.07	64.34	142.01	218.79	73.03	842.36	199.85	1119.56	301.33	2047.0	193.01	1709.26	228.13	830.75	525.39	412.0	155.5	327.56
UBE2T	2255.7	1674.06	1259.69	954.43	334.46	460.44	1883.54	214.27	241.19	432.53	1350.18	1378.57	323.03	688.78	934.76	305.55	813.63	450.94	497.0	775.05	1870.53	775.05	995.0	620.67	417.77	236.21	33.06	521.76	780.44	228.13	76.17	12.83	23.42	21.94	25.54	1208.34	301.33	921.88	256.78	1991.0	209.84	1561.89	199.85	575.03	743.43	273.37	111.21	249.73
UNG	1331.57	1225.22	1127.35	591.22	463.65	866.07	1191.69	591.22	684.02	947.83	1073.91	884.29	1030.12	934.76	909.17	947.83	961.07	1304.15	518.15	764.36	1008.9	1936.53	1008.9	1127.35	808.0	607.87	371.22	595.34	679.29	547.75	599.49	457.25	400.71	323.03	406.31	748.61	336.79	571.05	466.88	1572.76	307.69	890.44	318.57	514.56	587.13	612.11	241.19	307.69
VRK1	878.17	454.09	1030.12	612.11	114.36	532.74	860.08	339.14	205.5	224.97	698.41	713.11	212.78	480.04	547.75	403.5	287.01	473.41	195.72	540.19	1605.83	490.14	392.44	1167.14	301.33	208.38	199.85	215.77	563.18	226.54	148.09	67.59	118.43	87.65	100.13	642.59	131.51	211.31	241.19	759.08	224.97	217.27	153.34	277.2	555.41	490.14	323.03	138.1
WDHD1	244.57	78.89	172.65	142.01	44.57	137.14	205.5	34.02	30.12	92.05	232.94	201.25	81.14	84.63	148.09	78.89	78.89	79.45	54.33	221.86	80.01	135.24	224.97	119.26	87.65	52.82	29.91	91.41	163.28	80.57	39.22	3.92	9.34	7.06	6.57	217.27	48.87	127.0	51.71	135.24	41.22	115.97	38.4	76.71	37.05	37.32	13.93	9.34
XRCC3	397.93	224.97	255.0	409.15	99.43	334.46	417.77	237.86	169.07	193.01	603.67	264.03	157.68	236.21	353.59	264.03	239.52	392.44	140.04	346.29	483.38	214.27	297.17	470.14	134.3	190.34	167.9	189.02	366.09	414.87	275.28	48.18	54.33	61.68	21.16	713.11	224.97	314.17	208.38	483.38	133.36	384.34	139.07	426.57	223.41	128.79	83.45	239.52
ZNF695	265.87	285.03	112.77	61.68	8.0	66.65	139.07	7.34	16.39	34.51	119.26	105.15	15.8	125.24	87.03	16.27	81.14	85.82	52.82	23.08	218.79	40.36	59.13	242.88	36.53	2.01	1.06	26.28	61.68	24.63	3.06	0.0	0.0	0.72	0.0	85.82	4.39	69.52	18.03	38.67	1.58	77.79	0.74	34.26	12.0	7.11	23.93	23.08
ZWINT	2855.44	1135.2	1259.69	612.11	218.79	1059.11	2287.2	127.89	138.1	253.23	2090.03	2255.7	366.09	514.56	1259.69	447.82	616.37	1572.76	559.28	1923.14	1950.0	915.51	1519.15	2209.26	239.52	93.35	40.64	896.64	616.37	379.04	136.19	26.47	65.26	45.53	25.54	2224.63	163.28	703.28	197.09	633.73	173.85	1369.04	135.24	665.29	579.04	395.18	145.02	231.32
