	TCGA.EW.A1J5.01A.11R.A13Q.07	TCGA.A8.A08C.01A.11R.A00Z.07	TCGA.A7.A13G.01A.11R.A13Q.07	TCGA.BH.A0DP.01A.21R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.A8.A099.01A.11R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A2.A0T5.01A.21R.A084.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.BH.A0BD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A8.A093.01A.11R.A00Z.07	TCGA.BH.A1FL.01A.11R.A13Q.07	TCGA.BH.A1FJ.01A.11R.A13Q.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.E2.A15J.01A.11R.A12P.07	TCGA.E2.A15G.01A.11R.A12D.07	TCGA.E9.A249.01A.11R.A169.07	TCGA.C8.A274.01A.11R.A16F.07	TCGA.BH.A28Q.01A.11R.A16F.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.OL.A6VQ.01A.12R.A41B.07	TCGA.A2.A0D3.01A.11R.A115.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.AO.A0J8.01A.21R.A034.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.B6.A0RP.01A.21R.A084.07	TCGA.AQ.A1H3.01A.31R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.XBED.1126.SM.48TCF	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.PWOO.1026.SM.48TCN	GTEX.XBED.0926.SM.48TCE	GTEX.12WSL.1326.SM.5LZVW	GTEX.14C5O.1726.SM.5RQI9	GTEX.S3XE.0826.SM.4AD4U	GTEX.1211K.1026.SM.5EQ4B	GTEX.QDVJ.0826.SM.48U1S	GTEX.S4Q7.0526.SM.4AD5N	GTEX.O5YT.0726.SM.3MJHA	GTEX.13CF3.1526.SM.5J2NB	GTEX.11EM3.0726.SM.5GZZM	GTEX.145ME.0626.SM.5O99Q	GTEX.RUSQ.0926.SM.47JWU	GTEX.QDVN.1126.SM.48TZ7	GTEX.Q2AH.1026.SM.48TZI	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.LG.A9QC.01A.11R.A37K.07	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.XR.A8TE.01A.11R.A36F.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.AADD.01A.11R.A41C.07	TCGA.EP.A26S.01A.11R.A16W.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.G3.A3CK.01A.11R.A213.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.FV.A4ZQ.01A.11R.A266.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.SJXC.1226.SM.4DM78	GTEX.ZZPU.0426.SM.5GZYH
GPR89A	1322.37	703.28	603.67	607.87	693.58	872.1	878.17	796.86	780.44	785.88	896.64	890.44	1008.9	575.03	633.73	836.53	813.63	674.59	603.67	1008.9	624.99	796.86	1008.9	1015.93	718.08	878.17	791.35	1378.57	854.13	974.5	612.11	825.0	785.88	866.07	813.63	902.89	698.41	915.51	988.12	236.21	323.03	293.07	301.33	314.17	255.0	258.57	361.04	312.0	212.78	291.04	232.94	299.25	327.56	397.93	420.68	301.33	320.8	387.02	297.17	503.95	483.38	271.48	389.72	346.29	251.48	420.68	363.56	334.46	490.14	432.53	660.68	447.82	336.79	336.79	571.05	420.68	896.64	275.28	555.41	346.29	583.07	356.05	555.41	633.73	400.71	460.44	323.03	503.95	470.14	500.46	438.59	460.44	607.87	246.28	808.0	299.25	366.09	262.2	450.94
GPR89B	759.08	518.15	470.14	406.31	463.65	802.41	638.15	454.09	723.08	460.44	403.5	947.83	660.68	466.88	674.59	599.49	713.11	571.05	583.07	599.49	571.05	575.03	974.5	909.17	591.22	612.11	493.56	934.76	480.04	713.11	435.55	463.65	567.1	373.81	579.04	684.02	575.03	624.99	518.15	234.57	246.28	291.04	190.34	265.87	271.48	164.42	211.31	211.31	262.2	152.28	187.71	214.27	214.27	194.36	215.77	198.47	239.52	256.78	190.34	291.04	264.03	301.33	223.41	368.65	249.73	497.0	486.75	194.36	423.61	480.04	432.53	551.56	267.73	329.84	1066.48	366.09	583.07	444.72	551.56	334.46	642.59	332.14	669.92	616.37	376.41	441.64	368.65	703.28	314.17	381.68	271.48	406.31	441.64	151.22	536.45	329.84	187.71	253.23	301.33
HOXC10	884.29	4.7	1832.01	1242.34	1304.15	1950.0	1135.2	55.89	1909.85	2209.26	890.44	1844.76	14.78	872.1	28.65	2400.97	2319.15	14.35	563.18	59.13	551.56	2240.11	2701.35	1832.01	836.53	988.12	1088.92	1397.83	928.3	1697.45	1977.24	381.68	1963.57	1350.18	205.5	1397.83	28.45	1378.57	1199.98	60.82	6.84	3.63	1.89	0.0	0.0	4.54	3.5	4.03	0.0	1.46	0.0	2.89	0.0	0.0	3.35	0.67	0.0	0.0	0.0	0.0	1.99	0.0	0.0	3.63	0.0	2.41	0.0	0.0	0.0	0.0	0.0	1.62	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	5.28	0.0
HOXC11	60.39	0.0	95.34	215.77	74.58	159.9	187.71	0.0	195.72	318.57	19.25	260.38	0.79	114.36	1.45	70.01	521.76	0.37	35.0	2.1	46.5	295.11	187.71	161.02	52.82	71.0	55.1	167.9	87.03	237.86	307.69	41.81	145.02	309.83	16.51	147.06	2.12	187.71	3.66	0.43	5.73	0.0	0.0	0.0	0.0	0.0	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57
IARS2	3467.27	4298.64	2287.2	2520.38	1806.78	3467.27	2682.69	2720.15	2777.33	2224.63	2047.0	3372.43	3349.13	1477.58	2537.92	2148.82	2739.08	4152.18	2061.24	2573.36	3168.41	1896.65	3564.78	3395.89	3325.99	1963.57	2682.69	3419.52	2104.58	3146.52	3018.3	3212.66	2573.36	2573.36	2682.69	3325.99	2319.15	2915.45	3081.75	1991.0	819.3	934.76	769.69	902.89	947.83	738.29	1023.0	961.07	902.89	785.88	1066.48	961.07	819.3	921.88	753.83	669.92	656.11	1208.34	1437.15	3280.18	2209.26	1447.15	1909.85	1447.15	1583.71	1605.83	1561.89	1015.93	1651.0	1594.73	2997.45	1781.89	2032.85	1519.15	3768.09	1639.59	2335.28	2075.59	1397.83	2018.8	1594.73	878.17	1844.76	2758.13	1697.45	1806.78	1733.13	2032.85	1639.59	2485.67	1832.01	2400.97	1709.26	1268.46	1519.15	896.64	1388.16	947.83	1508.65
IFRG15	444.72	620.67	346.29	194.36	141.02	444.72	348.71	323.03	173.85	49.56	158.79	267.73	255.0	178.77	426.57	366.09	307.69	368.65	271.48	381.68	186.4	201.25	258.57	368.65	279.14	249.73	269.6	170.25	165.57	339.14	303.44	122.64	248.0	195.72	376.41	353.59	258.57	239.52	237.86	89.51	150.17	201.25	75.64	151.22	105.89	0.0	53.19	49.21	140.04	167.9	147.06	60.82	108.9	93.35	84.04	43.32	136.19	0.0	84.63	571.05	260.38	128.79	7.0	43.63	0.0	161.02	82.29	31.0	5.63	0.0	703.28	84.04	96.68	151.22	110.43	111.21	156.59	80.57	136.19	111.99	108.9	0.0	0.0	112.77	291.04	301.33	59.55	454.09	74.58	0.0	0.0	31.9	21.16	59.97	497.0	3.08	95.34	33.06	206.94
INTS7	616.37	684.02	647.07	339.14	371.22	995.0	620.67	713.11	769.69	400.71	555.41	575.03	669.92	305.55	571.05	599.49	848.22	1359.57	559.28	591.22	514.56	409.15	791.35	854.13	642.59	334.46	507.46	575.03	395.18	1199.98	860.08	848.22	583.07	414.87	769.69	713.11	379.04	559.28	728.11	66.18	125.24	80.57	138.1	102.25	106.63	62.12	115.97	68.55	149.12	93.35	142.01	103.69	63.45	127.89	199.85	90.14	107.38	127.89	194.36	206.94	145.02	170.25	480.04	217.27	150.17	241.19	226.54	128.79	234.57	92.7	395.18	104.42	212.78	283.05	223.41	255.0	366.09	256.78	185.11	228.13	202.66	100.83	157.68	299.25	406.31	271.48	191.67	297.17	223.41	244.57	215.77	265.87	197.09	127.89	412.0	226.54	215.77	80.01	187.71
IPO9	1242.34	995.0	988.12	808.0	785.88	1359.57	1350.18	1096.5	1111.82	1457.23	813.63	1519.15	1340.84	713.11	1037.29	1073.91	1467.37	1242.34	974.5	961.07	947.83	866.07	1044.52	2061.24	1059.11	802.41	1066.48	848.22	878.17	1081.39	1104.13	547.75	1250.98	860.08	1427.22	1183.45	780.44	1088.92	1127.35	624.99	595.34	660.68	698.41	713.11	808.0	518.15	819.3	665.29	830.75	540.19	780.44	713.11	669.92	674.59	551.56	607.87	669.92	579.04	500.46	651.58	547.75	642.59	819.3	521.76	988.12	764.36	961.07	426.57	808.0	607.87	848.22	406.31	361.04	612.11	547.75	633.73	1350.18	532.74	684.02	660.68	808.0	607.87	620.67	775.05	974.5	612.11	802.41	587.13	529.06	684.02	497.0	954.43	769.69	423.61	1127.35	607.87	450.94	457.25	454.09
IRF6	1963.57	4543.8	3639.7	1467.37	1977.24	2485.67	2434.5	4481.23	2209.26	1781.89	1081.39	1781.89	2224.63	928.3	1561.89	2351.53	1991.0	4639.29	2758.13	3690.52	2193.99	1909.85	2739.08	2148.82	2319.15	3146.52	1806.78	5366.37	2701.35	2816.11	2119.22	4671.57	2739.08	2004.85	1794.29	1896.65	2468.49	2451.44	6079.61	19.25	28.24	25.91	24.46	33.06	21.94	82.29	51.71	47.84	50.63	38.67	42.11	21.16	24.11	35.5	5.82	37.85	19.25	647.07	1127.35	1583.71	1044.52	813.63	58.3	1242.34	1233.75	409.15	376.41	1135.2	480.04	1096.5	1088.92	1183.45	287.01	718.08	3018.3	1191.69	836.53	1322.37	854.13	547.75	934.76	638.15	674.59	503.95	836.53	1407.55	599.49	1721.16	457.25	1151.06	764.36	329.84	941.27	503.95	1477.58	12.27	860.08	511.0	1340.84
ISG20L2	1639.59	1397.83	1477.58	1059.11	902.89	1378.57	1477.58	1250.98	1322.37	825.0	796.86	1388.16	1651.0	796.86	1151.06	1378.57	1628.26	1844.76	1199.98	1447.15	1088.92	1159.07	1397.83	1388.16	1487.87	1073.91	1498.22	1397.83	1135.2	1477.58	1617.0	842.36	1277.29	1023.0	1447.15	1487.87	1159.07	1331.57	1651.0	297.17	395.18	518.15	616.37	567.1	543.96	381.68	555.41	518.15	540.19	620.67	529.06	466.88	511.0	490.14	575.03	511.0	665.29	253.23	384.34	665.29	389.72	406.31	271.48	314.17	320.8	473.41	518.15	265.87	409.15	414.87	753.83	403.5	366.09	460.44	483.38	476.71	647.07	463.65	341.51	432.53	497.0	339.14	312.0	435.55	748.61	429.54	293.07	476.71	536.45	656.11	379.04	507.46	426.57	303.44	775.05	379.04	450.94	189.02	343.89
KCTD3	5633.22	4038.61	2018.8	2777.33	2520.38	3060.45	3768.09	2915.45	4095.0	3419.52	323.03	2400.97	4607.24	1437.15	3690.52	2502.97	2875.3	4769.75	2591.27	2537.92	3742.05	2255.7	3690.52	3589.58	3419.52	2400.97	2591.27	3395.89	2835.7	4607.24	4481.23	2451.44	2400.97	1883.54	2976.74	2855.44	2367.9	3690.52	3018.3	507.46	1175.27	759.08	703.28	1008.9	708.18	854.13	854.13	642.59	995.0	698.41	1023.0	1151.06	629.35	1250.98	796.86	579.04	928.3	941.27	728.11	1519.15	1572.76	1015.93	981.29	1081.39	1477.58	961.07	967.76	693.58	967.76	1119.56	1498.22	1225.22	1322.37	954.43	1963.57	981.29	1277.29	1340.84	988.12	995.0	1832.01	802.41	1331.57	928.3	1417.35	1508.65	684.02	1662.49	1044.52	974.5	988.12	1111.82	1127.35	764.36	1529.73	543.96	808.0	1119.56	1111.82
KLHL12	1639.59	1127.35	974.5	941.27	693.58	1151.06	1199.98	1066.48	1096.5	1159.07	703.28	1457.23	890.44	599.49	995.0	1111.82	1331.57	1167.14	921.88	1199.98	974.5	884.29	1119.56	1340.84	1088.92	738.29	928.3	1023.0	587.13	1259.69	1096.5	1111.82	1127.35	915.51	928.3	1088.92	866.07	954.43	1081.39	361.04	397.93	312.0	371.22	356.05	343.89	232.94	341.51	389.72	384.34	299.25	450.94	363.56	346.29	358.54	441.64	358.54	447.82	363.56	616.37	603.67	470.14	423.61	551.56	299.25	414.87	248.0	563.18	368.65	463.65	493.56	921.88	497.0	514.56	397.93	669.92	356.05	791.35	480.04	571.05	525.39	543.96	353.59	423.61	409.15	540.19	470.14	480.04	902.89	483.38	612.11	540.19	567.1	638.15	329.84	575.03	271.48	536.45	236.21	187.71
LSM12	1340.84	1183.45	1044.52	981.29	1250.98	934.76	1037.29	1008.9	1242.34	1081.39	1359.57	934.76	1059.11	1111.82	961.07	1073.91	1119.56	1096.5	1167.14	819.3	1208.34	909.17	1159.07	1008.9	854.13	1135.2	1175.27	954.43	921.88	1540.37	1407.55	825.0	1268.46	1059.11	1388.16	1457.23	848.22	1183.45	890.44	656.11	607.87	1001.93	679.29	616.37	624.99	483.38	753.83	551.56	660.68	665.29	703.28	656.11	651.58	674.59	733.19	633.73	688.78	884.29	775.05	723.08	595.34	441.64	521.76	733.19	503.95	571.05	1119.56	547.75	587.13	612.11	629.35	423.61	563.18	529.06	414.87	463.65	718.08	525.39	493.56	796.86	447.82	466.88	473.41	547.75	791.35	665.29	470.14	591.22	878.17	579.04	543.96	769.69	769.69	571.05	854.13	703.28	563.18	463.65	514.56
MARVELD2	403.5	343.89	532.74	332.14	343.89	579.04	220.32	426.57	229.72	237.86	318.57	507.46	325.29	291.04	363.56	555.41	412.0	341.51	409.15	470.14	293.07	507.46	457.25	409.15	444.72	371.22	400.71	483.38	215.77	305.55	412.0	890.44	414.87	466.88	518.15	583.07	320.8	454.09	339.14	3.59	15.0	11.47	15.45	9.27	23.25	6.41	24.11	15.56	23.76	17.25	24.46	20.71	20.71	31.67	19.97	12.83	18.16	262.2	144.01	514.56	143.01	318.57	190.34	158.79	127.0	181.28	220.32	211.31	141.02	170.25	414.87	137.14	379.04	295.11	106.63	325.29	334.46	305.55	201.25	228.13	154.42	136.19	75.64	202.66	197.09	575.03	217.27	139.07	353.59	275.28	368.65	103.69	248.0	224.97	511.0	246.28	173.85	142.01	460.44
METTL13	1104.13	1225.22	1023.0	915.51	684.02	1233.75	1191.69	1073.91	1015.93	775.05	842.36	872.1	1216.75	684.02	928.3	1015.93	1369.04	1487.87	1015.93	1096.5	928.3	796.86	1135.2	1167.14	1030.12	775.05	1023.0	1059.11	819.3	1295.13	1001.93	1044.52	1119.56	961.07	909.17	872.1	941.27	808.0	1008.9	403.5	358.54	316.37	397.93	346.29	363.56	275.28	395.18	356.05	450.94	409.15	381.68	397.93	249.73	397.93	358.54	447.82	389.72	426.57	540.19	934.76	536.45	624.99	299.25	521.76	921.88	403.5	647.07	460.44	848.22	688.78	825.0	460.44	587.13	493.56	819.3	486.75	603.67	660.68	703.28	674.59	769.69	769.69	624.99	575.03	698.41	616.37	438.59	638.15	718.08	1378.57	493.56	713.11	575.03	356.05	915.51	320.8	559.28	348.71	353.59
METTL6	414.87	444.72	336.79	281.09	297.17	406.31	384.34	381.68	341.51	346.29	460.44	603.67	343.89	273.37	379.04	384.34	414.87	403.5	376.41	334.46	329.84	450.94	507.46	297.17	384.34	403.5	323.03	305.55	285.03	316.37	397.93	376.41	432.53	389.72	563.18	368.65	480.04	363.56	329.84	193.01	161.02	163.28	198.47	121.79	156.59	167.9	143.01	133.36	166.73	157.68	187.71	164.42	171.45	153.34	187.71	122.64	189.02	291.04	249.73	265.87	197.09	162.14	91.41	218.79	229.72	147.06	258.57	150.17	152.28	169.07	156.59	161.02	327.56	182.55	139.07	161.02	271.48	175.07	167.9	153.34	186.4	146.03	139.07	187.71	379.04	138.1	163.28	412.0	232.94	291.04	217.27	279.14	190.34	132.44	231.32	189.02	140.04	131.51	104.42
MRPL9	3491.39	2224.63	2148.82	2367.9	1844.76	3039.3	2303.12	2664.15	3039.3	3081.75	1883.54	2193.99	3540.14	1794.29	1806.78	2956.17	2835.7	2645.74	1936.53	2104.58	2384.37	1923.14	2645.74	3103.19	2004.85	1572.76	2032.85	1757.34	1870.53	2835.7	2400.97	2935.74	2682.69	1963.57	2224.63	2047.0	2193.99	2090.03	2451.44	2209.26	1407.55	1008.9	954.43	1277.29	1081.39	902.89	1104.13	872.1	1066.48	1340.84	1127.35	1199.98	967.76	1199.98	836.53	1119.56	1259.69	1259.69	1340.84	1617.0	1143.1	1023.0	1498.22	1073.91	1001.93	1457.23	1268.46	974.5	1369.04	988.12	1806.78	1183.45	967.76	1119.56	1417.35	1023.0	2287.2	1059.11	1923.14	1498.22	1498.22	1322.37	1378.57	1519.15	1662.49	1233.75	842.36	2148.82	1277.29	2855.44	1175.27	1963.57	1233.75	819.3	2090.03	1286.18	1685.71	802.41	669.92
MRPS14	1151.06	1277.29	1417.35	1151.06	988.12	1757.34	1250.98	1594.73	1216.75	1111.82	764.36	1111.82	1477.58	791.35	1191.69	1313.23	1477.58	1477.58	1059.11	1304.15	1111.82	967.76	1407.55	1359.57	1208.34	902.89	1030.12	825.0	961.07	1369.04	1111.82	1304.15	1359.57	1051.79	1175.27	1167.14	1304.15	1081.39	1427.22	791.35	497.0	444.72	688.78	529.06	511.0	476.71	579.04	470.14	514.56	536.45	559.28	480.04	551.56	429.54	543.96	595.34	518.15	633.73	536.45	743.43	759.08	507.46	603.67	507.46	981.29	703.28	669.92	684.02	967.76	599.49	848.22	808.0	486.75	571.05	1127.35	583.07	842.36	785.88	780.44	825.0	808.0	738.29	961.07	928.3	718.08	753.83	518.15	1191.69	591.22	1199.98	759.08	764.36	819.3	543.96	928.3	647.07	718.08	438.59	518.15
NCSTN	4268.94	4123.49	4388.98	2875.3	3491.39	3982.99	3443.31	3443.31	4010.71	5751.61	3467.27	3280.18	4639.29	2835.7	4328.55	3982.99	4095.0	5791.62	4152.18	2555.58	3467.27	3589.58	3768.09	3639.7	3589.58	2627.46	3540.14	4450.27	2997.45	4704.07	3372.43	3982.99	4066.71	2701.35	4181.07	3060.45	3168.41	3690.52	5041.77	1477.58	1167.14	1397.83	1447.15	1304.15	1322.37	1277.29	1487.87	1259.69	1407.55	1769.57	1331.57	1340.84	1572.76	1135.2	1487.87	1721.16	1331.57	1529.73	2104.58	2701.35	2417.67	2537.92	1757.34	1991.0	2739.08	4903.87	2664.15	1369.04	3039.3	2627.46	2915.45	1950.0	1378.57	1909.85	3280.18	2061.24	3443.31	1896.65	2777.33	2104.58	1259.69	1806.78	2502.97	3060.45	2682.69	2468.49	1216.75	2875.3	2739.08	2468.49	2004.85	2451.44	2451.44	1233.75	2335.28	1551.09	1819.35	947.83	1572.76
NME6	571.05	748.61	555.41	579.04	423.61	536.45	595.34	718.08	297.17	503.95	493.56	981.29	486.75	473.41	511.0	563.18	1015.93	780.44	514.56	381.68	414.87	872.1	540.19	536.45	651.58	389.72	571.05	417.77	583.07	525.39	575.03	713.11	669.92	647.07	693.58	567.1	902.89	579.04	555.41	497.0	239.52	190.34	429.54	277.2	379.04	297.17	258.57	289.02	447.82	249.73	371.22	265.87	205.5	329.84	384.34	283.05	392.44	629.35	466.88	316.37	305.55	320.8	169.07	423.61	460.44	356.05	363.56	379.04	329.84	305.55	341.51	237.86	547.75	353.59	293.07	318.57	595.34	318.57	323.03	351.14	287.01	223.41	269.6	414.87	438.59	323.03	384.34	525.39	309.83	457.25	368.65	656.11	325.29	202.66	283.05	454.09	295.11	215.77	297.17
NUP133	1350.18	1407.55	896.64	1143.1	703.28	1233.75	1175.27	1199.98	1059.11	825.0	547.75	1199.98	1331.57	688.78	1073.91	1369.04	1277.29	1487.87	896.64	1340.84	974.5	974.5	1268.46	1286.18	1313.23	974.5	1127.35	1151.06	808.0	1388.16	1331.57	1447.15	878.17	974.5	988.12	1167.14	1111.82	1159.07	1561.89	483.38	688.78	447.82	454.09	567.1	432.53	486.75	563.18	483.38	403.5	480.04	521.76	507.46	490.14	616.37	470.14	575.03	575.03	232.94	262.2	638.15	277.2	320.8	323.03	314.17	397.93	239.52	339.14	217.27	361.04	343.89	591.22	275.28	397.93	373.81	540.19	329.84	616.37	454.09	353.59	341.51	454.09	248.0	348.71	384.34	647.07	351.14	314.17	532.74	346.29	684.02	361.04	450.94	389.72	237.86	543.96	327.56	325.29	175.07	202.66
NVL	3018.3	1023.0	764.36	802.41	819.3	1378.57	1322.37	1008.9	1111.82	1233.75	575.03	1519.15	1051.79	665.29	961.07	1378.57	1119.56	1259.69	808.0	1167.14	1167.14	896.64	2075.59	1313.23	1605.83	780.44	713.11	1437.15	698.41	1104.13	1313.23	890.44	961.07	780.44	1119.56	902.89	890.44	1359.57	896.64	260.38	356.05	229.72	373.81	336.79	346.29	277.2	287.01	267.73	423.61	312.0	368.65	323.03	242.88	289.02	351.14	447.82	224.97	229.72	237.86	457.25	232.94	287.01	267.73	190.34	532.74	173.85	305.55	237.86	323.03	211.31	473.41	312.0	327.56	336.79	392.44	279.14	447.82	312.0	454.09	279.14	387.02	291.04	312.0	336.79	483.38	473.41	348.71	358.54	281.09	463.65	305.55	529.06	473.41	202.66	457.25	373.81	241.19	206.94	155.5
OCLN	466.88	656.11	620.67	591.22	339.14	698.41	287.01	543.96	521.76	555.41	728.11	1477.58	262.2	429.54	693.58	1143.1	599.49	334.46	934.76	1059.11	490.14	432.53	698.41	974.5	612.11	379.04	503.95	728.11	403.5	860.08	536.45	1127.35	470.14	543.96	571.05	2224.63	301.33	1008.9	373.81	11.73	55.89	10.31	53.57	32.59	34.02	7.11	23.59	62.56	10.24	38.95	45.21	24.11	9.41	79.45	12.0	12.45	33.78	351.14	193.01	341.51	220.32	314.17	312.0	217.27	88.26	199.85	191.67	206.94	169.07	197.09	753.83	152.28	297.17	698.41	172.65	490.14	624.99	253.23	297.17	214.27	191.67	152.28	82.29	140.04	379.04	748.61	253.23	145.02	571.05	379.04	872.1	72.01	371.22	325.29	638.15	260.38	229.72	228.13	376.41
PAFAH2	343.89	476.71	476.71	293.07	412.0	363.56	334.46	463.65	417.77	242.88	409.15	264.03	251.48	164.42	379.04	343.89	397.93	397.93	281.09	358.54	414.87	299.25	392.44	353.59	480.04	244.57	403.5	420.68	314.17	603.67	563.18	529.06	454.09	420.68	389.72	466.88	466.88	463.65	223.41	185.11	115.97	87.65	217.27	162.14	197.09	180.02	106.63	253.23	164.42	107.38	167.9	135.24	185.11	141.02	221.86	112.77	187.71	183.82	329.84	246.28	181.28	206.94	119.26	81.71	115.16	158.79	110.43	155.5	221.86	202.66	567.1	187.71	323.03	226.54	323.03	154.42	318.57	327.56	204.07	293.07	161.02	146.03	211.31	226.54	239.52	198.47	409.15	236.21	273.37	113.56	190.34	198.47	163.28	258.57	115.16	139.07	279.14	283.05	305.55
PARP1	3716.2	4869.99	3665.02	2627.46	2796.65	2915.45	6699.25	2935.74	5076.84	2555.58	1745.2	3081.75	5594.3	2915.45	2720.15	2875.3	3235.01	4210.15	2739.08	3325.99	5041.77	2609.3	3742.05	4543.8	4123.49	2627.46	3349.13	4038.61	3419.52	5441.3	4010.71	2997.45	3690.52	2537.92	3303.0	3372.43	2032.85	4388.98	3257.52	981.29	967.76	1733.13	1216.75	1259.69	1540.37	808.0	1397.83	1331.57	1277.29	2148.82	1662.49	1199.98	1427.22	961.07	1096.5	988.12	808.0	1340.84	1498.22	2193.99	1127.35	967.76	769.69	551.56	1268.46	684.02	1407.55	988.12	1794.29	1242.34	2255.7	1015.93	1369.04	1104.13	2209.26	1417.35	2627.46	1175.27	1304.15	1594.73	1159.07	819.3	1350.18	2075.59	2178.83	1008.9	1388.16	1487.87	1259.69	1617.0	1015.93	1745.2	1304.15	1199.98	2018.8	1242.34	1369.04	536.45	813.63
PEX11B	1950.0	1551.09	1605.83	1605.83	1304.15	1487.87	1662.49	1794.29	1844.76	2224.63	1001.93	1870.53	1936.53	1015.93	1896.65	1651.0	1819.35	2645.74	1378.57	1857.6	1529.73	1529.73	2178.83	2090.03	1674.06	1073.91	1794.29	1487.87	1167.14	1991.0	1628.26	1259.69	1697.45	1639.59	1639.59	1508.65	1745.2	1674.06	2032.85	414.87	551.56	529.06	591.22	575.03	651.58	366.09	483.38	738.29	579.04	497.0	571.05	547.75	490.14	612.11	521.76	713.11	660.68	733.19	679.29	1242.34	743.43	638.15	1037.29	647.07	813.63	896.64	884.29	583.07	890.44	854.13	1286.18	872.1	909.17	624.99	1191.69	563.18	1066.48	703.28	713.11	961.07	1457.23	723.08	1044.52	1350.18	808.0	1119.56	703.28	1350.18	813.63	1572.76	921.88	842.36	896.64	633.73	1001.93	476.71	521.76	638.15	808.0
PHF6	363.56	353.59	363.56	305.55	264.03	291.04	346.29	412.0	277.2	262.2	255.0	395.18	325.29	202.66	379.04	346.29	341.51	234.57	271.48	384.34	336.79	356.05	348.71	532.74	429.54	293.07	289.02	341.51	251.48	356.05	493.56	718.08	392.44	303.44	447.82	476.71	246.28	368.65	409.15	124.37	121.79	120.94	150.17	108.14	130.6	151.22	127.89	90.14	136.19	87.65	163.28	108.9	97.36	139.07	182.55	110.43	113.56	115.97	100.13	293.07	93.35	271.48	102.25	107.38	113.56	74.58	104.42	72.52	186.4	87.03	217.27	178.77	102.97	120.94	251.48	109.66	127.89	137.14	96.68	116.78	187.71	65.26	64.34	134.3	152.28	281.09	61.68	246.28	138.1	133.36	82.87	228.13	138.1	89.51	253.23	157.68	122.64	54.72	61.68
