	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.EW.A424.01A.11R.A24H.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.TMMY.0726.SM.33HBE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13N11.1126.SM.5KM41	GTEX.1117F.2426.SM.5EGGH
PHIP	507.46	175.07	29.91	381.68	152.28	256.78	217.27	162.14	341.51	169.07	140.04	176.29	175.07	236.21	164.42	199.85	305.55	226.54	197.09	303.44	473.41	258.57	89.51	189.02	185.11	177.53	220.32	320.8	85.22	122.64	217.27	289.02	201.25	100.83	356.05	197.09	114.36	265.87	157.68	376.41	156.59	329.84	223.41	38.95	267.73	214.27	612.11	118.43	620.67	197.09	351.14	98.73	872.1	429.54	457.25	620.67	420.68	108.9	307.69	329.84	688.78	591.22	536.45	191.67	769.69	511.0	457.25	529.06	559.28	273.37	438.59	178.77	780.44	450.94	525.39	329.84	665.29	387.02	363.56	366.09	432.53	218.79	525.39	591.22	147.06	389.72	126.12	532.74	189.02	262.2	624.99	555.41	38.4	12.55	49.56	41.52	22.26	48.52	9.63	106.63	239.52
PIK3C2A	836.53	224.97	48.18	444.72	260.38	423.61	543.96	171.45	497.0	318.57	109.66	283.05	217.27	563.18	220.32	242.88	629.35	371.22	251.48	791.35	633.73	432.53	201.25	293.07	187.71	218.79	412.0	753.83	101.54	201.25	283.05	503.95	327.56	155.5	353.59	329.84	154.42	303.44	180.02	543.96	176.29	483.38	366.09	57.49	395.18	195.72	780.44	123.5	791.35	248.0	480.04	120.94	791.35	497.0	825.0	764.36	571.05	109.66	529.06	429.54	679.29	718.08	660.68	150.17	525.39	780.44	647.07	559.28	514.56	463.65	579.04	211.31	1143.1	429.54	314.17	511.0	1143.1	551.56	854.13	318.57	336.79	312.0	511.0	665.29	96.68	759.08	155.5	470.14	229.72	348.71	1662.49	728.11	69.52	21.32	63.45	36.53	54.33	54.33	23.93	211.31	279.14
PIK3CA	603.67	131.51	96.68	473.41	193.01	206.94	329.84	90.14	647.07	164.42	95.34	194.36	189.02	289.02	158.79	191.67	334.46	358.54	229.72	231.32	507.46	193.01	178.77	325.29	197.09	199.85	197.09	447.82	62.12	120.1	229.72	312.0	255.0	226.54	339.14	463.65	186.4	314.17	185.11	493.56	175.07	387.02	236.21	46.5	242.88	115.16	647.07	173.85	665.29	255.0	351.14	135.24	738.29	503.95	688.78	595.34	551.56	220.32	435.55	361.04	450.94	493.56	665.29	202.66	412.0	854.13	836.53	358.54	305.55	341.51	403.5	368.65	723.08	547.75	217.27	571.05	583.07	785.88	441.64	325.29	343.89	329.84	368.65	872.1	98.73	796.86	255.0	309.83	242.88	493.56	368.65	647.07	72.52	30.34	57.89	48.18	36.79	45.85	32.13	161.02	291.04
PIKFYVE	353.59	86.43	26.67	195.72	98.04	158.79	139.07	75.64	178.77	91.41	57.08	132.44	112.77	113.56	100.13	109.66	185.11	131.51	103.69	157.68	201.25	169.07	76.17	151.22	39.22	82.87	108.9	239.52	40.36	96.01	100.13	163.28	115.97	75.11	191.67	108.14	54.72	127.0	76.71	199.85	56.68	169.07	127.89	27.25	120.94	81.14	295.11	61.25	343.89	110.43	190.34	81.14	351.14	212.78	356.05	305.55	231.32	58.71	193.01	169.07	206.94	220.32	265.87	102.25	279.14	307.69	312.0	285.03	271.48	163.28	214.27	104.42	329.84	334.46	131.51	180.02	607.87	244.57	281.09	159.9	183.82	109.66	211.31	432.53	33.54	197.09	93.35	171.45	108.9	248.0	412.0	205.5	37.59	32.36	42.71	39.22	42.41	30.56	28.86	110.43	115.16
POLA1	299.25	85.82	118.43	153.34	130.6	116.78	209.84	130.6	287.01	172.65	204.07	323.03	115.16	208.38	110.43	106.63	221.86	132.44	228.13	214.27	175.07	106.63	126.12	185.11	70.01	127.0	177.53	420.68	82.29	119.26	183.82	142.01	115.16	127.89	183.82	149.12	183.82	136.19	96.01	171.45	128.79	118.43	143.01	75.64	186.4	64.34	194.36	122.64	204.07	134.3	173.85	87.03	262.2	194.36	161.02	215.77	166.73	115.97	186.4	153.34	232.94	226.54	185.11	115.16	186.4	173.85	228.13	275.28	134.3	129.69	101.54	111.21	414.87	208.38	158.79	156.59	209.84	194.36	154.42	162.14	209.84	125.24	212.78	220.32	73.54	204.07	85.82	134.3	76.71	149.12	218.79	205.5	44.89	22.92	46.5	41.22	26.1	29.91	21.78	78.89	92.05
POLK	559.28	147.06	48.18	248.0	89.51	287.01	303.44	137.14	220.32	94.67	65.26	140.04	149.12	260.38	113.56	165.57	343.89	267.73	111.99	363.56	503.95	248.0	142.01	351.14	77.25	150.17	275.28	447.82	78.34	171.45	197.09	351.14	295.11	141.02	256.78	170.25	58.3	212.78	108.14	275.28	90.77	273.37	141.02	35.25	361.04	176.29	470.14	77.79	289.02	159.9	312.0	97.36	620.67	320.8	559.28	435.55	363.56	88.26	316.37	242.88	457.25	454.09	559.28	155.5	540.19	555.41	343.89	314.17	379.04	363.56	426.57	103.69	866.07	329.84	387.02	232.94	444.72	417.77	651.58	215.77	314.17	336.79	366.09	363.56	135.24	854.13	95.34	371.22	94.67	212.78	703.28	669.92	52.82	16.63	73.03	34.51	63.89	56.68	18.29	187.71	163.28
PPP4R2	1111.82	441.64	220.32	444.72	656.11	591.22	928.3	392.44	825.0	447.82	175.07	629.35	432.53	848.22	454.09	830.75	928.3	718.08	629.35	656.11	967.76	595.34	457.25	500.46	392.44	693.58	559.28	1216.75	293.07	395.18	802.41	854.13	587.13	679.29	733.19	447.82	368.65	647.07	400.71	791.35	490.14	703.28	866.07	140.04	748.61	361.04	909.17	406.31	1023.0	563.18	819.3	279.14	1127.35	638.15	759.08	981.29	753.83	281.09	647.07	665.29	947.83	1044.52	1096.5	507.46	1015.93	928.3	802.41	819.3	583.07	728.11	607.87	444.72	1322.37	878.17	1051.79	571.05	842.36	674.59	1437.15	376.41	511.0	669.92	708.18	954.43	447.82	1781.89	287.01	728.11	460.44	651.58	1119.56	1259.69	187.71	100.83	242.88	136.19	275.28	267.73	214.27	327.56	595.34
PRMT10	218.79	127.0	62.56	191.67	102.97	134.3	152.28	121.79	161.02	161.02	101.54	128.79	94.67	154.42	128.79	134.3	183.82	131.51	120.94	173.85	191.67	154.42	77.79	126.12	80.01	129.69	128.79	130.6	105.15	141.02	81.14	127.0	152.28	122.64	206.94	109.66	123.5	194.36	153.34	171.45	87.03	130.6	153.34	54.72	156.59	81.14	234.57	120.1	212.78	165.57	185.11	117.6	329.84	171.45	283.05	218.79	193.01	130.6	167.9	193.01	255.0	237.86	384.34	139.07	271.48	167.9	198.47	253.23	229.72	228.13	195.72	101.54	432.53	202.66	182.55	246.28	177.53	237.86	406.31	221.86	229.72	151.22	204.07	262.2	120.1	329.84	158.79	273.37	126.12	130.6	376.41	253.23	67.59	47.5	73.54	66.65	88.26	69.52	61.25	105.89	146.03
PUM2	1674.06	769.69	253.23	1151.06	1044.52	1088.92	1437.15	921.88	1104.13	947.83	791.35	647.07	825.0	1286.18	921.88	1015.93	1508.65	921.88	878.17	1498.22	1286.18	967.76	571.05	1242.34	769.69	954.43	884.29	1250.98	536.45	733.19	866.07	1044.52	1127.35	638.15	1378.57	1066.48	988.12	1175.27	718.08	1378.57	764.36	1015.93	1104.13	376.41	1127.35	915.51	1697.45	642.59	1721.16	769.69	1151.06	493.56	2193.99	1467.37	1407.55	1909.85	1304.15	651.58	1477.58	1225.22	1757.34	1628.26	1519.15	791.35	1832.01	1498.22	1487.87	1745.2	1259.69	1119.56	1096.5	909.17	3325.99	1407.55	1508.65	1369.04	1991.0	1685.71	1159.07	1233.75	1044.52	808.0	1519.15	2004.85	575.03	1662.49	684.02	1331.57	878.17	1159.07	1819.35	1896.65	384.34	275.28	454.09	397.93	299.25	307.69	291.04	591.22	743.43
QSER1	371.22	133.36	56.28	251.48	127.89	242.88	182.55	117.6	392.44	158.79	59.55	142.01	123.5	283.05	142.01	189.02	289.02	214.27	271.48	185.11	361.04	171.45	87.03	171.45	135.24	163.28	176.29	353.59	65.26	95.34	246.28	237.86	251.48	116.78	215.77	397.93	140.04	234.57	127.0	275.28	121.79	199.85	123.5	47.84	215.77	127.0	441.64	135.24	406.31	139.07	242.88	93.35	486.75	309.83	312.0	432.53	258.57	81.71	215.77	258.57	389.72	295.11	320.8	138.1	463.65	441.64	301.33	466.88	438.59	218.79	371.22	109.66	429.54	334.46	429.54	169.07	339.14	318.57	166.73	201.25	301.33	212.78	334.46	397.93	99.43	297.17	104.42	329.84	99.43	194.36	397.93	429.54	60.82	12.55	51.71	53.57	27.25	34.51	14.24	67.59	239.52
RAB3GAP2	587.13	267.73	171.45	559.28	237.86	567.1	371.22	260.38	297.17	293.07	165.57	231.32	301.33	423.61	180.02	301.33	529.06	389.72	255.0	275.28	540.19	256.78	226.54	444.72	136.19	348.71	460.44	476.71	163.28	336.79	264.03	438.59	559.28	176.29	334.46	450.94	166.73	271.48	214.27	325.29	220.32	336.79	414.87	53.19	521.76	248.0	463.65	155.5	454.09	206.94	323.03	148.09	579.04	353.59	444.72	441.64	346.29	157.68	309.83	283.05	444.72	417.77	466.88	218.79	521.76	579.04	297.17	412.0	547.75	366.09	457.25	189.02	579.04	314.17	559.28	295.11	348.71	381.68	417.77	325.29	426.57	483.38	389.72	363.56	110.43	866.07	122.64	409.15	139.07	329.84	384.34	486.75	88.26	36.01	85.22	46.84	75.11	183.82	35.5	169.07	198.47
RAB5A	1378.57	698.41	490.14	713.11	1250.98	947.83	1268.46	728.11	1508.65	915.51	587.13	748.61	603.67	1104.13	656.11	1044.52	1304.15	1159.07	587.13	1037.29	1340.84	848.22	718.08	808.0	780.44	928.3	791.35	1651.0	603.67	825.0	988.12	1111.82	1359.57	1340.84	1199.98	872.1	684.02	941.27	872.1	1216.75	693.58	1313.23	1081.39	457.25	1111.82	647.07	1225.22	595.34	1369.04	934.76	1259.69	603.67	1540.37	1135.2	1551.09	1167.14	1143.1	571.05	1199.98	1015.93	1250.98	1096.5	1745.2	738.29	1127.35	1216.75	1159.07	1073.91	1199.98	2004.85	1295.13	764.36	1487.87	836.53	1359.57	1427.22	1417.35	1119.56	2271.4	656.11	848.22	1183.45	1183.45	1127.35	733.19	2018.8	514.56	808.0	1044.52	909.17	1225.22	1583.71	476.71	476.71	579.04	414.87	275.28	295.11	395.18	651.58	743.43
RAD18	269.6	180.02	54.33	148.09	127.0	173.85	181.28	146.03	348.71	567.1	105.89	147.06	140.04	137.14	144.01	159.9	279.14	139.07	204.07	172.65	237.86	172.65	189.02	161.02	108.14	152.28	165.57	579.04	83.45	124.37	224.97	171.45	215.77	205.5	194.36	146.03	96.68	255.0	152.28	221.86	118.43	128.79	244.57	56.68	231.32	89.51	271.48	146.03	329.84	191.67	236.21	82.87	463.65	255.0	260.38	305.55	246.28	137.14	234.57	237.86	316.37	403.5	264.03	151.22	316.37	312.0	279.14	255.0	265.87	165.57	242.88	162.14	202.66	217.27	223.41	244.57	283.05	277.2	167.9	209.84	325.29	127.89	251.48	295.11	133.36	289.02	102.25	253.23	249.73	190.34	145.02	236.21	26.47	13.52	17.0	12.0	35.76	50.63	30.56	76.17	87.65
RAPGEF6	358.54	70.51	47.5	175.07	112.77	146.03	195.72	81.14	90.77	84.63	87.03	112.77	72.01	123.5	87.65	99.43	159.9	163.28	110.43	187.71	244.57	122.64	69.03	152.28	31.45	111.21	115.16	253.23	36.01	95.34	110.43	151.22	135.24	110.43	148.09	78.34	35.76	97.36	67.59	170.25	59.55	124.37	106.63	32.36	122.64	96.01	241.19	56.28	206.94	87.65	144.01	47.84	320.8	158.79	175.07	229.72	176.29	48.18	169.07	147.06	277.2	232.94	197.09	77.79	293.07	253.23	165.57	232.94	281.09	123.5	234.57	88.88	336.79	185.11	183.82	127.89	241.19	202.66	234.57	126.12	190.34	130.6	182.55	186.4	65.26	217.27	55.1	271.48	66.18	107.38	220.32	226.54	28.86	11.04	32.82	24.81	33.06	28.65	14.14	41.81	70.51
RASAL2	361.04	124.37	50.98	226.54	47.84	169.07	158.79	82.87	269.6	96.68	48.87	150.17	139.07	127.0	80.01	116.78	138.1	231.32	121.79	105.15	320.8	169.07	124.37	223.41	229.72	104.42	224.97	198.47	35.5	78.89	146.03	186.4	128.79	82.29	116.78	194.36	183.82	149.12	85.22	226.54	111.21	368.65	193.01	40.07	93.35	67.12	470.14	80.01	387.02	154.42	211.31	85.22	341.51	348.71	395.18	348.71	299.25	81.14	189.02	199.85	291.04	271.48	353.59	94.01	169.07	287.01	291.04	180.02	295.11	158.79	536.45	108.9	325.29	273.37	441.64	97.36	507.46	275.28	212.78	202.66	171.45	295.11	223.41	265.87	30.34	186.4	73.54	185.11	77.25	312.0	366.09	336.79	59.97	30.56	58.3	50.63	12.74	46.18	12.74	163.28	88.26
RBBP9	414.87	314.17	161.02	346.29	223.41	232.94	348.71	226.54	232.94	191.67	153.34	441.64	166.73	299.25	253.23	301.33	429.54	283.05	231.32	205.5	595.34	291.04	226.54	414.87	264.03	228.13	409.15	279.14	193.01	273.37	223.41	329.84	480.04	242.88	384.34	309.83	241.19	366.09	260.38	406.31	409.15	265.87	234.57	104.42	387.02	167.9	417.77	291.04	457.25	295.11	363.56	170.25	518.15	435.55	409.15	511.0	387.02	211.31	334.46	389.72	373.81	392.44	500.46	242.88	435.55	397.93	669.92	551.56	312.0	536.45	341.51	217.27	638.15	395.18	246.28	426.57	341.51	211.31	320.8	371.22	297.17	277.2	660.68	429.54	371.22	1250.98	198.47	248.0	395.18	289.02	406.31	559.28	195.72	149.12	190.34	147.06	147.06	116.78	166.73	234.57	229.72
RBM18	679.29	316.37	289.02	381.68	612.11	373.81	368.65	309.83	529.06	267.73	241.19	376.41	320.8	395.18	412.0	518.15	503.95	435.55	379.04	629.35	616.37	314.17	273.37	708.18	303.44	429.54	514.56	1286.18	332.14	429.54	420.68	511.0	514.56	409.15	486.75	297.17	332.14	497.0	420.68	836.53	287.01	450.94	457.25	141.02	633.73	417.77	536.45	351.14	603.67	486.75	571.05	262.2	753.83	476.71	603.67	688.78	503.95	409.15	769.69	529.06	603.67	583.07	708.18	503.95	679.29	356.05	503.95	559.28	454.09	470.14	389.72	429.54	764.36	457.25	567.1	514.56	438.59	591.22	802.41	379.04	420.68	473.41	603.67	540.19	480.04	1143.1	237.86	381.68	543.96	392.44	429.54	723.08	180.02	108.14	197.09	137.14	98.73	204.07	85.22	305.55	281.09
RBM27	493.56	140.04	113.56	267.73	218.79	228.13	353.59	158.79	220.32	154.42	167.9	191.67	152.28	255.0	156.59	197.09	348.71	320.8	197.09	220.32	432.53	199.85	115.97	351.14	127.89	244.57	239.52	400.71	107.38	170.25	260.38	314.17	248.0	223.41	312.0	191.67	80.57	236.21	130.6	293.07	137.14	232.94	217.27	61.25	229.72	193.01	389.72	139.07	353.59	215.77	291.04	102.97	536.45	325.29	320.8	389.72	305.55	116.78	287.01	262.2	441.64	435.55	426.57	162.14	336.79	295.11	447.82	323.03	320.8	275.28	262.2	170.25	693.58	264.03	583.07	264.03	429.54	320.8	336.79	224.97	215.77	348.71	366.09	420.68	115.16	438.59	114.36	202.66	158.79	220.32	346.29	435.55	63.89	16.15	51.71	36.01	63.45	71.0	22.26	131.51	172.65
REST	480.04	172.65	98.04	307.69	229.72	307.69	279.14	177.53	256.78	186.4	211.31	231.32	178.77	384.34	217.27	320.8	371.22	295.11	242.88	285.03	361.04	320.8	187.71	309.83	137.14	258.57	264.03	291.04	100.13	195.72	249.73	336.79	299.25	172.65	293.07	204.07	172.65	221.86	158.79	312.0	131.51	271.48	172.65	81.14	299.25	56.68	397.93	149.12	420.68	166.73	297.17	109.66	435.55	273.37	332.14	457.25	305.55	96.01	228.13	307.69	376.41	258.57	346.29	149.12	392.44	323.03	423.61	587.13	381.68	314.17	234.57	169.07	669.92	271.48	139.07	325.29	490.14	395.18	201.25	267.73	187.71	97.36	497.0	329.84	109.66	389.72	154.42	336.79	242.88	199.85	334.46	341.51	84.63	28.45	89.51	57.08	43.63	47.17	28.65	248.0	181.28
RFX7	371.22	57.89	33.54	127.89	90.77	178.77	116.78	50.27	215.77	61.68	71.5	165.57	81.14	140.04	98.73	123.5	269.6	134.3	121.79	118.43	182.55	175.07	59.55	146.03	42.11	81.14	88.26	208.38	44.57	68.55	163.28	299.25	71.0	80.57	190.34	142.01	37.32	127.0	73.54	169.07	73.54	158.79	92.05	47.84	125.24	62.12	239.52	83.45	258.57	100.13	172.65	58.3	400.71	209.84	283.05	320.8	182.55	51.71	183.82	167.9	279.14	185.11	221.86	93.35	277.2	256.78	283.05	295.11	295.11	229.72	242.88	109.66	346.29	185.11	246.28	269.6	249.73	195.72	100.83	172.65	176.29	107.38	366.09	195.72	67.12	204.07	80.57	221.86	123.5	158.79	197.09	343.89	36.79	13.93	53.19	55.89	18.43	19.97	17.51	88.26	84.63
RICTOR	429.54	135.24	40.36	173.85	110.43	124.37	198.47	85.22	186.4	161.02	87.65	145.02	123.5	177.53	126.12	149.12	163.28	158.79	84.63	239.52	336.79	135.24	90.77	152.28	44.57	120.94	165.57	251.48	42.71	100.83	80.01	269.6	136.19	98.04	185.11	98.73	62.56	152.28	109.66	258.57	80.01	170.25	125.24	32.59	148.09	130.6	397.93	73.03	351.14	107.38	208.38	63.45	480.04	248.0	299.25	397.93	269.6	66.65	220.32	212.78	406.31	303.44	353.59	109.66	454.09	470.14	237.86	265.87	400.71	201.25	325.29	102.97	409.15	339.14	297.17	212.78	447.82	341.51	246.28	234.57	271.48	165.57	236.21	507.46	57.89	412.0	76.71	346.29	111.21	177.53	334.46	361.04	44.89	11.82	49.91	38.95	41.81	38.67	24.11	124.37	242.88
RIF1	473.41	111.21	26.86	208.38	127.89	185.11	285.03	124.37	376.41	208.38	93.35	145.02	117.6	127.89	125.24	149.12	281.09	191.67	208.38	241.19	346.29	153.34	85.22	248.0	66.18	142.01	134.3	260.38	47.17	80.01	177.53	221.86	124.37	115.16	218.79	249.73	96.01	171.45	117.6	251.48	88.26	185.11	150.17	47.17	182.55	81.71	529.06	93.35	438.59	150.17	251.48	94.67	684.02	291.04	348.71	444.72	309.83	70.01	265.87	228.13	521.76	423.61	460.44	147.06	559.28	447.82	371.22	361.04	536.45	299.25	226.54	138.1	764.36	438.59	381.68	559.28	432.53	400.71	293.07	248.0	356.05	287.01	395.18	563.18	83.45	237.86	89.51	255.0	129.69	161.02	305.55	423.61	50.27	8.51	40.93	34.75	39.79	32.59	14.03	85.22	249.73
RLIM	629.35	157.68	133.36	325.29	253.23	314.17	397.93	191.67	371.22	187.71	112.77	195.72	167.9	341.51	193.01	265.87	466.88	358.54	251.48	366.09	642.59	327.56	218.79	583.07	307.69	249.73	320.8	791.35	120.1	215.77	255.0	376.41	351.14	205.5	312.0	346.29	279.14	332.14	251.48	460.44	232.94	295.11	283.05	84.04	389.72	120.94	450.94	211.31	463.65	291.04	341.51	137.14	591.22	414.87	500.46	473.41	389.72	173.85	299.25	387.02	432.53	460.44	616.37	231.32	438.59	476.71	351.14	309.83	463.65	371.22	438.59	199.85	551.56	312.0	599.49	275.28	473.41	387.02	988.12	232.94	309.83	412.0	368.65	351.14	119.26	521.76	159.9	447.82	175.07	229.72	376.41	567.1	115.16	59.97	117.6	113.56	59.55	48.52	51.35	209.84	295.11
RSF1	830.75	221.86	161.02	728.11	191.67	329.84	476.71	258.57	633.73	441.64	143.01	232.94	241.19	246.28	291.04	236.21	669.92	287.01	2104.58	460.44	575.03	406.31	314.17	603.67	176.29	293.07	387.02	647.07	172.65	221.86	332.14	629.35	277.2	244.57	334.46	327.56	167.9	329.84	262.2	1023.0	167.9	379.04	271.48	164.42	389.72	221.86	665.29	234.57	665.29	361.04	395.18	138.1	775.05	503.95	540.19	785.88	551.56	312.0	591.22	318.57	808.0	660.68	540.19	316.37	693.58	921.88	536.45	1044.52	651.58	447.82	836.53	147.06	1259.69	368.65	325.29	297.17	460.44	693.58	463.65	297.17	579.04	400.71	571.05	540.19	204.07	1008.9	228.13	674.59	271.48	392.44	486.75	599.49	98.04	33.3	81.71	59.97	80.01	75.64	27.64	387.02	343.89
SAV1	884.29	813.63	244.57	616.37	395.18	988.12	511.0	341.51	1697.45	366.09	198.47	587.13	543.96	397.93	738.29	884.29	866.07	521.76	341.51	540.19	1487.87	579.04	417.77	660.68	397.93	595.34	921.88	438.59	713.11	503.95	392.44	444.72	551.56	511.0	1769.57	974.5	567.1	896.64	642.59	1151.06	470.14	1111.82	532.74	197.09	603.67	376.41	1447.15	764.36	1923.14	1159.07	1561.89	587.13	2163.77	1467.37	1313.23	1769.57	1242.34	830.75	1340.84	1233.75	1950.0	1183.45	1639.59	1008.9	1844.76	1883.54	1081.39	1268.46	1857.6	1268.46	1001.93	1044.52	2104.58	1111.82	2271.4	1322.37	1498.22	1447.15	1639.59	1081.39	1159.07	1427.22	1340.84	1819.35	830.75	2956.17	769.69	1467.37	1250.98	866.07	995.0	1781.89	392.44	206.94	332.14	269.6	135.24	90.14	186.4	476.71	540.19
SCAMP1	1225.22	490.14	214.27	684.02	599.49	629.35	1216.75	547.75	426.57	366.09	363.56	612.11	339.14	728.11	435.55	733.19	866.07	753.83	493.56	791.35	1135.2	351.14	314.17	651.58	406.31	483.38	669.92	2627.46	348.71	320.8	660.68	791.35	728.11	470.14	872.1	395.18	221.86	567.1	447.82	872.1	387.02	679.29	595.34	159.9	842.36	842.36	890.44	353.59	1030.12	616.37	753.83	301.33	1331.57	866.07	967.76	1081.39	759.08	267.73	819.3	743.43	974.5	921.88	1208.34	392.44	854.13	1030.12	698.41	775.05	825.0	1447.15	651.58	351.14	1923.14	616.37	1044.52	1023.0	738.29	624.99	928.3	616.37	444.72	748.61	941.27	954.43	551.56	1745.2	223.41	633.73	571.05	629.35	1008.9	1551.09	201.25	111.21	318.57	181.28	155.5	128.79	73.54	273.37	417.77
SCYL2	860.08	312.0	126.12	529.06	457.25	723.08	559.28	277.2	647.07	607.87	297.17	395.18	258.57	624.99	293.07	454.09	551.56	503.95	368.65	438.59	775.05	403.5	281.09	693.58	248.0	325.29	450.94	775.05	180.02	323.03	551.56	583.07	400.71	318.57	497.0	403.5	255.0	454.09	277.2	450.94	287.01	633.73	454.09	112.77	493.56	237.86	669.92	267.73	688.78	336.79	473.41	186.4	872.1	486.75	708.18	620.67	599.49	180.02	423.61	503.95	651.58	674.59	738.29	327.56	718.08	819.3	500.46	555.41	825.0	500.46	688.78	318.57	896.64	525.39	872.1	389.72	819.3	447.82	921.88	291.04	536.45	379.04	571.05	708.18	289.02	921.88	204.07	733.19	312.0	336.79	896.64	708.18	135.24	102.97	119.26	122.64	129.69	105.89	111.21	287.01	275.28
