	GTEX.ZP4G.1726.SM.4WWCM	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.14E6E.1526.SM.5RQIG	GTEX.13CF2.1826.SM.5N9GK	GTEX.14BMV.2426.SM.5S2PP	GTEX.1211K.1726.SM.5FQUJ	GTEX.ZPCL.1826.SM.57WF1	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YEC3.2426.SM.5IFJR	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.13QBU.1826.SM.5IJG3	GTEX.XPVG.1826.SM.4B64X	GTEX.11ONC.1926.SM.5GU75	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZYFC.2226.SM.5NQ96	GTEX.117YW.2026.SM.5N9BH	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8477.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.HC.7745.01A.11R.2118.07	TCGA.BR.A44T.01A.32R.A24K.31	GTEX.145MO.2226.SM.5Q5BN	GTEX.139YR.1926.SM.5LZXM	GTEX.Y5V6.1326.SM.4VDTF	GTEX.11EI6.2426.SM.5PNVS	TCGA.EL.A3H5.01A.11R.A206.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.11ZTS.1126.SM.5LU9X	GTEX.111VG.0526.SM.5N9BW	GTEX.1313W.2826.SM.5P9G1
RP11-1220K2.2	98.04	551.56	187.71	480.04	16.15	0.0	136.19	426.57	180.02	82.29	24.81	37.59	27.64	145.02	332.14	96.01	136.19	9.85	172.65	40.64	0.48	0.0	2.2	0.0	0.43	0.0	0.0	1.62	1.58	1.14	0.0	0.36	0.35	76.71	10.96	22.26	7.94	2.2	0.73	0.83	0.56	3.06	0.87
SATB2	1617.0	2796.65	2209.26	2319.15	248.0	241.19	2178.83	1896.65	2255.7	1519.15	1551.09	1008.9	1183.45	2434.5	1745.2	1605.83	1832.01	595.34	2400.97	1936.53	53.95	37.85	47.5	21.01	6.78	26.47	6.21	93.35	7.28	53.57	63.0	29.27	69.03	16.75	50.63	80.57	43.94	56.68	51.71	22.92	51.35	36.01	7.69
SCAMP2	4239.45	5479.15	4671.57	5517.27	1832.01	2468.49	5147.73	4704.07	4836.35	3847.29	3491.39	2119.22	3443.31	5076.84	4358.66	4869.99	4607.24	2178.83	5403.7	3901.01	1135.2	1467.37	1350.18	1572.76	2502.97	2400.97	2090.03	1745.2	1651.0	1259.69	2193.99	1757.34	1769.57	2148.82	1794.29	2434.5	2090.03	1340.84	1216.75	1572.76	1225.22	1417.35	902.89
SCO2	1745.2	1427.22	1561.89	1883.54	928.3	738.29	1359.57	1457.23	1417.35	1572.76	1721.16	1037.29	1268.46	1781.89	1397.83	1794.29	2047.0	1073.91	1832.01	1427.22	525.39	536.45	329.84	633.73	679.29	698.41	718.08	343.89	981.29	743.43	297.17	785.88	587.13	381.68	387.02	728.11	555.41	334.46	341.51	381.68	703.28	1199.98	301.33
SDCBP2	6037.61	12764.83	8022.41	20310.37	493.56	493.56	8778.97	8840.04	8963.45	5479.15	4903.87	4639.29	2720.15	9606.86	8963.45	8901.53	7382.04	848.22	9740.98	6792.79	195.72	299.25	417.77	5366.37	2255.7	3614.55	5112.16	43.32	1685.71	34.02	38.95	49.21	68.07	144.01	723.08	624.99	791.35	138.1	226.54	426.57	633.73	158.79	94.67
SELENBP1	59887.86	56265.94	100023.92	74243.68	7803.01	5366.37	71714.63	42641.37	82951.62	64632.75	40341.14	46986.85	30151.71	66449.85	52863.07	60304.42	92040.7	8778.97	84109.6	87681.42	4937.99	1769.57	2178.83	2664.15	1936.53	1594.73	2240.11	4769.75	961.07	1909.85	8022.41	1639.59	1540.37	791.35	2816.11	2485.67	3901.01	1340.84	1477.58	10808.41	5995.9	4038.61	9088.59
SEMA4G	1313.23	2032.85	2090.03	1594.73	444.72	269.6	2240.11	1651.0	2047.0	1769.57	1950.0	1529.73	1268.46	2591.27	1977.24	2319.15	2400.97	1023.0	2645.74	1923.14	132.44	70.01	38.4	53.19	45.53	20.71	38.4	239.52	29.7	73.54	35.25	98.73	309.83	169.07	183.82	159.9	120.1	125.24	68.07	241.19	85.82	48.52	103.69
SEPHS2	2976.74	4181.07	3168.41	5255.91	967.76	1159.07	3018.3	3716.2	3768.09	2434.5	2319.15	1794.29	2224.63	3665.02	2895.31	2956.17	3146.52	842.36	3515.68	2796.65	395.18	532.74	381.68	2434.5	1991.0	1806.78	1551.09	3716.2	1870.53	884.29	1104.13	1159.07	1304.15	1030.12	947.83	1191.69	1540.37	279.14	878.17	759.08	441.64	638.15	514.56
SLC17A4	723.08	2255.7	860.08	3419.52	139.07	26.86	1268.46	1350.18	1397.83	647.07	503.95	642.59	325.29	1769.57	2061.24	1199.98	981.29	220.32	1397.83	791.35	2.58	0.0	0.93	0.0	0.0	0.0	0.0	72.01	0.0	30.56	176.29	1.17	22.59	1.79	0.0	0.0	7.57	0.0	0.0	0.0	0.0	0.0	0.38
SLC22A18AS	2178.83	2451.44	1883.54	4010.71	76.71	111.99	1467.37	1191.69	1781.89	1369.04	1697.45	1322.37	961.07	2384.37	1651.0	1467.37	2018.8	325.29	1757.34	1519.15	12.0	9.34	15.0	22.1	5.15	21.94	19.68	187.71	7.69	18.43	23.25	4.5	10.24	8.0	28.65	35.76	35.25	22.43	100.83	8.71	5.32	23.08	11.64
SLC25A34	305.55	329.84	376.41	595.34	297.17	98.04	293.07	253.23	297.17	236.21	351.14	297.17	148.09	525.39	438.59	221.86	381.68	163.28	303.44	251.48	111.99	43.02	59.13	2.76	72.01	8.65	38.12	151.22	147.06	12.64	82.29	21.47	12.09	53.95	29.91	212.78	52.08	53.95	8.06	34.02	102.25	59.13	57.49
SLC25A5	24321.43	35363.15	25530.66	48307.85	11112.3	7642.41	21172.91	29736.59	25708.25	21617.82	17927.91	12676.65	19214.73	28132.47	21320.18	23986.58	27553.49	7331.05	27745.15	20737.16	2240.11	4358.66	4903.87	48307.85	30151.71	21468.49	23492.92	17927.91	7130.55	4639.29	2816.11	5255.91	4268.94	4769.75	8538.88	6294.04	20593.91	4095.0	3395.89	4038.61	3257.52	3190.46	2400.97
SLC26A2	11112.3	23330.64	17681.08	31432.17	371.22	551.56	16383.0	12076.21	12853.63	7130.55	7032.37	4123.49	5594.3	16843.62	13215.02	13306.94	14065.74	1119.56	23009.42	10959.3	72.01	69.52	74.58	39.5	36.01	38.67	43.02	80.01	140.04	242.88	54.72	94.01	457.25	64.8	115.16	146.03	47.5	95.34	165.57	64.8	129.69	89.51	94.67
SLC35D2	1963.57	2701.35	2609.3	3847.29	878.17	1277.29	2573.36	2384.37	2537.92	1963.57	2163.77	1437.15	1369.04	3018.3	2224.63	2520.38	2351.53	1051.79	2739.08	2178.83	629.35	713.11	1159.07	389.72	214.27	397.93	242.88	723.08	463.65	819.3	854.13	764.36	629.35	529.06	647.07	684.02	684.02	507.46	493.56	1015.93	813.63	934.76	854.13
SOWAHD	64.8	87.03	94.01	88.26	15.68	41.81	98.04	63.0	82.29	57.89	65.72	39.79	75.64	102.97	80.57	82.29	101.54	15.22	119.26	75.64	7.22	3.69	0.0	8.06	39.22	38.67	24.11	2.43	7.46	5.68	5.63	5.15	9.27	90.14	17.25	21.47	43.94	4.06	4.06	2.1	0.0	50.27	1.33
SRI	21320.18	53230.77	24832.5	42346.82	5292.48	8078.22	24832.5	28525.2	28132.47	19082.0	16045.82	14065.74	13776.25	33688.23	22380.2	37121.34	22225.61	6294.04	29327.18	21320.18	1896.65	1487.87	2537.92	5076.84	4512.4	4095.0	4543.8	1605.83	3235.01	3212.66	2163.77	2224.63	2591.27	2555.58	1909.85	3325.99	1322.37	2796.65	2627.46	1757.34	1832.01	1819.35	2682.69
SUCLG1	6207.38	7433.4	6471.02	5954.47	3982.99	2627.46	5441.3	5517.27	6294.04	5403.7	5831.91	3614.55	5633.22	7803.01	4481.23	6516.03	7280.4	3467.27	6381.92	5441.3	1286.18	1572.76	1191.69	8247.98	2875.3	2875.3	2777.33	11827.67	3168.41	1135.2	1870.53	1457.23	1628.26	1350.18	1991.0	1870.53	3928.15	1350.18	1540.37	3039.3	2032.85	1991.0	1745.2
SULT1A1	3419.52	8538.88	6607.01	9215.48	1037.29	1617.0	4239.45	3257.52	2816.11	3018.3	2997.45	3716.2	2384.37	4268.94	2956.17	7331.05	4802.93	1268.46	4512.4	4512.4	1923.14	432.53	743.43	121.79	1551.09	463.65	1111.82	860.08	642.59	379.04	438.59	420.68	223.41	412.0	753.83	432.53	1119.56	476.71	334.46	836.53	1844.76	884.29	679.29
SULT1A2	808.0	2271.4	1066.48	4010.71	104.42	205.5	1313.23	872.1	866.07	624.99	647.07	1359.57	316.37	1250.98	947.83	1417.35	1008.9	111.21	842.36	507.46	151.22	6.21	64.34	4.98	173.85	58.71	88.88	169.07	50.27	7.11	13.32	6.57	8.45	13.42	27.64	15.0	21.63	29.06	31.0	587.13	616.37	74.58	81.71
SULT1B1	2451.44	6607.01	2915.45	4239.45	130.6	130.6	2758.13	2935.74	3901.01	1950.0	1437.15	1183.45	1685.71	3820.7	2209.26	3212.66	3419.52	295.11	3614.55	2163.77	2.81	3.11	29.06	1.33	1.66	6.52	1.41	8.06	3.11	5.15	3.44	8.32	2.66	10.63	68.07	87.65	334.46	1.6	25.72	8.92	8.32	8.32	0.13
TACO1	928.3	1015.93	909.17	1088.92	603.67	476.71	723.08	759.08	808.0	612.11	723.08	575.03	693.58	928.3	698.41	896.64	928.3	409.15	825.0	728.11	271.48	387.02	185.11	1081.39	759.08	616.37	587.13	1066.48	358.54	432.53	279.14	493.56	503.95	303.44	348.71	371.22	486.75	249.73	287.01	353.59	232.94	281.09	389.72
TJP3	5147.73	7130.55	6652.97	10440.2	764.36	400.71	7803.01	5441.3	6207.38	5219.6	5751.61	5751.61	3325.99	7485.11	6745.86	7485.11	7382.04	1457.23	7642.41	5913.33	4.62	39.79	21.16	921.88	1066.48	1051.79	1191.69	356.05	84.04	218.79	1066.48	224.97	356.05	660.68	1059.11	1159.07	1685.71	133.36	785.88	444.72	796.86	620.67	89.51
TM4SF20	156.59	1088.92	96.68	1233.75	16.39	0.0	199.85	825.0	483.38	132.44	20.86	15.56	116.78	267.73	450.94	23.59	41.81	12.0	61.25	40.93	10.39	0.0	0.0	0.0	0.43	0.0	0.0	2.2	2.94	6.89	0.47	0.0	1.66	27.44	80.57	74.58	165.57	173.85	0.0	0.27	1.68	0.0	0.04
TM6SF2	167.9	470.14	208.38	1304.15	50.27	71.0	397.93	486.75	285.03	241.19	106.63	236.21	30.78	368.65	351.14	525.39	169.07	42.71	249.73	110.43	124.37	28.86	22.26	1.41	0.47	1.99	0.53	92.05	1.81	10.16	11.73	1.77	26.67	12.55	37.32	38.95	13.62	27.05	12.93	3.76	14.89	2.84	7.82
TMEM45B	7695.57	14361.31	8305.36	18304.63	392.44	305.55	8778.97	10154.69	9151.82	6887.62	4937.99	2720.15	3280.18	9344.14	7230.1	8538.88	8658.09	1199.98	10440.2	6079.61	8.58	58.3	40.93	39.22	1.68	13.93	1.89	403.5	309.83	76.71	45.21	647.07	339.14	159.9	409.15	368.65	688.78	63.0	181.28	154.42	115.16	669.92	11.47
TMEM53	738.29	878.17	665.29	1350.18	273.37	387.02	775.05	723.08	759.08	599.49	571.05	473.41	450.94	775.05	728.11	743.43	802.41	256.78	848.22	656.11	144.01	124.37	148.09	713.11	769.69	450.94	633.73	387.02	182.55	212.78	237.86	343.89	220.32	191.67	525.39	341.51	387.02	211.31	253.23	244.57	162.14	246.28	175.07
TMEM82	988.12	1159.07	1073.91	1909.85	27.05	0.0	1096.5	684.02	748.61	728.11	603.67	412.0	303.44	1167.14	629.35	954.43	872.1	66.18	988.12	796.86	0.0	0.0	0.0	0.48	0.0	0.52	0.0	616.37	0.74	0.0	4.17	0.0	0.44	3.5	18.97	21.78	23.76	0.0	0.0	0.0	0.0	0.0	0.0
TNIP1	2682.69	3257.52	3639.7	5672.41	2224.63	2682.69	3190.46	4152.18	3794.3	2895.31	2384.37	3212.66	1950.0	3467.27	4903.87	2627.46	2816.11	2271.4	4802.93	3146.52	1498.22	1709.26	1857.6	2193.99	1936.53	2104.58	2351.53	1628.26	4038.61	1896.65	1119.56	1322.37	1617.0	1605.83	2032.85	2193.99	1733.13	1662.49	2090.03	1183.45	1369.04	2075.59	1923.14
TP53I3	2520.38	2319.15	3874.05	3768.09	1208.34	1001.93	4328.55	2997.45	3303.0	2816.11	2682.69	1991.0	1447.15	3395.89	3190.46	2997.45	4010.71	1051.79	2701.35	3690.52	759.08	599.49	373.81	1250.98	679.29	583.07	674.59	1350.18	638.15	234.57	56.28	336.79	595.34	295.11	713.11	981.29	429.54	909.17	1073.91	511.0	1191.69	529.06	647.07
TRAPPC10	723.08	872.1	928.3	698.41	363.56	389.72	995.0	723.08	1104.13	748.61	713.11	607.87	599.49	934.76	890.44	921.88	909.17	373.81	1135.2	825.0	343.89	220.32	232.94	417.77	297.17	191.67	211.31	454.09	551.56	209.84	206.94	215.77	218.79	536.45	281.09	242.88	232.94	214.27	236.21	483.38	417.77	316.37	143.01
TREH	180.02	220.32	384.34	96.68	27.25	31.0	117.6	148.09	193.01	94.67	101.54	155.5	84.04	151.22	108.14	228.13	145.02	28.24	134.3	129.69	30.56	14.24	19.39	4.03	0.0	0.96	0.48	866.07	52.45	7.88	3.26	7.22	15.8	9.56	71.5	94.01	69.03	22.26	15.56	14.56	14.56	93.35	5.41
TRIM10	78.89	131.51	102.97	141.02	44.25	15.91	95.34	87.65	76.71	74.58	68.55	59.55	49.91	136.19	78.34	88.88	122.64	47.5	108.14	105.15	4.9	13.93	8.25	0.0	0.0	0.0	0.0	89.51	4.1	0.0	0.0	0.0	0.0	3.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRPM6	429.54	967.76	819.3	1950.0	30.12	53.19	1104.13	1250.98	934.76	409.15	79.45	346.29	178.77	1295.13	1331.57	703.28	579.04	72.01	1277.29	525.39	23.42	9.41	6.01	0.88	0.83	6.11	4.7	140.04	89.51	15.22	1.75	8.19	14.03	6.46	8.45	15.8	2.46	20.11	8.99	11.91	7.46	10.16	3.69
TTC22	902.89	1259.69	1127.35	2075.59	212.78	111.21	1242.34	1143.1	1417.35	967.76	878.17	693.58	493.56	1685.71	1457.23	1199.98	1331.57	305.55	1651.0	1111.82	14.14	62.56	58.3	138.1	47.5	54.33	14.03	88.88	36.27	29.27	358.54	118.43	248.0	104.42	316.37	432.53	281.09	162.14	117.6	128.79	130.6	125.24	101.54
TTC38	2032.85	2777.33	2956.17	3039.3	1225.22	896.64	2816.11	2119.22	2537.92	2119.22	2555.58	2047.0	2351.53	3060.45	2701.35	2555.58	3039.3	1304.15	2997.45	2485.67	713.11	414.87	669.92	204.07	529.06	400.71	341.51	2163.77	457.25	1605.83	343.89	1030.12	941.27	429.54	688.78	915.51	1008.9	379.04	339.14	603.67	392.44	473.41	665.29
UCN3	116.78	105.89	69.52	212.78	0.0	139.07	165.57	57.89	205.5	128.79	87.03	16.03	59.97	384.34	69.52	156.59	111.99	22.92	138.1	51.71	0.0	0.0	0.0	0.0	0.84	2.34	0.0	33.54	0.0	2.89	19.53	0.0	28.04	0.0	41.22	7.28	34.51	96.68	0.0	0.0	0.0	0.0	0.0
UGT2B17	33688.23	80683.28	55877.28	34396.12	412.0	728.11	45072.75	28923.41	34396.12	23009.42	52863.07	5672.41	20451.65	39510.91	32.13	70238.75	60304.42	2061.24	40904.3	28328.16	8.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.47	14.35	0.34	5.96	0.35	4.78	15.45	2.25	45.85	0.0	4.94	0.0	0.0	0.0	0.0
UQCRC1	12764.83	14262.1	13306.94	13968.57	8022.41	4419.52	11424.74	11189.6	13306.94	12329.98	12160.22	7803.01	10808.41	16045.82	10808.41	13123.73	14065.74	7695.57	13492.72	11504.21	3060.45	5219.6	3212.66	17804.06	14262.1	13306.94	16496.96	10959.3	3794.3	4123.49	4298.64	5183.54	4481.23	3168.41	4802.93	4358.66	11992.79	2915.45	3820.7	3395.89	3103.19	3257.52	2855.44
UQCRC2	8305.36	11035.54	8778.97	7857.29	8078.22	4066.71	7911.95	7803.01	8479.89	7749.1	7857.29	5594.3	7589.61	10296.45	6840.04	8479.89	9474.59	5219.6	9279.58	8305.36	2935.74	3349.13	2573.36	12589.08	7911.95	7589.61	7331.05	7695.57	3874.05	2004.85	2875.3	2485.67	3039.3	3820.7	3589.58	3103.19	5555.65	3768.09	2645.74	3146.52	3794.3	4836.35	4736.79
UQCRFS1	5711.87	7081.29	5041.77	6037.61	3280.18	1757.34	3847.29	4802.93	4639.29	4543.8	4704.07	3124.78	4481.23	5633.22	3589.58	4512.4	5831.91	2240.11	5219.6	4639.29	819.3	1477.58	1159.07	6337.83	7130.55	5872.48	5479.15	3564.78	2193.99	1369.04	1250.98	1733.13	1417.35	1857.6	1909.85	1286.18	4450.27	629.35	961.07	1313.23	902.89	928.3	785.88
USH1C	3982.99	5479.15	5791.62	6745.86	842.36	728.11	5366.37	4481.23	5517.27	3614.55	5219.6	3665.02	2664.15	5711.87	5292.48	5147.73	6079.61	1572.76	5594.3	4972.34	89.51	0.0	2.89	42.41	1.38	24.46	17.25	2090.03	17.77	4.1	3.79	3.56	17.13	651.58	231.32	141.02	221.86	42.41	2.16	39.5	157.68	24.81	15.68
VDR	1991.0	2367.9	2047.0	3103.19	170.25	224.97	2047.0	1662.49	2032.85	1313.23	1437.15	1008.9	1073.91	2224.63	1572.76	1639.59	2032.85	325.29	2209.26	1487.87	49.56	12.74	27.25	161.02	1733.13	854.13	967.76	884.29	251.48	34.51	23.25	22.43	77.25	81.14	193.01	162.14	88.26	31.67	163.28	41.52	63.0	40.36	12.0
VIL1	11424.74	12502.12	9279.58	14361.31	1015.93	703.28	7485.11	8022.41	9876.98	7130.55	6079.61	4010.71	5872.48	13399.51	7280.4	8598.28	9876.98	2061.24	10659.59	6426.31	129.69	81.14	35.0	9.41	6.36	18.84	11.38	559.28	65.72	287.01	26.1	29.06	36.53	154.42	299.25	193.01	115.97	117.6	34.51	16.03	25.17	35.0	57.49
XK	368.65	791.35	358.54	417.77	316.37	69.03	267.73	500.46	414.87	323.03	226.54	346.29	332.14	417.77	356.05	307.69	332.14	242.88	432.53	329.84	14.03	23.42	36.27	6.06	36.01	5.06	6.46	72.01	3.63	3.69	9.78	7.34	38.12	76.71	143.01	33.06	98.73	42.41	6.41	24.63	3.82	7.51	56.68
