	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07
ROCK1	379.04	500.46	647.07	536.45	575.03	244.57	490.14	106.63	291.04	381.68	376.41	348.71	78.89	267.73	293.07	14.78	32.82	75.11	94.01	31.0
RPL7L1	1059.11	1313.23	1721.16	1457.23	1540.37	1167.14	1551.09	769.69	1583.71	1216.75	1286.18	1008.9	698.41	872.1	1001.93	423.61	521.76	669.92	764.36	514.56
RSPH3	142.01	260.38	289.02	224.97	241.19	221.86	246.28	127.0	273.37	156.59	120.94	134.3	53.95	198.47	156.59	83.45	89.51	24.99	22.59	26.28
SCAI	44.89	36.79	91.41	74.58	85.22	53.57	61.25	16.15	69.03	39.79	57.08	67.12	21.47	49.21	25.72	8.0	15.91	17.0	26.1	7.34
SCGB2A2	1800541.22	845824.19	262143.0	938500.81	1318073.06	1788103.97	1034138.94	1751305.3	2279047.19	1422501.74	1600397.78	8805660.77	77934.88	1578364.61	1187913.85	0.0	0.0	0.0	0.0	0.0
SCYL2	674.59	819.3	769.69	629.35	738.29	450.94	567.1	180.02	616.37	384.34	438.59	438.59	112.77	351.14	529.06	102.97	122.64	129.69	175.07	111.21
SEC24A	441.64	376.41	486.75	403.5	486.75	244.57	507.46	114.36	358.54	226.54	327.56	226.54	40.64	348.71	318.57	78.34	52.82	127.0	141.02	172.65
SENP8	115.16	80.01	63.0	90.77	116.78	76.71	83.45	80.57	63.0	56.68	47.84	40.07	29.48	44.57	49.21	19.53	45.85	43.32	48.52	29.48
SKP2	147.06	139.07	143.01	119.26	220.32	84.04	137.14	73.54	142.01	137.14	86.43	95.34	132.44	94.01	105.15	32.82	45.21	64.8	80.01	64.34
SLC25A51	255.0	237.86	387.02	327.56	262.2	314.17	271.48	150.17	255.0	206.94	248.0	221.86	158.79	241.19	211.31	186.4	156.59	37.05	120.94	76.17
SLC38A1	866.07	1844.76	4268.94	2520.38	2682.69	2451.44	1467.37	39.5	2335.28	995.0	1208.34	543.96	358.54	1388.16	1331.57	229.72	323.03	84.04	78.89	22.43
SMEK1	1104.13	1427.22	1551.09	1561.89	1583.71	1088.92	1662.49	1001.93	1721.16	1175.27	1191.69	1259.69	603.67	1104.13	1143.1	169.07	392.44	738.29	775.05	232.94
SMEK2	1175.27	1594.73	1540.37	1259.69	1191.69	688.78	934.76	521.76	1304.15	872.1	780.44	796.86	217.27	802.41	860.08	82.87	202.66	279.14	356.05	171.45
SMNDC1	624.99	620.67	591.22	607.87	633.73	371.22	529.06	325.29	567.1	540.19	476.71	371.22	246.28	371.22	460.44	215.77	211.31	138.1	169.07	137.14
SMU1	1286.18	1397.83	1870.53	1583.71	1628.26	1551.09	1583.71	1111.82	1427.22	1508.65	1088.92	1059.11	775.05	1175.27	1051.79	703.28	708.18	258.57	620.67	507.46
SON	3280.18	3349.13	4268.94	3564.78	3955.48	2701.35	3018.3	1662.49	3564.78	2367.9	2816.11	2875.3	1498.22	2148.82	2271.4	603.67	988.12	1023.0	748.61	665.29
SRSF1	3639.7	3874.05	3690.52	4419.52	3589.58	2591.27	3419.52	2104.58	3639.7	3146.52	3103.19	2537.92	1225.22	2255.7	3303.0	884.29	884.29	723.08	1183.45	866.07
SRSF10	1844.76	2104.58	2032.85	1909.85	1936.53	1313.23	1628.26	1051.79	1583.71	1508.65	1216.75	1397.83	483.38	860.08	1151.06	346.29	414.87	295.11	688.78	514.56
STAG1	463.65	420.68	476.71	392.44	500.46	267.73	320.8	131.51	476.71	384.34	323.03	329.84	104.42	309.83	329.84	50.63	75.64	44.25	90.14	54.72
STK38	435.55	559.28	587.13	679.29	476.71	426.57	341.51	277.2	480.04	368.65	409.15	429.54	332.14	346.29	444.72	293.07	503.95	363.56	460.44	206.94
STK4	371.22	336.79	406.31	403.5	412.0	267.73	303.44	90.77	307.69	173.85	246.28	241.19	98.04	231.32	226.54	100.83	169.07	69.52	93.35	61.68
STPG2	0.78	3.35	2.84	6.36	3.47	1.81	1.99	0.57	3.41	0.35	2.41	1.57	0.34	3.5	1.48	0.0	1.33	0.0	0.0	0.0
STYX	275.28	307.69	283.05	368.65	361.04	172.65	312.0	151.22	220.32	162.14	223.41	197.09	84.63	246.28	204.07	33.06	108.14	183.82	198.47	145.02
