	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.BJ.A0ZF.01A.11R.A10U.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.KS.A41J.11A.12R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZZPU.1326.SM.5GZWS	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
NEMF	193.01	128.79	178.77	61.25	314.17	172.65	450.94	414.87	414.87	356.05	547.75	511.0	373.81	406.31	392.44	500.46	450.94	624.99	426.57	273.37	651.58	743.43	595.34	872.1	480.04	532.74	674.59	616.37	743.43	624.99	587.13	470.14	860.08	738.29	842.36	486.75	753.83	775.05	638.15	713.11	493.56	603.67	616.37	647.07	483.38	616.37	476.71	555.41	665.29	688.78	607.87	503.95	647.07	728.11	493.56	529.06	583.07	575.03	450.94	753.83	660.68	563.18	674.59	612.11	802.41	540.19	514.56	629.35	540.19	518.15	759.08	529.06	748.61	642.59	660.68	525.39	825.0	575.03	521.76	684.02	656.11	624.99	603.67	674.59	493.56	551.56	599.49	616.37	713.11	688.78	551.56	476.71	612.11	450.94	698.41
NHLRC3	358.54	329.84	314.17	466.88	249.73	69.52	193.01	356.05	373.81	136.19	381.68	312.0	107.38	249.73	301.33	356.05	381.68	476.71	351.14	249.73	866.07	718.08	423.61	1151.06	447.82	567.1	633.73	454.09	708.18	514.56	470.14	536.45	642.59	684.02	620.67	575.03	738.29	1030.12	483.38	860.08	571.05	651.58	698.41	476.71	607.87	423.61	497.0	587.13	698.41	854.13	603.67	579.04	728.11	651.58	624.99	521.76	480.04	476.71	547.75	802.41	674.59	366.09	848.22	769.69	813.63	346.29	500.46	579.04	620.67	373.81	796.86	438.59	684.02	503.95	802.41	620.67	802.41	529.06	366.09	669.92	493.56	665.29	412.0	575.03	395.18	854.13	733.19	518.15	633.73	723.08	423.61	376.41	612.11	620.67	503.95
NKTR	52.08	42.71	43.32	14.14	80.01	75.11	264.03	279.14	348.71	187.71	540.19	417.77	381.68	253.23	287.01	521.76	825.0	312.0	497.0	172.65	1674.06	1508.65	616.37	1617.0	414.87	633.73	928.3	842.36	1322.37	1119.56	651.58	642.59	1605.83	947.83	825.0	665.29	2032.85	1674.06	1001.93	1519.15	954.43	1487.87	1104.13	665.29	967.76	796.86	713.11	813.63	1023.0	1651.0	1001.93	579.04	1350.18	1066.48	830.75	769.69	470.14	718.08	713.11	1037.29	1508.65	607.87	1857.6	1088.92	1378.57	575.03	525.39	1051.79	743.43	493.56	1051.79	348.71	1397.83	733.19	1225.22	1104.13	1551.09	954.43	460.44	1519.15	748.61	1119.56	417.77	928.3	351.14	1250.98	1135.2	947.83	995.0	1167.14	579.04	348.71	785.88	738.29	791.35
NOL8	118.43	75.11	111.99	43.32	242.88	169.07	265.87	307.69	316.37	242.88	307.69	384.34	361.04	312.0	277.2	305.55	297.17	373.81	293.07	265.87	612.11	587.13	351.14	603.67	366.09	381.68	376.41	387.02	497.0	432.53	332.14	305.55	441.64	438.59	441.64	368.65	368.65	514.56	346.29	532.74	460.44	397.93	409.15	356.05	351.14	327.56	379.04	341.51	521.76	674.59	490.14	490.14	559.28	647.07	470.14	403.5	420.68	414.87	366.09	490.14	507.46	334.46	466.88	454.09	555.41	341.51	381.68	343.89	409.15	353.59	518.15	305.55	473.41	395.18	444.72	309.83	483.38	381.68	316.37	361.04	432.53	429.54	332.14	358.54	273.37	529.06	384.34	325.29	444.72	454.09	368.65	525.39	532.74	366.09	450.94
NPHP3	49.56	36.01	35.25	20.41	48.52	73.03	94.01	125.24	75.11	75.11	180.02	205.5	173.85	204.07	98.73	281.09	163.28	94.01	156.59	90.77	703.28	708.18	248.0	848.22	387.02	361.04	318.57	273.37	616.37	314.17	234.57	336.79	532.74	371.22	381.68	476.71	460.44	733.19	242.88	785.88	571.05	361.04	540.19	297.17	329.84	181.28	417.77	334.46	444.72	796.86	269.6	387.02	703.28	684.02	651.58	450.94	314.17	255.0	450.94	420.68	529.06	167.9	629.35	389.72	921.88	190.34	392.44	373.81	551.56	153.34	511.0	198.47	723.08	249.73	551.56	379.04	718.08	343.89	228.13	555.41	373.81	379.04	167.9	262.2	148.09	1250.98	305.55	297.17	447.82	684.02	291.04	412.0	616.37	403.5	346.29
NUP54	251.48	121.79	165.57	76.71	220.32	287.01	406.31	379.04	301.33	291.04	429.54	368.65	392.44	486.75	353.59	432.53	320.8	473.41	314.17	299.25	624.99	665.29	529.06	884.29	463.65	684.02	656.11	583.07	693.58	559.28	536.45	532.74	703.28	656.11	629.35	583.07	693.58	909.17	656.11	753.83	688.78	629.35	567.1	591.22	518.15	521.76	490.14	684.02	703.28	748.61	607.87	607.87	595.34	796.86	579.04	555.41	587.13	591.22	529.06	684.02	638.15	612.11	656.11	656.11	954.43	500.46	518.15	579.04	612.11	503.95	688.78	579.04	660.68	540.19	860.08	567.1	703.28	660.68	579.04	660.68	698.41	642.59	529.06	612.11	500.46	629.35	674.59	591.22	612.11	688.78	583.07	536.45	629.35	551.56	583.07
NUPL1	161.02	193.01	197.09	173.85	221.86	65.72	118.43	291.04	214.27	90.77	232.94	186.4	153.34	189.02	136.19	277.2	190.34	353.59	212.78	131.51	490.14	400.71	384.34	616.37	346.29	420.68	536.45	334.46	603.67	583.07	334.46	423.61	567.1	384.34	351.14	384.34	802.41	974.5	318.57	521.76	339.14	356.05	395.18	397.93	314.17	366.09	353.59	346.29	470.14	426.57	281.09	316.37	384.34	432.53	532.74	420.68	332.14	318.57	432.53	529.06	543.96	332.14	532.74	466.88	688.78	293.07	312.0	384.34	358.54	293.07	514.56	346.29	397.93	368.65	500.46	329.84	785.88	329.84	291.04	466.88	426.57	429.54	412.0	339.14	220.32	486.75	543.96	341.51	518.15	500.46	316.37	273.37	395.18	376.41	285.03
ODF2L	103.69	64.8	70.51	24.81	132.44	28.04	334.46	426.57	353.59	246.28	392.44	379.04	420.68	309.83	395.18	525.39	289.02	351.14	381.68	334.46	679.29	872.1	387.02	1008.9	511.0	679.29	463.65	476.71	642.59	563.18	366.09	483.38	684.02	595.34	563.18	579.04	358.54	1088.92	571.05	769.69	896.64	651.58	529.06	521.76	406.31	514.56	753.83	454.09	595.34	733.19	563.18	555.41	813.63	928.3	802.41	708.18	438.59	429.54	656.11	934.76	921.88	521.76	748.61	796.86	995.0	511.0	703.28	454.09	780.44	414.87	575.03	470.14	780.44	802.41	796.86	563.18	860.08	587.13	363.56	674.59	503.95	612.11	348.71	616.37	341.51	769.69	642.59	514.56	616.37	551.56	860.08	638.15	791.35	503.95	486.75
ORC2	99.43	52.45	57.08	30.12	57.49	63.89	166.73	194.36	111.21	124.37	241.19	169.07	164.42	215.77	249.73	283.05	171.45	205.5	211.31	156.59	490.14	412.0	255.0	447.82	185.11	334.46	327.56	260.38	444.72	373.81	327.56	206.94	414.87	358.54	358.54	239.52	493.56	511.0	234.57	414.87	293.07	334.46	323.03	312.0	387.02	312.0	228.13	316.37	371.22	493.56	356.05	264.03	366.09	299.25	277.2	271.48	314.17	356.05	234.57	384.34	397.93	285.03	511.0	371.22	379.04	264.03	229.72	332.14	287.01	223.41	353.59	307.69	389.72	351.14	426.57	318.57	511.0	341.51	260.38	435.55	323.03	447.82	295.11	346.29	208.38	348.71	303.44	314.17	332.14	356.05	267.73	189.02	341.51	301.33	314.17
PACRGL	132.44	116.78	182.55	84.63	197.09	62.12	175.07	314.17	209.84	182.55	232.94	212.78	215.77	211.31	175.07	303.44	212.78	318.57	223.41	239.52	454.09	429.54	325.29	728.11	414.87	511.0	420.68	291.04	412.0	403.5	346.29	460.44	525.39	438.59	318.57	395.18	423.61	599.49	381.68	400.71	490.14	339.14	351.14	346.29	450.94	351.14	514.56	351.14	376.41	525.39	457.25	329.84	429.54	353.59	314.17	332.14	329.84	423.61	389.72	435.55	518.15	363.56	595.34	511.0	651.58	249.73	373.81	379.04	441.64	309.83	417.77	392.44	599.49	361.04	503.95	414.87	579.04	518.15	348.71	497.0	400.71	381.68	318.57	438.59	256.78	379.04	368.65	389.72	447.82	423.61	271.48	307.69	423.61	366.09	395.18
PAN3	142.01	113.56	111.99	84.63	121.79	27.25	169.07	231.32	204.07	115.97	293.07	256.78	226.54	236.21	206.94	348.71	293.07	204.07	199.85	157.68	490.14	507.46	346.29	769.69	379.04	503.95	493.56	329.84	536.45	420.68	336.79	432.53	591.22	470.14	454.09	414.87	470.14	791.35	395.18	595.34	559.28	450.94	392.44	329.84	343.89	264.03	441.64	371.22	435.55	466.88	392.44	463.65	518.15	466.88	540.19	497.0	397.93	316.37	470.14	703.28	486.75	314.17	490.14	466.88	769.69	297.17	450.94	414.87	620.67	279.14	454.09	376.41	511.0	271.48	540.19	371.22	563.18	366.09	301.33	507.46	403.5	490.14	358.54	332.14	241.19	638.15	463.65	358.54	583.07	507.46	353.59	291.04	476.71	395.18	336.79
PAPD4	293.07	316.37	426.57	145.02	299.25	258.57	258.57	403.5	473.41	287.01	490.14	412.0	343.89	379.04	314.17	591.22	414.87	373.81	417.77	397.93	974.5	890.44	497.0	1059.11	480.04	612.11	785.88	525.39	878.17	743.43	599.49	563.18	860.08	748.61	769.69	536.45	1088.92	1277.29	728.11	1001.93	748.61	909.17	660.68	587.13	624.99	587.13	540.19	698.41	780.44	785.88	703.28	579.04	780.44	698.41	808.0	642.59	551.56	579.04	579.04	954.43	854.13	638.15	988.12	785.88	981.29	518.15	567.1	802.41	698.41	406.31	733.19	669.92	813.63	463.65	928.3	651.58	1030.12	738.29	507.46	842.36	638.15	684.02	660.68	713.11	460.44	872.1	813.63	688.78	842.36	860.08	579.04	466.88	620.67	543.96	595.34
PAXBP1	75.11	40.93	66.65	17.38	90.14	113.56	142.01	165.57	201.25	135.24	307.69	269.6	217.27	239.52	163.28	348.71	271.48	199.85	228.13	148.09	583.07	638.15	239.52	759.08	182.55	346.29	426.57	346.29	543.96	376.41	373.81	334.46	521.76	642.59	376.41	293.07	620.67	808.0	348.71	642.59	417.77	493.56	423.61	351.14	457.25	314.17	283.05	325.29	392.44	432.53	540.19	409.15	426.57	665.29	547.75	366.09	279.14	287.01	255.0	642.59	514.56	318.57	555.41	518.15	543.96	325.29	239.52	356.05	457.25	214.27	500.46	289.02	511.0	348.71	567.1	429.54	591.22	409.15	273.37	500.46	348.71	503.95	325.29	426.57	246.28	915.51	463.65	500.46	429.54	470.14	361.04	299.25	379.04	260.38	384.34
PEX1	224.97	104.42	129.69	46.84	102.97	73.54	198.47	248.0	291.04	273.37	309.83	239.52	202.66	218.79	251.48	316.37	329.84	264.03	305.55	361.04	466.88	514.56	303.44	638.15	260.38	376.41	435.55	346.29	500.46	397.93	387.02	287.01	454.09	356.05	368.65	271.48	454.09	656.11	295.11	500.46	441.64	444.72	373.81	289.02	376.41	312.0	334.46	318.57	426.57	518.15	429.54	346.29	497.0	366.09	368.65	351.14	269.6	432.53	325.29	426.57	417.77	291.04	503.95	432.53	620.67	389.72	260.38	366.09	373.81	236.21	444.72	403.5	397.93	339.14	486.75	351.14	457.25	341.51	262.2	373.81	305.55	460.44	309.83	376.41	232.94	543.96	423.61	371.22	348.71	463.65	307.69	248.0	406.31	295.11	318.57
PHIP	38.4	28.86	26.67	12.55	35.0	63.0	95.34	98.73	96.68	61.68	96.01	109.66	79.45	117.6	112.77	118.43	69.03	130.6	114.36	63.0	265.87	242.88	181.28	363.56	138.1	217.27	202.66	141.02	265.87	167.9	167.9	214.27	368.65	241.19	234.57	167.9	217.27	373.81	181.28	287.01	205.5	165.57	193.01	183.82	170.25	111.21	180.02	182.55	204.07	281.09	182.55	154.42	226.54	291.04	208.38	186.4	204.07	142.01	163.28	241.19	242.88	147.06	363.56	231.32	406.31	111.99	153.34	141.02	185.11	161.02	285.03	101.54	303.44	134.3	271.48	199.85	307.69	190.34	120.94	287.01	239.52	191.67	94.01	163.28	112.77	348.71	180.02	164.42	191.67	232.94	141.02	118.43	186.4	201.25	183.82
PLEKHH2	81.14	26.28	10.16	4.58	76.17	2.58	16.27	20.41	15.45	12.0	19.68	29.91	15.91	17.77	9.63	34.02	28.86	50.98	10.16	2.48	164.42	147.06	27.25	199.85	109.66	142.01	68.55	42.11	129.69	77.79	59.97	145.02	121.79	69.03	22.75	113.56	102.97	295.11	57.89	123.5	105.89	93.35	92.7	43.02	116.78	63.89	55.89	78.34	84.04	92.7	72.52	137.14	228.13	163.28	133.36	111.21	61.25	24.28	107.38	166.73	135.24	27.25	171.45	82.29	211.31	21.78	124.37	63.45	164.42	31.22	136.19	24.63	178.77	71.5	206.94	93.35	223.41	98.04	31.0	106.63	58.71	56.68	25.91	56.28	59.97	406.31	95.34	71.0	130.6	159.9	104.42	68.07	88.88	120.94	42.71
PNISR	189.02	150.17	190.34	101.54	366.09	651.58	802.41	928.3	995.0	698.41	1794.29	1781.89	1233.75	1051.79	848.22	2224.63	961.07	1151.06	1295.13	775.05	4181.07	4010.71	1208.34	4481.23	1819.35	2148.82	2075.59	1857.6	2895.31	2485.67	1745.2	2451.44	3901.01	3928.15	2061.24	2555.58	4181.07	4937.99	1662.49	4328.55	3419.52	2417.67	2271.4	1909.85	2193.99	1651.0	1991.0	1674.06	2335.28	3564.78	2664.15	2468.49	3847.29	4736.79	3443.31	2835.7	1498.22	1119.56	2255.7	3540.14	3515.68	1605.83	4298.64	3820.7	4038.61	1662.49	1883.54	1991.0	2682.69	1023.0	3540.14	1936.53	4328.55	2148.82	3901.01	2502.97	4298.64	2148.82	1322.37	3820.7	1757.34	2434.5	1378.57	2555.58	1313.23	6561.36	2224.63	2682.69	2287.2	3395.89	3081.75	2720.15	2739.08	2367.9	1936.53
PNN	400.71	178.77	189.02	118.43	698.41	336.79	595.34	808.0	571.05	457.25	915.51	808.0	780.44	802.41	563.18	961.07	1216.75	775.05	836.53	536.45	2255.7	1909.85	981.29	2591.27	1340.84	1572.76	1427.22	1397.83	1745.2	1540.37	1268.46	1583.71	1709.26	1757.34	1794.29	1757.34	1594.73	2555.58	1551.09	1950.0	2163.77	1551.09	1350.18	1167.14	1259.69	1277.29	1594.73	1233.75	1519.15	1896.65	1427.22	1909.85	2351.53	1794.29	1745.2	1628.26	1104.13	1199.98	1697.45	2104.58	2133.97	1216.75	2400.97	2367.9	2287.2	1119.56	1594.73	1437.15	2032.85	947.83	2119.22	934.76	2090.03	1359.57	2555.58	1685.71	2193.99	1216.75	860.08	1806.78	1119.56	1295.13	909.17	1437.15	703.28	1896.65	1427.22	1674.06	1561.89	2287.2	1896.65	1477.58	2255.7	1477.58	1259.69
PRDM2	111.99	100.13	124.37	176.29	39.79	102.97	470.14	351.14	223.41	256.78	283.05	406.31	279.14	214.27	226.54	438.59	220.32	397.93	267.73	204.07	759.08	928.3	511.0	1096.5	525.39	629.35	647.07	579.04	708.18	607.87	591.22	457.25	884.29	759.08	444.72	563.18	1757.34	1350.18	665.29	1551.09	599.49	669.92	595.34	536.45	540.19	429.54	525.39	543.96	624.99	842.36	647.07	698.41	728.11	1051.79	764.36	603.67	620.67	583.07	559.28	808.0	808.0	493.56	1651.0	620.67	595.34	409.15	507.46	629.35	688.78	476.71	656.11	441.64	679.29	417.77	753.83	708.18	674.59	723.08	514.56	1023.0	559.28	674.59	395.18	521.76	429.54	1191.69	616.37	493.56	860.08	567.1	743.43	688.78	607.87	507.46	638.15
PRPF38B	127.89	99.43	66.65	48.52	242.88	295.11	305.55	334.46	303.44	301.33	563.18	503.95	414.87	435.55	435.55	476.71	426.57	376.41	432.53	275.28	981.29	1023.0	583.07	1313.23	454.09	651.58	802.41	808.0	1191.69	988.12	884.29	567.1	748.61	1008.9	872.1	591.22	1008.9	1191.69	947.83	1015.93	764.36	866.07	684.02	753.83	753.83	791.35	633.73	638.15	902.89	1199.98	866.07	688.78	1233.75	759.08	813.63	684.02	591.22	954.43	525.39	1037.29	1059.11	638.15	1051.79	825.0	1225.22	555.41	555.41	954.43	753.83	480.04	928.3	514.56	934.76	890.44	860.08	796.86	854.13	813.63	575.03	1183.45	728.11	808.0	540.19	909.17	486.75	830.75	808.0	981.29	884.29	981.29	624.99	536.45	954.43	555.41	796.86
PRPF39	85.82	60.82	75.64	33.06	138.1	120.94	193.01	251.48	260.38	195.72	356.05	318.57	241.19	301.33	223.41	366.09	358.54	194.36	231.32	217.27	587.13	669.92	301.33	808.0	316.37	384.34	403.5	343.89	616.37	406.31	400.71	387.02	555.41	441.64	392.44	351.14	543.96	819.3	392.44	642.59	536.45	514.56	444.72	432.53	395.18	329.84	395.18	295.11	460.44	703.28	493.56	463.65	633.73	555.41	555.41	389.72	320.8	371.22	376.41	470.14	633.73	381.68	529.06	555.41	723.08	307.69	356.05	420.68	579.04	217.27	567.1	343.89	540.19	447.82	647.07	490.14	633.73	412.0	271.48	551.56	392.44	466.88	297.17	387.02	186.4	698.41	414.87	470.14	460.44	559.28	414.87	358.54	514.56	371.22	395.18
PTCD3	346.29	361.04	607.87	262.2	325.29	279.14	500.46	607.87	454.09	486.75	813.63	444.72	450.94	529.06	470.14	698.41	521.76	555.41	511.0	341.51	1135.2	1096.5	616.37	1350.18	521.76	733.19	830.75	647.07	995.0	693.58	633.73	656.11	1250.98	1073.91	909.17	651.58	954.43	1268.46	748.61	1015.93	941.27	1001.93	842.36	842.36	909.17	780.44	612.11	842.36	884.29	1313.23	995.0	738.29	1037.29	1233.75	753.83	708.18	684.02	808.0	738.29	769.69	995.0	698.41	1437.15	1051.79	1081.39	638.15	571.05	995.0	684.02	571.05	1073.91	500.46	1277.29	808.0	967.76	878.17	1250.98	738.29	551.56	1167.14	890.44	902.89	579.04	848.22	567.1	1104.13	848.22	941.27	902.89	1030.12	769.69	748.61	733.19	688.78	842.36
RASA2	45.21	45.53	29.48	19.53	15.8	30.56	44.25	72.01	45.53	51.71	69.03	78.89	56.28	72.01	49.91	85.22	48.52	67.12	67.12	25.35	143.01	169.07	74.58	244.57	98.73	136.19	111.21	111.99	178.77	107.38	104.42	108.9	156.59	106.63	127.0	122.64	201.25	220.32	95.34	151.22	185.11	127.89	97.36	119.26	90.14	79.45	130.6	102.25	135.24	156.59	93.35	133.36	201.25	197.09	148.09	146.03	104.42	76.17	115.97	155.5	197.09	76.71	180.02	165.57	206.94	83.45	120.1	79.45	180.02	77.25	136.19	108.14	181.28	128.79	221.86	88.88	187.71	90.14	69.03	177.53	121.79	125.24	76.17	118.43	64.34	249.73	98.04	85.22	158.79	163.28	139.07	135.24	138.1	114.36	89.51
RBM25	209.84	138.1	171.45	95.34	198.47	318.57	511.0	435.55	543.96	454.09	915.51	713.11	536.45	563.18	620.67	860.08	728.11	583.07	665.29	316.37	1709.26	1551.09	713.11	2032.85	703.28	915.51	1051.79	1104.13	1447.15	1216.75	1051.79	981.29	1628.26	1508.65	1167.14	802.41	2032.85	2032.85	1304.15	1605.83	1175.27	1540.37	1216.75	974.5	1051.79	947.83	878.17	947.83	1250.98	1628.26	1340.84	848.22	1605.83	1350.18	1295.13	1104.13	775.05	941.27	1001.93	1508.65	1477.58	974.5	1909.85	1447.15	1857.6	921.88	848.22	1259.69	1066.48	688.78	1407.55	748.61	1529.73	1104.13	1639.59	1477.58	1745.2	1199.98	693.58	1417.35	1111.82	1233.75	759.08	1051.79	698.41	1242.34	1594.73	1199.98	1208.34	1447.15	896.64	674.59	1286.18	981.29	1159.07
RBM33	164.42	128.79	144.01	108.14	159.9	201.25	190.34	201.25	182.55	167.9	223.41	277.2	343.89	255.0	162.14	291.04	215.77	187.71	186.4	198.47	457.25	454.09	218.79	575.03	217.27	291.04	348.71	309.83	547.75	435.55	339.14	435.55	414.87	406.31	307.69	283.05	381.68	775.05	438.59	547.75	406.31	457.25	426.57	281.09	316.37	320.8	299.25	269.6	389.72	497.0	371.22	318.57	521.76	567.1	435.55	371.22	285.03	301.33	267.73	429.54	603.67	255.0	460.44	490.14	384.34	258.57	239.52	376.41	361.04	242.88	447.82	232.94	497.0	258.57	624.99	373.81	476.71	409.15	258.57	400.71	279.14	332.14	237.86	343.89	206.94	514.56	366.09	341.51	376.41	441.64	327.56	409.15	366.09	275.28	283.05
RBM39	1340.84	961.07	1167.14	723.08	2682.69	1794.29	2287.2	3103.19	2935.74	2303.12	4481.23	4450.27	4388.98	3768.09	2777.33	4543.8	3794.3	3212.66	3124.78	2163.77	7537.18	7537.18	4836.35	8305.36	4066.71	4543.8	6121.9	5872.48	8191.0	5872.48	5076.84	5112.16	8134.41	8247.98	7130.55	4639.29	6935.54	8658.09	5594.3	9606.86	7130.55	5791.62	5913.33	5479.15	5041.77	4388.98	4972.34	5219.6	6381.92	8134.41	5751.61	6079.61	8134.41	8022.41	6652.97	5913.33	4972.34	4066.71	4704.07	8718.32	8191.0	4268.94	7537.18	6887.62	8479.89	4704.07	4268.94	5517.27	6207.38	3540.14	9151.82	4802.93	7642.41	4802.93	7331.05	5255.91	9088.59	5366.37	3768.09	7695.57	4671.57	4869.99	3614.55	5872.48	3614.55	8901.53	5517.27	5711.87	7382.04	8247.98	4481.23	5255.91	8778.97	4328.55	6121.9
RBM5	555.41	493.56	497.0	387.02	559.28	759.08	1111.82	1259.69	1199.98	1044.52	2004.85	1963.57	2271.4	1477.58	928.3	1870.53	1697.45	1268.46	1313.23	1030.12	3690.52	3491.39	1794.29	3982.99	1519.15	1519.15	2351.53	2133.97	3349.13	2434.5	1781.89	1857.6	2956.17	2816.11	2701.35	1674.06	3742.05	4937.99	2104.58	3349.13	3212.66	3018.3	2935.74	1844.76	2148.82	1733.13	1963.57	2335.28	2400.97	3395.89	2468.49	2591.27	4010.71	3955.48	3168.41	2777.33	2061.24	2004.85	2119.22	3212.66	3257.52	1477.58	3742.05	3212.66	2645.74	1794.29	1923.14	2178.83	2591.27	1605.83	3280.18	1322.37	3372.43	1844.76	3768.09	2664.15	3716.2	2193.99	1487.87	3280.18	2061.24	2434.5	1674.06	2119.22	1551.09	3716.2	2224.63	2104.58	2855.44	3039.3	2032.85	2104.58	3146.52	1583.71	2032.85
RIC3	61.25	44.25	69.52	7.28	75.11	0.0	283.05	316.37	303.44	142.01	507.46	395.18	389.72	351.14	318.57	514.56	567.1	351.14	323.03	267.73	1159.07	1023.0	409.15	1407.55	470.14	395.18	743.43	599.49	909.17	679.29	409.15	547.75	1208.34	836.53	981.29	500.46	493.56	1733.13	583.07	743.43	842.36	878.17	813.63	525.39	441.64	412.0	493.56	579.04	624.99	878.17	698.41	579.04	808.0	967.76	1059.11	723.08	376.41	397.93	669.92	878.17	1135.2	500.46	1397.83	988.12	928.3	624.99	669.92	703.28	836.53	341.51	954.43	371.22	1081.39	748.61	1313.23	825.0	1304.15	466.88	303.44	921.88	529.06	607.87	476.71	624.99	353.59	934.76	872.1	748.61	941.27	656.11	656.11	384.34	688.78	521.76	500.46
RICTOR	44.89	55.1	63.45	11.82	23.08	28.86	72.52	70.01	61.25	57.49	70.51	82.87	77.25	76.71	97.36	141.02	63.89	82.29	87.65	63.0	264.03	236.21	148.09	295.11	106.63	170.25	201.25	171.45	249.73	195.72	182.55	161.02	325.29	221.86	144.01	146.03	295.11	381.68	193.01	363.56	167.9	220.32	206.94	191.67	182.55	169.07	135.24	157.68	232.94	249.73	171.45	139.07	205.5	232.94	144.01	185.11	157.68	140.04	143.01	221.86	229.72	173.85	334.46	186.4	361.04	118.43	118.43	201.25	185.11	111.21	249.73	136.19	262.2	151.22	256.78	164.42	303.44	194.36	114.36	260.38	217.27	242.88	153.34	156.59	81.14	283.05	195.72	183.82	236.21	236.21	148.09	103.69	157.68	133.36	159.9
