	GTEX.1122O.1226.SM.5H113	GTEX.S32W.1526.SM.4AD6Z	GTEX.S32W.1626.SM.4AD6G	GTEX.12WSJ.1426.SM.5GCON	TCGA.B0.5121.01A.02R.1420.07	TCGA.ED.A627.01A.12R.A311.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.BG.A2AD.11A.11R.A16F.07	GTEX.ZVT2.0426.SM.5E44S	GTEX.Y3IK.2126.SM.4YCDS	GTEX.131XG.2026.SM.5GCN5	GTEX.11DXX.1526.SM.5H115	GTEX.OHPL.2026.SM.3TW8R	GTEX.11I78.2126.SM.5A5K8	GTEX.S32W.1426.SM.4AD66	GTEX.QCQG.1326.SM.48U24	GTEX.XYKS.1626.SM.4BRUQ
IGFBP4	32994.92	189257.69	141455.6	28328.16	23492.92	21026.65	15499.21	16727.26	13033.07	12415.75	17197.56	21468.49	27363.16	22535.88	13399.51	14663.09	16496.96	14163.58	48307.85	20593.91	15285.81	51062.33	24490.61	40904.3	13681.08	32767.0	58250.19	32767.0	85876.94	45072.75	53973.86	107203.06	114897.47
ILF3	2061.24	4123.49	3060.45	2777.33	1794.29	1477.58	796.86	603.67	503.95	583.07	435.55	902.89	1487.87	444.72	748.61	674.59	642.59	612.11	438.59	444.72	1008.9	260.38	521.76	2400.97	3928.15	3081.75	5219.6	3928.15	5441.3	5403.7	4972.34	6516.03	3515.68
IMPDH2	3716.2	11504.21	9151.82	4903.87	2367.9	1909.85	947.83	583.07	579.04	748.61	733.19	1313.23	1757.34	775.05	954.43	1225.22	860.08	1059.11	1104.13	854.13	1819.35	743.43	599.49	4736.79	4450.27	8421.31	4607.24	5219.6	14262.1	6121.9	9025.81	11345.82	11664.82
KCNK6	122.64	974.5	1277.29	368.65	53.19	94.01	85.82	41.22	64.34	94.67	117.6	55.1	28.04	52.82	91.41	35.0	92.05	64.34	24.81	26.28	45.53	24.46	92.05	486.75	363.56	1175.27	157.68	447.82	1151.06	255.0	2303.12	802.41	1088.92
KCTD15	224.97	2178.83	1721.16	607.87	329.84	134.3	76.71	63.89	85.82	59.55	63.45	239.52	24.11	149.12	115.16	316.37	49.56	45.85	40.64	77.79	158.79	3.56	105.89	928.3	212.78	2004.85	995.0	647.07	1417.35	902.89	3982.99	1794.29	2451.44
KCTD17	178.77	638.15	753.83	665.29	165.57	279.14	131.51	96.68	80.01	170.25	134.3	713.11	38.12	151.22	85.82	35.5	104.42	50.98	31.45	43.32	47.17	13.42	187.71	708.18	363.56	748.61	665.29	595.34	1447.15	1295.13	1685.71	967.76	1697.45
LEPREL4	165.57	1233.75	791.35	241.19	503.95	193.01	56.68	12.93	58.3	75.11	93.35	42.71	12.27	42.11	43.63	18.97	27.84	19.68	45.85	36.27	26.67	16.03	59.13	376.41	193.01	395.18	785.88	532.74	1008.9	854.13	1242.34	1143.1	1417.35
LMNB2	241.19	775.05	647.07	470.14	208.38	218.79	98.04	84.63	50.63	91.41	53.57	110.43	197.09	119.26	171.45	75.64	87.03	73.54	58.3	38.4	115.16	35.0	96.68	447.82	703.28	417.77	660.68	866.07	1397.83	1001.93	866.07	785.88	748.61
MDK	1950.0	37901.36	25179.16	896.64	403.5	2915.45	420.68	201.25	185.11	759.08	336.79	988.12	91.41	99.43	521.76	79.45	175.07	139.07	80.57	178.77	156.59	53.57	152.28	8022.41	4298.64	49322.93	12502.12	4038.61	14065.74	19618.49	33922.56	97288.74	71714.63
MED22	387.02	656.11	490.14	371.22	255.0	264.03	95.34	92.05	92.7	127.89	94.01	167.9	119.26	140.04	121.79	88.88	116.78	70.51	94.67	120.1	108.14	26.47	129.69	679.29	414.87	769.69	759.08	647.07	718.08	802.41	764.36	503.95	607.87
