	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.Y3IK.0526.SM.4WWE3	GTEX.147GR.0726.SM.5S2PL	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.TKQ1.0126.SM.33HB3	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
RAB26	0.0	0.24	105.15	226.54	158.79	182.55	11.47	21.94	42.41	70.51	12.36	70.01	190.34	43.02	48.18	22.1	112.77	60.82	5.41	31.0	9.2	115.97	90.14	218.79	178.77	152.28	151.22	177.53	63.45	79.45	34.75	13.42	75.11	173.85	129.69	195.72	14.89	35.5	49.91	193.01	45.21	22.75	15.45	14.14	26.1	34.02	218.79	65.72	72.01	57.89	7.06	37.05	118.43	41.81	145.02	26.86	144.01	24.28
RAPGEF3	0.0	0.67	3168.41	2451.44	1225.22	1250.98	1806.78	1923.14	1757.34	1159.07	808.0	2796.65	2335.28	1781.89	1685.71	1745.2	2701.35	2148.82	1685.71	1870.53	1199.98	1909.85	1340.84	1991.0	2835.7	3212.66	1709.26	1551.09	1745.2	1529.73	1233.75	1233.75	3060.45	2682.69	1883.54	2004.85	1519.15	854.13	1896.65	2209.26	1487.87	947.83	854.13	2224.63	1498.22	3443.31	2367.9	454.09	1870.53	1104.13	718.08	2133.97	2335.28	2287.2	3742.05	1628.26	2573.36	1551.09
RCCD1	0.0	0.38	351.14	229.72	175.07	223.41	129.69	169.07	134.3	195.72	102.97	159.9	236.21	172.65	198.47	171.45	166.73	154.42	104.42	161.02	117.6	258.57	248.0	244.57	234.57	285.03	226.54	229.72	198.47	170.25	118.43	155.5	297.17	204.07	295.11	231.32	135.24	96.68	181.28	289.02	156.59	134.3	100.13	120.94	142.01	148.09	325.29	82.29	171.45	120.94	78.34	151.22	242.88	194.36	232.94	158.79	267.73	131.51
RFNG	0.0	0.83	1594.73	1199.98	848.22	1259.69	866.07	830.75	718.08	848.22	759.08	902.89	1023.0	808.0	1073.91	703.28	941.27	988.12	684.02	796.86	583.07	1104.13	1081.39	1313.23	1199.98	1151.06	1167.14	1015.93	830.75	1096.5	733.19	753.83	1015.93	1088.92	1167.14	1175.27	796.86	713.11	723.08	1104.13	902.89	775.05	647.07	753.83	819.3	775.05	1044.52	780.44	928.3	684.02	651.58	713.11	988.12	1073.91	1119.56	759.08	1104.13	612.11
RFX8	0.0	0.39	44.25	24.11	12.18	42.11	1.66	4.03	7.11	6.21	4.82	6.31	21.32	9.34	4.98	4.06	19.82	7.94	3.26	3.29	2.89	4.82	8.06	10.24	11.91	21.63	8.32	11.38	10.08	24.46	6.26	1.91	22.75	21.16	7.75	13.62	6.26	5.19	5.28	8.99	1.41	1.89	5.59	2.81	2.51	5.87	20.56	9.78	2.58	9.93	1.31	2.66	8.85	5.15	8.92	2.94	19.39	3.86
RFXANK	0.0	0.57	2400.97	3955.48	2997.45	2875.3	1857.6	1936.53	2032.85	2075.59	1697.45	2090.03	3303.0	2591.27	2645.74	2573.36	3190.46	2591.27	1697.45	2163.77	1870.53	2645.74	3257.52	2855.44	2935.74	2720.15	3372.43	3190.46	3235.01	2816.11	1909.85	1870.53	3395.89	3257.52	3325.99	2915.45	1806.78	1794.29	2240.11	2935.74	2816.11	1685.71	1427.22	1806.78	3103.19	1572.76	3742.05	1397.83	2627.46	2032.85	1369.04	2303.12	2682.69	3614.55	3564.78	2119.22	2701.35	2032.85
RHBDL1	0.0	0.78	50.98	18.56	24.81	38.95	10.71	8.65	10.88	23.93	9.06	15.0	12.74	7.75	9.7	7.0	17.9	5.32	8.71	5.23	5.11	25.35	15.11	42.41	39.79	30.78	13.52	16.39	11.73	14.67	10.16	7.4	27.64	23.42	22.92	20.71	7.94	8.13	10.16	27.84	8.25	2.56	5.5	4.03	3.92	14.89	25.54	12.45	3.96	9.63	5.45	10.39	29.91	5.54	20.86	14.56	30.34	2.46
RIMBP2	0.0	0.15	81.71	22.1	91.41	55.1	1.1	3.99	10.39	14.89	6.46	62.12	53.95	17.64	4.82	10.88	38.95	23.76	4.39	2.39	8.99	39.79	11.91	123.5	22.92	43.32	2.97	45.85	33.06	10.63	2.71	1.55	32.13	43.94	23.25	36.01	8.38	11.82	12.93	40.07	5.36	1.14	3.76	7.4	2.53	6.01	23.76	12.18	7.11	10.96	3.29	1.55	80.01	11.13	48.52	5.41	34.02	8.32
RNF208	0.0	0.51	1059.11	796.86	476.71	587.13	171.45	182.55	291.04	450.94	149.12	341.51	466.88	273.37	323.03	226.54	493.56	366.09	171.45	220.32	130.6	518.15	698.41	591.22	500.46	466.88	389.72	525.39	387.02	466.88	176.29	265.87	511.0	361.04	567.1	575.03	198.47	176.29	241.19	486.75	255.0	173.85	167.9	264.03	366.09	195.72	500.46	239.52	283.05	178.77	111.99	244.57	476.71	414.87	567.1	221.86	656.11	155.5
RP11-5A19.5	0.0	1.19	395.18	124.37	71.5	183.82	9.48	37.85	26.86	58.71	24.28	61.25	167.9	48.87	71.5	24.63	74.58	72.01	8.25	60.39	22.43	95.34	108.14	187.71	305.55	195.72	157.68	138.1	133.36	63.89	47.5	34.75	190.34	217.27	244.57	66.65	19.39	24.46	26.86	221.86	47.5	20.71	9.85	33.78	17.77	40.93	181.28	52.45	46.18	18.56	11.82	31.45	124.37	78.34	84.04	25.17	90.77	12.55
RPP21	0.0	0.54	1651.0	1359.57	1037.29	1407.55	890.44	1015.93	1199.98	1199.98	1023.0	1119.56	1487.87	1397.83	1167.14	1388.16	1250.98	1322.37	785.88	1295.13	1066.48	1662.49	1295.13	1417.35	1277.29	1407.55	1551.09	1322.37	1437.15	1191.69	1135.2	1286.18	1096.5	1508.65	1605.83	1250.98	902.89	967.76	1313.23	1350.18	967.76	703.28	836.53	748.61	1313.23	1151.06	1295.13	642.59	1268.46	961.07	872.1	1015.93	1313.23	1111.82	1540.37	1225.22	1111.82	954.43
SAMD10	0.0	0.53	127.0	220.32	145.02	249.73	77.25	82.29	75.64	111.21	55.49	149.12	136.19	117.6	130.6	88.26	112.77	121.79	63.89	84.63	50.63	186.4	134.3	177.53	198.47	178.77	132.44	131.51	113.56	151.22	80.57	77.25	119.26	165.57	157.68	177.53	73.03	66.65	107.38	197.09	82.87	77.25	69.52	71.5	81.71	85.22	187.71	52.08	104.42	67.59	37.05	76.17	105.15	135.24	158.79	63.0	137.14	69.52
SH2B1	0.0	0.84	2417.67	2451.44	1350.18	2645.74	1322.37	1477.58	1340.84	1397.83	1030.12	1487.87	2400.97	1583.71	1832.01	1313.23	1745.2	1467.37	947.83	1199.98	1015.93	1896.65	1781.89	2367.9	2739.08	2335.28	1923.14	1883.54	1529.73	1857.6	1378.57	1159.07	2133.97	2240.11	2520.38	2104.58	1242.34	1208.34	1369.04	2417.67	1662.49	1037.29	947.83	1175.27	1051.79	1225.22	2303.12	1268.46	1407.55	1073.91	1044.52	1519.15	1870.53	1709.26	2351.53	1135.2	2400.97	1073.91
SHROOM1	178.77	212.78	334.46	239.52	165.57	186.4	183.82	150.17	169.07	150.17	100.13	165.57	224.97	182.55	170.25	122.64	147.06	170.25	105.15	127.0	98.04	206.94	138.1	202.66	262.2	156.59	159.9	157.68	164.42	194.36	127.0	135.24	175.07	269.6	256.78	181.28	139.07	80.57	176.29	258.57	117.6	124.37	129.69	113.56	125.24	112.77	175.07	127.0	135.24	84.04	89.51	115.16	164.42	123.5	158.79	133.36	195.72	107.38
SIGIRR	0.0	0.74	988.12	2287.2	890.44	2855.44	642.59	878.17	723.08	791.35	679.29	1030.12	1487.87	1044.52	1051.79	633.73	1242.34	995.0	595.34	708.18	775.05	1175.27	1313.23	1757.34	1572.76	1745.2	1331.57	1250.98	981.29	1127.35	674.59	848.22	1519.15	1304.15	1757.34	1199.98	656.11	656.11	1030.12	1639.59	693.58	483.38	583.07	540.19	1051.79	780.44	2163.77	679.29	825.0	642.59	486.75	802.41	1322.37	1096.5	1605.83	559.28	1250.98	723.08
SIPA1	0.0	0.91	486.75	884.29	480.04	2061.24	463.65	497.0	579.04	525.39	503.95	507.46	713.11	669.92	656.11	567.1	603.67	406.31	376.41	373.81	426.57	967.76	1191.69	995.0	579.04	1369.04	603.67	713.11	1225.22	802.41	450.94	693.58	708.18	698.41	854.13	713.11	486.75	441.64	466.88	603.67	414.87	444.72	567.1	395.18	974.5	417.77	1617.0	220.32	460.44	518.15	454.09	414.87	532.74	915.51	791.35	426.57	753.83	346.29
SLC27A1	223.41	665.29	974.5	748.61	486.75	967.76	392.44	511.0	460.44	432.53	444.72	532.74	612.11	599.49	629.35	476.71	587.13	679.29	356.05	409.15	293.07	947.83	791.35	819.3	921.88	728.11	616.37	551.56	599.49	708.18	392.44	356.05	713.11	947.83	854.13	651.58	392.44	373.81	406.31	947.83	476.71	521.76	327.56	389.72	381.68	457.25	941.27	373.81	563.18	363.56	303.44	389.72	684.02	642.59	679.29	412.0	669.92	339.14
SLC29A1	0.0	0.72	1417.35	1662.49	1313.23	1066.48	1059.11	1127.35	1268.46	1151.06	878.17	1081.39	1733.13	1508.65	1242.34	1167.14	2434.5	1143.1	1135.2	1437.15	1015.93	1605.83	1936.53	1457.23	1745.2	1447.15	1151.06	2537.92	1447.15	1096.5	1051.79	967.76	1639.59	1832.01	1781.89	1119.56	1175.27	1015.93	595.34	1674.06	1457.23	1359.57	842.36	1250.98	1037.29	1143.1	1359.57	1059.11	1167.14	1088.92	1477.58	954.43	1183.45	934.76	1487.87	1388.16	1268.46	934.76
SLC38A10	954.43	1447.15	2627.46	2720.15	2075.59	2682.69	1639.59	1857.6	1819.35	2224.63	1605.83	2417.67	2627.46	2240.11	2287.2	2271.4	2609.3	1883.54	1950.0	2193.99	1697.45	1963.57	2555.58	2816.11	2367.9	2555.58	1923.14	2351.53	2004.85	2520.38	1923.14	1870.53	3146.52	2645.74	3168.41	3124.78	1572.76	1551.09	2384.37	2351.53	2104.58	1662.49	1594.73	2148.82	2209.26	1709.26	2485.67	1277.29	2224.63	1950.0	1457.23	1844.76	2645.74	2384.37	2090.03	2032.85	2609.3	1844.76
SLC38A6	0.0	0.09	329.84	198.47	169.07	293.07	169.07	201.25	193.01	264.03	186.4	218.79	283.05	224.97	163.28	169.07	253.23	246.28	172.65	218.79	178.77	215.77	242.88	229.72	232.94	241.19	193.01	237.86	211.31	248.0	170.25	191.67	244.57	318.57	253.23	223.41	186.4	224.97	170.25	251.48	165.57	151.22	172.65	223.41	177.53	224.97	384.34	111.99	169.07	293.07	171.45	164.42	277.2	208.38	273.37	205.5	202.66	172.65
SMOX	0.0	0.73	214.27	236.21	178.77	226.54	122.64	110.43	102.25	607.87	125.24	124.37	239.52	234.57	232.94	181.28	186.4	80.57	55.89	122.64	108.9	131.51	269.6	169.07	152.28	204.07	255.0	346.29	180.02	206.94	108.14	74.58	246.28	264.03	236.21	265.87	87.03	208.38	156.59	146.03	124.37	87.03	126.12	68.07	60.82	59.55	199.85	177.53	69.52	190.34	73.03	92.7	183.82	119.26	178.77	64.34	269.6	95.34
SMPD3	0.0	0.27	46.18	81.14	32.13	85.22	15.34	15.68	19.25	35.5	10.55	46.5	78.34	25.54	28.45	10.79	58.3	27.64	11.47	19.68	9.2	32.59	45.53	63.89	68.07	79.45	43.32	54.33	42.41	36.27	22.43	15.45	50.27	50.27	72.52	59.55	20.86	24.63	14.35	71.0	27.64	7.11	15.56	14.56	11.38	14.14	74.58	12.55	20.26	13.93	20.56	9.34	36.79	23.59	41.81	16.88	53.95	15.34
SPAG8	0.0	0.06	409.15	285.03	161.02	392.44	93.35	120.94	63.89	177.53	87.03	129.69	343.89	105.15	187.71	70.01	204.07	125.24	82.29	136.19	47.84	258.57	241.19	248.0	327.56	295.11	220.32	275.28	152.28	189.02	127.0	96.01	246.28	279.14	275.28	214.27	156.59	79.45	59.13	329.84	158.79	94.01	50.98	122.64	53.19	102.25	447.82	62.12	163.28	88.88	129.69	88.26	253.23	151.22	325.29	115.16	242.88	72.52
ST5	0.0	0.73	1709.26	1572.76	1437.15	1583.71	1191.69	1175.27	1001.93	995.0	947.83	1551.09	1437.15	1242.34	1508.65	1216.75	1407.55	1407.55	775.05	1135.2	941.27	1066.48	1498.22	1519.15	1896.65	1457.23	1023.0	1242.34	1183.45	1561.89	967.76	866.07	1572.76	1733.13	1225.22	1437.15	1143.1	1407.55	1259.69	1769.57	1183.45	836.53	1001.93	1015.93	884.29	902.89	1857.6	1477.58	1151.06	1015.93	878.17	909.17	1277.29	1295.13	1286.18	830.75	1639.59	1191.69
ST6GAL2	0.0	0.01	1030.12	825.0	1295.13	1167.14	171.45	441.64	234.57	607.87	136.19	616.37	1216.75	381.68	563.18	334.46	1259.69	379.04	162.14	320.8	153.34	1233.75	1304.15	884.29	1250.98	1104.13	769.69	1208.34	872.1	1277.29	490.14	271.48	1151.06	1151.06	1745.2	743.43	258.57	318.57	473.41	1127.35	318.57	309.83	351.14	547.75	400.71	325.29	1674.06	158.79	571.05	591.22	420.68	185.11	1685.71	264.03	607.87	579.04	860.08	329.84
TBCD	0.0	0.88	3614.55	2701.35	1617.0	2855.44	2119.22	2701.35	1447.15	1844.76	1427.22	2240.11	3168.41	2417.67	2163.77	1639.59	2193.99	1806.78	1745.2	1685.71	1617.0	2047.0	2148.82	2627.46	2319.15	2400.97	1991.0	2485.67	2520.38	2287.2	1498.22	1561.89	2645.74	2384.37	2855.44	2573.36	1721.16	1529.73	1806.78	2319.15	1498.22	1191.69	1059.11	1857.6	1519.15	1498.22	3564.78	1617.0	1477.58	1331.57	1487.87	1407.55	2224.63	2351.53	2682.69	1674.06	3716.2	1447.15
TBKBP1	0.0	0.71	366.09	255.0	178.77	258.57	187.71	201.25	151.22	189.02	156.59	166.73	260.38	218.79	255.0	217.27	157.68	138.1	101.54	193.01	164.42	218.79	249.73	260.38	241.19	271.48	189.02	191.67	269.6	183.82	148.09	125.24	226.54	301.33	232.94	265.87	165.57	115.16	158.79	226.54	145.02	107.38	180.02	154.42	117.6	166.73	208.38	126.12	218.79	123.5	113.56	187.71	229.72	409.15	291.04	153.34	275.28	182.55
TBX6	0.0	0.4	119.26	118.43	90.14	127.89	23.42	31.45	33.78	73.03	28.45	66.18	94.67	50.63	66.65	34.75	49.56	70.51	22.59	52.82	20.71	104.42	84.63	106.63	141.02	94.67	111.21	62.56	87.03	108.14	33.06	39.79	94.67	57.08	98.73	105.89	38.12	29.27	17.64	98.04	50.27	20.86	22.75	31.22	45.85	28.24	148.09	17.77	57.49	31.9	29.7	33.06	75.64	59.55	105.15	33.54	88.26	32.59
TCEA3	0.0	0.58	2255.7	2451.44	2855.44	1936.53	1104.13	1757.34	1044.52	1487.87	1135.2	2090.03	2573.36	1467.37	1529.73	1233.75	2133.97	2163.77	1037.29	1447.15	947.83	2434.5	2104.58	2537.92	2417.67	2645.74	2004.85	2075.59	1757.34	2148.82	1008.9	1127.35	1870.53	1936.53	1870.53	1896.65	1159.07	947.83	1617.0	3146.52	1651.0	1467.37	1233.75	1407.55	1167.14	1551.09	1896.65	753.83	1233.75	967.76	540.19	1001.93	2104.58	2133.97	2627.46	1096.5	2119.22	1277.29
TEX29	0.0	0.0	16.63	24.28	4.13	7.63	5.06	1.33	3.2	7.57	7.88	10.08	5.32	8.45	11.13	3.23	0.44	5.54	9.93	10.08	1.33	9.13	14.45	19.68	17.9	13.93	9.06	7.51	3.06	3.96	4.46	5.11	14.35	10.55	12.27	5.59	3.47	4.35	1.81	19.39	6.84	3.56	7.94	5.36	3.69	15.45	21.01	6.46	2.84	0.0	2.78	7.11	11.3	8.13	19.25	2.73	8.45	6.67
TG	0.0	0.64	627822.72	1282030.25	2068278.89	828417.36	2247670.86	2126426.15	1327240.99	2375828.71	1611529.43	1299926.74	1622738.51	1493223.86	1739208.14	1997825.68	1535204.12	1984025.69	1336472.68	1997825.68	1290947.48	1085552.95	1139523.1	1984025.69	894051.48	1355129.16	2986448.72	1567462.05	2025714.3	2425749.94	1402917.72	1929772.37	1299926.74	746611.43	513497.31	1622738.51	1727194.55	1012856.65	2263304.65	1229805.58	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	789181.81	1055868.42	1622738.51	951601.81	1131651.83	2263304.65	1535204.12	2672946.37	1864037.21	1402917.72	1482909.4	1026995.62
THAP3	0.0	0.54	1051.79	647.07	417.77	708.18	373.81	438.59	429.54	457.25	316.37	381.68	521.76	395.18	483.38	432.53	514.56	518.15	327.56	521.76	309.83	567.1	642.59	579.04	525.39	521.76	555.41	387.02	559.28	497.0	339.14	457.25	490.14	432.53	796.86	473.41	518.15	371.22	438.59	450.94	403.5	371.22	314.17	493.56	660.68	403.5	607.87	334.46	507.46	303.44	356.05	447.82	466.88	412.0	591.22	379.04	579.04	256.78
TMCC2	0.0	0.33	153.34	144.01	47.5	71.0	16.88	50.63	40.64	65.72	20.11	40.36	83.45	47.5	36.53	44.89	84.63	64.8	26.47	43.32	17.64	75.11	102.97	75.64	57.49	76.71	19.68	109.66	77.25	49.91	33.78	38.4	56.28	77.25	85.22	36.53	55.49	26.47	60.82	43.32	43.02	34.02	35.0	76.17	53.57	34.02	87.65	15.22	48.87	22.43	34.51	54.33	29.91	69.03	53.19	49.56	77.25	36.27
TMEM121	0.0	0.27	279.14	119.26	60.39	93.35	35.5	45.53	67.59	59.13	40.64	79.45	50.98	37.32	82.29	33.06	66.65	85.22	18.97	46.18	59.97	135.24	118.43	104.42	80.01	71.0	53.19	65.26	61.25	51.71	38.4	63.0	57.49	176.29	101.54	68.55	37.05	26.86	38.67	62.12	60.39	51.35	26.86	24.63	68.55	27.64	75.11	15.91	40.07	31.0	27.05	27.84	49.91	68.55	61.68	39.5	57.49	30.56
TMEM240	0.0	0.32	303.44	113.56	102.97	112.77	36.01	43.94	71.5	120.1	35.5	42.11	72.52	51.71	75.64	37.05	74.58	31.22	36.01	51.71	50.27	133.36	112.77	117.6	57.89	94.01	55.1	113.56	58.3	71.0	42.41	54.72	78.34	117.6	85.82	62.12	37.32	44.89	22.1	82.87	85.22	64.8	29.91	32.13	43.02	45.85	69.52	17.9	44.89	35.5	21.16	32.13	69.52	63.0	80.01	63.0	109.66	6.06
TMEM42	0.0	0.17	1427.22	1066.48	842.36	981.29	579.04	587.13	463.65	819.3	493.56	759.08	1030.12	679.29	796.86	579.04	791.35	802.41	480.04	718.08	511.0	988.12	1008.9	1044.52	1073.91	947.83	896.64	878.17	854.13	854.13	579.04	503.95	780.44	1059.11	872.1	791.35	503.95	466.88	723.08	866.07	791.35	591.22	536.45	718.08	567.1	684.02	1104.13	323.03	825.0	595.34	490.14	559.28	848.22	791.35	921.88	629.35	890.44	567.1
TNFRSF25	90.77	161.02	343.89	204.07	138.1	551.56	37.59	68.07	97.36	92.7	39.5	75.11	166.73	65.26	108.14	46.84	172.65	69.03	20.86	69.03	38.12	215.77	260.38	316.37	236.21	438.59	139.07	162.14	150.17	146.03	78.89	55.89	162.14	234.57	316.37	182.55	72.52	83.45	69.52	187.71	82.29	24.99	52.08	62.12	50.27	38.4	642.59	36.01	52.45	41.22	31.67	40.64	155.5	78.89	260.38	70.51	152.28	32.13
TNK2	0.0	1.06	1369.04	995.0	587.13	1216.75	253.23	379.04	379.04	473.41	251.48	567.1	890.44	466.88	543.96	291.04	660.68	587.13	289.02	318.57	271.48	748.61	718.08	981.29	1008.9	1151.06	656.11	954.43	599.49	591.22	379.04	289.02	890.44	813.63	693.58	848.22	244.57	329.84	435.55	974.5	490.14	348.71	264.03	353.59	249.73	253.23	1030.12	389.72	669.92	267.73	246.28	297.17	587.13	713.11	759.08	361.04	743.43	273.37
TOR2A	0.0	0.02	379.04	432.53	246.28	395.18	241.19	281.09	314.17	271.48	214.27	307.69	299.25	325.29	332.14	291.04	293.07	285.03	201.25	249.73	211.31	441.64	341.51	287.01	387.02	409.15	253.23	309.83	307.69	316.37	236.21	281.09	281.09	400.71	503.95	366.09	244.57	234.57	387.02	285.03	351.14	269.6	232.94	295.11	341.51	379.04	323.03	126.12	346.29	212.78	206.94	271.48	236.21	426.57	457.25	303.44	384.34	228.13
TPRA1	0.0	0.75	1242.34	1015.93	723.08	974.5	713.11	688.78	769.69	842.36	603.67	738.29	941.27	769.69	830.75	698.41	733.19	830.75	642.59	748.61	723.08	1008.9	954.43	1096.5	995.0	902.89	830.75	961.07	890.44	909.17	733.19	733.19	836.53	1001.93	981.29	954.43	708.18	656.11	748.61	830.75	796.86	713.11	718.08	759.08	802.41	693.58	947.83	651.58	791.35	647.07	624.99	703.28	813.63	928.3	1037.29	733.19	872.1	647.07
TRADD	0.0	0.74	738.29	738.29	450.94	878.17	423.61	476.71	466.88	457.25	435.55	629.35	612.11	575.03	723.08	486.75	500.46	612.11	395.18	486.75	400.71	651.58	612.11	769.69	854.13	738.29	587.13	579.04	563.18	403.5	435.55	454.09	665.29	748.61	791.35	579.04	381.68	323.03	587.13	679.29	559.28	395.18	384.34	438.59	470.14	454.09	764.36	312.0	567.1	332.14	341.51	353.59	587.13	532.74	575.03	483.38	607.87	320.8
TRIM47	0.0	0.62	532.74	423.61	251.48	860.08	303.44	327.56	334.46	165.57	395.18	575.03	412.0	454.09	320.8	320.8	540.19	665.29	262.2	320.8	379.04	406.31	480.04	373.81	353.59	503.95	236.21	463.65	400.71	483.38	226.54	260.38	493.56	536.45	423.61	860.08	217.27	346.29	279.14	511.0	224.97	239.52	343.89	214.27	264.03	256.78	728.11	211.31	309.83	215.77	181.28	154.42	334.46	473.41	521.76	217.27	329.84	239.52
TSC22D4	0.0	0.84	1143.1	825.0	555.41	1295.13	571.05	813.63	624.99	567.1	660.68	775.05	785.88	825.0	1191.69	620.67	718.08	703.28	607.87	698.41	540.19	872.1	1191.69	743.43	981.29	808.0	620.67	603.67	830.75	743.43	612.11	642.59	703.28	941.27	1151.06	708.18	616.37	493.56	679.29	808.0	764.36	753.83	656.11	633.73	728.11	748.61	1044.52	723.08	674.59	603.67	642.59	563.18	669.92	974.5	848.22	723.08	848.22	486.75
TUBG2	0.0	0.51	1340.84	1111.82	591.22	1008.9	497.0	497.0	454.09	543.96	348.71	432.53	1051.79	571.05	536.45	460.44	825.0	595.34	348.71	397.93	249.73	796.86	866.07	860.08	909.17	902.89	854.13	796.86	587.13	738.29	438.59	423.61	679.29	748.61	902.89	733.19	559.28	490.14	500.46	802.41	607.87	454.09	258.57	476.71	346.29	438.59	1051.79	327.56	460.44	309.83	423.61	371.22	693.58	638.15	981.29	450.94	947.83	339.14
UBA7	0.0	0.92	2335.28	2287.2	1250.98	2645.74	928.3	1268.46	1037.29	1242.34	836.53	1628.26	2032.85	961.07	1397.83	981.29	2090.03	1447.15	693.58	1081.39	674.59	1447.15	1286.18	2090.03	3190.46	3081.75	1883.54	1909.85	1437.15	1662.49	1127.35	825.0	2271.4	1896.65	2935.74	1870.53	1104.13	995.0	1037.29	2335.28	1242.34	836.53	842.36	1233.75	967.76	813.63	2468.49	941.27	1259.69	836.53	808.0	995.0	2104.58	1037.29	1794.29	1008.9	1757.34	830.75
UCN	0.0	0.56	86.43	54.33	8.99	20.41	7.34	16.39	9.41	20.26	11.04	4.31	17.77	10.71	33.78	6.62	10.16	14.45	4.43	33.54	3.38	31.0	35.76	38.67	21.01	59.97	19.53	17.13	13.52	6.41	14.24	16.63	18.03	27.64	58.71	16.15	11.73	15.0	13.42	24.46	12.64	15.56	8.25	5.23	9.13	15.34	66.18	3.99	3.06	15.56	11.55	7.06	15.68	19.68	13.22	12.09	20.26	3.79
UNC119	0.0	0.72	693.58	878.17	703.28	921.88	450.94	470.14	500.46	543.96	389.72	540.19	748.61	591.22	620.67	532.74	638.15	607.87	395.18	575.03	417.77	759.08	660.68	651.58	854.13	878.17	688.78	703.28	684.02	567.1	514.56	518.15	693.58	728.11	836.53	684.02	555.41	457.25	575.03	665.29	620.67	361.04	432.53	435.55	547.75	441.64	684.02	301.33	575.03	483.38	400.71	536.45	559.28	579.04	693.58	420.68	819.3	429.54
VILL	0.0	0.44	406.31	444.72	205.5	563.18	132.44	215.77	158.79	220.32	132.44	248.0	403.5	171.45	283.05	223.41	339.14	277.2	120.1	229.72	109.66	336.79	381.68	559.28	583.07	543.96	356.05	409.15	339.14	361.04	175.07	145.02	379.04	361.04	363.56	389.72	206.94	121.79	291.04	361.04	260.38	172.65	140.04	144.01	163.28	146.03	412.0	111.99	265.87	150.17	146.03	199.85	251.48	156.59	400.71	166.73	409.15	125.24
VPS37D	0.0	0.27	256.78	258.57	161.02	181.28	65.72	62.56	85.22	123.5	63.89	98.04	122.64	82.29	132.44	72.52	128.79	105.15	71.0	100.13	52.45	166.73	164.42	155.5	167.9	100.13	125.24	142.01	123.5	115.97	70.01	92.7	105.15	148.09	156.59	142.01	82.87	49.91	69.03	95.34	90.14	102.25	49.91	92.7	89.51	70.01	105.89	80.57	87.65	56.68	49.56	82.87	80.01	147.06	156.59	63.89	171.45	63.0
WFDC3	0.0	0.25	157.68	109.66	16.39	72.52	54.72	8.78	43.94	31.45	24.99	66.65	73.54	37.59	58.71	42.71	37.85	35.25	24.46	34.26	17.9	50.63	105.89	43.02	71.5	74.58	58.3	59.97	82.87	110.43	28.45	21.78	61.68	88.26	69.52	40.93	20.41	15.0	10.79	19.53	10.16	17.25	11.3	28.65	12.45	57.89	112.77	19.97	8.38	24.46	8.65	27.05	61.68	41.52	25.91	42.41	86.43	17.51
