	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.ZF.A9RE.01A.11R.A38B.07	TCGA.XF.A8HB.01A.11R.A36F.07	TCGA.CU.A3QU.01A.11R.A22U.07	TCGA.VS.A957.01A.11R.A42T.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.EK.A2PL.01A.11R.A18M.07	TCGA.VS.A8EK.01A.12R.A37O.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A9FO.01A.11R.A38D.31	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13113.1026.SM.5LZWM	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.8369.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4GP.11A.21R.A251.31	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.S341.0226.SM.5S2VG	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.Q2AI.0326.SM.2I3EK	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.YF7O.0726.SM.4W213	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.T8EM.0226.SM.3DB7C	GTEX.Z9EW.0226.SM.5CVM7
PDZRN4	0.3	0.32	0.34	0.3	0.0	0.0	0.0	0.0	0.57	0.54	0.29	36.27	35.0	24.81	400.71	395.18	6.06	0.0	0.01	186.4	426.57	447.82	18.16	323.03	1447.15	1088.92	1519.15	11.3	5.36	15.22	20.41	93.35	2.97	15.22	167.9	22.1	104.42	23.76	0.0	2.29	18.56	4.31	25.17	4.1	4.74	0.69	1.19	41.52	2.05	71.5	4.13	87.03
PHKG1	11.13	7.88	12.45	5.41	10.79	12.27	17.77	17.38	17.64	11.04	9.13	115.16	64.8	60.39	63.45	55.49	2.89	0.0	0.27	78.34	392.44	137.14	21.32	140.04	114.36	144.01	159.9	19.68	18.84	18.43	18.29	32.13	12.93	16.63	18.56	43.32	21.47	17.25	14.03	16.39	18.43	21.16	24.46	32.36	6.11	16.27	15.0	15.11	11.21	20.41	13.03	41.22
PKD2	40.36	25.17	156.59	120.94	90.77	139.07	85.22	101.54	209.84	74.58	148.09	748.61	301.33	384.34	633.73	651.58	48.52	0.0	0.42	559.28	1359.57	1199.98	432.53	1498.22	1709.26	1508.65	1561.89	514.56	351.14	379.04	417.77	450.94	435.55	307.69	486.75	363.56	351.14	293.07	215.77	379.04	429.54	214.27	417.77	293.07	297.17	314.17	180.02	316.37	251.48	325.29	301.33	387.02
PLN	0.32	2.18	1.66	2.34	0.85	0.0	6.41	1.62	5.41	2.1	3.29	587.13	193.01	33.54	2502.97	1769.57	5.77	0.0	0.39	1407.55	1832.01	3928.15	124.37	4937.99	6337.83	8134.41	8078.22	325.29	181.28	108.14	115.16	665.29	154.42	58.71	842.36	226.54	146.03	120.94	36.79	40.93	100.83	138.1	139.07	55.89	40.07	77.79	48.52	63.45	22.43	205.5	165.57	187.71
POPDC2	11.47	6.41	18.97	8.0	22.43	33.54	32.82	8.99	17.38	29.27	19.68	283.05	384.34	202.66	599.49	567.1	2.56	0.0	0.35	540.19	921.88	3303.0	137.14	2645.74	2485.67	3124.78	3419.52	105.15	119.26	178.77	161.02	79.45	115.16	80.57	181.28	177.53	71.0	215.77	80.01	96.01	82.87	180.02	152.28	74.06	165.57	90.77	60.39	81.71	62.12	108.9	76.17	108.14
POU1F1	1.41	0.0	0.0	0.29	0.54	0.0	0.93	0.62	1.17	0.56	0.31	3.29	2.73	1.73	1.53	0.0	0.0	0.0	0.0	3.17	3.41	0.45	0.0	3.76	1.64	4.17	2.81	0.0	2.07	0.89	0.0	2.63	1.2	1.73	1.87	0.93	0.91	1.95	0.0	0.0	2.1	0.85	0.89	0.87	1.14	2.32	0.84	0.0	4.1	1.19	0.0	1.2
PPAPDC3	4.9	5.5	1.97	1.46	1.11	2.03	5.82	0.89	1.81	2.61	3.17	82.87	34.02	56.68	178.77	157.68	6.84	0.0	0.34	59.97	173.85	201.25	64.8	139.07	246.28	323.03	253.23	19.53	21.63	14.03	18.84	36.79	25.91	20.41	25.72	30.56	30.78	12.64	22.26	11.21	8.99	34.75	27.64	11.73	17.38	11.73	15.0	10.08	17.25	35.5	21.01	27.25
PPP1R3A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	22.1	128.79	4.58	0.83	0.0	0.0	0.0	0.0	4.94	2.68	1.77	4.82	3.06	0.0	0.61	0.0	0.58	0.0	0.14	0.58	0.0	0.0	0.39	0.0	0.14	0.0	0.0	0.13	0.99	0.13	0.0	0.13	0.13	0.36	0.13	0.0	0.0	0.13	0.52	1.39
PRICKLE1	6.67	9.78	18.7	0.91	2.51	80.01	6.62	40.64	21.16	14.67	20.71	361.04	42.41	318.57	117.6	72.52	13.22	0.0	0.26	58.3	209.84	325.29	95.34	181.28	173.85	154.42	189.02	351.14	157.68	161.02	165.57	150.17	70.51	114.36	190.34	181.28	358.54	100.13	162.14	314.17	246.28	194.36	66.65	204.07	73.54	305.55	232.94	149.12	44.89	166.73	54.33	175.07
PRICKLE2	68.07	32.59	22.1	2.63	3.32	42.11	18.97	9.2	11.21	20.86	19.82	191.67	70.51	36.53	447.82	351.14	29.27	50.63	91.41	351.14	470.14	1208.34	145.02	808.0	1388.16	1378.57	1268.46	248.0	187.71	201.25	336.79	201.25	87.65	197.09	312.0	251.48	525.39	92.05	189.02	275.28	208.38	162.14	145.02	237.86	161.02	186.4	122.64	134.3	94.67	121.79	144.01	229.72
PRPH	0.0	0.0	2.25	0.59	0.0	27.64	1.58	13.83	10.71	3.53	12.55	145.02	7.57	98.04	264.03	125.24	0.68	0.0	0.15	83.45	764.36	332.14	29.91	39.79	718.08	656.11	1199.98	4.7	5.96	10.71	10.08	7.22	22.75	7.94	12.36	16.39	14.14	7.57	6.84	16.03	1.99	1.79	33.54	10.08	5.41	8.58	11.91	22.75	4.98	13.72	8.92	15.68
PRR23A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	2.03	5.68	0.0	0.0	0.0	0.0	0.0	3.5	1.69	0.0	2.46	3.76	0.39	4.9	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRUNE2	0.0	3.72	15.8	2.66	27.05	9.93	10.39	6.84	10.16	8.99	2.51	785.88	575.03	141.02	4575.41	5711.87	21.32	0.0	0.43	2351.53	3235.01	5441.3	567.1	6037.61	5751.61	7382.04	8658.09	62.56	83.45	68.07	83.45	178.77	86.43	32.36	283.05	98.04	110.43	51.35	41.52	46.84	44.89	69.52	33.3	35.25	25.72	63.89	24.81	60.39	36.79	33.3	37.85	72.01
PTGFR	0.31	71.5	0.67	0.0	0.0	0.0	3.03	0.78	4.31	2.16	1.08	47.17	22.26	32.13	90.77	33.54	2.23	17.0	69.52	35.0	63.45	189.02	46.84	72.52	115.97	181.28	108.14	3.72	6.11	4.94	12.55	21.78	5.19	13.12	11.55	24.46	29.06	23.08	8.99	6.41	2.94	19.68	5.92	7.63	2.01	0.95	7.46	4.03	3.23	14.24	11.13	15.56
RAB6C	0.0	0.0	1.28	0.29	14.24	0.39	0.16	1.03	1.51	0.39	0.16	37.05	11.64	65.72	15.68	12.93	1.25	0.0	0.0	1.97	5.96	2.56	7.51	5.11	1.95	4.46	7.4	0.88	2.58	14.14	8.06	4.46	5.82	6.36	4.39	1.53	3.14	2.39	1.64	2.68	1.16	4.7	6.62	6.36	4.66	1.95	1.33	6.01	17.77	2.81	5.54	2.32
RASGRP2	13.62	16.88	21.01	24.63	16.63	14.67	47.84	26.1	42.71	38.12	57.08	400.71	473.41	409.15	1617.0	1096.5	24.28	0.0	0.93	320.8	808.0	1467.37	180.02	1044.52	1340.84	1259.69	1216.75	154.42	125.24	171.45	107.38	134.3	105.15	55.1	343.89	136.19	183.82	50.63	69.52	123.5	127.89	187.71	395.18	144.01	84.04	46.84	60.82	101.54	80.57	212.78	172.65	92.05
RBM24	1.46	0.0	0.67	0.6	0.57	0.0	1.6	0.37	0.93	1.16	0.37	64.8	39.79	94.67	193.01	244.57	1.28	0.0	0.2	47.84	151.22	334.46	27.25	295.11	363.56	297.17	420.68	33.06	32.13	13.12	28.86	87.65	36.53	22.59	33.54	39.79	28.24	29.48	5.5	16.51	13.52	17.77	23.25	13.42	11.47	8.0	8.13	17.77	8.0	21.16	22.75	50.98
RFTN1	69.52	90.14	94.01	34.51	39.22	57.08	376.41	55.89	120.94	58.71	106.63	1551.09	759.08	389.72	728.11	842.36	35.76	0.0	0.77	329.84	921.88	1233.75	591.22	1023.0	497.0	376.41	525.39	2061.24	2739.08	1322.37	1135.2	2796.65	1617.0	1044.52	2133.97	1883.54	1286.18	343.89	808.0	1950.0	1242.34	866.07	2434.5	1037.29	915.51	1304.15	2319.15	2555.58	753.83	1561.89	1030.12	1721.16
RFTN2	2.32	2.76	10.24	2.03	4.35	20.56	13.22	8.32	15.56	5.87	12.93	80.01	46.18	44.57	162.14	40.93	10.39	0.0	0.0	64.34	82.87	108.14	91.41	47.5	94.67	98.73	91.41	27.64	45.21	26.86	41.52	63.89	23.93	31.67	53.57	60.39	39.79	20.26	30.34	18.29	28.65	29.7	30.34	33.54	26.28	14.78	19.68	26.28	10.47	75.64	26.86	41.52
RNASE2	0.0	6.52	2.66	3.82	3.86	5.36	65.72	10.39	14.45	13.93	36.01	514.56	206.94	251.48	13.93	18.97	1.31	0.0	0.2	20.11	314.17	44.57	108.14	33.54	4.03	13.42	9.06	18.16	12.0	15.68	8.45	30.34	5.45	6.31	31.9	28.86	48.18	16.39	11.55	12.45	11.73	11.38	9.34	17.0	15.68	5.32	10.47	6.16	5.77	101.54	4.82	7.28
RP11-507M3.1	0.0	0.0	0.0	0.58	1.35	0.64	0.0	0.0	0.0	0.0	0.69	9.13	1.89	5.19	9.41	5.41	0.0	0.0	0.04	2.76	2.97	1.45	1.2	2.14	2.16	1.99	10.16	0.0	0.4	1.28	3.41	1.48	0.4	0.0	0.66	0.43	1.08	0.37	0.0	1.01	1.71	0.79	1.91	1.64	1.2	2.63	0.37	0.0	0.0	0.84	0.36	0.0
RUNX1T1	3.76	3.06	4.82	0.31	1.66	1.51	4.7	1.99	1.25	11.64	3.63	121.79	52.08	88.88	265.87	133.36	5.02	0.0	0.38	165.57	341.51	579.04	183.82	403.5	521.76	507.46	551.56	52.82	80.01	69.03	69.52	64.34	65.26	34.26	98.04	72.01	45.85	39.22	55.49	52.45	67.12	59.55	69.03	38.4	37.59	37.32	35.25	74.58	45.85	85.82	62.56	117.6
RYR3	0.3	0.32	3.2	0.0	1.36	19.97	3.38	0.69	4.58	1.69	6.89	97.36	9.48	10.88	332.14	88.88	1.51	0.0	0.32	52.45	24.28	256.78	28.65	78.89	170.25	154.42	253.23	2.66	1.17	21.01	6.89	27.84	9.13	1.97	17.77	6.06	9.85	2.03	3.69	11.55	9.2	4.5	10.39	1.45	6.26	0.43	2.01	10.71	2.89	3.86	3.5	5.15
SAMHD1	182.55	607.87	438.59	486.75	381.68	414.87	802.41	423.61	334.46	279.14	684.02	4388.98	2303.12	2739.08	2555.58	2895.31	343.89	1487.87	82.87	2468.49	1437.15	2351.53	1437.15	748.61	1378.57	1350.18	1447.15	890.44	791.35	583.07	679.29	961.07	543.96	473.41	1467.37	1870.53	1233.75	547.75	616.37	651.58	728.11	995.0	921.88	775.05	679.29	303.44	205.5	521.76	387.02	915.51	490.14	1088.92
SCN7A	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.6	0.0	0.0	66.18	61.68	60.39	1081.39	260.38	1.75	0.0	0.42	40.64	163.28	454.09	18.56	135.24	555.41	518.15	540.19	32.36	18.29	10.63	22.26	26.86	8.13	6.73	25.72	38.4	15.91	5.06	8.38	5.06	12.45	7.34	50.98	15.45	12.74	4.74	0.27	10.88	2.16	23.42	4.66	21.32
SELM	139.07	323.03	599.49	181.28	148.09	92.05	3665.02	1051.79	432.53	297.17	698.41	13399.51	4903.87	1936.53	14867.79	18560.17	555.41	0.0	1.01	3103.19	24832.5	11189.6	2255.7	21617.82	23330.64	24490.61	19082.0	2502.97	6516.03	3081.75	2956.17	6471.02	4298.64	5594.3	4328.55	5831.91	4543.8	8598.28	7749.1	5219.6	6516.03	8134.41	6079.61	5147.73	13033.07	5183.54	14867.79	4038.61	5255.91	10154.69	5403.7	6935.54
SGIP1	0.33	9.2	13.83	6.06	7.06	7.06	10.79	12.93	8.78	5.41	21.78	275.28	48.18	79.45	733.19	182.55	1.81	27.84	860.08	117.6	406.31	113.56	241.19	318.57	262.2	256.78	187.71	476.71	103.69	83.45	74.58	96.68	236.21	72.52	403.5	199.85	123.5	23.25	88.26	155.5	223.41	74.58	309.83	312.0	27.64	157.68	25.72	224.97	258.57	101.54	89.51	146.03
SH3RF3	6.11	10.16	16.15	12.64	10.88	9.27	29.27	39.5	41.52	12.74	13.93	249.73	112.77	76.17	191.67	154.42	13.03	0.0	0.57	351.14	314.17	620.67	329.84	595.34	334.46	289.02	221.86	104.42	88.88	64.34	130.6	132.44	105.15	85.82	248.0	101.54	156.59	55.1	71.0	70.51	30.34	120.1	98.73	74.06	44.57	31.0	24.63	40.93	57.08	74.06	58.3	70.51
SIM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	1.36	1.53	5.63	11.55	4.43	0.0	0.0	0.0	4.28	1.38	0.46	0.0	13.42	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC22A6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	1.01	6.78	0.0	1.57	0.0	0.0	0.0	1.14	1.23	0.42	0.71	1.35	0.0	3.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A31	0.0	0.0	0.32	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	10.16	20.11	0.0	2.46	0.0	0.0	0.0	3.08	0.89	0.47	1.79	0.0	2.81	4.66	1.48	0.0	0.47	0.0	0.0	0.0	1.3	0.0	0.0	0.51	0.48	0.84	2.12	0.0	0.48	0.0	0.0	0.0	0.0	0.88	0.0	0.93	0.46	0.0	0.0	0.48
SLC8A1	29.7	11.91	26.86	3.76	44.89	6.52	35.5	4.28	14.45	6.21	13.12	242.88	90.14	67.59	194.36	89.51	5.92	0.0	0.24	198.47	152.28	638.15	105.89	547.75	616.37	674.59	688.78	16.75	32.82	20.71	20.71	61.25	18.97	10.88	23.25	25.35	45.21	14.24	10.0	9.2	24.63	34.51	15.56	13.12	7.34	12.45	4.17	9.34	8.38	37.32	16.15	26.67
SMIM18	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	3.35	2.76	20.71	9.56	8.38	2.39	0.0	0.0	5.63	3.35	4.13	3.76	1.99	2.53	13.72	4.35	0.0	0.0	0.0	2.46	0.97	0.0	1.89	2.58	1.03	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.0	1.16	0.0	0.0	0.0
SOD3	29.48	73.54	35.76	19.53	52.08	69.52	70.51	30.78	63.45	58.71	66.18	4512.4	1369.04	262.2	6079.61	2351.53	109.66	0.0	0.95	9808.75	5791.62	3589.58	2018.8	7280.4	8538.88	9945.68	8022.41	1477.58	3325.99	2758.13	688.78	3018.3	1794.29	3280.18	4038.61	2520.38	3874.05	2855.44	7966.99	7280.4	8191.0	2240.11	1088.92	358.54	4802.93	738.29	2104.58	4543.8	1745.2	6699.25	1015.93	3564.78
SOGA2	182.55	6.26	82.87	157.68	217.27	303.44	61.25	167.9	186.4	120.94	30.56	775.05	318.57	197.09	854.13	444.72	32.82	0.0	0.66	660.68	748.61	1059.11	234.57	1167.14	1199.98	1051.79	2451.44	7.57	8.19	6.11	29.7	14.14	20.71	13.93	37.85	18.03	13.93	28.04	9.85	10.79	5.54	9.85	17.77	14.35	9.63	15.22	8.85	14.56	25.91	14.24	12.55	18.43
SOX10	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.56	60.82	1.71	58.3	29.06	53.57	808.0	173.85	2.84	0.0	0.0	42.71	232.94	297.17	20.11	102.25	583.07	438.59	486.75	8.13	8.65	5.5	8.78	18.84	7.82	7.82	15.45	15.56	25.17	2.81	2.92	3.2	5.36	8.45	6.41	7.88	2.63	3.56	3.86	6.89	3.44	7.82	4.21	10.08
SPHKAP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	1.39	0.0	1.64	1.57	48.18	6.46	6.84	0.0	0.0	0.0	2.01	7.94	8.45	2.18	14.35	5.5	21.63	25.72	2.86	4.78	1.1	0.58	0.59	4.74	0.57	3.0	1.77	0.59	3.76	0.0	1.06	3.47	1.04	1.66	1.6	0.0	3.99	0.0	0.0	1.08	11.04	1.51	0.59
SYT4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	7.22	2.07	16.03	17.25	6.84	0.0	0.0	0.0	7.17	48.52	18.56	3.23	10.16	28.86	33.78	69.52	5.82	3.5	0.91	0.91	3.47	2.43	7.11	7.63	0.95	1.69	2.29	8.19	7.0	2.78	12.83	1.31	15.8	2.29	5.02	0.88	10.55	14.67	4.1	1.93	13.52
TBC1D12	64.8	96.68	89.51	105.15	68.55	68.07	77.25	122.64	115.97	44.57	116.78	231.32	205.5	206.94	356.05	258.57	55.89	0.0	0.53	177.53	297.17	258.57	171.45	356.05	267.73	289.02	248.0	137.14	170.25	116.78	97.36	144.01	140.04	66.18	136.19	82.29	111.21	63.45	58.3	134.3	195.72	95.34	126.12	144.01	130.6	115.97	146.03	90.14	77.25	126.12	107.38	116.78
TECRL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	9.27	18.7	4.21	1.83	0.0	0.0	0.0	2.46	7.06	0.0	0.75	20.71	0.0	0.97	0.0	0.53	11.64	0.53	5.68	5.23	1.64	0.27	6.31	3.38	18.03	1.33	0.27	0.0	0.28	1.14	6.26	0.74	0.27	3.29	0.0	0.29	0.0	1.41	6.78	5.82
THPO	0.88	0.93	0.0	0.59	0.56	0.0	3.79	1.13	2.53	2.41	1.11	28.04	3.79	6.78	25.91	11.04	0.0	0.0	0.57	17.25	36.01	8.32	231.32	17.38	24.63	33.54	16.88	2.48	2.84	3.79	5.87	7.88	3.86	6.06	8.65	9.48	15.0	3.47	9.06	4.17	1.36	17.64	7.06	8.25	7.75	0.74	3.56	10.0	5.63	6.94	4.54	8.85
TNS1	67.59	10.79	209.84	46.84	36.01	111.99	76.71	23.25	46.5	91.41	51.35	1963.57	1216.75	688.78	4607.24	4769.75	265.87	0.0	0.64	4481.23	7230.1	11267.44	1369.04	8022.41	14867.79	11112.3	11112.3	2018.8	2047.0	1427.22	1757.34	2075.59	1819.35	884.29	6381.92	2104.58	2573.36	1216.75	1697.45	1498.22	1857.6	1295.13	2627.46	1745.2	412.0	1437.15	348.71	743.43	981.29	1685.71	1259.69	1388.16
TPO	0.0	0.0	0.0	0.3	0.0	0.0	0.85	0.84	0.47	1.08	1.17	56.68	17.64	18.03	153.34	217.27	4.39	0.0	0.62	60.39	58.3	109.66	9.93	28.45	135.24	152.28	115.97	645473.24	757033.75	746611.43	619179.28	751804.53	558035.51	602247.76	585779.24	828417.36	453265.5	716197.51	1078054.48	641014.63	687022.54	636586.81	598087.73	672883.8	919186.72	736332.6	1890058.21	1327240.99	875652.15	573724.06	2111737.85	706337.4
TRANK1	44.89	127.0	95.34	11.38	140.04	211.31	175.07	91.41	83.45	85.22	248.0	1127.35	392.44	376.41	679.29	303.44	27.05	0.0	0.43	389.72	563.18	954.43	503.95	323.03	271.48	220.32	182.55	312.0	198.47	161.02	242.88	262.2	180.02	204.07	190.34	287.01	221.86	108.9	144.01	123.5	329.84	205.5	159.9	151.22	124.37	303.44	85.82	211.31	256.78	205.5	223.41	271.48
TRIM42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	1.25	6.84	2.53	0.83	0.0	0.0	0.0	0.42	1.69	0.0	0.0	0.95	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.19	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.52	0.33	0.0	0.0	0.0	0.0	0.0
TSHZ3	5.82	4.94	15.45	2.05	8.71	43.32	55.49	66.18	17.9	51.71	74.06	381.68	166.73	92.05	307.69	173.85	11.55	0.0	0.65	163.28	435.55	329.84	152.28	376.41	447.82	493.56	511.0	215.77	208.38	226.54	173.85	169.07	161.02	189.02	170.25	159.9	215.77	368.65	279.14	301.33	297.17	341.51	204.07	167.9	281.09	212.78	127.89	193.01	144.01	120.1	358.54	283.05
TTN	0.87	0.32	1.93	0.3	0.82	0.55	2.68	2.68	3.17	0.87	5.23	15.68	12.36	25.17	25.17	13.03	0.48	0.0	0.18	17.51	11.82	18.7	8.99	13.22	9.93	12.93	13.62	7.82	3.47	5.77	7.46	5.63	3.82	2.63	7.0	7.11	4.43	1.68	3.92	2.86	5.68	6.06	3.82	5.96	6.57	2.32	1.99	4.35	3.0	1.51	5.73	17.9
UNC45B	0.0	0.6	0.64	0.0	0.0	0.0	0.36	0.35	0.62	0.0	0.35	4.98	3.06	35.5	1.27	1.16	0.34	0.0	0.0	30.78	10.63	3.38	22.59	3.23	244.57	301.33	16.27	0.77	2.23	0.23	1.73	0.51	0.77	0.74	0.53	0.82	1.53	1.17	0.22	1.2	0.51	0.21	1.75	0.74	0.71	0.48	0.93	0.79	0.99	0.75	1.6	5.41
VSTM4	7.22	3.41	12.55	6.62	11.64	2.36	3.96	2.29	6.16	4.43	4.5	299.25	59.13	56.68	228.13	135.24	8.78	32.13	61.68	163.28	246.28	373.81	183.82	214.27	406.31	389.72	432.53	921.88	1066.48	571.05	808.0	1331.57	521.76	954.43	759.08	819.3	620.67	447.82	231.32	819.3	212.78	297.17	1697.45	1088.92	164.42	1508.65	1651.0	723.08	327.56	607.87	521.76	1175.27
VWC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89	2.92	6.94	1.13	1.03	0.4	0.0	0.0	1.93	7.75	19.11	1.1	20.56	38.95	5.68	70.01	0.44	0.44	0.43	0.43	0.44	0.44	0.42	0.8	0.46	0.78	0.41	0.0	0.0	0.0	0.41	3.82	0.43	0.0	0.0	0.0	0.45	0.43	0.43	0.0	0.0
WNT9B	0.0	0.0	0.0	0.0	0.27	0.0	0.55	0.0	0.0	0.0	0.0	11.04	5.45	20.26	0.52	1.31	0.0	0.0	0.01	4.82	8.45	13.93	5.19	3.53	3.76	3.11	1.46	10.0	3.0	2.23	1.97	5.32	5.36	3.35	4.39	5.19	4.7	1.14	3.08	1.17	1.25	1.16	3.0	0.95	0.67	1.2	1.6	2.58	0.44	3.17	1.36	7.06
XKR4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.28	8.78	52.08	90.77	6.73	0.0	0.0	0.0	3.5	8.19	44.57	7.82	6.78	68.07	29.27	73.54	0.57	7.11	0.27	1.13	0.56	0.57	0.27	0.31	0.32	4.24	0.24	0.0	0.0	0.28	0.51	0.28	0.27	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.58
ZEB1	16.39	21.32	18.97	13.52	27.05	18.29	46.18	15.11	26.86	13.03	24.46	555.41	189.02	110.43	723.08	559.28	43.63	50.63	144.01	1015.93	2796.65	1991.0	371.22	1745.2	2720.15	2335.28	2816.11	358.54	236.21	185.11	536.45	371.22	269.6	147.06	607.87	283.05	403.5	177.53	197.09	167.9	248.0	336.79	285.03	332.14	166.73	123.5	92.7	180.02	136.19	231.32	199.85	277.2
ZNF728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.41	8.19	25.54	108.9	10.63	0.67	1.38	0.0	0.0	8.92	12.93	24.28	3.72	7.69	29.48	12.18	30.34	21.32	10.31	3.56	21.47	8.45	9.7	8.58	26.86	22.43	21.47	9.13	37.05	1.17	1.33	2.46	33.54	12.09	6.21	0.93	2.07	12.09	72.52	5.28	16.88	9.27
ZNF99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13	7.57	13.72	5.11	1.58	0.0	0.0	0.01	1.73	6.94	3.53	1.58	6.57	0.85	1.53	0.45	1.57	0.0	0.45	0.73	1.27	0.18	0.97	1.06	0.49	0.74	0.16	0.43	0.42	0.46	0.68	2.34	2.01	0.0	0.17	0.0	1.04	3.56	0.72	0.4	0.74
