	TCGA.38.4625.01A.01R.1206.07.1	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.D7.6524.01A.11R.1802.13	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3T0.01A.22R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.RNOR.0926.SM.2TF56	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.1192W.0126.SM.5EGGS	GTEX.1212Z.0426.SM.5FQT6	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
SLC52A2	0.54	1417.35	2555.58	1159.07	693.58	947.83	909.17	890.44	1096.5	1151.06	848.22	764.36	1066.48	1066.48	674.59	525.39	961.07	1015.93	684.02	1051.79	733.19	256.78	514.56	503.95	915.51	638.15	796.86	536.45	607.87	454.09	503.95	473.41	497.0	660.68	599.49	620.67	603.67	438.59	397.93	656.11	633.73	603.67	346.29	444.72	368.65	529.06	836.53	444.72	500.46	571.05	723.08	599.49	878.17	301.33	599.49	660.68	703.28	476.71	698.41	547.75	616.37
SNAPC2	0.61	1781.89	708.18	854.13	389.72	575.03	665.29	500.46	769.69	693.58	591.22	371.22	684.02	723.08	392.44	392.44	493.56	638.15	323.03	791.35	384.34	142.01	244.57	285.03	480.04	297.17	316.37	267.73	299.25	182.55	283.05	291.04	341.51	318.57	339.14	429.54	295.11	309.83	312.0	348.71	409.15	264.03	156.59	397.93	450.94	327.56	376.41	318.57	289.02	343.89	373.81	303.44	543.96	356.05	281.09	368.65	500.46	305.55	325.29	343.89	305.55
SPNS2	260.38	197.09	1340.84	295.11	193.01	248.0	563.18	669.92	231.32	540.19	454.09	246.28	414.87	429.54	246.28	186.4	341.51	327.56	255.0	197.09	185.11	38.67	269.6	75.64	177.53	169.07	120.94	107.38	63.89	92.7	120.94	102.97	190.34	163.28	275.28	172.65	232.94	57.49	206.94	185.11	93.35	214.27	48.87	186.4	110.43	114.36	185.11	162.14	147.06	121.79	194.36	190.34	185.11	189.02	129.69	159.9	332.14	96.01	79.45	97.36	135.24
SRM	0.02	4152.18	3212.66	1697.45	872.1	1540.37	1639.59	1183.45	2193.99	2271.4	1508.65	1044.52	1870.53	1781.89	836.53	728.11	1639.59	1605.83	733.19	1447.15	902.89	348.71	647.07	490.14	1051.79	775.05	743.43	633.73	753.83	454.09	674.59	466.88	698.41	825.0	854.13	769.69	791.35	642.59	633.73	878.17	733.19	1037.29	490.14	698.41	555.41	688.78	974.5	583.07	607.87	514.56	842.36	603.67	813.63	423.61	575.03	813.63	1295.13	616.37	703.28	896.64	698.41
STK11	148.09	1313.23	1023.0	1819.35	1295.13	1498.22	1167.14	1111.82	1467.37	1529.73	1159.07	1277.29	1628.26	1340.84	1242.34	1059.11	1883.54	1487.87	1104.13	1417.35	1304.15	507.46	665.29	748.61	1183.45	819.3	954.43	981.29	1044.52	928.3	780.44	1015.93	981.29	1208.34	878.17	1088.92	1081.39	688.78	909.17	802.41	872.1	1015.93	543.96	1191.69	713.11	743.43	988.12	884.29	1104.13	961.07	1096.5	748.61	1191.69	759.08	866.07	860.08	1167.14	1051.79	896.64	1143.1	988.12
STRN4	647.07	1477.58	1628.26	1551.09	1104.13	1457.23	1250.98	1216.75	1651.0	1350.18	1183.45	1143.1	1250.98	1487.87	1191.69	1001.93	1819.35	1519.15	1183.45	1498.22	1051.79	529.06	713.11	759.08	860.08	915.51	947.83	915.51	780.44	902.89	796.86	878.17	884.29	1044.52	954.43	954.43	961.07	738.29	743.43	1008.9	902.89	961.07	665.29	872.1	854.13	872.1	947.83	941.27	921.88	1127.35	890.44	780.44	1008.9	825.0	796.86	872.1	974.5	1008.9	872.1	954.43	967.76
SYNGR2	1.08	13306.94	6079.61	5329.3	2664.15	3491.39	4152.18	3372.43	4575.41	4298.64	4481.23	2739.08	4123.49	4937.99	2777.33	2468.49	4152.18	4010.71	2796.65	5112.16	2209.26	1208.34	1331.57	2287.2	3794.3	1909.85	2224.63	1883.54	2119.22	1757.34	2400.97	2367.9	1963.57	1950.0	2682.69	1963.57	3018.3	2047.0	2400.97	2451.44	2148.82	2018.8	1250.98	2319.15	1806.78	2133.97	3212.66	1721.16	1909.85	3146.52	4010.71	2133.97	3395.89	1781.89	2163.77	2915.45	3874.05	2090.03	2193.99	1883.54	1844.76
TALDO1	1.01	5041.77	4066.71	5995.9	6792.79	5255.91	4181.07	4239.45	5366.37	5219.6	6983.79	8305.36	5872.48	5292.48	6381.92	12244.81	3639.7	5076.84	5147.73	6164.49	5594.3	2855.44	3039.3	3847.29	5112.16	8247.98	9279.58	4123.49	3955.48	2855.44	4481.23	2739.08	4639.29	4450.27	5006.93	2816.11	3589.58	3515.68	4769.75	6745.86	3874.05	4239.45	3018.3	3690.52	3039.3	4481.23	10959.3	3443.31	4607.24	3639.7	13033.07	8363.13	7537.18	3039.3	3614.55	8134.41	3190.46	3955.48	3614.55	3614.55	3515.68
TAX1BP3	0.87	2555.58	4736.79	4328.55	2075.59	3372.43	3467.27	2520.38	4575.41	3303.0	2915.45	2468.49	3168.41	3955.48	2664.15	2133.97	2664.15	4239.45	2209.26	4575.41	1572.76	848.22	1023.0	1378.57	2240.11	1697.45	1819.35	1447.15	1508.65	928.3	1457.23	1066.48	1508.65	1477.58	1857.6	1286.18	1066.48	1519.15	1286.18	1225.22	1819.35	1295.13	909.17	1250.98	1540.37	2061.24	1769.57	1051.79	1427.22	1191.69	2664.15	1388.16	2178.83	769.69	1104.13	1733.13	1709.26	1322.37	1295.13	1832.01	1561.89
TG	0.64	25.35	27.84	402881.61	900270.11	469249.9	434801.29	378516.38	194578.47	546551.29	794671.01	985160.01	623486.02	158046.64	1085552.95	1147449.11	593956.43	303217.87	1026995.62	279017.26	1063212.58	682276.92	1264380.15	2068278.89	1085552.95	2247670.86	2126426.15	1212874.47	1751305.3	1273174.62	2375828.71	2111737.85	1622738.51	1739208.14	1984025.69	1984025.69	1355129.16	881742.8	2986448.72	2025714.3	2425749.94	1299926.74	992012.34	1327240.99	1034138.94	1589343.01	2636147.11	1063212.58	1229805.58	1691649.38	3178687.03	3886391.01	1645391.11	1155430.26	1535204.12	2672946.37	1567462.05	1864037.21	1634025.56	1482909.4	822695.06
TMEM189	638.15	432.53	890.44	525.39	503.95	612.11	483.38	769.69	547.75	555.41	612.11	733.19	490.14	607.87	543.96	647.07	884.29	688.78	521.76	698.41	540.19	323.03	258.57	346.29	476.71	555.41	521.76	633.73	400.71	483.38	470.14	438.59	480.04	466.88	438.59	329.84	363.56	426.57	241.19	575.03	341.51	525.39	206.94	211.31	299.25	406.31	457.25	493.56	334.46	490.14	575.03	525.39	616.37	267.73	379.04	476.71	412.0	346.29	529.06	444.72	392.44
TMEM214	0.91	2627.46	2573.36	2061.24	2701.35	2384.37	1896.65	2018.8	2032.85	2209.26	1991.0	2720.15	2119.22	1794.29	2645.74	2451.44	2209.26	2148.82	2537.92	1977.24	2502.97	1594.73	1819.35	1572.76	1844.76	2163.77	2271.4	1697.45	1639.59	1857.6	1331.57	2682.69	1529.73	1923.14	1628.26	1529.73	1950.0	1844.76	1242.34	2209.26	1447.15	2319.15	1407.55	1508.65	1417.35	1498.22	2335.28	1733.13	1757.34	2573.36	2090.03	1896.65	2224.63	1242.34	1617.0	1844.76	1651.0	1794.29	1697.45	1551.09	1781.89
TMEM8A	1.0	1447.15	2209.26	2224.63	1378.57	1437.15	1594.73	1225.22	1745.2	1769.57	1457.23	954.43	1295.13	2119.22	1259.69	1104.13	1313.23	1519.15	1242.34	2163.77	1037.29	521.76	713.11	575.03	1127.35	1088.92	1369.04	651.58	988.12	674.59	688.78	921.88	921.88	928.3	1044.52	878.17	1008.9	463.65	796.86	974.5	738.29	1104.13	493.56	866.07	536.45	660.68	890.44	698.41	878.17	941.27	1225.22	1208.34	947.83	860.08	785.88	1388.16	860.08	860.08	813.63	988.12	743.43
TNIP2	0.71	1286.18	967.76	995.0	802.41	941.27	1023.0	1044.52	1073.91	1242.34	1208.34	825.0	890.44	1191.69	854.13	785.88	718.08	995.0	669.92	866.07	669.92	339.14	486.75	532.74	878.17	579.04	587.13	536.45	447.82	480.04	587.13	563.18	532.74	575.03	529.06	603.67	599.49	420.68	836.53	599.49	563.18	684.02	389.72	684.02	466.88	525.39	571.05	567.1	591.22	595.34	738.29	612.11	571.05	532.74	470.14	723.08	921.88	532.74	497.0	591.22	543.96
TNKS1BP1	1.17	3794.3	3564.78	3018.3	2468.49	3060.45	2758.13	3018.3	3168.41	2434.5	3325.99	2502.97	3018.3	2682.69	3168.41	3081.75	3564.78	3419.52	3235.01	3982.99	2468.49	1233.75	1594.73	1508.65	2178.83	2816.11	2451.44	1697.45	1437.15	1519.15	1378.57	1794.29	1233.75	2609.3	2502.97	1540.37	1277.29	1745.2	1540.37	1519.15	1685.71	1794.29	1407.55	1628.26	1721.16	1304.15	2255.7	1594.73	1674.06	1950.0	1896.65	2502.97	2104.58	1561.89	1651.0	1936.53	2075.59	2148.82	1662.49	2004.85	1529.73
TSPAN17	0.55	728.11	909.17	497.0	490.14	460.44	579.04	444.72	551.56	579.04	525.39	444.72	483.38	607.87	497.0	429.54	802.41	579.04	432.53	733.19	447.82	244.57	299.25	334.46	346.29	400.71	476.71	287.01	343.89	273.37	329.84	231.32	366.09	339.14	412.0	406.31	395.18	285.03	320.8	480.04	334.46	420.68	287.01	316.37	327.56	384.34	423.61	403.5	384.34	307.69	444.72	379.04	423.61	368.65	307.69	438.59	733.19	379.04	332.14	400.71	353.59
TSTA3	0.82	3491.39	8778.97	2997.45	1819.35	2287.2	1781.89	1963.57	3039.3	2796.65	2240.11	1936.53	2303.12	2835.7	2090.03	1832.01	2163.77	2148.82	1950.0	2777.33	1295.13	669.92	713.11	819.3	1529.73	1487.87	1242.34	1111.82	1001.93	674.59	954.43	819.3	1037.29	1397.83	1135.2	1199.98	1199.98	620.67	1167.14	1183.45	1088.92	1051.79	583.07	954.43	1023.0	1023.0	1519.15	723.08	819.3	981.29	1617.0	1191.69	1268.46	674.59	934.76	1388.16	1467.37	1191.69	1001.93	1059.11	1135.2
UPF1	0.97	1674.06	1081.39	2061.24	1259.69	1322.37	1277.29	1199.98	1487.87	1417.35	1088.92	1208.34	1498.22	1447.15	1250.98	1183.45	1216.75	1477.58	1286.18	1427.22	1233.75	775.05	830.75	860.08	941.27	961.07	1015.93	1104.13	1216.75	1059.11	921.88	848.22	1066.48	1242.34	1135.2	1159.07	1199.98	988.12	878.17	988.12	1167.14	988.12	698.41	988.12	890.44	896.64	1008.9	981.29	1096.5	921.88	961.07	1015.93	1143.1	796.86	1081.39	1457.23	1208.34	1015.93	1111.82	1208.34	1191.69
VASP	616.37	1909.85	4152.18	2090.03	1127.35	1832.01	2209.26	1745.2	2384.37	2417.67	1551.09	1407.55	1388.16	2163.77	1143.1	1030.12	1605.83	1639.59	1331.57	2319.15	728.11	483.38	679.29	866.07	1111.82	753.83	928.3	819.3	693.58	669.92	884.29	748.61	575.03	1015.93	1159.07	587.13	607.87	1023.0	713.11	848.22	547.75	1242.34	389.72	743.43	511.0	493.56	775.05	728.11	571.05	1225.22	780.44	669.92	1066.48	470.14	679.29	884.29	1191.69	579.04	860.08	728.11	723.08
VCP	1.08	3928.15	4181.07	3847.29	3039.3	3768.09	3589.58	3491.39	4419.52	4268.94	3540.14	3081.75	3395.89	4038.61	3928.15	3614.55	4066.71	4268.94	3901.01	4481.23	3303.0	2915.45	2451.44	2956.17	2591.27	4123.49	4268.94	3212.66	2835.7	3060.45	2591.27	2777.33	2193.99	3190.46	3168.41	2209.26	2720.15	2976.74	2163.77	3491.39	2855.44	2976.74	2935.74	2032.85	2209.26	2468.49	3443.31	2701.35	2664.15	3103.19	3690.52	3564.78	3742.05	2240.11	2976.74	2796.65	2224.63	2485.67	2956.17	2573.36	2739.08
Z98049.1	0.0	1.51	1.5	1.81	1.51	1.53	0.57	1.51	1.99	0.6	1.46	0.57	1.43	2.61	1.55	4.66	2.29	3.11	1.57	2.86	0.62	0.0	0.31	0.08	1.77	0.52	0.53	3.59	0.92	3.26	0.07	1.41	0.28	0.3	1.58	0.53	0.53	1.16	0.28	0.97	0.0	0.49	0.0	0.3	0.0	0.06	0.95	0.53	1.1	0.0	0.06	0.0	0.0	0.75	1.68	0.67	1.28	0.69	0.51	1.5	0.48
ZNF469	0.06	17.38	155.5	3.47	2.1	7.06	19.97	9.34	24.11	8.13	4.94	4.78	2.66	14.78	2.86	1.77	3.53	15.56	2.51	8.71	2.66	0.56	4.66	0.49	3.66	1.95	4.66	1.17	0.47	0.17	0.16	0.72	1.11	1.97	1.25	4.17	5.15	1.97	1.11	4.7	0.17	1.11	0.45	0.17	0.89	2.18	0.51	0.51	0.45	0.0	0.13	1.3	3.23	0.52	0.78	0.42	4.7	1.48	0.8	0.79	0.77
ZNF513	0.88	708.18	470.14	567.1	674.59	836.53	532.74	679.29	743.43	669.92	612.11	624.99	555.41	718.08	563.18	500.46	967.76	551.56	567.1	764.36	480.04	260.38	325.29	320.8	466.88	620.67	651.58	432.53	441.64	387.02	381.68	454.09	567.1	540.19	514.56	441.64	559.28	334.46	563.18	420.68	571.05	674.59	297.17	518.15	429.54	444.72	642.59	299.25	470.14	417.77	693.58	521.76	420.68	303.44	463.65	693.58	444.72	591.22	423.61	703.28	497.0
ZNF628	0.44	95.34	201.25	112.77	139.07	108.9	106.63	123.5	154.42	122.64	92.7	131.51	182.55	130.6	85.22	87.03	167.9	197.09	115.97	145.02	153.34	16.51	80.57	84.04	140.04	104.42	120.94	87.03	119.26	92.7	92.05	76.71	75.64	155.5	81.14	96.01	94.01	85.82	55.1	77.25	59.55	80.01	46.18	57.49	43.32	63.45	100.13	70.51	68.55	67.12	143.01	79.45	129.69	49.56	64.8	78.89	78.89	68.07	94.67	105.89	78.89
ZSWIM4	0.13	157.68	432.53	150.17	169.07	198.47	220.32	220.32	232.94	169.07	150.17	162.14	153.34	176.29	155.5	137.14	205.5	220.32	166.73	251.48	135.24	52.45	127.0	77.79	231.32	130.6	131.51	166.73	71.5	120.94	81.71	236.21	82.87	127.89	94.67	78.34	85.82	110.43	147.06	138.1	95.34	98.73	61.68	152.28	83.45	80.01	111.21	95.34	123.5	135.24	93.35	98.73	102.97	102.25	94.67	165.57	148.09	90.14	88.26	59.55	86.43
